Date,Value,Open,Close,High,Low
07/04/14,449496110.0,2.4,3.0,3.0,2.4
08/04/14,646862060.0,3.53,3.86,4.42,3.53
10/04/14,180939510.0,4.03,3.95,4.1,3.67
11/04/14,43315820.0,3.82,3.83,3.91,3.75
14/04/14,96623830.0,3.84,3.97,4.01,3.77
15/04/14,31842580.0,4.01,3.97,4.07,3.9
16/04/14,39820070.0,3.99,3.99,4.04,3.97
21/04/14,43217410.0,4.05,4.09,4.14,4.0
22/04/14,45664260.0,4.14,4.25,4.3,4.14
23/04/14,94931540.0,4.3,4.36,4.62,4.3
24/04/14,32902910.0,4.42,4.34,4.51,4.28
25/04/14,39469780.0,4.4,4.3,4.4,4.15
28/04/14,16769450.0,4.3,4.3,4.39,4.23
29/04/14,14148520.0,4.31,4.28,4.32,4.25
30/04/14,16321890.0,4.3,4.31,4.37,4.27
02/05/14,14891040.0,4.32,4.36,4.36,4.31
05/05/14,17612680.0,4.37,4.41,4.47,4.37
06/05/14,30793360.0,4.42,4.47,4.53,4.41
07/05/14,49953920.0,4.5,4.7,4.75,4.5
08/05/14,55223650.0,4.76,4.94,5.01,4.76
09/05/14,311700230.0,5.03,6.76,7.4,5.03
12/05/14,431918743.0,7.1,6.88,7.55,6.5
13/05/14,67957301.0,7.02,6.97,7.04,6.8
14/05/14,231893321.0,7.0,7.73,7.96,6.9
15/05/14,491165914.0,7.83,9.5,9.75,7.74
16/05/14,572384092.0,9.7,9.09,10.0,8.25
19/05/14,138923504.0,9.06,9.25,9.44,9.05
20/05/14,77534506.0,9.39,9.22,9.45,9.05
21/05/14,219174265.0,9.23,8.78,9.3,8.45
22/05/14,83511202.0,8.78,9.15,9.2,8.78
23/05/14,185325832.0,9.42,9.85,9.88,9.28
26/05/14,472119198.0,10.0,10.0,10.96,10.0
27/05/14,180364994.0,9.37,9.7,9.79,9.0
28/05/14,127715346.0,10.0,9.9,10.42,9.79
29/05/14,94321259.0,10.2,9.6,10.2,9.5
30/05/14,112654031.0,9.6,9.2,9.6,9.03
02/06/14,129487707.0,9.39,9.84,10.0,9.04
03/06/14,121874053.0,10.2,9.5,10.24,9.5
04/06/14,49799107.0,9.51,9.35,9.51,9.2
05/06/14,41362650.0,9.37,9.38,9.75,9.3
06/06/14,62193115.0,9.38,9.15,9.4,9.0
09/06/14,47418858.0,9.1,9.1,9.3,9.0
10/06/14,18444966.0,9.2,9.04,9.2,9.03
11/06/14,195037529.0,9.04,7.8,9.04,7.55
13/06/14,130098077.0,7.65,7.29,7.65,6.9
16/06/14,95940444.0,7.3,8.19,8.29,7.3
17/06/14,76429659.0,8.5,8.2,8.66,8.19
18/06/14,31602790.0,8.19,8.0,8.19,7.6
19/06/14,17080269.0,8.11,7.9,8.15,7.9
20/06/14,55096428.0,7.9,8.39,8.5,7.9
23/06/14,15773701.0,8.4,8.09,8.49,8.06
24/06/14,9819328.0,8.24,8.15,8.24,8.12
25/06/14,10781933.0,8.14,8.12,8.25,8.12
26/06/14,16963428.0,8.12,8.12,8.3,8.08
27/06/14,15843373.0,8.13,7.98,8.16,7.98
30/06/14,9063536.0,7.97,8.0,8.11,7.97
01/07/14,4797440.0,8.0,8.0,8.1,8.0
02/07/14,9423921.0,8.01,8.01,8.11,8.0
03/07/14,13669777.0,8.08,7.92,8.08,7.8
04/07/14,9922183.0,7.95,7.92,8.01,7.92
07/07/14,16482346.0,7.92,7.73,7.92,7.7
08/07/14,14665436.0,7.73,7.61,7.73,7.48
09/07/14,15921942.0,7.56,7.37,7.59,7.33
10/07/14,17534293.0,7.35,7.75,7.8,7.34
11/07/14,39560713.0,7.83,7.98,8.2,7.83
14/07/14,5184893.0,8.0,7.9,8.02,7.81
15/07/14,14531161.0,7.86,7.63,7.9,7.59
17/07/14,4593771.0,7.63,7.68,7.75,7.63
18/07/14,3379649.0,7.68,7.63,7.68,7.53
21/07/14,8439789.0,7.6,7.56,7.6,7.5
22/07/14,5222369.0,7.56,7.62,7.65,7.53
23/07/14,5418378.0,7.63,7.7,7.83,7.58
24/07/14,4338475.0,7.72,7.69,7.72,7.64
25/07/14,3304542.0,7.7,7.67,7.71,7.66
28/07/14,3825714.0,7.67,7.67,7.7,7.55
30/07/14,10100703.0,7.65,7.5,7.65,7.5
31/07/14,13990650.0,7.53,7.31,7.55,7.3
01/08/14,11746939.0,7.29,7.24,7.29,7.0
04/08/14,9249976.0,7.24,7.5,7.55,7.24
05/08/14,16107466.0,7.7,7.78,7.85,7.54
06/08/14,8531825.0,7.79,7.74,7.98,7.73
07/08/14,4728356.0,7.75,7.67,7.75,7.6
08/08/14,3334983.0,7.66,7.57,7.66,7.55
11/08/14,2298270.0,7.56,7.58,7.65,7.55
12/08/14,3874179.0,7.58,7.58,7.65,7.55
13/08/14,11856089.0,7.59,7.55,7.63,7.54
14/08/14,3261383.0,7.53,7.55,7.61,7.53
15/08/14,5708001.0,7.68,7.57,7.68,7.49
18/08/14,5104148.0,7.58,7.45,7.61,7.45
19/08/14,4919999.0,7.45,7.34,7.5,7.3
20/08/14,9529367.0,7.32,7.24,7.32,7.2
22/08/14,6264737.0,7.24,7.41,7.5,7.2
26/08/14,4704972.0,7.49,7.41,7.53,7.41
27/08/14,2844648.0,7.42,7.43,7.46,7.4
28/08/14,5860286.0,7.43,7.38,7.43,7.34
29/08/14,3860696.0,7.38,7.38,7.4,7.35
01/09/14,3871166.0,7.38,7.41,7.43,7.32
02/09/14,17807902.0,7.45,7.69,7.82,7.45
03/09/14,5038411.0,7.72,7.75,7.83,7.72
04/09/14,3649731.0,7.75,7.71,7.75,7.7
05/09/14,4403443.0,7.71,7.63,7.71,7.5
08/09/14,5503912.0,7.63,7.54,7.63,7.52
09/09/14,4764928.0,7.56,7.54,7.63,7.54
10/09/14,4628068.0,7.54,7.54,7.6,7.53
11/09/14,4868361.0,7.54,7.5,7.7,7.48
12/09/14,2861129.0,7.57,7.59,7.59,7.52
15/09/14,2237637.0,7.59,7.56,7.64,7.56
16/09/14,2363936.0,7.55,7.55,7.6,7.52
17/09/14,6223226.0,7.55,7.55,7.56,7.51
18/09/14,11451776.0,7.56,7.7,7.83,7.56
22/09/14,50747704.0,7.84,8.13,8.13,7.8
23/09/14,30590787.0,8.24,8.0,8.39,8.0
24/09/14,6774220.0,8.0,7.93,8.07,7.86
25/09/14,9812841.0,7.93,7.81,8.1,7.81
