Date,Value,Open,Close,High,Low
03/08/09,5173760.0,2.32,2.24,2.32,2.22
04/08/09,12658600.0,2.24,2.3,2.36,2.24
06/08/09,1388580.0,2.36,2.28,2.36,2.28
07/08/09,1598240.0,2.26,2.24,2.26,2.24
10/08/09,2580900.0,2.26,2.28,2.3,2.26
11/08/09,2569220.0,2.32,2.3,2.32,2.3
12/08/09,2619260.0,2.3,2.28,2.3,2.28
13/08/09,5476720.0,2.32,2.3,2.32,2.3
14/08/09,1189100.0,2.32,2.3,2.32,2.3
17/08/09,3310860.0,2.3,2.22,2.3,2.2
18/08/09,6309400.0,2.1,2.18,2.18,2.1
19/08/09,2819760.0,2.2,2.24,2.24,2.2
20/08/09,1112500.0,2.24,2.22,2.26,2.22
24/08/09,5569020.0,2.26,2.3,2.32,2.26
25/08/09,2148960.0,2.32,2.3,2.32,2.3
26/08/09,15680620.0,2.3,2.38,2.42,2.28
03/09/09,4433320.0,2.36,2.34,2.36,2.32
04/09/09,5081720.0,2.38,2.36,2.38,2.34
16/09/09,4770980.0,2.46,2.38,2.46,2.38
17/09/09,1627640.0,2.48,2.44,2.48,2.44
18/09/09,4505360.0,2.44,2.5,2.5,2.42
22/09/09,1611100.0,2.48,2.46,2.5,2.46
23/09/09,871300.0,2.46,2.46,2.48,2.44
30/09/09,4360680.0,2.38,2.32,2.38,2.32
01/10/09,1087500.0,2.32,2.34,2.34,2.32
02/10/09,4641480.0,2.3,2.28,2.3,2.26
05/10/09,3728620.0,2.28,2.3,2.3,2.28
06/10/09,1413740.0,2.32,2.36,2.36,2.3
07/10/09,4419900.0,2.38,2.42,2.42,2.38
08/10/09,16913060.0,2.4,2.5,2.5,2.4
09/10/09,3030880.0,2.5,2.46,2.5,2.46
12/10/09,1327100.0,2.44,2.42,2.44,2.42
13/10/09,4384500.0,2.42,2.4,2.44,2.4
14/10/09,976900.0,2.4,2.4,2.42,2.4
15/10/09,7025740.0,2.42,2.48,2.48,2.42
16/10/09,1540080.0,2.48,2.48,2.48,2.48
19/10/09,1044080.0,2.48,2.48,2.48,2.48
20/10/09,1631140.0,2.48,2.44,2.48,2.44
21/10/09,5160580.0,2.42,2.48,2.48,2.4
22/10/09,3232020.0,2.44,2.4,2.44,2.4
23/10/09,6176100.0,2.4,2.44,2.46,2.4
26/10/09,7516400.0,2.4,2.4,2.4,2.38
27/10/09,2136200.0,2.4,2.38,2.4,2.38
28/10/09,3362840.0,2.4,2.38,2.42,2.38
29/10/09,1555120.0,2.36,2.36,2.36,2.34
30/10/09,4183760.0,2.38,2.38,2.4,2.38
03/11/09,5041060.0,2.38,2.32,2.38,2.3
04/11/09,1873400.0,2.32,2.38,2.4,2.3
05/11/09,333040.0,2.4,2.42,2.44,2.4
06/11/09,1552940.0,2.42,2.38,2.42,2.38
09/11/09,1604740.0,2.42,2.42,2.42,2.38
10/11/09,1853500.0,2.42,2.4,2.42,2.4
11/11/09,1797000.0,2.44,2.42,2.44,2.42
15/12/09,2069660.0,2.5,2.46,2.5,2.46
16/12/09,252640.0,2.44,2.46,2.46,2.44
17/12/09,916580.0,2.46,2.44,2.46,2.44
18/12/09,695400.0,2.44,2.44,2.44,2.44
21/12/09,1822600.0,2.44,2.42,2.48,2.42
22/12/09,1153660.0,2.42,2.42,2.44,2.42
23/12/09,1393760.0,2.44,2.44,2.44,2.42
29/12/09,1198200.0,2.46,2.44,2.46,2.44
04/01/10,209860.0,2.46,2.44,2.46,2.44
05/01/10,10795980.0,2.48,2.55,2.55,2.48
06/01/10,32288050.0,2.55,2.7,2.75,2.55
07/01/10,28412250.0,2.7,2.8,2.8,2.7
08/01/10,4400300.0,2.8,2.75,2.8,2.7
11/01/10,30015050.0,2.8,2.9,3.0,2.75
12/01/10,20585500.0,2.95,2.9,2.95,2.85
13/01/10,13929450.0,2.85,3.0,3.0,2.85
14/01/10,6321850.0,3.0,2.95,3.0,2.9
15/01/10,5794900.0,2.9,2.85,2.95,2.8
18/01/10,7691550.0,2.85,2.8,2.9,2.75
19/01/10,12786800.0,2.8,2.75,2.9,2.75
20/01/10,22287650.0,2.8,2.8,2.9,2.75
21/01/10,7892000.0,2.8,2.8,2.9,2.8
22/01/10,22365900.0,2.75,2.65,2.9,2.65
25/01/10,9722200.0,2.65,2.6,2.65,2.55
26/01/10,7892500.0,2.6,2.55,2.65,2.55
27/01/10,11304460.0,2.6,2.5,2.6,2.48
28/01/10,2052250.0,2.5,2.6,2.6,2.5
29/01/10,2309700.0,2.55,2.55,2.6,2.5
01/02/10,10729950.0,2.55,2.6,2.6,2.5
02/02/10,5453330.0,2.6,2.5,2.65,2.48
03/02/10,3544570.0,2.55,2.5,2.55,2.48
04/02/10,2363250.0,2.5,2.55,2.55,2.5
05/02/10,5821400.0,2.48,2.48,2.48,2.44
08/02/10,1098640.0,2.48,2.48,2.48,2.48
09/02/10,15133640.0,2.46,2.46,2.55,2.44
10/02/10,6075290.0,2.5,2.5,2.55,2.46
11/02/10,1567500.0,2.5,2.5,2.5,2.5
08/03/10,6638000.0,2.95,2.9,2.95,2.9
12/03/10,7383400.0,2.9,2.9,2.9,2.9
15/03/10,2096200.0,2.9,2.85,2.9,2.85
16/03/10,1422550.0,2.85,2.9,2.9,2.85
17/03/10,10055500.0,2.9,2.95,2.95,2.9
31/03/10,11613350.0,3.25,3.3,3.3,3.25
20/04/10,13611000.0,3.15,3.15,3.2,3.15
21/04/10,6945750.0,3.2,3.3,3.3,3.2
22/04/10,4700300.0,3.3,3.25,3.35,3.25
23/04/10,1056200.0,3.3,3.3,3.35,3.3
29/04/10,4372550.0,3.35,3.35,3.4,3.35
30/04/10,3425800.0,3.35,3.3,3.35,3.3
04/05/10,1919700.0,3.25,3.2,3.3,3.2
05/05/10,12655850.0,3.15,3.1,3.2,3.05
13/05/10,12006450.0,3.2,3.3,3.3,3.2
14/05/10,41544200.0,3.3,3.5,3.5,3.25
17/05/10,25017150.0,3.5,3.5,3.65,3.5
18/05/10,14073300.0,3.55,3.55,3.6,3.5
19/05/10,6430250.0,3.5,3.5,3.55,3.5
20/05/10,24918350.0,3.5,3.65,3.7,3.5
21/05/10,30009200.0,3.5,3.5,3.55,3.4
24/05/10,10971950.0,3.55,3.45,3.55,3.4
25/05/10,14295400.0,3.45,3.25,3.45,3.2
26/05/10,7995200.0,3.25,3.3,3.35,3.25
27/05/10,11778550.0,3.3,3.45,3.45,3.3
28/05/10,10435250.0,3.5,3.45,3.5,3.45
31/05/10,18301350.0,3.45,3.65,3.65,3.45
01/06/10,19124950.0,3.65,3.7,3.75,3.6
02/06/10,22138550.0,3.7,3.75,3.8,3.7
03/06/10,45866050.0,3.8,3.95,3.95,3.8
04/06/10,46621100.0,3.95,4.0,4.05,3.9
07/06/10,51709150.0,3.9,3.95,4.05,3.85
08/06/10,31978900.0,3.9,3.95,3.95,3.9
09/06/10,9172200.0,4.0,3.9,4.05,3.9
10/06/10,9944550.0,3.9,3.9,3.9,3.85
11/06/10,16516700.0,3.95,3.85,3.95,3.85
15/06/10,8138200.0,3.85,3.9,3.95,3.85
16/06/10,18093500.0,3.9,3.9,3.9,3.85
21/06/10,48413150.0,3.9,4.05,4.15,3.9
22/06/10,8302250.0,4.1,4.1,4.1,4.05
23/06/10,12585250.0,4.1,4.1,4.1,4.0
24/06/10,70887950.0,4.1,3.9,4.1,3.9
25/06/10,5271350.0,3.9,3.95,3.95,3.9
28/06/10,10872950.0,3.95,3.85,4.0,3.85
29/06/10,47887900.0,3.85,3.9,3.9,3.8
01/07/10,3866050.0,3.9,3.85,3.9,3.8
02/07/10,3349850.0,3.8,3.75,3.8,3.75
06/07/10,4164500.0,3.65,3.7,3.7,3.65
07/07/10,2049800.0,3.7,3.7,3.7,3.7
08/07/10,27509250.0,3.75,3.85,3.85,3.75
09/07/10,7441750.0,3.85,3.8,3.85,3.8
13/07/10,1325100.0,3.8,3.9,3.9,3.8
14/07/10,762650.0,3.9,3.85,3.9,3.85
15/07/10,258500.0,3.85,3.8,3.85,3.8
16/07/10,1459200.0,3.8,3.8,3.8,3.8
19/07/10,2976500.0,3.75,3.75,3.75,3.7
20/07/10,1611900.0,3.75,3.8,3.8,3.75
21/07/10,5817350.0,3.8,3.9,3.95,3.8
22/07/10,3259350.0,3.9,3.8,3.9,3.8
23/07/10,2556650.0,3.8,3.8,3.9,3.8
20/09/10,50950900.0,4.2,4.47,4.5,4.15
21/09/10,30545280.0,4.6,4.5,4.7,4.5
22/09/10,7714250.0,4.5,4.5,4.58,4.3
23/09/10,9050360.0,4.5,4.4,4.5,4.4
24/09/10,7971350.0,4.49,4.3,4.49,4.3
27/09/10,7029280.0,4.4,4.41,4.49,4.4
28/09/10,12368630.0,4.45,4.32,4.5,4.3
29/09/10,13344720.0,4.33,4.33,4.45,4.32
30/09/10,13254890.0,4.33,4.25,4.39,4.15
01/10/10,7465300.0,4.26,4.27,4.3,4.26
04/10/10,2291750.0,4.31,4.38,4.39,4.31
05/10/10,6191420.0,4.38,4.41,4.45,4.38
06/10/10,17871450.0,4.43,4.33,4.45,4.32
07/10/10,16187630.0,4.37,4.3,4.37,4.29
08/10/10,4792050.0,4.31,4.28,4.32,4.25
12/10/10,14535290.0,4.31,4.17,4.31,4.15
13/10/10,32580680.0,4.15,4.1,4.16,4.06
14/10/10,8165840.0,4.1,4.12,4.2,4.1
15/10/10,28363710.0,4.13,4.11,4.13,4.1
18/10/10,26682530.0,4.12,4.09,4.12,4.09
19/10/10,38808930.0,4.1,4.1,4.13,4.09
20/10/10,63589470.0,4.09,4.12,4.12,4.08
21/10/10,2827180.0,4.13,4.14,4.15,4.12
22/10/10,2993460.0,4.14,4.14,4.14,4.1
26/10/10,4532480.0,4.19,4.21,4.25,4.19
27/10/10,2851240.0,4.21,4.27,4.27,4.21
28/10/10,6530610.0,4.3,4.27,4.35,4.26
29/10/10,2978420.0,4.25,4.21,4.3,4.21
02/11/10,2278010.0,4.18,4.2,4.22,4.17
03/11/10,6935240.0,4.3,4.22,4.3,4.21
04/11/10,7283480.0,4.24,4.21,4.25,4.21
08/11/10,4249920.0,4.26,4.22,4.26,4.21
09/11/10,1518060.0,4.21,4.17,4.21,4.1
10/11/10,10177400.0,4.17,4.2,4.2,4.1
11/11/10,4738540.0,4.2,4.08,4.2,4.03
12/11/10,2489620.0,4.1,4.04,4.1,4.03
15/11/10,1260870.0,4.02,4.08,4.1,4.02
17/11/10,1464420.0,4.06,4.05,4.07,4.02
18/11/10,6742050.0,4.05,4.02,4.05,3.98
19/11/10,3383510.0,4.04,4.11,4.15,4.04
22/11/10,3378120.0,4.12,4.08,4.12,4.06
23/11/10,1516740.0,4.08,4.02,4.08,4.02
24/11/10,2140590.0,3.98,4.02,4.04,3.96
25/11/10,894710.0,4.04,3.99,4.1,3.98
26/11/10,2635080.0,4.07,3.93,4.07,3.93
30/11/10,1740790.0,3.95,3.83,3.95,3.8
01/12/10,1387290.0,3.9,3.84,3.9,3.84
02/12/10,3563900.0,3.85,3.85,3.86,3.83
03/12/10,6301650.0,3.85,3.91,3.93,3.85
06/12/10,5068700.0,3.95,3.98,3.99,3.93
07/12/10,1897690.0,4.0,3.97,4.0,3.96
08/12/10,7563370.0,3.98,4.05,4.05,3.98
16/12/10,309770.0,3.9,3.94,3.96,3.9
22/12/10,1232230.0,3.91,3.93,3.93,3.9
23/12/10,2301670.0,3.91,3.86,3.91,3.85
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
28/12/10,355750.0,3.86,3.89,3.89,3.86
29/12/10,1471750.0,3.91,3.94,3.95,3.91
29/12/10,1471750.0,3.91,3.94,3.95,3.91
03/01/11,721610.0,3.94,3.88,3.96,3.88
03/01/11,721610.0,3.94,3.88,3.96,3.88
03/01/11,721610.0,3.94,3.88,3.96,3.88
04/01/11,328820.0,3.89,3.94,3.95,3.89
05/01/11,1599330.0,3.94,3.88,3.94,3.86
06/01/11,931790.0,3.89,3.9,3.92,3.89
07/01/11,5738290.0,3.89,3.85,3.9,3.8
10/01/11,2073400.0,3.88,3.84,3.88,3.8
11/01/11,8927590.0,3.85,3.95,3.98,3.85
11/01/11,8927590.0,3.85,3.95,3.98,3.85
12/01/11,3033640.0,3.96,4.05,4.09,3.85
13/01/11,8040950.0,4.05,4.01,4.05,4.0
14/01/11,2259380.0,4.01,3.93,4.01,3.9
17/01/11,2962680.0,3.94,4.0,4.03,3.94
18/01/11,1422700.0,4.0,3.94,4.0,3.94
19/01/11,1650410.0,3.94,3.85,3.95,3.85
19/01/11,1650410.0,3.94,3.85,3.95,3.85
20/01/11,1864650.0,3.85,3.86,3.86,3.82
20/01/11,1864650.0,3.85,3.86,3.86,3.82
24/01/11,2268690.0,3.75,3.68,3.75,3.62
25/01/11,1967400.0,3.69,3.63,3.72,3.6
26/01/11,4721490.0,3.64,3.51,3.64,3.4
27/01/11,21646330.0,3.55,3.41,3.55,3.4
28/01/11,8504070.0,3.4,3.58,3.63,3.39
28/01/11,8504070.0,3.4,3.58,3.63,3.39
31/01/11,10241830.0,3.55,3.41,3.55,3.39
31/01/11,10241830.0,3.55,3.41,3.55,3.39
01/02/11,5316410.0,3.43,3.41,3.43,3.39
01/02/11,5316410.0,3.43,3.41,3.43,3.39
02/02/11,12850460.0,3.43,3.41,3.44,3.36
03/02/11,2716600.0,3.42,3.47,3.47,3.42
14/02/11,5876510.0,3.4,3.4,3.44,3.37
16/02/11,2995570.0,3.4,3.4,3.4,3.37
16/02/11,2995570.0,3.4,3.4,3.4,3.37
17/02/11,4100080.0,3.38,3.43,3.43,3.38
18/02/11,1147780.0,3.42,3.43,3.44,3.42
21/02/11,3203020.0,3.44,3.41,3.44,3.38
21/02/11,3203020.0,3.44,3.41,3.44,3.38
22/02/11,842110.0,3.4,3.34,3.4,3.34
22/02/11,842110.0,3.4,3.34,3.4,3.34
23/02/11,3156890.0,3.28,3.3,3.34,3.21
23/02/11,3156890.0,3.28,3.3,3.34,3.21
24/02/11,441410.0,3.27,3.27,3.29,3.26
24/02/11,441410.0,3.27,3.27,3.29,3.26
25/02/11,3625740.0,3.27,3.4,3.4,3.27
28/02/11,273020.0,3.45,3.33,3.45,3.31
02/03/11,30050.0,3.41,3.33,3.41,3.33
03/03/11,13058850.0,3.4,3.45,3.49,3.37
04/03/11,1478390.0,3.45,3.43,3.47,3.4
04/03/11,1478390.0,3.45,3.43,3.47,3.4
07/03/11,1525620.0,3.43,3.44,3.46,3.43
08/03/11,24020.0,3.45,3.41,3.45,3.41
08/03/11,24020.0,3.45,3.41,3.45,3.41
11/03/11,2067470.0,3.45,3.45,3.47,3.38
11/03/11,2067470.0,3.45,3.45,3.47,3.38
16/03/11,4850990.0,3.57,3.51,3.57,3.5
17/03/11,1312620.0,3.55,3.49,3.55,3.49
18/03/11,588600.0,3.5,3.5,3.52,3.5
21/03/11,1961590.0,3.52,3.62,3.62,3.51
22/03/11,672870.0,3.62,3.6,3.63,3.6
23/03/11,4245800.0,3.62,3.75,3.76,3.62
24/03/11,875240.0,3.75,3.66,3.77,3.66
25/03/11,1652140.0,3.65,3.6,3.65,3.6
28/03/11,1428580.0,3.6,3.61,3.62,3.6
29/03/11,1776150.0,3.6,3.61,3.61,3.6
30/03/11,2564050.0,3.62,3.6,3.63,3.59
31/03/11,1642000.0,3.61,3.6,3.61,3.6
01/04/11,838550.0,3.57,3.62,3.64,3.57
04/04/11,9457340.0,3.62,3.66,3.7,3.6
05/04/11,580750.0,3.66,3.64,3.66,3.64
06/04/11,2742020.0,3.64,3.71,3.71,3.63
07/04/11,1090950.0,3.72,3.7,3.72,3.7
08/04/11,1367670.0,3.69,3.72,3.72,3.68
11/04/11,779090.0,3.72,3.7,3.73,3.7
12/04/11,2173880.0,3.7,3.7,3.71,3.69
13/04/11,3829780.0,3.69,3.67,3.69,3.65
14/04/11,2787070.0,3.7,3.68,3.7,3.68
15/04/11,782320.0,3.67,3.66,3.67,3.65
26/04/11,1475390.0,3.8,3.77,3.8,3.75
27/04/11,3388400.0,3.78,3.8,3.82,3.78
28/04/11,5199420.0,3.81,3.79,3.81,3.79
29/04/11,841970.0,3.79,3.77,3.79,3.77
02/05/11,3209560.0,3.77,3.7,3.79,3.7
03/05/11,895620.0,3.73,3.7,3.73,3.69
04/05/11,210300.0,3.7,3.69,3.7,3.68
05/05/11,1327430.0,3.69,3.6,3.69,3.6
06/05/11,1121960.0,3.58,3.6,3.6,3.5
09/05/11,456750.0,3.54,3.65,3.65,3.54
10/05/11,495200.0,3.65,3.69,3.7,3.65
11/05/11,3232060.0,3.69,3.69,3.7,3.66
12/05/11,479850.0,3.66,3.66,3.75,3.66
13/05/11,2079970.0,3.63,3.65,3.66,3.63
16/05/11,358530.0,3.75,3.65,3.75,3.64
17/05/11,444660.0,3.64,3.6,3.65,3.6
18/05/11,388840.0,3.6,3.58,3.62,3.58
19/05/11,751190.0,3.59,3.59,3.6,3.59
20/05/11,1372880.0,3.59,3.57,3.6,3.57
23/05/11,167490.0,3.56,3.55,3.59,3.55
24/05/11,724050.0,3.53,3.46,3.54,3.4
25/05/11,1091120.0,3.47,3.45,3.47,3.45
26/05/11,1600350.0,3.45,3.41,3.45,3.41
27/05/11,729820.0,3.42,3.42,3.45,3.41
30/05/11,1298920.0,3.43,3.48,3.48,3.43
31/05/11,818570.0,3.49,3.51,3.51,3.49
01/06/11,620900.0,3.53,3.56,3.56,3.53
03/06/11,464840.0,3.55,3.55,3.55,3.51
06/06/11,233900.0,3.56,3.54,3.59,3.53
07/06/11,2424190.0,3.52,3.48,3.52,3.45
08/06/11,2214900.0,3.45,3.45,3.45,3.45
09/06/11,494180.0,3.45,3.43,3.51,3.43
10/06/11,1221140.0,3.43,3.47,3.5,3.43
13/06/11,147730.0,3.45,3.45,3.45,3.43
14/06/11,1767130.0,3.45,3.45,3.45,3.4
15/06/11,794330.0,3.4,3.38,3.45,3.38
16/06/11,78040.0,3.38,3.39,3.43,3.38
17/06/11,164140.0,3.4,3.41,3.46,3.4
21/06/11,449460.0,3.41,3.42,3.46,3.41
22/06/11,161640.0,3.42,3.45,3.45,3.42
23/06/11,1260330.0,3.45,3.42,3.45,3.42
24/06/11,5663260.0,3.42,3.37,3.43,3.3
27/06/11,156400.0,3.4,3.4,3.4,3.4
28/06/11,512530.0,3.4,3.43,3.45,3.4
29/06/11,143670.0,3.43,3.42,3.43,3.41
30/06/11,159800.0,3.4,3.4,3.4,3.4
01/07/11,393850.0,3.42,3.43,3.43,3.42
04/07/11,2336440.0,3.42,3.58,3.58,3.42
