Date,Value,Open,Close,High,Low
28/08/14,85906690.0,8.05,7.4,9.0,6.51
29/08/14,35859028.0,7.55,6.01,7.79,5.65
01/09/14,13842564.0,5.9,5.81,6.0,5.1
02/09/14,8388332.0,5.78,5.6,5.78,5.51
03/09/14,9878909.0,5.51,5.76,6.2,5.51
04/09/14,3573215.0,5.98,5.73,5.98,5.73
05/09/14,3172725.0,5.76,5.62,5.85,5.6
08/09/14,5710996.0,5.65,5.25,5.65,5.19
09/09/14,5572838.0,5.25,4.9,5.37,4.9
10/09/14,3979330.0,5.0,4.66,5.0,4.61
11/09/14,4773330.0,4.8,4.61,4.8,4.6
12/09/14,3893710.0,4.65,4.43,4.79,4.4
15/09/14,1800550.0,4.4,4.3,4.6,4.3
16/09/14,15965450.0,4.3,5.08,5.9,4.3
17/09/14,2510755.0,5.15,5.18,5.44,5.15
18/09/14,2284952.0,5.2,5.12,5.4,5.0
22/09/14,542918.0,5.2,5.16,5.21,5.0
23/09/14,689708.0,5.28,5.21,5.28,5.07
24/09/14,1350523.0,5.24,5.34,5.43,5.18
25/09/14,7715547.0,5.45,5.16,5.7,5.16
26/09/14,1017377.0,5.32,5.18,5.32,5.1
29/09/14,373086.0,5.35,5.12,5.35,5.11
30/09/14,1727026.0,5.12,5.09,5.27,5.09
01/10/14,766907.0,5.08,5.08,5.15,5.04
02/10/14,718472.0,5.08,5.07,5.27,5.01
03/10/14,333185.0,5.07,5.04,5.2,5.04
07/10/14,368576.0,5.05,5.04,5.06,5.01
08/10/14,1635887.0,5.05,5.04,5.05,4.89
09/10/14,297499.0,5.04,5.0,5.04,4.93
10/10/14,1116453.0,5.0,4.88,5.0,4.86
13/10/14,381150.0,4.85,4.8,4.99,4.6
14/10/14,1261960.0,4.61,4.6,4.68,4.3
15/10/14,727040.0,4.45,4.75,5.0,4.45
16/10/14,384620.0,4.6,4.58,4.69,4.45
17/10/14,6556710.0,5.21,5.1,5.49,4.8
20/10/14,1370236.0,5.35,5.0,5.35,4.89
21/10/14,1346333.0,4.99,4.99,5.2,4.95
22/10/14,299590.0,5.0,5.15,5.18,4.99
23/10/14,374275.0,5.13,5.0,5.13,5.0
24/10/14,180030.0,5.0,5.0,5.01,4.9
27/10/14,548730.0,4.9,4.98,5.0,4.79
28/10/14,484660.0,4.93,4.85,4.93,4.83
29/10/14,2498110.0,4.78,4.72,4.85,4.72
30/10/14,1177660.0,4.7,4.78,5.0,4.7
31/10/14,68560.0,4.9,4.9,4.9,4.86
03/11/14,278700.0,4.9,4.8,4.9,4.8
04/11/14,673050.0,4.79,4.71,4.8,4.7
05/11/14,879150.0,4.7,4.7,4.82,4.68
06/11/14,2741130.0,4.7,4.6,4.7,4.55
07/11/14,1311350.0,4.55,4.5,4.6,4.5
10/11/14,176650.0,4.55,4.55,4.6,4.5
11/11/14,8553970.0,4.5,4.2,4.5,4.1
12/11/14,4925420.0,4.14,4.03,4.14,3.95
13/11/14,1556240.0,4.09,4.0,4.3,3.99
14/11/14,1645370.0,4.0,3.97,4.0,3.95
17/11/14,853990.0,3.97,3.95,4.1,3.9
18/11/14,438450.0,3.96,4.05,4.07,3.94
19/11/14,1216350.0,4.05,3.97,4.06,3.95
20/11/14,322890.0,3.97,3.99,4.0,3.96
21/11/14,2004190.0,4.0,4.17,4.21,4.0
24/11/14,703320.0,4.01,4.01,4.07,4.0
25/11/14,9186040.0,4.01,4.43,4.61,4.01
26/11/14,6713920.0,4.43,4.7,4.7,4.43
27/11/14,10912890.0,4.71,4.88,5.12,4.7
28/11/14,7841680.0,4.55,4.99,5.1,4.55
01/12/14,2304000.0,4.91,4.5,4.91,4.5
02/12/14,2389400.0,4.5,4.3,4.59,4.3
03/12/14,1022920.0,4.3,4.3,4.37,4.19
04/12/14,971210.0,4.3,4.18,4.3,4.15
