Date,Value,Open,Close,High,Low
07/05/12,799526842.0,20.1,19.78,20.7,19.7
08/05/12,181766320.0,19.8,19.72,19.98,19.62
09/05/12,176750236.0,19.78,19.46,19.78,19.44
10/05/12,88527830.0,19.44,18.9,19.44,18.84
11/05/12,70596832.0,18.9,18.84,19.04,18.8
14/05/12,62543216.0,18.8,18.52,18.8,18.52
15/05/12,91486130.0,18.5,18.54,18.68,18.5
16/05/12,20377858.0,18.56,18.58,18.7,18.56
17/05/12,38092466.0,18.6,18.9,18.98,18.6
18/05/12,139111776.0,18.9,18.56,18.9,18.56
21/05/12,86350508.0,18.58,18.58,18.6,18.56
22/05/12,85247114.0,18.6,18.52,18.68,18.52
23/05/12,43380260.0,18.56,18.52,18.56,18.5
24/05/12,7518616.0,18.52,18.62,18.62,18.52
25/05/12,51209304.0,18.62,18.62,18.68,18.58
28/05/12,26559316.0,18.6,18.6,18.62,18.56
29/05/12,24862532.0,18.6,18.6,18.86,18.58
30/05/12,29587482.0,18.62,18.62,18.68,18.6
31/05/12,21133896.0,18.62,18.62,18.7,18.54
01/06/12,42327630.0,18.62,18.82,19.08,18.62
04/06/12,28870474.0,18.8,18.56,18.8,18.56
05/06/12,9525562.0,18.66,18.72,18.8,18.58
06/06/12,62443056.0,18.64,19.0,19.08,18.64
07/06/12,99609584.0,19.1,19.22,19.4,19.1
08/06/12,28439378.0,19.3,18.86,19.3,18.84
11/06/12,13216070.0,18.9,18.7,19.1,18.7
13/06/12,12662040.0,18.7,18.9,18.9,18.7
14/06/12,14792672.0,18.9,18.64,19.0,18.64
15/06/12,8202920.0,18.66,18.6,18.7,18.6
18/06/12,7032446.0,18.66,18.92,18.98,18.66
19/06/12,4810012.0,19.0,18.88,19.0,18.84
20/06/12,33480654.0,18.9,19.0,19.1,18.9
21/06/12,6269328.0,18.92,18.96,18.98,18.92
22/06/12,8704818.0,18.96,19.0,19.02,18.9
25/06/12,15592214.0,19.0,18.96,19.0,18.96
26/06/12,21312326.0,18.96,18.94,18.96,18.92
