Date,Value,Open,Close,High,Low
18/08/09,22500.0,2.2,2.3,2.3,2.2
26/08/09,34800.0,2.32,2.32,2.32,2.32
19/10/09,6720.0,2.24,2.24,2.24,2.24
20/10/09,56000.0,2.24,2.24,2.24,2.24
26/10/09,102900.0,2.4,2.7,3.0,2.4
29/10/09,42500.0,2.2,2.1,2.2,2.1
30/10/09,15820.0,2.26,2.26,2.26,2.26
09/06/10,4760.0,2.38,2.38,2.38,2.38
11/06/10,2380.0,2.38,2.38,2.38,2.38
30/09/10,28560.0,2.04,2.04,2.04,2.04
01/10/10,2120.0,2.12,2.12,2.12,2.12
10/11/10,1780.0,1.78,1.78,1.78,1.78
22/12/10,1720.0,1.72,1.72,1.72,1.72
11/01/11,3600.0,1.8,1.8,1.8,1.8
11/01/11,3600.0,1.8,1.8,1.8,1.8
16/03/11,25500.0,1.7,1.7,1.7,1.7
17/03/11,42500.0,1.7,1.7,1.7,1.7
04/05/11,15300.0,1.7,1.7,1.7,1.7
16/08/11,19360.0,1.76,1.76,1.76,1.76
22/09/11,2137000.0,1.45,2.1,2.1,1.45
23/09/11,3490910.0,1.65,1.75,1.75,1.65
26/09/11,1706760.0,1.62,1.62,1.63,1.62
03/10/11,601540.0,1.62,1.6,1.66,1.6
04/10/11,723240.0,1.6,1.62,1.62,1.6
05/10/11,367780.0,1.62,1.64,1.64,1.62
06/10/11,574000.0,1.64,1.64,1.64,1.64
07/10/11,4890.0,1.63,1.63,1.63,1.63
11/10/11,265660.0,1.63,1.64,1.64,1.63
12/10/11,73350.0,1.63,1.63,1.63,1.63
13/10/11,489000.0,1.63,1.63,1.63,1.63
14/10/11,324000.0,1.62,1.62,1.62,1.62
17/10/11,341820.0,1.62,1.62,1.62,1.62
18/10/11,4860.0,1.62,1.62,1.62,1.62
19/10/11,564160.0,1.63,1.66,1.66,1.63
20/10/11,692080.0,1.64,1.64,1.64,1.64
21/10/11,4920.0,1.64,1.64,1.64,1.64
25/10/11,24600.0,1.64,1.64,1.64,1.64
02/11/11,1640.0,1.64,1.64,1.64,1.64
03/11/11,8200.0,1.64,1.64,1.64,1.64
04/11/11,8200.0,1.64,1.64,1.64,1.64
09/11/11,18040.0,1.64,1.64,1.64,1.64
14/11/11,8200.0,1.64,1.64,1.64,1.64
15/11/11,16800.0,1.66,1.7,1.7,1.66
16/11/11,44250.0,1.7,1.8,1.8,1.7
18/11/11,175460.0,1.82,2.7,2.7,1.82
21/11/11,769500.0,4.05,4.05,4.05,4.05
22/11/11,546750.0,5.5,4.1,5.9,3.0
23/11/11,174100.0,4.1,3.6,4.1,3.55
24/11/11,12000.0,3.0,3.0,3.0,3.0
25/11/11,3600.0,3.6,3.6,3.6,3.6
28/11/11,82790.0,2.06,1.9,2.06,1.8
29/11/11,107880.0,1.92,1.88,1.92,1.88
01/12/11,3800.0,1.9,1.9,1.9,1.9
02/12/11,43200.0,1.8,1.8,1.8,1.8
05/12/11,5290.0,1.77,1.76,1.77,1.76
06/12/11,3520.0,1.76,1.76,1.76,1.76
07/12/11,1770.0,1.77,1.77,1.77,1.77
08/12/11,20660.0,1.76,2.0,2.1,1.76
09/12/11,2400.0,2.4,2.4,2.4,2.4
13/12/11,36360.0,2.3,2.76,2.76,2.3
04/01/12,20000.0,2.0,2.0,2.0,2.0
06/01/12,2000.0,2.0,2.0,2.0,2.0
09/01/12,11400.0,1.9,1.9,1.9,1.9
10/01/12,5500.0,1.8,1.9,1.9,1.8
24/01/12,2000.0,2.0,2.0,2.0,2.0
26/01/12,2080.0,2.08,2.08,2.08,2.08
30/01/12,61580.0,2.08,2.25,2.25,2.08
31/01/12,27000.0,2.25,2.25,2.25,2.25
01/02/12,36000.0,2.25,2.25,2.25,2.25
03/02/12,13800.0,2.3,2.3,2.3,2.3
10/02/12,2400.0,2.4,2.4,2.4,2.4
14/02/12,36100.0,2.09,2.0,2.09,2.0
20/02/12,8000.0,2.0,2.0,2.0,2.0
22/02/12,60110.0,2.01,2.0,2.01,2.0
24/02/12,24020.0,2.01,2.0,2.01,2.0
15/03/12,20010.0,2.01,2.0,2.01,2.0
