Date,Value,Open,Close,High,Low
19/12/11,4203530.0,4.75,4.15,4.75,4.15
20/12/11,163370.0,4.12,4.05,4.15,4.03
21/12/11,333350.0,4.05,4.07,4.07,4.05
22/12/11,73630.0,4.07,4.08,4.2,4.07
23/12/11,44870.0,4.08,4.08,4.08,4.07
26/12/11,65120.0,4.07,4.07,4.07,4.07
27/12/11,69520.0,4.06,4.33,4.33,4.05
28/12/11,773480.0,4.06,4.0,4.1,4.0
29/12/11,20860.0,4.3,4.1,4.3,4.1
02/01/12,493070.0,3.92,4.0,4.0,3.9
04/01/12,563770.0,4.0,4.0,4.08,3.91
05/01/12,1004630.0,3.91,4.2,4.2,3.9
06/01/12,8020.0,4.01,4.01,4.01,4.01
10/01/12,36380.0,3.95,4.2,4.2,3.95
11/01/12,677280.0,4.18,4.0,4.18,3.95
12/01/12,20060.0,4.0,4.1,4.1,3.96
13/01/12,407960.0,3.96,4.0,4.0,3.96
16/01/12,1972190.0,4.1,4.19,4.19,4.1
18/01/12,43380.0,3.95,3.94,3.97,3.94
19/01/12,59400.0,3.96,3.96,3.96,3.96
20/01/12,190120.0,3.94,3.95,4.0,3.94
25/01/12,23450.0,3.95,3.9,3.95,3.9
26/01/12,182100.0,3.8,3.7,3.8,3.7
30/01/12,382420.0,4.0,3.89,4.0,3.79
31/01/12,11960.0,3.98,3.99,3.99,3.98
01/02/12,79210.0,3.78,3.97,3.97,3.78
02/02/12,3970.0,3.97,3.97,3.97,3.97
03/02/12,3770.0,3.77,3.77,3.77,3.77
06/02/12,226800.0,3.78,3.78,3.78,3.78
07/02/12,123820.0,3.78,3.75,3.78,3.75
08/02/12,758160.0,3.75,3.75,3.78,3.72
09/02/12,308300.0,3.8,3.7,3.8,3.7
10/02/12,100360.0,3.93,3.93,3.93,3.7
14/02/12,742000.0,3.71,3.71,3.71,3.71
16/02/12,7420.0,3.71,3.71,3.71,3.71
20/02/12,259030.0,3.71,3.7,3.71,3.7
21/02/12,1464410.0,3.7,3.7,3.71,3.6
22/02/12,658600.0,3.7,3.7,3.7,3.7
23/02/12,388510.0,3.71,3.7,3.71,3.7
28/02/12,1087770.0,3.52,3.53,3.53,3.52
29/02/12,59550.0,3.55,3.5,3.55,3.5
01/03/12,1056000.0,3.52,3.52,3.52,3.52
05/03/12,1446350.0,3.55,3.92,3.93,3.55
09/03/12,18190.0,3.3,3.89,3.89,3.3
19/03/12,42750.0,3.85,3.89,3.89,3.85
22/03/12,247910.0,3.7,3.7,3.71,3.7
23/03/12,18260.0,3.66,3.65,3.66,3.65
26/03/12,18000.0,3.6,3.6,3.6,3.6
27/03/12,71840.0,3.6,3.58,3.6,3.58
29/03/12,14320.0,3.58,3.58,3.58,3.58
30/03/12,3580.0,3.58,3.58,3.58,3.58
02/04/12,3580.0,3.58,3.58,3.58,3.58
04/04/12,3560.0,3.56,3.56,3.56,3.56
12/04/12,497000.0,3.5,3.5,3.5,3.5
13/04/12,2534900.0,3.56,3.86,3.86,3.53
17/04/12,179530.0,3.53,3.52,3.53,3.52
18/04/12,109120.0,3.52,3.52,3.52,3.52
19/04/12,72180.0,3.78,3.6,3.78,3.6
20/04/12,175100.0,3.51,3.5,3.51,3.5
23/04/12,619500.0,3.5,3.5,3.5,3.5
24/04/12,39050.0,3.75,3.53,3.75,3.53
25/04/12,17650.0,3.53,3.53,3.53,3.53
26/04/12,42090.0,3.52,3.5,3.52,3.5
27/04/12,7000.0,3.5,3.5,3.5,3.5
30/04/12,141950.0,3.5,3.79,3.79,3.5
07/05/12,3530.0,3.53,3.53,3.53,3.53
08/05/12,60010.0,3.53,3.53,3.53,3.53
09/05/12,10680.0,3.53,3.55,3.6,3.53
11/05/12,21180.0,3.53,3.53,3.53,3.53
14/05/12,1577740.0,3.53,3.52,3.53,3.52
15/05/12,186570.0,3.53,3.52,3.53,3.52
16/05/12,49290.0,3.53,3.52,3.53,3.52
18/05/12,373120.0,3.52,3.52,3.52,3.52
21/05/12,38720.0,3.52,3.52,3.52,3.52
22/05/12,17600.0,3.52,3.52,3.52,3.52
23/05/12,21120.0,3.52,3.52,3.52,3.52
24/05/12,14080.0,3.52,3.52,3.52,3.52
28/05/12,176010.0,3.53,3.52,3.53,3.52
29/05/12,7060.0,3.53,3.53,3.53,3.53
30/05/12,3550.0,3.55,3.55,3.55,3.55
01/06/12,35300.0,3.53,3.53,3.53,3.53
04/06/12,21300.0,3.55,3.55,3.55,3.55
05/06/12,14200.0,3.55,3.55,3.55,3.55
11/06/12,120670.0,3.75,3.6,3.8,3.6
13/06/12,19250.0,3.85,3.85,3.85,3.85
14/06/12,380000.0,3.8,3.8,3.8,3.8
15/06/12,38000.0,3.8,3.8,3.8,3.8
18/06/12,3800.0,3.8,3.8,3.8,3.8
19/06/12,95910.0,3.56,3.54,3.57,3.54
21/06/12,36000.0,3.6,3.6,3.6,3.6
22/06/12,7140.0,3.57,3.57,3.57,3.57
28/06/12,53550.0,3.57,3.57,3.57,3.57
29/06/12,21770.0,3.6,3.77,3.77,3.6
02/07/12,111000.0,3.7,3.7,3.7,3.7
06/07/12,36900.0,3.69,3.69,3.69,3.69
13/07/12,3690.0,3.69,3.69,3.69,3.69
19/07/12,48100.0,3.7,3.7,3.7,3.7
24/07/12,3600.0,3.6,3.6,3.6,3.6
25/07/12,212660.0,3.58,3.54,3.58,3.54
26/07/12,354190.0,3.55,3.53,3.55,3.53
02/08/12,35400.0,3.54,3.54,3.54,3.54
03/08/12,7080.0,3.54,3.54,3.54,3.54
06/08/12,14120.0,3.53,3.53,3.53,3.53
09/08/12,14150.0,3.53,3.54,3.54,3.53
15/08/12,3550.0,3.55,3.55,3.55,3.55
23/08/12,17700.0,3.54,3.54,3.54,3.54
24/08/12,10620.0,3.54,3.54,3.54,3.54
31/08/12,35400.0,3.54,3.54,3.54,3.54
11/09/12,31770.0,3.53,3.53,3.53,3.53
13/09/12,3530.0,3.53,3.53,3.53,3.53
14/09/12,434120.0,3.7,3.53,3.7,3.53
17/09/12,203480.0,3.68,3.7,3.7,3.68
18/09/12,789000.0,3.81,4.0,4.0,3.81
19/09/12,486050.0,4.1,4.1,4.2,4.1
25/09/12,19190.0,3.84,3.83,3.84,3.83
27/09/12,19370.0,3.88,3.87,3.88,3.87
28/09/12,795550.0,3.85,4.0,4.0,3.84
01/10/12,38300.0,3.83,3.83,3.83,3.83
02/10/12,457910.0,4.0,4.05,4.05,3.83
03/10/12,76800.0,3.84,3.84,3.84,3.84
05/10/12,4200.0,4.2,4.2,4.2,4.2
09/10/12,35010.0,3.89,3.89,3.89,3.89
10/10/12,11790.0,3.91,3.94,3.94,3.91
11/10/12,7880.0,3.94,3.94,3.94,3.94
