Date,Value,Open,Close,High,Low
03/08/09,3320.0,1.66,1.66,1.66,1.66
04/08/09,18000.0,1.8,1.8,1.8,1.8
14/08/09,37600.0,1.6,1.8,1.8,1.6
17/08/09,1300.0,1.3,1.3,1.3,1.3
18/08/09,3400.0,1.7,1.7,1.7,1.7
19/08/09,8500.0,1.7,1.7,1.7,1.7
13/10/09,1489160.0,1.7,1.66,1.7,1.66
21/12/09,3400.0,1.7,1.7,1.7,1.7
21/01/10,5040.0,1.68,1.68,1.68,1.68
02/02/10,1700.0,1.7,1.7,1.7,1.7
03/02/10,1500.0,1.5,1.5,1.5,1.5
04/02/10,1700.0,1.7,1.7,1.7,1.7
17/03/10,15000.0,1.5,1.5,1.5,1.5
31/03/10,4640.0,1.66,1.32,1.66,1.32
20/05/10,90000.0,1.68,1.7,1.7,1.68
21/05/10,193800.0,1.7,1.7,1.7,1.7
31/05/10,110500.0,1.7,1.7,1.7,1.7
01/06/10,94000.0,1.7,1.72,1.72,1.7
02/06/10,17200.0,1.72,1.72,1.72,1.72
03/06/10,86000.0,1.72,1.72,1.72,1.72
09/06/10,170000.0,1.7,1.7,1.7,1.7
21/06/10,170000.0,1.7,1.7,1.7,1.7
25/06/10,306100.0,1.72,1.76,1.76,1.72
06/07/10,5100.0,1.7,1.7,1.7,1.7
07/07/10,181280.0,1.76,1.76,1.76,1.76
20/09/10,3480.0,1.74,1.74,1.74,1.74
29/09/10,3480.0,1.74,1.74,1.74,1.74
30/09/10,17300.0,1.73,1.73,1.73,1.73
04/10/10,8750.0,1.75,1.75,1.75,1.75
05/10/10,3460.0,1.73,1.73,1.73,1.73
06/10/10,1710.0,1.71,1.71,1.71,1.71
07/10/10,8550.0,1.71,1.71,1.71,1.71
08/10/10,17400.0,1.74,1.74,1.74,1.74
14/10/10,27200.0,1.6,1.6,1.6,1.6
04/11/10,1510.0,1.51,1.51,1.51,1.51
11/11/10,4530.0,1.51,1.51,1.51,1.51
12/11/10,1600.0,1.6,1.6,1.6,1.6
30/11/10,59200.0,1.6,1.6,1.6,1.6
29/12/10,28500.0,1.5,1.5,1.5,1.5
29/12/10,28500.0,1.5,1.5,1.5,1.5
04/01/11,22940.0,1.7,1.77,1.77,1.7
06/01/11,7550.0,1.51,1.51,1.51,1.51
11/01/11,28800.0,1.6,1.6,1.6,1.6
11/01/11,28800.0,1.6,1.6,1.6,1.6
17/01/11,123000.0,1.5,1.5,1.5,1.5
18/01/11,46490.0,1.5,1.49,1.5,1.49
25/02/11,4530.0,1.11,1.71,1.71,1.11
28/03/11,3380.0,1.69,1.69,1.69,1.69
01/04/11,1690.0,1.69,1.69,1.69,1.69
05/04/11,3330.0,1.11,1.11,1.11,1.11
11/04/11,16500.0,1.5,1.5,1.5,1.5
14/04/11,1630.0,1.63,1.63,1.63,1.63
11/05/11,1650.0,1.65,1.65,1.65,1.65
19/05/11,19900.0,1.65,1.66,1.66,1.65
08/06/11,30600.0,1.7,1.7,1.7,1.7
22/06/11,35400.0,1.77,1.77,1.77,1.77
23/06/11,53100.0,1.77,1.77,1.77,1.77
24/06/11,1500.0,1.5,1.5,1.5,1.5
27/06/11,39160.0,1.78,1.78,1.78,1.78
28/06/11,107980.0,1.78,1.8,1.8,1.78
04/07/11,36000.0,1.8,1.8,1.8,1.8
16/08/11,1680.0,1.68,1.68,1.68,1.68
23/08/11,2980.0,1.48,1.5,1.5,1.48
13/09/11,1700.0,1.7,1.7,1.7,1.7
21/09/11,1000.0,1.0,1.0,1.0,1.0
03/10/11,2300.0,1.15,1.15,1.15,1.15
07/10/11,32590.0,1.71,1.72,1.72,1.71
19/12/11,22000.0,1.1,1.1,1.1,1.1
20/12/11,9640.0,1.15,1.51,1.51,1.15
07/02/12,5960.0,1.49,1.49,1.49,1.49
08/02/12,84560.0,1.51,1.51,1.51,1.51
23/02/12,7750.0,1.55,1.55,1.55,1.55
27/02/12,15650.0,1.21,1.2,1.21,1.2
28/02/12,5640.0,1.44,1.4,1.44,1.4
06/03/12,646510.0,1.29,1.71,1.71,1.29
07/03/12,475540.0,1.71,1.7,2.14,1.32
08/03/12,3640.0,1.82,1.82,1.82,1.82
09/03/12,71000.0,1.31,1.69,1.69,1.31
15/03/12,8480.0,1.32,1.67,1.67,1.32
19/03/12,1600.0,1.6,1.6,1.6,1.6
20/03/12,213560.0,1.69,1.72,1.79,1.58
21/03/12,155120.0,1.81,1.58,1.81,1.58
22/03/12,258420.0,1.69,1.69,1.69,1.64
23/03/12,1780.0,1.78,1.78,1.78,1.78
26/03/12,806980.0,1.59,2.0,2.3,1.59
27/03/12,6329610.0,2.0,2.85,3.0,2.0
28/03/12,6254340.0,3.0,2.51,3.8,2.5
29/03/12,1247130.0,2.51,2.66,2.74,2.51
30/03/12,3437070.0,2.54,2.65,3.1,2.53
02/04/12,1380300.0,2.54,2.63,2.92,2.5
03/04/12,2527510.0,2.73,2.61,3.04,2.54
04/04/12,1558430.0,2.67,2.6,2.87,2.52
10/04/12,539230.0,2.52,2.55,2.73,2.51
11/04/12,215720.0,2.5,2.25,2.52,2.21
12/04/12,91480.0,2.4,2.3,2.45,2.3
13/04/12,204640.0,2.25,2.15,2.25,2.12
16/04/12,512580.0,2.0,2.39,2.39,1.93
17/04/12,1220630.0,2.4,2.48,2.59,2.25
18/04/12,350590.0,2.52,2.17,2.54,2.15
19/04/12,17500.0,2.18,2.21,2.21,2.18
20/04/12,10740.0,2.04,2.23,2.23,2.03
23/04/12,121680.0,2.24,2.05,2.24,2.05
24/04/12,50450.0,2.05,2.0,2.05,2.0
25/04/12,110940.0,2.01,2.01,2.06,2.01
26/04/12,126750.0,2.01,1.89,2.01,1.8
27/04/12,14880.0,1.86,1.86,1.86,1.86
30/04/12,9470.0,1.89,1.9,1.9,1.89
02/05/12,106270.0,1.9,1.81,1.9,1.8
03/05/12,21710.0,1.81,1.89,1.89,1.8
04/05/12,75600.0,1.89,1.89,1.89,1.89
07/05/12,1970.0,1.97,1.97,1.97,1.97
08/05/12,30800.0,1.8,1.9,1.9,1.8
10/05/12,464130.0,1.98,2.1,2.4,1.98
11/05/12,265870.0,2.15,2.37,2.4,2.15
14/05/12,38690.0,2.37,2.37,2.37,2.17
15/05/12,112540.0,2.1,2.3,2.37,2.1
16/05/12,8230.0,2.02,2.1,2.1,2.01
17/05/12,27640.0,2.14,2.12,2.14,2.12
18/05/12,48040.0,2.01,2.0,2.01,2.0
21/05/12,10300.0,2.06,2.06,2.06,2.06
25/05/12,36400.0,2.29,2.29,2.29,2.27
28/05/12,16410.0,2.0,2.0,2.27,2.0
30/05/12,30510.0,1.74,2.08,2.08,1.74
31/05/12,10230.0,1.99,2.27,2.27,1.99
04/06/12,181760.0,1.77,1.8,1.8,1.72
05/06/12,7140.0,1.79,1.78,1.79,1.78
06/06/12,447470.0,1.85,1.8,2.27,1.8
07/06/12,16560.0,1.84,1.84,1.84,1.84
08/06/12,73060.0,1.84,1.84,2.0,1.78
11/06/12,11100.0,1.85,1.85,1.85,1.85
13/06/12,13580.0,1.94,1.94,1.94,1.94
19/06/12,10860.0,1.81,1.81,1.81,1.81
20/06/12,9090.0,1.81,1.82,1.82,1.81
22/06/12,53740.0,1.81,1.78,1.81,1.78
25/06/12,53400.0,1.78,1.78,1.78,1.78
26/06/12,1810.0,1.81,1.81,1.81,1.81
28/06/12,61660.0,1.82,2.09,2.2,1.82
29/06/12,10410.0,2.08,2.09,2.09,2.08
02/07/12,42790.0,2.08,2.0,2.08,1.99
03/07/12,29700.0,1.98,1.98,1.98,1.98
04/07/12,299120.0,1.98,2.0,2.18,1.98
05/07/12,4010.0,2.01,2.0,2.01,2.0
06/07/12,14800.0,2.1,2.2,2.2,2.1
19/07/12,66300.0,1.7,1.7,1.7,1.7
26/07/12,5250.0,1.75,1.75,1.75,1.75
27/07/12,73070.0,1.71,1.68,1.71,1.68
02/08/12,1710.0,1.71,1.71,1.71,1.71
