Date,Value,Open,Close,High,Low
03/08/09,149600.0,0.11,0.11,0.11,0.11
04/08/09,4317900.0,0.11,0.125,0.125,0.11
06/08/09,549600.0,0.12,0.115,0.13,0.115
07/08/09,177450.0,0.115,0.12,0.12,0.115
10/08/09,96000.0,0.12,0.12,0.12,0.12
11/08/09,108000.0,0.12,0.12,0.12,0.12
12/08/09,23250.0,0.12,0.115,0.12,0.115
13/08/09,324650.0,0.12,0.115,0.12,0.115
17/08/09,113600.0,0.12,0.11,0.12,0.11
24/08/09,116600.0,0.11,0.11,0.12,0.105
25/08/09,227700.0,0.11,0.115,0.115,0.105
26/08/09,2456200.0,0.12,0.145,0.145,0.11
03/09/09,1772450.0,0.125,0.125,0.125,0.12
04/09/09,166550.0,0.125,0.13,0.13,0.125
16/09/09,86400.0,0.12,0.12,0.12,0.12
18/09/09,51750.0,0.115,0.115,0.115,0.115
22/09/09,12650.0,0.115,0.115,0.115,0.115
08/10/09,73850.0,0.11,0.115,0.115,0.11
09/10/09,33000.0,0.11,0.11,0.11,0.11
12/10/09,3300.0,0.11,0.11,0.11,0.11
13/10/09,11700.0,0.105,0.11,0.11,0.105
14/10/09,12600.0,0.105,0.105,0.105,0.105
16/10/09,6892000.0,0.115,0.15,0.155,0.115
19/10/09,2534050.0,0.145,0.135,0.16,0.135
20/10/09,539950.0,0.135,0.135,0.14,0.13
21/10/09,181250.0,0.125,0.125,0.125,0.125
22/10/09,96300.0,0.13,0.125,0.13,0.125
23/10/09,36100.0,0.125,0.12,0.125,0.12
26/10/09,186550.0,0.125,0.125,0.13,0.125
27/10/09,675150.0,0.13,0.135,0.14,0.13
28/10/09,1417750.0,0.135,0.14,0.145,0.135
29/10/09,211100.0,0.14,0.135,0.14,0.13
30/10/09,908100.0,0.135,0.13,0.135,0.125
03/11/09,527250.0,0.13,0.12,0.13,0.12
04/11/09,81650.0,0.12,0.12,0.125,0.12
05/11/09,6050.0,0.125,0.12,0.125,0.12
06/11/09,50000.0,0.125,0.125,0.125,0.125
09/11/09,231650.0,0.12,0.115,0.12,0.115
10/11/09,144800.0,0.12,0.125,0.125,0.12
11/11/09,35800.0,0.125,0.125,0.125,0.12
17/12/09,24300.0,0.11,0.115,0.115,0.11
18/12/09,4200.0,0.105,0.105,0.105,0.105
22/12/09,117650.0,0.105,0.11,0.11,0.105
29/12/09,20000.0,0.1,0.1,0.1,0.1
06/01/10,121000.0,0.1,0.105,0.105,0.1
07/01/10,21850.0,0.115,0.115,0.115,0.115
12/01/10,53050.0,0.115,0.12,0.12,0.115
13/01/10,1200.0,0.12,0.12,0.12,0.12
14/01/10,1200.0,0.12,0.12,0.12,0.12
15/01/10,12700.0,0.12,0.115,0.12,0.115
19/01/10,14550.0,0.115,0.11,0.115,0.11
20/01/10,286000.0,0.11,0.11,0.11,0.11
21/01/10,16050.0,0.115,0.11,0.115,0.11
22/01/10,561450.0,0.12,0.125,0.125,0.11
25/01/10,205700.0,0.11,0.11,0.11,0.11
26/01/10,37200.0,0.12,0.12,0.12,0.12
27/01/10,1333250.0,0.125,0.12,0.135,0.115
28/01/10,1403850.0,0.125,0.13,0.135,0.125
29/01/10,55500.0,0.125,0.12,0.125,0.12
01/02/10,1928300.0,0.125,0.13,0.135,0.125
02/02/10,1358700.0,0.135,0.125,0.135,0.125
03/02/10,306500.0,0.13,0.125,0.13,0.125
04/02/10,91250.0,0.125,0.125,0.125,0.125
05/02/10,314400.0,0.12,0.12,0.12,0.12
08/02/10,37150.0,0.115,0.12,0.12,0.115
09/02/10,231450.0,0.115,0.11,0.115,0.11
10/02/10,47150.0,0.115,0.115,0.115,0.115
11/02/10,259500.0,0.115,0.11,0.115,0.11
08/03/10,131250.0,0.125,0.13,0.13,0.125
12/03/10,155000.0,0.125,0.125,0.125,0.125
