Date,Value,Open,Close,High,Low
03/09/09,70200.0,1.08,1.08,1.08,1.08
30/09/09,20420.0,1.04,1.02,1.04,1.02
08/10/09,20400.0,1.02,1.02,1.02,1.02
12/10/09,30600.0,1.02,1.02,1.02,1.02
13/10/09,210200.0,1.02,1.0,1.02,1.0
16/10/09,100000.0,1.0,1.0,1.0,1.0
19/10/09,10000.0,1.0,1.0,1.0,1.0
20/10/09,100000.0,1.0,1.0,1.0,1.0
21/10/09,10000.0,1.0,1.0,1.0,1.0
26/10/09,52000.0,1.0,1.1,1.1,1.0
27/10/09,130000.0,1.0,1.0,1.0,1.0
28/10/09,110000.0,1.0,1.0,1.0,1.0
06/11/09,100000.0,1.0,1.0,1.0,1.0
09/11/09,50000.0,1.0,1.0,1.0,1.0
10/11/09,20000.0,1.0,1.0,1.0,1.0
11/11/09,78600.0,1.0,0.98,1.0,0.98
29/12/09,115400.0,1.02,1.08,1.1,1.0
07/01/10,29180.0,1.3,1.26,1.3,1.26
13/01/10,45000.0,1.0,1.0,1.0,1.0
15/01/10,10200.0,1.02,1.02,1.02,1.02
19/01/10,11220.0,1.02,1.02,1.02,1.02
16/03/10,50000.0,1.0,1.0,1.0,1.0
17/03/10,80000.0,1.0,1.0,1.0,1.0
23/07/10,100000.0,1.0,1.0,1.0,1.0
23/09/10,1000.0,1.0,1.0,1.0,1.0
27/09/10,319000.0,1.1,1.1,1.1,1.1
01/10/10,40000.0,1.0,1.0,1.0,1.0
07/10/10,10000.0,1.0,1.0,1.0,1.0
14/10/10,227360.0,0.94,1.0,1.0,0.93
19/10/10,20000.0,1.0,1.0,1.0,1.0
20/10/10,5000.0,1.0,1.0,1.0,1.0
27/10/10,137000.0,1.0,1.0,1.0,1.0
08/11/10,200000.0,1.0,1.0,1.0,1.0
09/11/10,44000.0,1.0,1.0,1.0,1.0
15/11/10,100000.0,1.0,1.0,1.0,1.0
17/11/10,171000.0,1.0,1.0,1.0,1.0
22/12/10,18750.0,1.25,1.25,1.25,1.25
23/12/10,25000.0,1.25,1.25,1.25,1.25
29/12/10,34450.0,1.25,1.05,1.25,1.05
29/12/10,34450.0,1.25,1.05,1.25,1.05
06/01/11,41000.0,1.05,1.3,1.3,1.05
11/01/11,100000.0,1.0,1.0,1.0,1.0
11/01/11,100000.0,1.0,1.0,1.0,1.0
12/01/11,1290.0,1.29,1.29,1.29,1.29
17/01/11,25000.0,1.0,1.0,1.0,1.0
20/01/11,33000.0,1.1,1.1,1.1,1.1
20/01/11,33000.0,1.1,1.1,1.1,1.1
27/01/11,10000.0,1.0,1.0,1.0,1.0
31/01/11,10000.0,1.0,1.0,1.0,1.0
31/01/11,10000.0,1.0,1.0,1.0,1.0
01/02/11,2200.0,1.1,1.1,1.1,1.1
01/02/11,2200.0,1.1,1.1,1.1,1.1
02/02/11,20500.0,0.95,1.1,1.1,0.95
03/02/11,8000.0,1.0,1.0,1.0,1.0
14/02/11,23600.0,1.18,1.18,1.18,1.18
16/02/11,34200.0,1.14,1.14,1.14,1.14
16/02/11,34200.0,1.14,1.14,1.14,1.14
18/02/11,5600.0,1.12,1.12,1.12,1.12
21/02/11,17920.0,1.12,1.12,1.12,1.12
21/02/11,17920.0,1.12,1.12,1.12,1.12
22/02/11,309000.0,1.05,1.02,1.05,1.02
22/02/11,309000.0,1.05,1.02,1.05,1.02
28/02/11,10650.0,1.08,1.05,1.08,1.05
07/03/11,10500.0,1.05,1.05,1.05,1.05
08/03/11,5250.0,1.05,1.05,1.05,1.05
08/03/11,5250.0,1.05,1.05,1.05,1.05
17/03/11,21000.0,1.05,1.05,1.05,1.05
18/03/11,10500.0,1.05,1.05,1.05,1.05
21/03/11,10500.0,1.05,1.05,1.05,1.05
