Date,Value,Open,Close,High,Low
13/08/13,12263990.0,2.2,2.2,2.24,2.12
14/08/13,5538140.0,2.2,2.26,2.28,2.17
15/08/13,6467580.0,2.18,2.4,2.47,2.18
16/08/13,7710830.0,2.4,2.55,2.65,2.4
22/08/13,4085940.0,2.55,2.55,2.56,2.3
23/08/13,1268810.0,2.6,2.6,2.75,2.5
27/08/13,10055870.0,2.6,2.42,2.6,2.42
28/08/13,3543320.0,2.33,2.42,2.42,2.25
29/08/13,766460.0,2.45,2.35,2.45,2.35
30/08/13,999560.0,2.36,2.32,2.36,2.26
02/09/13,212700.0,2.27,2.32,2.33,2.27
03/09/13,2141010.0,2.32,2.47,2.54,2.32
04/09/13,3716760.0,2.55,2.55,2.55,2.31
05/09/13,102050.0,2.59,2.55,2.59,2.51
06/09/13,809510.0,2.5,2.55,2.65,2.5
09/09/13,73410.0,2.62,2.6,2.67,2.6
10/09/13,450730.0,2.51,2.43,2.58,2.41
11/09/13,50950.0,2.42,2.47,2.5,2.42
12/09/13,137090.0,2.45,2.39,2.47,2.38
13/09/13,3048620.0,2.38,2.6,2.6,2.31
16/09/13,2807310.0,2.57,2.81,2.86,2.5
17/09/13,2234940.0,2.8,2.85,2.93,2.79
18/09/13,683300.0,2.8,2.75,2.85,2.75
19/09/13,409540.0,2.8,2.8,2.88,2.78
20/09/13,10737380.0,2.67,3.2,3.47,2.67
23/09/13,2154280.0,3.2,3.15,3.29,3.15
24/09/13,1170980.0,3.25,3.07,3.25,3.07
25/09/13,264010.0,3.07,3.05,3.16,3.03
26/09/13,3032620.0,3.15,3.3,3.33,3.12
27/09/13,3700450.0,3.34,3.48,3.57,3.34
30/09/13,1770220.0,3.49,3.39,3.57,3.26
01/10/13,623760.0,3.32,3.39,3.41,3.32
02/10/13,695060.0,3.53,3.4,3.53,3.37
03/10/13,1501120.0,3.43,3.49,3.57,3.43
04/10/13,2656820.0,3.51,3.57,3.73,3.51
07/10/13,549670.0,3.6,3.69,3.7,3.57
08/10/13,547640.0,3.74,3.62,3.74,3.62
09/10/13,1416790.0,3.7,3.58,3.7,3.58
10/10/13,1225470.0,3.6,3.52,3.63,3.5
11/10/13,2260170.0,3.58,3.45,3.7,3.39
14/10/13,515610.0,3.45,3.54,3.54,3.34
16/10/13,294590.0,3.42,3.55,3.58,3.42
17/10/13,969720.0,3.57,3.52,3.6,3.52
18/10/13,704040.0,3.42,3.5,3.55,3.42
21/10/13,197360.0,3.55,3.5,3.55,3.5
22/10/13,459200.0,3.55,3.45,3.55,3.45
23/10/13,289930.0,3.45,3.45,3.45,3.34
24/10/13,720920.0,3.36,3.3,3.4,3.3
25/10/13,422810.0,3.3,3.27,3.3,3.1
29/10/13,216700.0,3.25,3.19,3.3,3.15
30/10/13,406290.0,3.13,3.02,3.13,3.0
31/10/13,1048150.0,3.01,2.82,3.01,2.73
04/11/13,357360.0,2.77,2.67,2.77,2.67
05/11/13,260320.0,2.6,2.94,2.95,2.6
06/11/13,174090.0,2.9,2.75,2.9,2.75
07/11/13,444110.0,2.75,2.7,2.75,2.67
08/11/13,1182900.0,2.75,2.93,2.94,2.75
11/11/13,1065060.0,2.9,2.9,2.91,2.81
12/11/13,546370.0,2.9,3.0,3.05,2.86
13/11/13,295560.0,3.01,3.08,3.12,3.01
14/11/13,1815540.0,3.08,3.38,3.4,3.08
15/11/13,5616460.0,3.41,3.5,3.5,3.38
18/11/13,934220.0,3.52,3.46,3.57,3.46
19/11/13,577080.0,3.36,3.39,3.4,3.26
20/11/13,463600.0,3.35,3.0,3.37,3.0
21/11/13,283340.0,3.1,3.34,3.4,3.1
22/11/13,979070.0,3.45,3.45,3.46,3.25
25/11/13,308750.0,3.63,3.39,3.63,3.39
26/11/13,206200.0,3.06,3.28,3.38,3.0
27/11/13,216800.0,3.04,3.1,3.24,3.04
28/11/13,231420.0,3.1,3.07,3.1,3.0
29/11/13,19480.0,3.24,3.25,3.25,3.24
02/12/13,204780.0,3.03,3.03,3.03,3.0
03/12/13,145770.0,3.17,3.1,3.17,3.1
04/12/13,49480.0,3.08,3.1,3.1,3.08
05/12/13,90100.0,3.0,3.01,3.01,3.0
06/12/13,150200.0,3.1,3.0,3.1,3.0
09/12/13,6180.0,3.09,3.09,3.09,3.09
10/12/13,108480.0,2.96,3.0,3.09,2.96
11/12/13,69240.0,3.08,3.0,3.08,3.0
12/12/13,159680.0,2.98,2.85,3.0,2.85
13/12/13,77500.0,2.8,2.93,2.93,2.65
16/12/13,26540.0,2.93,2.99,2.99,2.93
17/12/13,179990.0,2.99,3.06,3.06,2.99
18/12/13,194270.0,3.07,2.95,3.08,2.95
19/12/13,347750.0,2.95,3.0,3.05,2.95
20/12/13,53880.0,2.98,3.0,3.0,2.98
23/12/13,405000.0,3.0,3.0,3.0,3.0
26/12/13,146550.0,3.05,3.06,3.06,3.05
27/12/13,2577150.0,3.07,3.1,3.14,2.95
02/01/14,390210.0,3.1,3.01,3.14,3.01
03/01/14,198700.0,3.02,3.0,3.1,3.0
06/01/14,123550.0,3.0,3.0,3.05,3.0
07/01/14,81030.0,3.0,3.0,3.01,3.0
08/01/14,89400.0,3.0,2.97,3.0,2.97
09/01/14,118400.0,2.96,2.96,2.96,2.96
10/01/14,11840.0,2.96,2.96,2.96,2.96
13/01/14,323360.0,2.96,2.95,3.0,2.95
14/01/14,651070.0,2.94,2.82,2.94,2.81
15/01/14,297320.0,2.81,2.85,2.85,2.8
16/01/14,95070.0,2.79,2.8,2.84,2.79
17/01/14,197120.0,2.75,2.8,2.8,2.72
20/01/14,489770.0,2.8,2.7,2.8,2.7
21/01/14,153820.0,2.66,2.65,2.66,2.65
22/01/14,645040.0,2.65,2.81,2.9,2.65
23/01/14,5980.0,3.0,2.98,3.0,2.98
24/01/14,332320.0,2.8,2.8,2.84,2.8
27/01/14,11080.0,2.77,2.77,2.77,2.77
28/01/14,315700.0,2.8,2.86,2.98,2.66
29/01/14,79310.0,2.94,2.92,2.94,2.92
30/01/14,91100.0,2.88,2.84,2.88,2.66
05/02/14,19710.0,2.81,2.82,2.82,2.81
07/02/14,570750.0,2.7,3.04,3.04,2.68
11/02/14,9090.0,3.03,3.03,3.03,3.03
14/02/14,342870.0,2.95,3.05,3.05,2.95
17/02/14,14500.0,3.06,3.02,3.06,2.8
18/02/14,667330.0,3.0,3.15,3.15,3.0
19/02/14,31000.0,3.1,3.1,3.1,3.1
20/02/14,180060.0,2.95,3.06,3.06,2.95
21/02/14,1907050.0,3.06,3.3,3.3,3.06
24/02/14,37600.0,3.13,3.01,3.29,3.01
25/02/14,88070.0,3.01,3.11,3.19,3.01
26/02/14,2458810.0,3.15,3.39,3.42,3.15
27/02/14,3192490.0,3.3,3.59,3.6,3.3
28/02/14,3600.0,3.6,3.6,3.6,3.6
03/03/14,364090.0,3.57,3.57,3.57,3.56
04/03/14,631110.0,3.2,3.26,3.45,3.2
05/03/14,841730.0,3.3,3.4,3.58,3.3
06/03/14,483390.0,3.4,3.53,3.53,3.3
07/03/14,232010.0,3.5,3.55,3.57,3.4
11/03/14,1505000.0,3.5,3.5,3.5,3.5
12/03/14,10530.0,3.51,3.51,3.51,3.51
13/03/14,141280.0,3.29,3.3,3.3,3.24
14/03/14,29410.0,3.25,3.33,3.33,3.25
19/03/14,70780.0,3.21,3.25,3.25,3.2
20/03/14,217270.0,3.2,3.19,3.2,3.18
21/03/14,26160.0,3.22,3.3,3.3,3.22
24/03/14,220440.0,3.19,3.45,3.45,3.19
25/03/14,759000.0,3.4,3.45,3.58,3.4
26/03/14,179400.0,3.45,3.45,3.45,3.45
27/03/14,82800.0,3.45,3.45,3.45,3.45
28/03/14,218400.0,3.36,3.36,3.36,3.36
31/03/14,50250.0,3.35,3.35,3.35,3.35
01/04/14,16750.0,3.35,3.35,3.35,3.35
02/04/14,362840.0,3.35,3.3,3.35,3.26
03/04/14,49050.0,3.27,3.26,3.3,3.26
04/04/14,88060.0,3.26,3.37,3.37,3.25
07/04/14,49050.0,3.26,3.38,3.39,3.25
08/04/14,290480.0,3.26,3.21,3.26,3.2
10/04/14,128050.0,3.21,3.2,3.21,3.2
11/04/14,79530.0,3.2,3.15,3.2,3.15
14/04/14,119980.0,3.15,3.16,3.16,3.15
15/04/14,89060.0,3.17,3.2,3.2,3.17
16/04/14,46010.0,3.27,3.4,3.4,3.27
22/04/14,166420.0,3.21,3.2,3.21,3.2
23/04/14,189450.0,3.26,3.19,3.28,3.19
24/04/14,122400.0,3.2,3.2,3.25,3.2
25/04/14,116190.0,3.2,3.23,3.23,3.2
28/04/14,35040.0,3.2,3.18,3.2,3.18
30/04/14,22400.0,3.2,3.2,3.2,3.2
05/05/14,28800.0,3.2,3.2,3.2,3.2
06/05/14,73700.0,3.18,3.25,3.25,3.18
07/05/14,234050.0,3.18,3.16,3.18,3.16
08/05/14,268890.0,3.16,3.15,3.2,3.15
09/05/14,168140.0,3.12,3.15,3.15,3.1
12/05/14,40300.0,3.1,3.1,3.1,3.1
13/05/14,31180.0,3.1,3.28,3.28,3.1
14/05/14,586640.0,3.15,3.06,3.21,3.03
15/05/14,264380.0,3.06,3.03,3.06,3.03
16/05/14,3030.0,3.03,3.03,3.03,3.03
19/05/14,45720.0,3.03,3.1,3.1,3.03
20/05/14,42420.0,3.03,3.03,3.03,3.03
21/05/14,39390.0,3.03,3.03,3.03,3.03
22/05/14,114790.0,3.02,3.02,3.03,3.02
23/05/14,22040.0,3.02,3.17,3.17,3.02
28/05/14,218180.0,3.02,3.0,3.17,3.0
29/05/14,12400.0,3.1,3.1,3.1,3.1
10/06/14,21100.0,3.0,3.1,3.1,3.0
11/06/14,12170.0,3.0,3.09,3.09,2.99
17/06/14,2990.0,2.99,2.99,2.99,2.99
18/06/14,158470.0,2.99,2.99,2.99,2.99
19/06/14,86270.0,3.09,2.95,3.09,2.95
23/06/14,3070.0,3.07,3.07,3.07,3.07
24/06/14,526250.0,2.92,3.0,3.08,2.5
25/06/14,60800.0,2.9,2.82,3.0,2.82
26/06/14,47970.0,2.99,3.0,3.0,2.99
27/06/14,100240.0,2.84,3.07,3.07,2.84
03/07/14,23440.0,2.93,2.93,2.93,2.93
04/07/14,84870.0,2.93,2.93,2.93,2.92
07/07/14,214300.0,2.9,2.85,2.9,2.85
08/07/14,38660.0,2.99,2.96,2.99,2.96
09/07/14,136690.0,2.94,2.79,2.95,2.79
10/07/14,92440.0,2.8,2.79,2.81,2.79
11/07/14,2780.0,2.78,2.78,2.78,2.78
14/07/14,42020.0,2.8,2.81,2.81,2.8
15/07/14,19610.0,2.79,2.81,2.81,2.79
21/07/14,19670.0,2.81,2.81,2.81,2.81
22/07/14,14700.0,2.94,2.94,2.94,2.94
24/07/14,43500.0,2.9,2.9,2.9,2.9
25/07/14,31900.0,2.9,2.9,2.9,2.9
28/07/14,43500.0,2.9,2.9,2.9,2.9
01/08/14,26500.0,2.65,2.65,2.65,2.65
04/08/14,2880.0,2.88,2.88,2.88,2.88
05/08/14,5860.0,2.93,2.93,2.93,2.93
08/08/14,208800.0,2.9,2.9,2.9,2.9
11/08/14,294670.0,2.92,2.95,2.95,2.91
12/08/14,67710.0,2.97,2.92,2.97,2.92
13/08/14,60000.0,3.0,3.0,3.0,3.0
14/08/14,21700.0,3.1,3.1,3.1,3.1
18/08/14,58200.0,2.92,2.9,2.92,2.9
19/08/14,66700.0,2.9,2.9,2.9,2.9
29/08/14,304500.0,2.9,2.9,2.9,2.9
01/09/14,359440.0,2.92,3.14,3.14,2.92
02/09/14,1518120.0,3.14,3.28,3.4,3.14
03/09/14,114650.0,3.05,3.1,3.1,3.05
04/09/14,8940.0,2.98,2.98,2.98,2.98
05/09/14,609730.0,3.26,3.06,3.26,3.03
