Date,Value,Open,Close,High,Low
24/01/22,584741840.0,0.79,0.77,0.89,0.76
25/01/22,121256590.0,0.79,0.78,0.79,0.74
26/01/22,441532540.0,0.79,0.92,0.94,0.77
27/01/22,510072560.0,0.94,0.86,1.02,0.86
27/01/22,510072560.0,0.94,0.86,1.02,0.86
27/01/22,510072560.0,0.94,0.86,1.02,0.86
28/01/22,292841770.0,0.9,0.85,0.92,0.82
31/01/22,94332060.0,0.85,0.83,0.87,0.81
31/01/22,94332060.0,0.85,0.83,0.87,0.81
02/02/22,178275040.0,0.83,0.9,0.9,0.83
02/02/22,178275040.0,0.83,0.9,0.9,0.83
03/02/22,273193180.0,0.92,0.91,0.96,0.88
03/02/22,273193180.0,0.92,0.91,0.96,0.88
04/02/22,119162320.0,0.9,0.85,0.93,0.85
04/02/22,119162320.0,0.9,0.85,0.93,0.85
07/02/22,140285820.0,0.86,0.9,0.91,0.83
07/02/22,140285820.0,0.86,0.9,0.91,0.83
08/02/22,125068630.0,0.92,0.9,0.94,0.89
09/02/22,45472380.0,0.9,0.88,0.91,0.87
10/02/22,69518880.0,0.89,0.86,0.91,0.85
11/02/22,184511230.0,0.86,0.81,0.87,0.79
14/02/22,54527650.0,0.81,0.8,0.82,0.78
15/02/22,35730150.0,0.79,0.79,0.82,0.78
16/02/22,91239980.0,0.8,0.83,0.86,0.8
17/02/22,32299970.0,0.84,0.81,0.85,0.81
18/02/22,21212900.0,0.81,0.81,0.83,0.8
21/02/22,51813340.0,0.81,0.77,0.81,0.76
21/02/22,51813340.0,0.81,0.77,0.81,0.76
21/02/22,51813340.0,0.81,0.77,0.81,0.76
22/02/22,46768280.0,0.77,0.75,0.79,0.75
23/02/22,42187050.0,0.75,0.72,0.78,0.72
24/02/22,40498090.0,0.72,0.66,0.73,0.66
24/02/22,40498090.0,0.72,0.66,0.73,0.66
28/02/22,29369330.0,0.69,0.69,0.72,0.68
01/03/22,15714200.0,0.69,0.69,0.71,0.68
02/03/22,13766970.0,0.7,0.68,0.7,0.67
03/03/22,16022440.0,0.68,0.67,0.69,0.66
04/03/22,25165750.0,0.67,0.67,0.67,0.65
04/03/22,25165750.0,0.67,0.67,0.67,0.65
07/03/22,41472490.0,0.66,0.62,0.66,0.62
08/03/22,26682430.0,0.62,0.57,0.62,0.57
09/03/22,4667560.0,0.57,0.59,0.61,0.57
10/03/22,12248820.0,0.59,0.6,0.63,0.58
11/03/22,8198140.0,0.6,0.59,0.61,0.58
14/03/22,9111110.0,0.59,0.54,0.59,0.53
15/03/22,7233300.0,0.55,0.52,0.55,0.49
16/03/22,7771540.0,0.53,0.58,0.59,0.53
17/03/22,5401660.0,0.59,0.6,0.61,0.58
18/03/22,6440350.0,0.6,0.58,0.61,0.58
21/03/22,1906060.0,0.61,0.59,0.61,0.57
22/03/22,1000390.0,0.6,0.57,0.6,0.57
23/03/22,1746920.0,0.57,0.6,0.6,0.57
24/03/22,15615300.0,0.59,0.64,0.65,0.57
25/03/22,6277680.0,0.64,0.62,0.64,0.61
28/03/22,7565520.0,0.62,0.65,0.66,0.62
29/03/22,5721660.0,0.66,0.64,0.67,0.64
30/03/22,2439870.0,0.65,0.63,0.66,0.63
31/03/22,4727490.0,0.63,0.62,0.64,0.62
01/04/22,4396440.0,0.62,0.6,0.62,0.6
04/04/22,9753360.0,0.6,0.64,0.65,0.59
05/04/22,1884520.0,0.65,0.64,0.65,0.63
06/04/22,5900890.0,0.64,0.61,0.64,0.6
07/04/22,1532410.0,0.61,0.6,0.62,0.6
08/04/22,2009270.0,0.6,0.6,0.62,0.59
11/04/22,5851510.0,0.6,0.57,0.61,0.57
11/04/22,5851510.0,0.6,0.57,0.61,0.57
12/04/22,2584210.0,0.58,0.58,0.58,0.57
12/04/22,2584210.0,0.58,0.58,0.58,0.57
13/04/22,1395560.0,0.58,0.57,0.58,0.57
18/04/22,677330.0,0.57,0.58,0.58,0.57
18/04/22,677330.0,0.57,0.58,0.58,0.57
19/04/22,1972620.0,0.58,0.57,0.58,0.56
20/04/22,1094070.0,0.56,0.57,0.57,0.56
21/04/22,1519950.0,0.56,0.56,0.57,0.55
22/04/22,1438050.0,0.55,0.55,0.56,0.55
25/04/22,866020.0,0.54,0.55,0.55,0.54
26/04/22,479160.0,0.55,0.54,0.55,0.54
26/04/22,479160.0,0.55,0.54,0.55,0.54
27/04/22,1504940.0,0.54,0.54,0.55,0.53
28/04/22,2156100.0,0.54,0.53,0.54,0.52
28/04/22,2156100.0,0.54,0.53,0.54,0.52
29/04/22,859630.0,0.53,0.52,0.53,0.52
02/05/22,673700.0,0.52,0.53,0.54,0.52
04/05/22,3160040.0,0.53,0.52,0.53,0.5
05/05/22,1781980.0,0.52,0.54,0.55,0.51
05/05/22,1781980.0,0.52,0.54,0.55,0.51
06/05/22,953430.0,0.53,0.53,0.53,0.51
06/05/22,953430.0,0.53,0.53,0.53,0.51
10/05/22,3301580.0,0.5,0.5,0.51,0.495
11/05/22,654890.0,0.5,0.5,0.51,0.5
11/05/22,654890.0,0.5,0.5,0.51,0.5
12/05/22,1749740.0,0.5,0.5,0.51,0.49
12/05/22,1749740.0,0.5,0.5,0.51,0.49
13/05/22,712490.0,0.51,0.495,0.51,0.495
16/05/22,560400.0,0.5,0.49,0.5,0.49
17/05/22,1139900.0,0.49,0.48,0.495,0.475
18/05/22,1568850.0,0.485,0.495,0.5,0.485
19/05/22,580250.0,0.495,0.49,0.495,0.48
20/05/22,311800.0,0.495,0.495,0.5,0.49
23/05/22,769150.0,0.5,0.5,0.51,0.495
24/05/22,514355.0,0.51,0.5,0.51,0.49
25/05/22,102520.0,0.5,0.495,0.5,0.49
26/05/22,522950.0,0.49,0.495,0.495,0.485
