Date,Value,Open,Close,High,Low
03/08/09,2587800.0,2.28,2.32,2.4,2.28
04/08/09,655980.0,2.34,2.3,2.4,2.3
06/08/09,778500.0,2.32,2.24,2.32,2.24
07/08/09,268640.0,2.24,2.18,2.24,2.18
10/08/09,937400.0,2.2,2.3,2.3,2.2
11/08/09,790900.0,2.24,2.2,2.24,2.2
12/08/09,204600.0,2.2,2.2,2.2,2.2
13/08/09,862260.0,2.2,2.2,2.28,2.2
14/08/09,1168540.0,2.2,2.18,2.2,2.18
17/08/09,1450500.0,2.16,2.1,2.16,2.1
18/08/09,177620.0,2.06,2.1,2.1,2.04
19/08/09,135080.0,2.12,2.2,2.2,2.12
20/08/09,616920.0,2.12,2.12,2.12,2.12
24/08/09,936380.0,2.2,2.24,2.24,2.16
25/08/09,2095760.0,2.24,2.3,2.3,2.18
26/08/09,7256960.0,2.28,2.3,2.38,2.28
03/09/09,132000.0,2.18,2.16,2.18,2.16
04/09/09,252200.0,2.2,2.18,2.28,2.18
16/09/09,1444800.0,2.2,2.26,2.26,2.18
17/09/09,994400.0,2.2,2.2,2.2,2.2
18/09/09,8720.0,2.18,2.18,2.18,2.18
22/09/09,1242880.0,2.16,2.16,2.16,2.12
23/09/09,1964480.0,2.14,2.14,2.16,2.12
30/09/09,253100.0,2.1,2.1,2.1,2.08
01/10/09,109200.0,2.1,2.1,2.1,2.1
02/10/09,489300.0,2.1,2.1,2.1,2.1
05/10/09,998400.0,2.08,2.08,2.08,2.08
06/10/09,448400.0,2.08,2.1,2.1,2.08
07/10/09,262700.0,2.08,2.16,2.18,2.08
08/10/09,269540.0,2.14,2.18,2.18,2.14
09/10/09,735020.0,2.18,2.18,2.2,2.18
12/10/09,392700.0,2.18,2.2,2.2,2.14
13/10/09,143540.0,2.18,2.14,2.2,2.14
15/10/09,86100.0,2.1,2.1,2.1,2.1
16/10/09,323400.0,2.1,2.1,2.1,2.1
20/10/09,77700.0,2.1,2.1,2.1,2.1
21/10/09,319000.0,2.1,2.1,2.1,2.08
22/10/09,189280.0,2.08,2.08,2.08,2.08
23/10/09,147900.0,2.1,2.22,2.22,2.1
27/10/09,4280.0,2.14,2.14,2.14,2.14
28/10/09,52300.0,2.1,2.08,2.1,2.08
29/10/09,103000.0,2.06,2.06,2.06,2.06
30/10/09,43200.0,2.16,2.16,2.16,2.16
04/11/09,27300.0,2.1,2.1,2.1,2.1
05/11/09,4120.0,2.06,2.06,2.06,2.06
06/11/09,154780.0,2.06,2.1,2.1,2.06
10/11/09,46220.0,2.1,2.12,2.12,2.1
11/11/09,250600.0,2.08,2.1,2.1,2.08
15/12/09,60600.0,2.02,2.02,2.02,2.02
16/12/09,441000.0,2.02,2.0,2.02,2.0
17/12/09,214000.0,2.0,2.0,2.0,2.0
21/12/09,48608000.0,2.0,2.0,2.0,2.0
23/12/09,1115960.0,2.0,2.0,2.0,1.98
29/12/09,12480.0,2.08,2.08,2.08,2.08
04/01/10,990020.0,2.0,2.0,2.02,2.0
05/01/10,284080.0,2.0,2.0,2.04,2.0
06/01/10,62200.0,2.06,2.08,2.08,2.06
07/01/10,2542900.0,2.08,2.0,2.14,2.0
08/01/10,41560.0,2.06,2.08,2.08,2.06
11/01/10,40000.0,2.0,2.0,2.0,2.0
12/01/10,54020.0,2.08,2.02,2.08,2.02
13/01/10,1355940.0,2.02,2.0,2.02,2.0
14/01/10,1050000.0,2.0,2.02,2.02,2.0
15/01/10,1034240.0,2.02,2.02,2.02,2.02
18/01/10,1010040.0,2.02,2.0,2.02,2.0
19/01/10,404040.0,2.0,1.98,2.0,1.98
20/01/10,20000.0,2.0,2.0,2.0,2.0
21/01/10,70000.0,2.0,2.0,2.0,2.0
22/01/10,20800.0,2.08,2.08,2.08,2.08
26/01/10,382000.0,2.02,2.0,2.02,2.0
27/01/10,650260.0,1.98,1.88,1.98,1.88
28/01/10,80840.0,1.88,1.88,1.88,1.88
29/01/10,362800.0,1.88,1.86,1.88,1.86
01/02/10,91000.0,1.82,1.82,1.82,1.82
02/02/10,148140.0,1.84,1.82,1.84,1.82
03/02/10,41860.0,1.82,1.82,1.82,1.82
04/02/10,522000.0,1.8,1.8,1.8,1.8
09/02/10,232200.0,1.8,1.8,1.8,1.8
10/02/10,661920.0,1.76,1.82,1.84,1.76
11/02/10,1171800.0,1.8,1.8,1.8,1.8
08/03/10,376760.0,2.0,1.96,2.0,1.96
12/03/10,7600.0,1.9,1.9,1.9,1.9
15/03/10,58800.0,1.96,1.96,1.96,1.96
16/03/10,9700.0,1.94,1.94,1.94,1.94
17/03/10,65840.0,1.94,1.92,1.94,1.92
20/04/10,298960.0,2.02,2.02,2.02,2.02
21/04/10,652400.0,2.02,2.06,2.08,2.02
22/04/10,41200.0,2.06,2.06,2.06,2.06
23/04/10,234600.0,2.04,2.04,2.04,2.04
29/04/10,85600.0,2.14,2.14,2.14,2.14
05/05/10,4200.0,2.1,2.1,2.1,2.1
13/05/10,1973400.0,2.18,2.16,2.18,2.14
14/05/10,518560.0,2.18,2.16,2.18,2.16
17/05/10,52500.0,2.1,2.1,2.1,2.1
18/05/10,12600.0,2.1,2.1,2.1,2.1
20/05/10,439400.0,2.12,2.12,2.16,2.12
21/05/10,84400.0,2.1,2.12,2.12,2.1
24/05/10,109180.0,2.1,2.1,2.1,2.08
25/05/10,47380.0,2.06,2.06,2.06,2.06
26/05/10,20800.0,2.1,2.06,2.1,2.06
27/05/10,46200.0,2.1,2.1,2.1,2.1
28/05/10,516680.0,2.1,2.1,2.12,2.1
