Date,Value,Open,Close,High,Low
12/08/21,209204150.0,6.97,7.02,7.14,6.96
13/08/21,29992578.0,7.05,7.16,7.18,7.03
16/08/21,87176515.0,7.2,7.4,7.58,7.2
17/08/21,43927498.0,7.45,7.4,7.49,7.37
18/08/21,11307536.0,7.4,7.31,7.4,7.28
19/08/21,28532779.0,7.35,7.3,7.4,7.27
20/08/21,16154839.0,7.35,7.3,7.4,7.3
23/08/21,72400419.0,7.32,7.15,7.32,7.1
24/08/21,33409240.0,7.2,7.14,7.25,7.14
25/08/21,15150203.0,7.15,7.2,7.23,7.15
26/08/21,10316448.0,7.25,7.25,7.34,7.16
27/08/21,9390116.0,7.25,7.19,7.27,7.18
31/08/21,59954433.0,7.18,7.06,7.18,7.06
01/09/21,29590289.0,7.2,7.18,7.26,7.14
02/09/21,35350239.0,7.19,7.16,7.2,7.14
03/09/21,51413187.0,7.2,7.19,7.21,7.18
06/09/21,21142108.0,7.23,7.24,7.24,7.18
07/09/21,14816303.0,7.25,7.25,7.27,7.23
08/09/21,38486208.0,7.27,7.26,7.32,7.26
09/09/21,49109408.0,7.3,7.26,7.32,7.24
10/09/21,27902433.0,7.26,7.21,7.27,7.14
13/09/21,9206374.0,7.21,7.24,7.24,7.19
14/09/21,17044303.0,7.23,7.24,7.24,7.2
15/09/21,19191285.0,7.25,7.25,7.26,7.22
16/09/21,163841481.0,7.24,7.21,7.27,7.21
17/09/21,60947582.0,7.25,7.23,7.25,7.19
20/09/21,103999188.0,7.22,7.19,7.23,7.17
21/09/21,18833809.0,7.2,7.19,7.2,7.15
22/09/21,16452133.0,7.2,7.19,7.21,7.18
23/09/21,14438466.0,7.22,7.21,7.25,7.2
24/09/21,33399521.0,7.21,7.21,7.23,7.19
27/09/21,43942167.0,7.22,7.2,7.28,7.19
27/09/21,43942167.0,7.22,7.2,7.28,7.19
28/09/21,25131189.0,7.25,7.2,7.25,7.2
29/09/21,26032165.0,7.22,7.2,7.23,7.2
30/09/21,26221835.0,7.21,7.22,7.22,7.21
01/10/21,53067943.0,7.24,7.32,7.45,7.24
04/10/21,42874551.0,7.42,7.46,7.49,7.39
05/10/21,18507849.0,7.47,7.45,7.47,7.4
06/10/21,24131473.0,7.44,7.42,7.46,7.42
07/10/21,32336235.0,7.4,7.25,7.41,7.25
08/10/21,10283648.0,7.33,7.3,7.35,7.25
11/10/21,19314085.0,7.3,7.3,7.41,7.28
12/10/21,29065466.0,7.32,7.35,7.4,7.3
13/10/21,25365605.0,7.4,7.35,7.4,7.34
14/10/21,28181598.0,7.39,7.37,7.4,7.36
15/10/21,47239427.0,7.37,7.4,7.4,7.35
18/10/21,24232318.0,7.4,7.41,7.42,7.38
19/10/21,43983187.0,7.4,7.4,7.41,7.39
20/10/21,21229093.0,7.4,7.31,7.4,7.31
21/10/21,11428457.0,7.32,7.31,7.4,7.3
22/10/21,17059550.0,7.31,7.32,7.4,7.3
25/10/21,18230627.0,7.31,7.31,7.38,7.3
26/10/21,11036529.0,7.32,7.3,7.35,7.3
27/10/21,8667380.0,7.3,7.37,7.4,7.3
28/10/21,19717576.0,7.28,7.4,7.44,7.28
29/10/21,12181840.0,7.45,7.4,7.45,7.38
02/11/21,24127672.0,7.4,7.4,7.4,7.3
03/11/21,8048450.0,7.4,7.4,7.4,7.36
04/11/21,17258539.0,7.4,7.41,7.42,7.36
05/11/21,15468927.0,7.36,7.35,7.41,7.35
08/11/21,7620490.0,7.4,7.34,7.4,7.34
09/11/21,13929297.0,7.35,7.39,7.39,7.33
10/11/21,10883280.0,7.39,7.36,7.39,7.34
11/11/21,28650235.0,7.36,7.4,7.4,7.34
12/11/21,73618230.0,7.4,7.68,7.7,7.4
15/11/21,39876097.0,7.7,7.7,7.75,7.69
16/11/21,26106440.0,7.7,7.73,7.75,7.69
17/11/21,29066312.0,7.73,7.7,7.74,7.69
18/11/21,26200933.0,7.7,7.98,7.98,7.68
19/11/21,75819248.0,7.93,7.97,7.99,7.85
22/11/21,36396263.0,7.9,7.85,7.96,7.85
23/11/21,25285616.0,7.94,7.94,7.94,7.93
24/11/21,35836846.0,7.94,7.94,7.95,7.92
25/11/21,13572349.0,7.94,7.92,7.95,7.9
26/11/21,52186452.0,7.93,7.93,7.94,7.88
29/11/21,236871868.0,7.85,7.65,7.85,7.47
01/12/21,75719184.0,7.83,7.56,7.83,7.45
02/12/21,27974382.0,7.56,7.57,7.57,7.46
02/12/21,27974382.0,7.56,7.57,7.57,7.46
03/12/21,43399627.0,7.6,7.72,7.73,7.59
06/12/21,52953614.0,7.72,7.75,7.77,7.69
07/12/21,46204256.0,7.77,7.59,7.77,7.56
09/12/21,13106272.0,7.59,7.55,7.6,7.55
10/12/21,25248186.0,7.6,7.57,7.6,7.5
13/12/21,25840993.0,7.6,7.58,7.6,7.51
13/12/21,25840993.0,7.6,7.58,7.6,7.51
14/12/21,176356165.0,7.55,7.54,7.57,7.53
15/12/21,30582987.0,7.51,7.42,7.53,7.42
15/12/21,30582987.0,7.51,7.42,7.53,7.42
15/12/21,30582987.0,7.51,7.42,7.53,7.42
16/12/21,44828250.0,7.42,7.4,7.44,7.3
17/12/21,97975787.0,7.4,7.2,7.4,7.2
20/12/21,8429256.0,7.39,7.31,7.39,7.26
21/12/21,36708271.0,7.39,7.4,7.4,7.34
22/12/21,14649209.0,7.4,7.4,7.41,7.4
23/12/21,56496040.0,7.39,7.4,7.45,7.39
23/12/21,56496040.0,7.39,7.4,7.45,7.39
24/12/21,1364921.0,7.4,7.4,7.44,7.39
27/12/21,4689618.0,7.4,7.37,7.4,7.34
28/12/21,7093654.0,7.39,7.39,7.4,7.35
29/12/21,43498275.0,7.39,7.4,7.43,7.35
31/12/21,6405514.0,7.4,7.4,7.41,7.36
03/01/22,37444589.0,7.35,7.4,7.4,7.35
05/01/22,23668071.0,7.4,7.4,7.4,7.38
06/01/22,15750554.0,7.4,7.45,7.45,7.4
07/01/22,32950693.0,7.45,7.5,7.51,7.45
10/01/22,42610706.0,7.5,7.6,7.6,7.5
11/01/22,4033305.0,7.65,7.7,7.7,7.65
12/01/22,13556760.0,7.7,7.75,7.8,7.68
13/01/22,32340339.0,7.75,7.75,7.85,7.75
14/01/22,30258883.0,7.74,7.8,7.8,7.74
17/01/22,116728379.0,7.84,7.85,7.86,7.8
18/01/22,29427000.0,7.85,7.7,7.85,7.6
19/01/22,28422597.0,7.7,7.55,7.7,7.55
20/01/22,21841114.0,7.59,7.6,7.69,7.55
21/01/22,10050564.0,7.6,7.64,7.65,7.6
24/01/22,13981911.0,7.65,7.78,7.8,7.65
25/01/22,15834376.0,7.78,7.75,7.78,7.72
26/01/22,19778418.0,7.75,7.6,7.77,7.6
27/01/22,14151315.0,7.6,7.59,7.74,7.59
27/01/22,14151315.0,7.6,7.59,7.74,7.59
27/01/22,14151315.0,7.6,7.59,7.74,7.59
28/01/22,66898760.0,7.59,7.54,7.67,7.49
31/01/22,10638853.0,7.58,7.61,7.63,7.58
31/01/22,10638853.0,7.58,7.61,7.63,7.58
02/02/22,17994436.0,7.61,7.52,7.61,7.51
02/02/22,17994436.0,7.61,7.52,7.61,7.51
03/02/22,43160062.0,7.52,7.5,7.6,7.5
03/02/22,43160062.0,7.52,7.5,7.6,7.5
04/02/22,24729114.0,7.5,7.51,7.6,7.5
04/02/22,24729114.0,7.5,7.51,7.6,7.5
07/02/22,28141973.0,7.51,7.51,7.6,7.51
07/02/22,28141973.0,7.51,7.51,7.6,7.51
08/02/22,12324282.0,7.51,7.57,7.59,7.51
09/02/22,35113219.0,7.59,7.5,7.59,7.5
10/02/22,15603613.0,7.5,7.53,7.55,7.5
11/02/22,42124618.0,7.5,7.51,7.54,7.5
14/02/22,9831210.0,7.5,7.45,7.51,7.43
15/02/22,2395995.0,7.45,7.43,7.45,7.41
16/02/22,17782381.0,7.45,7.43,7.51,7.43
17/02/22,44405182.0,7.51,7.5,7.51,7.46
18/02/22,27466246.0,7.51,7.53,7.54,7.5
21/02/22,61451385.0,7.52,7.55,7.58,7.5
21/02/22,61451385.0,7.52,7.55,7.58,7.5
21/02/22,61451385.0,7.52,7.55,7.58,7.5
22/02/22,55319265.0,7.55,7.55,7.55,7.49
23/02/22,18611022.0,7.55,7.52,7.55,7.49
24/02/22,13676001.0,7.48,7.39,7.49,7.18
24/02/22,13676001.0,7.48,7.39,7.49,7.18
28/02/22,48471599.0,7.31,7.55,7.6,7.29
01/03/22,67044816.0,7.55,7.51,7.55,7.45
02/03/22,4601377.0,7.53,7.4,7.53,7.4
03/03/22,5770001.0,7.45,7.42,7.48,7.38
04/03/22,18955182.0,7.42,7.4,7.42,7.36
04/03/22,18955182.0,7.42,7.4,7.42,7.36
07/03/22,28958669.0,7.36,7.2,7.4,7.2
08/03/22,32383180.0,7.22,7.15,7.3,7.0
09/03/22,18908434.0,7.15,7.13,7.2,6.98
10/03/22,8656294.0,7.15,7.35,7.44,7.15
11/03/22,17824098.0,7.35,7.12,7.35,7.07
14/03/22,20650679.0,7.15,7.07,7.2,7.05
15/03/22,27687272.0,7.07,7.07,7.1,7.0
16/03/22,5523190.0,7.08,7.1,7.24,7.08
17/03/22,11427782.0,7.11,7.15,7.2,7.1
18/03/22,8722959.0,7.15,7.13,7.16,7.13
21/03/22,4635634.0,7.13,7.14,7.19,7.13
22/03/22,11979819.0,7.14,7.12,7.19,7.1
23/03/22,4789608.0,7.12,7.12,7.17,7.12
24/03/22,22286352.0,7.12,7.15,7.16,7.1
25/03/22,47088603.0,7.16,7.16,7.19,7.14
28/03/22,7193500.0,7.18,7.3,7.3,7.18
29/03/22,5601484.0,7.3,7.19,7.3,7.18
30/03/22,73423238.0,7.24,7.2,7.3,7.18
31/03/22,8638415.0,7.2,7.1,7.21,7.1
01/04/22,6456073.0,7.11,7.19,7.26,7.11
04/04/22,17166479.0,7.19,7.2,7.24,7.18
05/04/22,10009859.0,7.2,7.2,7.29,7.13
06/04/22,19897657.0,7.2,7.2,7.24,7.11
07/04/22,14171852.0,7.2,7.3,7.37,7.2
08/04/22,23692470.0,7.38,7.37,7.38,7.35
11/04/22,963190.0,7.37,7.33,7.37,7.23
11/04/22,963190.0,7.37,7.33,7.37,7.23
12/04/22,2861269.0,7.33,7.31,7.35,7.27
12/04/22,2861269.0,7.33,7.31,7.35,7.27
13/04/22,2919127.0,7.37,7.32,7.37,7.31
18/04/22,3137928.0,7.32,7.35,7.35,7.3
18/04/22,3137928.0,7.32,7.35,7.35,7.3
19/04/22,9043157.0,7.35,7.35,7.36,7.34
20/04/22,41621365.0,7.35,7.33,7.35,7.33
21/04/22,12054210.0,7.36,7.34,7.36,7.34
22/04/22,15864180.0,7.35,7.37,7.38,7.33
25/04/22,20840370.0,7.37,7.33,7.37,7.33
26/04/22,19547643.0,7.35,7.35,7.37,7.33
26/04/22,19547643.0,7.35,7.35,7.37,7.33
27/04/22,5553129.0,7.36,7.35,7.36,7.33
28/04/22,15621284.0,7.36,7.4,7.4,7.34
28/04/22,15621284.0,7.36,7.4,7.4,7.34
29/04/22,18757652.0,7.4,7.31,7.4,7.3
02/05/22,5251572.0,7.31,7.35,7.36,7.31
04/05/22,5558090.0,7.3,7.32,7.34,7.25
05/05/22,1561397.0,7.3,7.31,7.33,7.3
05/05/22,1561397.0,7.3,7.31,7.33,7.3
06/05/22,7787682.0,7.31,7.31,7.32,7.28
06/05/22,7787682.0,7.31,7.31,7.32,7.28
10/05/22,18401445.0,7.18,7.13,7.18,7.07
11/05/22,4601984.0,7.13,7.1,7.13,7.1
11/05/22,4601984.0,7.13,7.1,7.13,7.1
12/05/22,5595966.0,7.1,7.33,7.33,7.09
12/05/22,5595966.0,7.1,7.33,7.33,7.09
13/05/22,1140569.0,7.33,7.24,7.33,7.2
16/05/22,1779945.0,7.29,7.24,7.29,7.13
17/05/22,3322635.0,7.25,7.25,7.26,7.24
18/05/22,8482162.0,7.3,7.33,7.37,7.25
