Date,Value,Open,Close,High,Low
20/08/09,11000.0,5.5,5.5,5.5,5.5
06/10/09,5500.0,5.5,5.5,5.5,5.5
08/10/09,5600.0,5.6,5.6,5.6,5.6
13/10/09,11400.0,5.7,5.7,5.7,5.7
14/10/09,16200.0,5.4,5.4,5.4,5.4
15/10/09,28300.0,5.5,5.7,5.7,5.5
19/10/09,52700.0,5.7,5.9,5.9,5.7
22/10/09,5800.0,5.8,5.8,5.8,5.8
27/10/09,99000.0,6.0,6.2,6.2,6.0
18/12/09,5900.0,5.9,5.9,5.9,5.9
18/01/10,5800.0,5.8,5.8,5.8,5.8
28/01/10,15600.0,5.2,5.2,5.2,5.2
21/04/10,65000.0,6.0,5.9,6.0,5.9
20/05/10,5600.0,5.6,5.6,5.6,5.6
04/06/10,17400.0,5.8,5.8,5.8,5.8
07/06/10,183000.0,5.9,6.0,6.0,5.9
10/06/10,5900.0,5.9,5.9,5.9,5.9
07/07/10,129800.0,5.9,5.9,5.9,5.9
13/07/10,11400.0,5.6,5.8,5.8,5.6
21/07/10,96000.0,6.0,6.0,6.0,6.0
20/09/10,53051.0,6.28,6.45,6.45,6.22
22/09/10,9330.0,6.22,6.22,6.22,6.22
23/09/10,3750.0,6.25,6.25,6.25,6.25
27/09/10,1896.0,6.32,6.32,6.32,6.32
28/09/10,70144.0,6.6,6.34,6.6,6.34
29/09/10,14340.0,6.45,6.55,6.55,6.45
01/10/10,90140.0,6.85,6.9,6.9,6.85
05/10/10,1935.0,6.45,6.45,6.45,6.45
06/10/10,5814.0,6.46,6.46,6.46,6.46
07/10/10,1935.0,6.45,6.45,6.45,6.45
08/10/10,128883.0,6.45,6.32,6.45,6.32
13/10/10,7620.0,6.35,6.35,6.35,6.35
14/10/10,19060.0,6.36,6.35,6.36,6.35
15/10/10,1905.0,6.35,6.35,6.35,6.35
18/10/10,5760.0,6.4,6.4,6.4,6.4
19/10/10,1899.0,6.33,6.33,6.33,6.33
20/10/10,2540.0,6.35,6.35,6.35,6.35
21/10/10,33000.0,6.6,6.6,6.6,6.6
26/10/10,1905.0,6.35,6.35,6.35,6.35
27/10/10,3810.0,6.35,6.35,6.35,6.35
03/11/10,6360.0,6.36,6.36,6.36,6.36
04/11/10,1908.0,6.36,6.36,6.36,6.36
08/11/10,3175.0,6.35,6.35,6.35,6.35
09/11/10,3810.0,6.35,6.35,6.35,6.35
11/11/10,69730.0,6.35,6.35,6.35,6.33
17/11/10,1899.0,6.33,6.33,6.33,6.33
19/11/10,1899.0,6.33,6.33,6.33,6.33
23/11/10,1899.0,6.33,6.33,6.33,6.33
24/11/10,3250.0,6.5,6.5,6.5,6.5
25/11/10,4505.0,6.35,6.5,6.5,6.35
26/11/10,1899.0,6.33,6.33,6.33,6.33
