Date,Value,Open,Close,High,Low
06/08/09,22000.0,0.55,0.55,0.55,0.55
20/08/09,55000.0,0.55,0.55,0.55,0.55
25/08/09,11000.0,0.55,0.55,0.55,0.55
03/09/09,5000.0,0.5,0.5,0.5,0.5
04/09/09,9955000.0,0.5,0.5,0.5,0.5
22/09/09,246900.0,0.5,0.59,0.59,0.5
30/09/09,130000.0,0.65,0.65,0.65,0.65
21/10/09,185000.0,0.58,0.65,0.65,0.58
22/10/09,66000.0,0.66,0.66,0.66,0.66
28/10/09,4505300.0,0.75,0.99,0.99,0.75
29/10/09,36877000.0,1.12,0.88,1.24,0.8
30/10/09,3870100.0,0.75,0.76,0.88,0.74
03/11/09,1713600.0,0.74,0.69,0.8,0.67
04/11/09,327200.0,0.68,0.68,0.7,0.68
05/11/09,336100.0,0.67,0.71,0.71,0.67
06/11/09,574900.0,0.7,0.69,0.71,0.69
09/11/09,279900.0,0.68,0.62,0.68,0.62
10/11/09,666900.0,0.64,0.68,0.68,0.63
11/11/09,3404000.0,0.68,0.67,0.76,0.67
17/12/09,62100.0,0.78,0.77,0.78,0.77
29/12/09,311000.0,0.84,0.85,0.85,0.84
04/01/10,122500.0,0.8,0.85,0.85,0.8
05/01/10,2166900.0,0.85,0.83,0.87,0.83
06/01/10,482000.0,0.81,0.8,0.81,0.8
08/01/10,104700.0,0.79,0.81,0.81,0.79
11/01/10,40500.0,0.81,0.81,0.81,0.81
12/01/10,121600.0,0.76,0.76,0.76,0.76
14/01/10,79000.0,0.79,0.79,0.79,0.79
19/01/10,15600.0,0.78,0.78,0.78,0.78
20/01/10,79200.0,0.8,0.79,0.8,0.79
27/01/10,93000.0,0.62,0.62,0.62,0.62
01/02/10,475600.0,0.75,0.65,0.75,0.65
02/02/10,65000.0,0.65,0.65,0.65,0.65
03/02/10,32500.0,0.65,0.65,0.65,0.65
04/02/10,30500.0,0.61,0.61,0.61,0.61
12/03/10,68200.0,0.62,0.62,0.62,0.62
16/03/10,31000.0,0.62,0.62,0.62,0.62
17/03/10,30000.0,0.6,0.6,0.6,0.6
20/04/10,60000.0,0.6,0.6,0.6,0.6
21/04/10,30500.0,0.61,0.61,0.61,0.61
22/04/10,60900.0,0.6,0.61,0.61,0.6
23/04/10,92500.0,0.62,0.61,0.62,0.61
30/04/10,59500.0,0.6,0.59,0.6,0.59
04/05/10,231000.0,0.58,0.58,0.58,0.57
05/05/10,114000.0,0.57,0.57,0.57,0.57
13/05/10,116000.0,0.58,0.58,0.58,0.58
18/05/10,29000.0,0.58,0.58,0.58,0.58
26/05/10,214500.0,0.55,0.55,0.55,0.55
07/06/10,11000.0,0.55,0.55,0.55,0.55
10/06/10,60500.0,0.55,0.55,0.55,0.55
15/06/10,1468300.0,0.58,0.69,0.76,0.58
16/06/10,34000.0,0.68,0.68,0.68,0.68
22/06/10,280300.0,0.62,0.59,0.62,0.59
23/06/10,203400.0,0.58,0.66,0.68,0.58
28/06/10,58000.0,0.58,0.58,0.58,0.58
29/06/10,99200.0,0.62,0.62,0.62,0.62
01/07/10,40600.0,0.58,0.58,0.58,0.58
13/07/10,55000.0,0.55,0.55,0.55,0.55
15/07/10,55000.0,0.55,0.55,0.55,0.55
16/07/10,458100.0,0.55,0.54,0.55,0.54
29/09/10,21760.0,0.58,0.57,0.58,0.57
30/09/10,5010.0,0.61,0.65,0.65,0.6
06/10/10,13000.0,0.65,0.65,0.65,0.65
12/10/10,3000.0,0.6,0.6,0.6,0.6
13/10/10,30000.0,0.6,0.6,0.6,0.6
15/10/10,710.0,0.71,0.71,0.71,0.71
28/10/10,30000.0,0.6,0.6,0.6,0.6
29/10/10,26520.0,0.68,0.68,0.68,0.68
03/11/10,120000.0,0.6,0.6,0.6,0.6
23/11/10,112000.0,0.56,0.56,0.56,0.56
26/11/10,63800.0,0.58,0.58,0.58,0.58
08/12/10,131900.0,0.6,0.65,0.66,0.6
22/12/10,1110250.0,0.67,0.69,0.72,0.67
23/12/10,1528440.0,0.68,0.66,0.68,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
28/12/10,1256260.0,0.68,0.75,0.75,0.66
29/12/10,453700.0,0.73,0.79,0.79,0.73
29/12/10,453700.0,0.73,0.79,0.79,0.73
03/01/11,7780.0,0.87,0.86,0.87,0.86
03/01/11,7780.0,0.87,0.86,0.87,0.86
03/01/11,7780.0,0.87,0.86,0.87,0.86
04/01/11,163110.0,0.69,0.71,0.8,0.69
05/01/11,285520.0,0.7,0.7,0.7,0.69
06/01/11,61000.0,0.7,0.75,0.75,0.7
10/01/11,3000.0,0.75,0.75,0.75,0.75
11/01/11,181880.0,0.71,0.72,0.75,0.71
11/01/11,181880.0,0.71,0.72,0.75,0.71
12/01/11,128100.0,0.7,0.71,0.71,0.7
14/01/11,188250.0,0.75,0.75,0.75,0.75
17/01/11,14820.0,0.78,0.78,0.78,0.78
18/01/11,246520.0,0.8,0.82,0.82,0.79
19/01/11,70470.0,0.81,0.82,0.82,0.81
19/01/11,70470.0,0.81,0.82,0.82,0.81
20/01/11,173480.0,0.82,0.8,0.82,0.8
20/01/11,173480.0,0.82,0.8,0.82,0.8
24/01/11,392000.0,0.79,0.78,0.79,0.78
28/01/11,977250.0,0.75,0.75,0.75,0.75
28/01/11,977250.0,0.75,0.75,0.75,0.75
16/02/11,63700.0,0.7,0.7,0.7,0.7
16/02/11,63700.0,0.7,0.7,0.7,0.7
18/02/11,7000.0,0.7,0.7,0.7,0.7
11/03/11,140000.0,0.7,0.7,0.7,0.7
11/03/11,140000.0,0.7,0.7,0.7,0.7
16/03/11,83000.0,0.7,0.7,0.7,0.67
23/03/11,44200.0,0.68,0.68,0.68,0.68
24/03/11,23800.0,0.68,0.68,0.68,0.68
30/03/11,3770690.0,0.77,0.77,0.77,0.77
31/03/11,500600.0,0.78,0.8,0.8,0.75
01/04/11,57600.0,0.8,0.8,0.8,0.8
04/04/11,1600.0,0.8,0.8,0.8,0.8
29/04/11,156000.0,0.78,0.78,0.78,0.78
02/05/11,4000.0,0.8,0.8,0.8,0.8
18/05/11,24500.0,0.7,0.7,0.7,0.7
20/05/11,351000.0,0.71,0.7,0.71,0.7
27/05/11,14000.0,0.7,0.7,0.7,0.7
30/05/11,19250.0,0.77,0.77,0.77,0.77
03/06/11,2692800.0,0.69,0.68,0.69,0.63
08/07/11,20400.0,0.68,0.68,0.68,0.68
29/07/11,68000.0,0.68,0.68,0.68,0.68
02/08/11,5920.0,0.74,0.74,0.74,0.74
09/08/11,31500.0,0.63,0.63,0.63,0.63
31/08/11,141120.0,0.7,0.75,0.78,0.7
13/09/11,12620.0,0.64,0.75,0.75,0.64
14/09/11,207200.0,0.7,0.7,0.7,0.7
26/09/11,63900.0,0.65,0.62,0.65,0.62
03/10/11,16500.0,0.75,0.63,0.75,0.63
19/10/11,34000.0,0.68,0.68,0.68,0.68
20/10/11,70000.0,0.7,0.7,0.7,0.7
26/10/11,37500.0,0.75,0.75,0.75,0.75
28/10/11,37500.0,0.75,0.75,0.75,0.75
21/11/11,322000.0,0.7,0.7,0.7,0.7
23/11/11,244320.0,0.75,0.75,0.77,0.75
24/11/11,43890.0,0.77,0.77,0.77,0.77
25/11/11,3316570.0,0.77,0.77,0.93,0.77
