Date,Value,Open,Close,High,Low
03/08/09,24204625.0,22.5,22.25,22.5,22.0
04/08/09,143204900.0,22.5,22.5,22.75,22.25
06/08/09,40854700.0,22.5,22.25,22.5,22.0
07/08/09,44744000.0,22.25,22.0,22.25,21.75
10/08/09,79393450.0,22.25,22.5,22.5,22.0
11/08/09,30520325.0,22.5,22.25,22.75,22.0
12/08/09,77208175.0,22.0,21.5,22.0,21.5
13/08/09,73259775.0,21.75,21.25,22.0,21.0
14/08/09,77139675.0,21.25,20.5,21.25,20.25
17/08/09,91548275.0,20.25,19.5,20.5,19.25
18/08/09,100829875.0,19.25,20.75,20.75,19.0
19/08/09,58457125.0,21.5,20.5,21.5,20.5
20/08/09,14696550.0,20.5,20.5,20.75,20.0
24/08/09,8007475.0,21.0,21.0,21.0,20.5
25/08/09,20623925.0,21.0,20.25,21.0,20.25
26/08/09,7256675.0,20.5,20.5,20.75,20.25
03/09/09,89702850.0,23.25,23.25,23.5,22.75
04/09/09,244421225.0,23.75,24.5,24.5,23.75
16/09/09,113020125.0,17.75,16.75,17.75,16.25
17/09/09,48717500.0,17.25,17.25,17.5,16.75
18/09/09,8443625.0,17.0,17.0,17.0,16.75
22/09/09,48679800.0,17.0,17.0,17.0,16.25
23/09/09,22719075.0,17.0,17.0,17.25,16.75
30/09/09,8827250.0,15.75,16.0,16.25,15.75
01/10/09,20870250.0,16.0,16.0,16.25,15.75
02/10/09,28521325.0,15.5,15.5,15.5,15.25
05/10/09,19150600.0,15.5,15.5,15.75,15.25
06/10/09,89050650.0,15.75,16.0,16.25,15.75
07/10/09,99018675.0,16.0,16.5,16.75,16.0
08/10/09,49139200.0,16.25,16.0,16.5,16.0
09/10/09,144306750.0,16.25,17.0,17.5,16.0
12/10/09,51425975.0,17.0,16.25,17.0,16.0
13/10/09,54425775.0,16.25,16.25,16.75,16.0
14/10/09,111019625.0,16.75,16.75,17.0,16.5
15/10/09,50507825.0,17.25,16.75,17.25,16.25
16/10/09,40553100.0,16.75,16.75,16.75,16.5
19/10/09,14779525.0,16.5,16.5,16.5,16.25
20/10/09,51629000.0,16.5,16.5,16.75,16.25
21/10/09,26475600.0,16.5,16.25,16.5,16.0
22/10/09,21883125.0,16.25,16.0,16.25,15.75
23/10/09,42712000.0,16.25,15.75,16.25,15.75
26/10/09,63442225.0,15.75,16.25,16.25,15.5
27/10/09,136453575.0,16.0,16.25,16.5,15.75
28/10/09,43161025.0,16.25,16.0,16.5,15.5
29/10/09,61499475.0,15.75,15.75,16.0,15.5
30/10/09,29568275.0,16.0,16.0,16.0,15.75
03/11/09,26039025.0,16.0,15.75,16.25,15.5
04/11/09,23335000.0,15.75,16.0,16.0,15.5
05/11/09,131070575.0,16.0,16.75,16.75,15.75
06/11/09,398203400.0,17.25,18.0,18.25,16.75
09/11/09,95310800.0,17.75,17.25,18.0,17.0
10/11/09,55609650.0,17.25,17.25,17.75,17.0
11/11/09,44771850.0,16.75,17.0,17.0,16.5
15/12/09,52187200.0,14.75,15.0,15.25,14.75
16/12/09,127806500.0,15.25,16.0,16.0,14.75
17/12/09,148338325.0,16.25,16.75,17.0,16.25
18/12/09,52298975.0,16.5,16.5,16.75,16.25
21/12/09,203086200.0,16.25,15.75,16.25,15.5
22/12/09,86117900.0,10.75,10.0,10.75,9.9
23/12/09,65394400.0,10.0,9.8,10.0,9.6
29/12/09,65619200.0,9.7,9.7,9.8,9.6
04/01/10,31871500.0,9.7,9.5,9.7,9.4
05/01/10,119198600.0,9.5,9.9,10.25,9.4
06/01/10,98005100.0,9.8,10.0,10.0,9.7
07/01/10,67605750.0,10.25,10.5,10.5,10.25
08/01/10,79525675.0,10.25,10.25,10.5,10.0
