Date,Value,Open,Close,High,Low
02/12/13,63784694.0,100.0,100.0,100.0,99.95
03/12/13,12714667.0,101.5,99.75,101.5,99.6
04/12/13,4418984.0,99.8,99.6,99.85,99.6
05/12/13,1281097.0,100.0,99.2,100.0,99.0
06/12/13,4776654.0,99.2,97.15,99.2,97.0
09/12/13,3123720.0,99.0,97.05,99.0,97.05
10/12/13,5356448.5,97.05,97.15,97.2,97.0
11/12/13,673507.5,97.15,97.0,97.15,97.0
12/12/13,828859.0,96.8,96.0,96.9,95.5
13/12/13,955630.0,95.5,95.95,97.0,95.5
16/12/13,2741629.0,96.5,95.8,96.95,95.05
17/12/13,2039569.0,95.8,95.8,95.8,95.7
18/12/13,945402.0,95.8,95.8,95.8,95.5
19/12/13,10387436.5,96.1,96.0,97.3,95.95
20/12/13,2693739.5,97.5,94.5,97.5,94.0
23/12/13,228019.0,94.8,95.5,95.6,94.8
26/12/13,494970.0,95.5,95.5,95.5,95.0
27/12/13,749675.0,95.5,95.5,95.5,95.5
02/01/14,656104.0,96.0,96.0,96.0,95.5
03/01/14,395912.0,96.1,95.5,96.1,95.5
06/01/14,1060218.0,96.0,95.7,96.0,95.5
07/01/14,776907.0,95.8,95.7,95.8,95.5
08/01/14,1340710.0,95.5,95.65,95.65,95.5
09/01/14,244490.5,96.3,95.65,96.3,95.65
10/01/14,1089168.5,96.0,95.6,96.0,95.0
13/01/14,2930499.0,95.6,95.5,95.6,95.0
14/01/14,1757903.0,95.6,95.0,95.6,94.8
15/01/14,1023324.0,95.0,95.0,95.5,95.0
16/01/14,1007711.0,95.5,95.5,95.8,95.5
17/01/14,355531.0,95.5,95.8,95.8,95.4
20/01/14,323104.5,95.8,95.5,95.9,95.5
21/01/14,341330.5,96.0,96.1,96.1,95.6
22/01/14,1251955.0,95.6,98.2,98.2,95.6
23/01/14,696938.0,98.25,98.6,98.6,97.9
24/01/14,378974.0,98.6,98.9,98.9,97.9
27/01/14,401142.0,97.0,97.6,97.6,96.0
28/01/14,110703.0,97.6,97.0,97.6,96.6
29/01/14,118376.0,97.0,97.2,97.2,96.8
30/01/14,599509.0,98.8,97.0,98.8,96.5
03/02/14,303882.0,96.9,97.0,97.2,96.5
04/02/14,601013.0,97.0,95.0,97.0,95.0
05/02/14,100873.0,95.5,95.0,95.5,95.0
06/02/14,62864.0,95.0,95.0,95.4,95.0
07/02/14,225211.0,96.0,96.6,96.6,96.0
10/02/14,497522.0,96.6,96.9,97.0,96.6
11/02/14,111273.0,97.3,98.0,98.0,97.3
12/02/14,610068.5,98.0,98.2,98.2,97.2
13/02/14,63444.0,98.2,98.0,98.2,97.5
14/02/14,30230.0,97.7,97.8,97.8,97.4
17/02/14,129379.0,97.9,98.1,98.1,97.6
18/02/14,500122.0,98.5,98.5,98.5,98.1
19/02/14,1005014.0,98.5,98.5,98.8,98.3
20/02/14,3005062.0,98.5,101.4,101.4,98.5
21/02/14,427537.0,101.4,101.0,101.4,100.0
24/02/14,199874.0,101.0,100.3,101.0,99.5
25/02/14,105596.0,100.0,100.3,101.0,100.0
26/02/14,380652.0,100.3,100.4,100.4,100.0
27/02/14,805825.0,100.9,100.1,101.0,100.0
28/02/14,1082164.0,101.0,101.5,101.5,100.0
03/03/14,878072.0,101.0,102.0,102.0,100.5
04/03/14,345455.0,101.5,101.5,101.5,101.0
05/03/14,348757.0,101.5,102.4,102.5,101.5
06/03/14,2735532.0,102.4,102.8,102.9,101.6
07/03/14,369106.0,102.9,102.8,103.0,102.0
10/03/14,1987304.0,102.8,102.2,103.0,102.1
11/03/14,1407752.0,102.2,104.3,105.0,102.2
12/03/14,1239169.0,104.0,103.5,104.0,103.0
13/03/14,730598.0,103.5,103.2,103.5,103.0
14/03/14,581800.0,103.0,102.5,103.0,102.0
17/03/14,333582.0,102.0,102.5,102.5,102.0
18/03/14,710105.0,102.5,103.5,103.5,102.5
19/03/14,293767.0,103.5,103.5,103.5,103.0
20/03/14,381406.0,103.4,103.4,103.4,102.7
21/03/14,170619.0,103.4,103.5,103.5,103.0
24/03/14,606851.0,103.1,103.3,103.5,102.9
25/03/14,879505.0,103.0,102.2,103.0,102.2
26/03/14,347974.0,102.5,102.5,102.5,102.1
27/03/14,380852.0,103.5,102.0,103.5,102.0
28/03/14,156941.0,102.5,102.8,102.9,102.5
31/03/14,138365.0,103.5,103.5,103.5,103.0
01/04/14,6680728.0,103.5,105.0,105.0,102.8
02/04/14,6606861.0,105.0,106.0,106.0,104.5
03/04/14,602820.0,106.0,105.5,106.0,105.0
04/04/14,266660.0,105.5,106.0,106.0,105.5
07/04/14,732136.0,105.6,106.5,106.5,105.6
08/04/14,573240.0,106.5,106.5,106.5,105.9
10/04/14,262506.0,106.5,107.0,107.5,106.5
11/04/14,203580.0,106.0,107.0,107.0,106.0
14/04/14,153070.0,106.5,106.5,106.5,106.0
15/04/14,158266.0,106.2,107.0,107.0,106.2
16/04/14,246810.0,107.0,107.8,107.8,107.0
21/04/14,1546655.0,107.8,109.0,109.0,107.4
22/04/14,1295994.0,109.0,109.4,109.4,108.0
23/04/14,510422.0,109.0,108.5,109.4,108.0
24/04/14,120112.0,108.0,108.9,108.9,108.0
25/04/14,218068.0,109.0,108.0,109.5,108.0
28/04/14,1100645.0,107.6,107.0,108.0,106.0
29/04/14,256541.0,107.2,107.5,107.5,107.2
30/04/14,70039.0,108.4,108.4,108.5,107.5
02/05/14,186997.0,108.4,109.0,109.0,108.4
05/05/14,172000.0,109.0,109.0,109.0,108.8
06/05/14,707296.0,109.0,108.9,109.1,106.5
07/05/14,688743.0,108.5,108.5,108.5,108.0
08/05/14,2306190.0,108.5,109.0,109.5,107.0
09/05/14,2086177.0,109.5,110.5,110.5,109.5
12/05/14,1097685.0,110.5,110.2,110.5,109.5
13/05/14,1346482.0,110.5,110.4,111.0,109.8
14/05/14,302046.0,111.0,111.0,111.0,110.5
15/05/14,598210.0,111.0,110.6,111.0,110.6
16/05/14,434290.0,110.0,110.0,110.0,109.0
19/05/14,185190.0,110.8,111.0,111.0,110.2
20/05/14,295122.0,111.0,111.0,111.0,110.8
21/05/14,595702.0,110.0,109.0,110.5,109.0
22/05/14,76614.0,110.0,109.9,110.0,109.2
23/05/14,752251.0,109.9,109.5,110.0,109.4
26/05/14,149665.0,109.5,109.2,109.5,109.1
27/05/14,1684961.0,109.1,109.0,109.2,108.9
28/05/14,959576.0,109.2,109.4,109.5,109.1
29/05/14,1940029.0,109.1,108.0,109.1,108.0
30/05/14,1807865.0,107.7,107.7,107.7,107.4
02/06/14,1349776.0,107.7,108.5,108.5,107.5
03/06/14,421065.0,108.5,109.6,109.6,108.5
04/06/14,3923690.0,109.6,109.7,110.0,109.4
05/06/14,1109541.0,109.3,109.2,109.3,108.6
06/06/14,1195261.0,109.1,109.1,109.5,109.1
09/06/14,1212584.0,109.1,109.8,109.8,109.1
10/06/14,2417140.0,109.4,109.5,109.5,108.9
11/06/14,1753489.0,109.6,110.0,110.0,109.4
13/06/14,1411513.0,110.0,109.6,110.0,109.1
16/06/14,1352709.0,110.0,109.4,110.0,108.9
17/06/14,1086434.0,108.8,108.2,108.8,107.8
18/06/14,1268316.0,107.8,108.1,108.1,107.0
19/06/14,972058.0,108.1,108.2,108.2,107.4
20/06/14,1122056.0,108.2,108.9,108.9,108.0
23/06/14,1323109.0,109.0,109.5,109.5,108.9
24/06/14,1322325.0,109.1,109.8,109.8,109.0
25/06/14,2923329.0,109.7,110.5,110.5,109.7
26/06/14,3122440.0,110.3,110.8,110.8,110.3
27/06/14,1897513.0,111.0,110.6,111.1,110.0
30/06/14,669794.0,110.9,110.4,110.9,110.2
01/07/14,270206.0,110.4,110.3,110.5,110.2
02/07/14,680237.0,110.3,110.6,110.6,110.1
03/07/14,1533301.0,110.8,111.5,111.5,110.6
04/07/14,2028246.0,111.6,112.6,112.6,111.6
07/07/14,5774550.0,112.6,113.0,113.1,112.6
08/07/14,1601191.0,112.6,112.4,112.6,111.9
09/07/14,1129280.0,112.2,111.2,112.2,111.0
10/07/14,2593222.0,111.2,111.9,111.9,111.2
11/07/14,751181.0,111.4,111.4,111.4,111.0
14/07/14,812625.0,111.4,110.3,111.4,110.0
15/07/14,940180.0,110.3,110.3,110.3,110.0
17/07/14,516952.0,110.4,110.8,110.8,110.4
18/07/14,476604.0,110.2,110.7,110.7,110.0
21/07/14,390008.0,110.8,111.1,111.1,110.7
22/07/14,1291679.0,110.9,110.8,110.9,110.2
23/07/14,549748.0,111.0,111.1,111.1,110.8
24/07/14,412181.0,111.1,111.1,111.1,111.1
25/07/14,727695.0,111.2,111.1,111.2,110.8
28/07/14,541794.0,111.2,110.5,111.2,110.5
30/07/14,2207321.0,110.5,110.9,111.2,110.5
31/07/14,354372.0,110.8,111.0,111.0,110.6
01/08/14,2754228.0,110.8,111.2,111.2,109.5
04/08/14,931220.0,111.0,112.8,112.9,110.9
05/08/14,567053.0,112.9,112.6,112.9,112.2
06/08/14,227554.0,112.5,112.0,112.5,112.0
07/08/14,152730.0,112.2,112.2,112.4,112.2
08/08/14,1110899.0,111.7,111.0,111.7,110.7
11/08/14,313352.0,111.3,112.2,112.2,111.3
12/08/14,1273289.0,112.2,112.5,112.7,112.2
13/08/14,864269.0,112.7,112.7,112.7,112.2
14/08/14,1242210.0,113.0,113.9,114.3,113.0
15/08/14,270849.0,113.9,113.0,113.9,112.8
18/08/14,590398.0,113.0,113.4,113.5,113.0
19/08/14,243592.0,113.4,114.1,114.2,113.4
20/08/14,443585.0,114.6,114.6,114.8,114.4
22/08/14,944905.0,114.8,115.2,115.4,114.7
26/08/14,871938.0,115.2,115.3,115.4,114.9
27/08/14,2893485.0,115.5,115.5,115.9,115.3
28/08/14,1995779.0,115.5,114.8,115.5,114.6
29/08/14,1837883.0,114.9,114.1,114.9,113.7
01/09/14,676948.0,114.0,114.4,114.5,114.0
02/09/14,879289.0,114.5,114.9,115.0,114.5
03/09/14,6344908.0,115.0,116.5,116.5,115.0
04/09/14,3701139.0,116.6,116.4,116.6,115.2
05/09/14,2155454.0,116.4,117.4,117.4,115.0
08/09/14,3599312.0,117.5,118.4,118.4,117.5
09/09/14,272791.0,118.4,117.2,118.4,117.0
10/09/14,1594211.0,117.4,116.5,117.4,116.5
11/09/14,13475328.0,116.7,116.6,117.1,116.1
12/09/14,778969.0,116.7,116.7,116.7,116.3
15/09/14,733032.0,116.6,115.8,116.6,115.6
16/09/14,2183064.0,115.9,116.3,116.3,115.4
17/09/14,1001343.0,117.0,116.9,117.0,116.6
18/09/14,519348.0,117.1,117.9,117.9,117.0
22/09/14,1066366.0,117.9,117.9,117.9,117.3
23/09/14,610777.0,117.7,117.5,117.7,116.8
24/09/14,865347.0,117.6,118.9,119.0,117.6
25/09/14,1249126.0,119.1,117.8,119.6,117.8
26/09/14,911059.0,117.5,117.4,117.6,117.0
29/09/14,2289662.0,117.4,117.5,117.8,117.0
30/09/14,416532.0,117.7,117.7,117.8,117.5
01/10/14,960466.0,117.7,117.4,117.7,116.9
02/10/14,1956893.0,117.4,116.4,117.4,115.7
03/10/14,635150.0,116.4,117.1,117.1,116.3
07/10/14,855845.0,116.6,116.9,116.9,116.6
08/10/14,1384569.0,117.3,116.2,117.3,115.8
09/10/14,2923062.0,116.6,116.6,116.8,116.2
10/10/14,2884454.0,116.6,115.9,116.6,115.0
13/10/14,3211812.0,115.9,112.7,115.9,112.4
14/10/14,4119888.0,112.7,112.1,112.9,111.4
15/10/14,6772476.0,112.5,113.3,113.6,112.5
16/10/14,5897559.0,113.3,113.6,113.6,112.4
17/10/14,464157.0,114.0,113.1,114.0,113.1
20/10/14,667938.0,113.3,114.0,114.2,113.3
21/10/14,2250420.0,114.0,114.3,114.5,114.0
22/10/14,6980026.0,114.5,115.1,115.1,114.5
23/10/14,314899.0,115.1,115.1,115.2,114.6
