Date,Value,Open,Close,High,Low
03/08/09,63220850.0,39.0,38.5,39.0,38.0
04/08/09,75562050.0,38.5,39.0,39.0,38.5
06/08/09,73373250.0,39.0,38.0,39.0,38.0
07/08/09,22046750.0,38.0,38.0,38.0,37.5
10/08/09,221856250.0,40.0,42.5,42.5,40.0
11/08/09,133035650.0,42.5,44.0,44.5,42.5
12/08/09,78058800.0,44.0,43.0,44.0,42.5
13/08/09,49291900.0,43.0,43.0,44.0,42.5
14/08/09,60010300.0,43.0,43.0,43.0,42.0
17/08/09,124513550.0,42.5,40.0,42.5,39.5
18/08/09,115643600.0,39.0,42.0,42.0,38.5
19/08/09,94872250.0,42.0,42.5,43.0,42.0
20/08/09,84323750.0,42.5,41.0,42.5,41.0
24/08/09,46041500.0,42.0,42.0,42.0,41.5
25/08/09,52604900.0,41.5,41.5,42.0,41.0
26/08/09,50085000.0,42.0,42.0,42.0,41.0
03/09/09,26187650.0,41.0,41.0,41.0,40.0
04/09/09,63878400.0,41.5,41.0,41.5,40.5
16/09/09,87975450.0,38.0,36.5,38.5,36.0
17/09/09,155222100.0,37.0,36.0,37.5,36.0
18/09/09,32375650.0,36.5,37.5,37.5,36.0
22/09/09,135477150.0,38.0,36.5,38.0,36.5
23/09/09,65408950.0,37.0,38.0,38.0,37.0
30/09/09,23390850.0,37.0,38.0,38.0,36.5
01/10/09,22038550.0,37.5,37.0,38.0,37.0
02/10/09,48835150.0,36.5,36.0,36.5,36.0
05/10/09,12718500.0,36.5,37.0,37.0,36.5
06/10/09,37137400.0,37.5,37.5,38.0,37.0
07/10/09,195303450.0,38.5,40.0,40.0,38.5
08/10/09,50117400.0,40.0,40.5,40.5,40.0
09/10/09,104953000.0,40.0,40.5,40.5,40.0
12/10/09,14991450.0,40.0,40.0,40.0,39.5
13/10/09,49056800.0,40.0,39.5,40.5,38.5
14/10/09,327206450.0,41.0,42.5,43.0,41.0
15/10/09,168992250.0,43.0,41.5,43.0,41.0
16/10/09,63586900.0,41.0,42.0,42.0,41.0
19/10/09,165378400.0,42.0,43.5,43.5,41.5
20/10/09,203292000.0,44.0,44.0,45.5,43.5
21/10/09,120407000.0,43.5,43.0,44.0,42.5
22/10/09,53843150.0,43.0,43.0,43.0,42.0
