Date,Value,Open,Close,High,Low
18/05/11,317000.0,0.98,0.3,0.98,0.25
19/05/11,127500.0,0.3,0.27,0.3,0.22
20/05/11,23500.0,0.21,0.25,0.25,0.21
23/05/11,15400.0,0.22,0.22,0.22,0.22
24/05/11,54200.0,0.2,0.18,0.2,0.16
26/05/11,24000.0,0.2,0.2,0.2,0.2
01/06/11,21980.0,0.18,0.199,0.199,0.18
06/06/11,2000.0,0.2,0.2,0.2,0.2
16/06/11,23900.0,0.15,0.195,0.195,0.15
21/06/11,406380.0,0.15,0.188,0.188,0.14
22/06/11,19000.0,0.19,0.19,0.19,0.19
29/06/11,73200.0,0.183,0.183,0.183,0.183
30/06/11,9100.0,0.182,0.182,0.182,0.182
13/07/11,13500.0,0.15,0.15,0.15,0.15
14/07/11,1000.0,0.1,0.1,0.1,0.1
15/07/11,31500.0,0.15,0.15,0.15,0.15
18/07/11,49300.0,0.17,0.17,0.17,0.17
19/07/11,496900.0,0.2,0.24,0.24,0.175
20/07/11,1291550.0,0.25,0.34,0.34,0.245
21/07/11,236400.0,0.345,0.29,0.345,0.27
22/07/11,401000.0,0.27,0.21,0.29,0.21
25/07/11,595350.0,0.21,0.25,0.295,0.21
26/07/11,490950.0,0.25,0.22,0.275,0.22
27/07/11,107700.0,0.22,0.22,0.22,0.215
28/07/11,42250.0,0.21,0.215,0.215,0.21
29/07/11,138600.0,0.22,0.22,0.22,0.22
01/08/11,713300.0,0.239,0.285,0.29,0.239
02/08/11,723750.0,0.29,0.265,0.35,0.26
03/08/11,4599900.0,0.26,0.315,0.38,0.255
04/08/11,1154100.0,0.31,0.31,0.31,0.29
05/08/11,302950.0,0.265,0.28,0.29,0.265
08/08/11,388250.0,0.29,0.275,0.29,0.26
09/08/11,28550.0,0.26,0.245,0.26,0.235
10/08/11,472650.0,0.28,0.285,0.29,0.28
11/08/11,158700.0,0.28,0.27,0.28,0.24
12/08/11,644450.0,0.27,0.31,0.32,0.27
15/08/11,351450.0,0.305,0.29,0.305,0.26
16/08/11,178350.0,0.31,0.305,0.315,0.29
17/08/11,370900.0,0.31,0.315,0.315,0.31
18/08/11,433850.0,0.29,0.305,0.305,0.29
19/08/11,195900.0,0.29,0.28,0.29,0.28
22/08/11,329550.0,0.285,0.31,0.31,0.285
23/08/11,41000.0,0.3,0.3,0.3,0.29
24/08/11,92000.0,0.3,0.3,0.3,0.29
25/08/11,18300.0,0.31,0.3,0.31,0.29
31/08/11,513800.0,0.285,0.28,0.285,0.28
01/09/11,93800.0,0.275,0.28,0.28,0.275
06/09/11,313500.0,0.275,0.265,0.275,0.265
07/09/11,291200.0,0.26,0.26,0.26,0.26
12/09/11,103000.0,0.26,0.255,0.26,0.255
13/09/11,25550.0,0.26,0.255,0.26,0.255
14/09/11,160300.0,0.255,0.25,0.255,0.25
15/09/11,169800.0,0.25,0.28,0.28,0.25
20/09/11,7950.0,0.255,0.285,0.285,0.255
26/09/11,303600.0,0.25,0.275,0.285,0.23
28/09/11,46750.0,0.22,0.275,0.275,0.22
29/09/11,14700.0,0.245,0.245,0.245,0.245
07/10/11,344180.0,0.238,0.238,0.238,0.15
11/10/11,36100.0,0.22,0.209,0.22,0.209
12/10/11,2380.0,0.238,0.238,0.238,0.238
13/10/11,28510.0,0.205,0.188,0.22,0.188
14/10/11,22140.0,0.184,0.19,0.19,0.184
17/10/11,27300.0,0.19,0.2,0.23,0.19
18/10/11,272760.0,0.181,0.225,0.225,0.18
19/10/11,190190.0,0.19,0.199,0.199,0.18
20/10/11,4260.0,0.214,0.212,0.214,0.212
24/10/11,406510.0,0.199,0.19,0.199,0.18
25/10/11,31490.0,0.185,0.189,0.189,0.185
26/10/11,25280.0,0.18,0.188,0.188,0.18
27/10/11,3700.0,0.185,0.185,0.185,0.185
28/10/11,62750.0,0.185,0.18,0.185,0.18
02/11/11,385680.0,0.18,0.185,0.185,0.17
04/11/11,27820.0,0.174,0.182,0.182,0.173
08/11/11,17300.0,0.17,0.17,0.18,0.17
09/11/11,31140.0,0.184,0.184,0.184,0.182
10/11/11,128400.0,0.177,0.195,0.195,0.177
11/11/11,3720.0,0.18,0.192,0.192,0.18
14/11/11,689520.0,0.19,0.201,0.225,0.19
15/11/11,148250.0,0.196,0.212,0.219,0.19
16/11/11,76290.0,0.201,0.202,0.227,0.201
17/11/11,65090.0,0.195,0.205,0.224,0.195
18/11/11,79270.0,0.198,0.192,0.198,0.19
21/11/11,265890.0,0.205,0.203,0.205,0.192
22/11/11,96570.0,0.201,0.203,0.203,0.191
23/11/11,188330.0,0.203,0.22,0.23,0.203
24/11/11,48240.0,0.201,0.201,0.201,0.201
25/11/11,727150.0,0.21,0.245,0.25,0.21
28/11/11,827200.0,0.25,0.25,0.28,0.24
29/11/11,449990.0,0.224,0.215,0.224,0.21
01/12/11,156550.0,0.225,0.22,0.225,0.2
02/12/11,274670.0,0.21,0.201,0.21,0.2
05/12/11,41280.0,0.2,0.195,0.2,0.193
06/12/11,446170.0,0.193,0.199,0.199,0.19
07/12/11,49570.0,0.199,0.19,0.199,0.19
08/12/11,143580.0,0.19,0.19,0.198,0.19
09/12/11,1900.0,0.19,0.19,0.19,0.19
12/12/11,76700.0,0.19,0.186,0.19,0.186
13/12/11,66130.0,0.199,0.185,0.199,0.182
14/12/11,53680.0,0.18,0.185,0.2,0.18
15/12/11,58950.0,0.195,0.19,0.195,0.19
16/12/11,40000.0,0.2,0.2,0.2,0.2
19/12/11,117250.0,0.19,0.182,0.19,0.182
20/12/11,227500.0,0.18,0.205,0.205,0.18
21/12/11,413270.0,0.206,0.215,0.215,0.19
22/12/11,989720.0,0.21,0.215,0.228,0.21
23/12/11,440520.0,0.222,0.24,0.24,0.222
26/12/11,44340.0,0.23,0.229,0.23,0.195
27/12/11,31920.0,0.222,0.229,0.229,0.222
28/12/11,12540.0,0.199,0.219,0.219,0.199
29/12/11,16000.0,0.2,0.2,0.2,0.2
02/01/12,734910.0,0.219,0.23,0.244,0.219
03/01/12,369680.0,0.23,0.224,0.232,0.224
04/01/12,67700.0,0.23,0.23,0.24,0.23
05/01/12,78250.0,0.21,0.212,0.213,0.21
06/01/12,279920.0,0.212,0.215,0.222,0.212
10/01/12,57300.0,0.212,0.212,0.214,0.212
11/01/12,80520.0,0.201,0.212,0.23,0.201
12/01/12,8310.0,0.201,0.21,0.21,0.201
13/01/12,13240.0,0.22,0.224,0.224,0.22
16/01/12,43300.0,0.21,0.223,0.223,0.21
17/01/12,616390.0,0.224,0.228,0.238,0.224
18/01/12,271400.0,0.239,0.24,0.245,0.237
19/01/12,768060.0,0.245,0.26,0.26,0.232
20/01/12,129250.0,0.27,0.26,0.27,0.26
24/01/12,476650.0,0.27,0.27,0.28,0.255
25/01/12,8081050.0,0.26,0.345,0.355,0.26
26/01/12,1682300.0,0.34,0.33,0.36,0.31
27/01/12,2148150.0,0.315,0.33,0.365,0.315
30/01/12,462650.0,0.35,0.315,0.35,0.315
31/01/12,752100.0,0.315,0.32,0.35,0.315
01/02/12,3400.0,0.34,0.34,0.34,0.34
02/02/12,332950.0,0.31,0.32,0.32,0.31
03/02/12,28350.0,0.335,0.31,0.335,0.31
06/02/12,124200.0,0.3,0.32,0.33,0.3
07/02/12,316650.0,0.33,0.3,0.335,0.3
08/02/12,167750.0,0.295,0.3,0.3,0.295
09/02/12,360350.0,0.295,0.29,0.295,0.29
10/02/12,524200.0,0.26,0.275,0.285,0.26
13/02/12,392650.0,0.275,0.265,0.275,0.26
14/02/12,171900.0,0.265,0.265,0.265,0.26
15/02/12,130300.0,0.26,0.265,0.265,0.26
16/02/12,171350.0,0.26,0.265,0.265,0.26
17/02/12,233250.0,0.265,0.265,0.265,0.26
