Date,Value,Open,Close,High,Low
03/08/09,35564300.0,0.72,0.77,0.77,0.72
04/08/09,31486100.0,0.8,0.76,0.81,0.76
06/08/09,6886100.0,0.76,0.75,0.77,0.74
07/08/09,6910800.0,0.74,0.74,0.76,0.73
10/08/09,10249000.0,0.74,0.74,0.76,0.72
11/08/09,33325400.0,0.74,0.76,0.77,0.73
12/08/09,88715100.0,0.76,0.8,0.82,0.75
13/08/09,40318300.0,0.83,0.81,0.85,0.81
14/08/09,16219900.0,0.82,0.79,0.82,0.79
17/08/09,14048300.0,0.79,0.76,0.8,0.76
18/08/09,18847700.0,0.74,0.76,0.76,0.72
19/08/09,15320500.0,0.76,0.76,0.79,0.75
20/08/09,15547200.0,0.77,0.75,0.78,0.74
24/08/09,12415500.0,0.77,0.77,0.79,0.76
25/08/09,5592700.0,0.77,0.75,0.78,0.75
26/08/09,26518200.0,0.77,0.78,0.8,0.77
03/09/09,60270600.0,0.84,0.88,0.89,0.82
04/09/09,51251600.0,0.9,0.9,0.91,0.89
16/09/09,16032300.0,0.86,0.83,0.86,0.82
17/09/09,13302200.0,0.84,0.82,0.86,0.82
18/09/09,27006100.0,0.83,0.85,0.87,0.82
22/09/09,100522500.0,0.87,0.91,0.93,0.87
23/09/09,40796000.0,0.94,0.92,0.95,0.92
30/09/09,19952800.0,0.89,0.85,0.89,0.85
01/10/09,25044400.0,0.85,0.84,0.87,0.83
02/10/09,30356700.0,0.82,0.81,0.83,0.81
05/10/09,13496300.0,0.82,0.81,0.83,0.8
06/10/09,38334000.0,0.81,0.86,0.87,0.81
07/10/09,23252000.0,0.88,0.86,0.88,0.85
08/10/09,11595800.0,0.87,0.85,0.88,0.84
09/10/09,11762000.0,0.85,0.84,0.85,0.83
12/10/09,18274900.0,0.84,0.82,0.86,0.82
13/10/09,13378000.0,0.83,0.84,0.85,0.83
14/10/09,15064400.0,0.85,0.84,0.86,0.83
15/10/09,6371100.0,0.85,0.84,0.86,0.83
16/10/09,6918500.0,0.84,0.83,0.85,0.82
19/10/09,3898700.0,0.83,0.83,0.84,0.82
20/10/09,9535700.0,0.83,0.83,0.85,0.83
21/10/09,4065400.0,0.83,0.83,0.84,0.82
22/10/09,4346500.0,0.83,0.82,0.83,0.81
23/10/09,6914800.0,0.83,0.83,0.84,0.82
26/10/09,57058600.0,0.83,0.88,0.9,0.81
27/10/09,49840800.0,0.9,0.88,0.92,0.88
28/10/09,17291100.0,0.88,0.85,0.88,0.84
29/10/09,11060900.0,0.84,0.84,0.84,0.82
30/10/09,14041700.0,0.85,0.84,0.86,0.83
03/11/09,8180300.0,0.84,0.83,0.84,0.83
04/11/09,3724000.0,0.83,0.83,0.85,0.82
05/11/09,3472400.0,0.84,0.83,0.84,0.82
06/11/09,15232200.0,0.83,0.84,0.84,0.83
09/11/09,20643300.0,0.84,0.85,0.87,0.83
10/11/09,95018300.0,0.86,0.89,0.92,0.86
11/11/09,49250600.0,0.89,0.9,0.92,0.88
15/12/09,5225900.0,0.81,0.81,0.83,0.8
16/12/09,24814100.0,0.83,0.8,0.83,0.8
17/12/09,12280300.0,0.82,0.8,0.82,0.77
18/12/09,8569700.0,0.79,0.8,0.8,0.76
21/12/09,1520500.0,0.8,0.78,0.8,0.78
22/12/09,4591000.0,0.78,0.79,0.79,0.78
23/12/09,1271600.0,0.79,0.78,0.79,0.77
29/12/09,3103700.0,0.79,0.8,0.81,0.79
04/01/10,1716200.0,0.8,0.79,0.8,0.78
05/01/10,1443600.0,0.79,0.79,0.8,0.78
06/01/10,1735900.0,0.79,0.79,0.8,0.78
07/01/10,9344900.0,0.79,0.83,0.84,0.78
08/01/10,2739900.0,0.83,0.81,0.84,0.81
11/01/10,1207100.0,0.83,0.81,0.83,0.81
12/01/10,2129200.0,0.81,0.81,0.81,0.8
13/01/10,1308200.0,0.8,0.8,0.81,0.79
14/01/10,2611300.0,0.8,0.79,0.81,0.79
15/01/10,1825300.0,0.8,0.8,0.8,0.79
18/01/10,3277200.0,0.8,0.79,0.8,0.78
19/01/10,1787700.0,0.79,0.78,0.79,0.77
20/01/10,7233400.0,0.79,0.77,0.79,0.77
21/01/10,4464000.0,0.77,0.78,0.8,0.76
22/01/10,10386200.0,0.79,0.77,0.79,0.76
25/01/10,8236200.0,0.77,0.76,0.77,0.73
26/01/10,4300100.0,0.76,0.74,0.78,0.73
27/01/10,12495900.0,0.75,0.72,0.76,0.7
28/01/10,1772700.0,0.75,0.73,0.75,0.71
29/01/10,2722300.0,0.72,0.71,0.73,0.71
01/02/10,994800.0,0.72,0.71,0.72,0.7
02/02/10,2999300.0,0.71,0.68,0.71,0.67
03/02/10,14972200.0,0.7,0.65,0.7,0.65
04/02/10,4269400.0,0.68,0.65,0.68,0.64
05/02/10,4775900.0,0.64,0.63,0.65,0.62
08/02/10,1501700.0,0.65,0.63,0.65,0.62
09/02/10,4806500.0,0.63,0.61,0.63,0.59
10/02/10,3218100.0,0.62,0.63,0.64,0.62
11/02/10,536400.0,0.64,0.62,0.64,0.62
08/03/10,1911600.0,0.66,0.65,0.67,0.64
12/03/10,11849300.0,0.75,0.74,0.76,0.73
15/03/10,8339800.0,0.75,0.72,0.76,0.72
16/03/10,7877800.0,0.72,0.72,0.74,0.71
17/03/10,17039300.0,0.72,0.74,0.75,0.71
31/03/10,346800.0,0.7,0.7,0.71,0.69
20/04/10,1667300.0,0.68,0.68,0.7,0.68
21/04/10,1462900.0,0.69,0.69,0.7,0.68
22/04/10,7338200.0,0.71,0.7,0.73,0.7
23/04/10,760200.0,0.7,0.7,0.7,0.69
29/04/10,8060100.0,0.69,0.68,0.69,0.66
30/04/10,2599500.0,0.67,0.66,0.68,0.65
04/05/10,1845200.0,0.67,0.66,0.67,0.65
05/05/10,4249100.0,0.65,0.63,0.65,0.62
13/05/10,786000.0,0.68,0.68,0.69,0.67
14/05/10,7493900.0,0.68,0.66,0.68,0.65
17/05/10,1274400.0,0.66,0.65,0.66,0.65
18/05/10,670000.0,0.66,0.66,0.66,0.65
19/05/10,4532000.0,0.65,0.64,0.65,0.62
20/05/10,3574500.0,0.65,0.67,0.67,0.64
21/05/10,795900.0,0.66,0.65,0.66,0.63
24/05/10,1724500.0,0.64,0.64,0.66,0.63
25/05/10,1349900.0,0.64,0.63,0.64,0.62
26/05/10,2599700.0,0.63,0.63,0.63,0.62
27/05/10,1008400.0,0.63,0.63,0.64,0.63
28/05/10,3980500.0,0.65,0.65,0.67,0.64
31/05/10,336000.0,0.66,0.65,0.66,0.64
01/06/10,1928300.0,0.65,0.65,0.65,0.64
02/06/10,19400.0,0.65,0.65,0.65,0.64
03/06/10,1934600.0,0.65,0.64,0.66,0.64
04/06/10,676700.0,0.65,0.66,0.66,0.64
07/06/10,879000.0,0.64,0.65,0.65,0.63
08/06/10,4406000.0,0.65,0.66,0.67,0.63
09/06/10,15082400.0,0.66,0.68,0.7,0.65
10/06/10,7922600.0,0.69,0.67,0.7,0.66
11/06/10,3985200.0,0.68,0.67,0.69,0.66
15/06/10,2587700.0,0.68,0.67,0.68,0.65
16/06/10,4433800.0,0.67,0.69,0.69,0.67
21/06/10,18495800.0,0.71,0.71,0.73,0.69
22/06/10,6174800.0,0.71,0.69,0.71,0.69
23/06/10,4572100.0,0.68,0.68,0.7,0.68
24/06/10,3980300.0,0.68,0.68,0.69,0.67
25/06/10,3632100.0,0.68,0.67,0.68,0.67
28/06/10,3052400.0,0.67,0.67,0.68,0.66
29/06/10,1453300.0,0.67,0.66,0.67,0.66
01/07/10,3958000.0,0.66,0.65,0.66,0.64
02/07/10,3499900.0,0.66,0.64,0.66,0.64
06/07/10,872100.0,0.64,0.64,0.65,0.63
07/07/10,3776700.0,0.64,0.64,0.65,0.63
08/07/10,3849800.0,0.65,0.63,0.65,0.62
09/07/10,3268000.0,0.63,0.63,0.63,0.62
13/07/10,3222400.0,0.63,0.64,0.64,0.62
14/07/10,2200900.0,0.63,0.65,0.65,0.62
15/07/10,926400.0,0.63,0.64,0.65,0.62
16/07/10,1874400.0,0.64,0.62,0.64,0.62
19/07/10,2399800.0,0.63,0.62,0.63,0.62
20/07/10,3603600.0,0.63,0.62,0.63,0.61
21/07/10,1453000.0,0.63,0.62,0.64,0.62
22/07/10,1482100.0,0.63,0.62,0.63,0.62
23/07/10,1622700.0,0.62,0.62,0.63,0.61
20/09/10,43384240.0,0.7,0.73,0.8,0.7
21/09/10,26298570.0,0.75,0.7,0.77,0.7
22/09/10,14926310.0,0.72,0.71,0.72,0.69
23/09/10,12769840.0,0.72,0.72,0.74,0.71
24/09/10,5458760.0,0.72,0.71,0.73,0.7
27/09/10,5615800.0,0.73,0.7,0.74,0.7
28/09/10,4783430.0,0.71,0.69,0.72,0.69
29/09/10,7467650.0,0.7,0.69,0.72,0.69
30/09/10,29374720.0,0.7,0.7,0.74,0.69
01/10/10,6332940.0,0.7,0.71,0.74,0.7
04/10/10,38489800.0,0.72,0.75,0.77,0.71
05/10/10,14420800.0,0.76,0.72,0.76,0.72
06/10/10,9302870.0,0.74,0.72,0.76,0.72
07/10/10,31803160.0,0.73,0.73,0.77,0.73
08/10/10,4120190.0,0.74,0.72,0.74,0.72
12/10/10,6236670.0,0.73,0.72,0.75,0.72
13/10/10,2406590.0,0.73,0.72,0.73,0.71
14/10/10,4582720.0,0.73,0.72,0.74,0.71
15/10/10,1363940.0,0.72,0.72,0.72,0.7
18/10/10,10360690.0,0.73,0.7,0.73,0.69
19/10/10,20631080.0,0.72,0.69,0.72,0.68
20/10/10,6879560.0,0.68,0.71,0.72,0.68
21/10/10,2986870.0,0.7,0.7,0.71,0.69
22/10/10,2985860.0,0.7,0.7,0.72,0.68
26/10/10,3950950.0,0.7,0.7,0.71,0.69
27/10/10,3510110.0,0.7,0.7,0.71,0.69
28/10/10,1556380.0,0.7,0.69,0.7,0.68
29/10/10,5814640.0,0.69,0.68,0.69,0.68
02/11/10,3029550.0,0.69,0.69,0.7,0.68
03/11/10,5694850.0,0.7,0.69,0.7,0.68
04/11/10,1909550.0,0.69,0.69,0.7,0.68
08/11/10,3739250.0,0.69,0.7,0.7,0.68
09/11/10,6136660.0,0.69,0.68,0.7,0.67
10/11/10,17627190.0,0.69,0.68,0.69,0.65
11/11/10,8914070.0,0.69,0.67,0.69,0.65
12/11/10,3575820.0,0.67,0.66,0.68,0.64
15/11/10,7705920.0,0.67,0.66,0.68,0.65
17/11/10,3757350.0,0.67,0.66,0.67,0.64
18/11/10,1489020.0,0.66,0.65,0.67,0.64
19/11/10,4054960.0,0.64,0.68,0.69,0.64
22/11/10,4068440.0,0.68,0.66,0.68,0.64
23/11/10,967120.0,0.66,0.65,0.66,0.63
24/11/10,3815120.0,0.64,0.64,0.65,0.62
25/11/10,4876350.0,0.64,0.64,0.65,0.62
26/11/10,2390310.0,0.64,0.63,0.65,0.62
30/11/10,1639130.0,0.64,0.61,0.64,0.6
01/12/10,5513160.0,0.63,0.61,0.63,0.6
02/12/10,1238360.0,0.61,0.61,0.63,0.6
03/12/10,968370.0,0.6,0.62,0.63,0.6
06/12/10,461870.0,0.62,0.61,0.62,0.61
07/12/10,6351220.0,0.61,0.59,0.61,0.58
08/12/10,1372930.0,0.59,0.6,0.6,0.58
16/12/10,855720.0,0.61,0.59,0.61,0.59
22/12/10,3464220.0,0.61,0.6,0.61,0.59
23/12/10,7166760.0,0.61,0.61,0.62,0.59
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
28/12/10,2871640.0,0.62,0.61,0.62,0.6
29/12/10,7334960.0,0.62,0.62,0.63,0.6
29/12/10,7334960.0,0.62,0.62,0.63,0.6
03/01/11,6929640.0,0.62,0.62,0.63,0.6
03/01/11,6929640.0,0.62,0.62,0.63,0.6
03/01/11,6929640.0,0.62,0.62,0.63,0.6
04/01/11,24750360.0,0.62,0.66,0.67,0.62
05/01/11,4022010.0,0.66,0.65,0.66,0.63
06/01/11,7008040.0,0.65,0.64,0.66,0.64
07/01/11,3981970.0,0.64,0.64,0.66,0.63
10/01/11,2850930.0,0.64,0.64,0.65,0.62
11/01/11,3035330.0,0.64,0.63,0.66,0.62
11/01/11,3035330.0,0.64,0.63,0.66,0.62
12/01/11,4316520.0,0.65,0.62,0.65,0.62
13/01/11,7045560.0,0.63,0.64,0.64,0.62
14/01/11,941180.0,0.64,0.63,0.64,0.62
17/01/11,6735330.0,0.63,0.64,0.64,0.62
18/01/11,339400.0,0.64,0.63,0.64,0.62
19/01/11,2048040.0,0.63,0.62,0.64,0.62
19/01/11,2048040.0,0.63,0.62,0.64,0.62
20/01/11,1899000.0,0.63,0.63,0.63,0.62
20/01/11,1899000.0,0.63,0.63,0.63,0.62
24/01/11,4531890.0,0.64,0.62,0.64,0.6
25/01/11,8732930.0,0.62,0.6,0.62,0.59
26/01/11,5056720.0,0.61,0.59,0.62,0.59
27/01/11,1738240.0,0.61,0.6,0.61,0.6
28/01/11,2644240.0,0.61,0.6,0.61,0.6
28/01/11,2644240.0,0.61,0.6,0.61,0.6
31/01/11,3610340.0,0.61,0.6,0.61,0.59
