Date,Value,Open,Close,High,Low
03/08/09,5827600.0,6.9,7.0,7.0,6.9
04/08/09,11050300.0,7.1,7.1,7.3,7.1
06/08/09,2706000.0,7.0,6.9,7.0,6.9
07/08/09,1372800.0,6.8,6.8,6.9,6.8
10/08/09,2801900.0,6.9,6.9,7.0,6.9
11/08/09,1814400.0,6.8,6.8,6.8,6.7
12/08/09,1263500.0,6.7,6.8,6.8,6.7
13/08/09,36939400.0,6.9,7.6,7.6,6.9
14/08/09,15650400.0,7.6,7.4,7.8,7.3
17/08/09,151200.0,7.2,7.2,7.2,7.2
18/08/09,3227800.0,7.1,7.1,7.1,6.9
19/08/09,9448200.0,7.2,7.4,7.5,7.2
20/08/09,1913300.0,7.5,7.3,7.5,7.3
24/08/09,10566500.0,7.4,7.5,7.5,7.4
25/08/09,4732000.0,7.5,7.5,7.5,7.4
26/08/09,4035000.0,7.5,7.5,7.5,7.5
03/09/09,1846700.0,7.3,7.7,7.7,7.3
04/09/09,27191700.0,7.8,8.3,8.5,7.8
16/09/09,7484800.0,8.5,8.5,8.5,8.3
17/09/09,5936900.0,8.4,8.5,8.5,8.4
18/09/09,3841500.0,8.4,8.5,8.5,8.4
22/09/09,24169600.0,8.2,8.2,8.3,8.2
23/09/09,1416500.0,8.2,8.5,8.5,8.2
30/09/09,7157500.0,8.2,8.4,8.4,8.2
01/10/09,13544700.0,8.3,8.5,8.5,8.3
02/10/09,2114200.0,8.1,8.4,8.4,8.1
05/10/09,6352400.0,8.2,8.4,8.4,8.2
06/10/09,3452300.0,8.2,8.3,8.3,8.2
07/10/09,1494000.0,8.3,8.3,8.3,8.3
08/10/09,149500.0,8.3,8.4,8.4,8.3
09/10/09,1873200.0,8.4,8.4,8.4,8.4
12/10/09,16900.0,8.5,8.4,8.5,8.4
13/10/09,1336300.0,8.3,8.3,8.3,8.3
14/10/09,7710800.0,8.3,8.4,8.4,8.3
15/10/09,25032800.0,8.3,8.3,8.3,8.3
16/10/09,19748100.0,8.3,8.4,8.4,8.3
19/10/09,1943900.0,8.4,8.3,8.4,8.3
20/10/09,2680900.0,8.3,8.3,8.3,8.3
21/10/09,5773800.0,8.3,8.3,8.3,8.2
22/10/09,1172600.0,8.2,8.2,8.2,8.2
23/10/09,12375900.0,8.1,8.1,8.2,8.0
26/10/09,7779500.0,8.1,8.0,8.1,8.0
27/10/09,1860500.0,8.0,8.1,8.1,7.9
28/10/09,21860300.0,8.0,8.0,8.0,7.9
29/10/09,7245500.0,7.8,7.7,7.8,7.7
30/10/09,18107200.0,7.9,7.8,7.9,7.7
03/11/09,4042500.0,7.7,7.7,7.7,7.7
04/11/09,254100.0,7.7,7.7,7.7,7.7
05/11/09,800800.0,7.7,7.7,7.7,7.7
06/11/09,818700.0,7.7,7.8,7.8,7.7
09/11/09,1442300.0,7.7,7.7,7.8,7.7
10/11/09,21260200.0,7.7,7.8,7.8,7.7
11/11/09,23392700.0,7.7,7.7,7.8,7.7
16/12/09,8393500.0,7.8,7.8,7.8,7.7
17/12/09,13282900.0,7.7,7.8,7.8,7.7
21/12/09,998400.0,7.8,7.8,7.8,7.8
22/12/09,43808500.0,7.7,7.7,7.7,7.6
23/12/09,44313500.0,7.7,7.7,7.7,7.7
29/12/09,10289500.0,7.6,8.1,8.1,7.6
04/01/10,724800.0,7.9,7.8,7.9,7.7
05/01/10,2733500.0,7.7,7.7,7.7,7.7
06/01/10,14326100.0,7.7,7.7,7.7,7.6
07/01/10,1284300.0,7.6,7.5,7.6,7.5
08/01/10,81833300.0,7.6,7.5,7.6,7.5
11/01/10,3240000.0,7.6,7.6,7.7,7.6
12/01/10,8086500.0,7.6,7.6,7.7,7.6
13/01/10,4420700.0,7.7,7.7,7.7,7.6
14/01/10,10079300.0,7.6,7.6,7.6,7.4
15/01/10,6408800.0,7.6,7.6,7.7,7.6
18/01/10,2527500.0,7.5,7.5,7.5,7.5
19/01/10,1177500.0,7.5,7.5,7.5,7.5
20/01/10,9090000.0,7.5,7.5,7.5,7.5
21/01/10,1755000.0,7.5,7.5,7.5,7.5
22/01/10,91222500.0,7.5,7.5,7.5,7.5
25/01/10,8606200.0,7.4,7.4,7.4,7.4
26/01/10,15741300.0,7.4,7.1,7.4,7.1
27/01/10,2401600.0,7.1,7.0,7.1,7.0
28/01/10,6297200.0,7.0,7.4,7.4,7.0
29/01/10,6884900.0,7.3,7.3,7.4,7.3
01/02/10,2272900.0,7.2,7.3,7.3,7.1
02/02/10,1706000.0,7.3,7.1,7.3,7.1
03/02/10,16299300.0,7.1,7.0,7.1,7.0
