Date,Value,Open,Close,High,Low
03/08/09,2928600.0,6.8,6.8,6.8,6.7
04/08/09,11590600.0,6.9,6.9,7.1,6.8
06/08/09,2510600.0,7.0,6.7,7.0,6.7
07/08/09,3769100.0,6.8,6.7,6.8,6.7
10/08/09,1072900.0,6.8,6.7,6.8,6.7
11/08/09,2343500.0,6.7,6.7,6.9,6.7
12/08/09,1704900.0,6.8,6.7,6.8,6.7
13/08/09,34940200.0,6.8,7.8,7.8,6.8
14/08/09,8749400.0,7.8,7.4,8.0,7.4
17/08/09,4135500.0,7.5,7.2,7.5,7.2
18/08/09,3593700.0,7.0,7.2,7.2,6.9
19/08/09,7007000.0,7.2,7.4,7.4,7.1
20/08/09,2516700.0,7.4,7.5,7.5,7.4
24/08/09,2955300.0,7.6,7.6,7.6,7.5
25/08/09,3077900.0,7.6,7.5,7.6,7.4
26/08/09,4280100.0,7.5,7.6,7.6,7.5
03/09/09,3393100.0,7.8,7.9,7.9,7.7
04/09/09,15934400.0,7.9,8.3,8.5,7.9
16/09/09,1817900.0,8.3,8.3,8.4,8.3
17/09/09,1441800.0,8.3,8.2,8.3,8.2
18/09/09,3744400.0,8.2,8.2,8.3,8.1
22/09/09,1619500.0,8.3,8.3,8.3,8.2
23/09/09,4786800.0,8.2,8.4,8.5,8.2
30/09/09,4916400.0,8.2,8.2,8.2,8.1
01/10/09,1025700.0,8.2,8.3,8.3,8.2
02/10/09,2113900.0,8.2,8.2,8.2,8.1
05/10/09,278800.0,8.2,8.2,8.2,8.2
06/10/09,2772600.0,8.3,8.2,8.3,8.1
07/10/09,2406800.0,8.2,8.3,8.3,8.2
08/10/09,3614600.0,8.3,8.4,8.4,8.3
09/10/09,1050000.0,8.4,8.4,8.4,8.4
12/10/09,987700.0,8.3,8.3,8.3,8.3
13/10/09,1646900.0,8.3,8.3,8.5,8.2
14/10/09,1506500.0,8.3,8.4,8.4,8.3
15/10/09,770600.0,8.4,8.3,8.4,8.3
16/10/09,3333800.0,8.3,8.4,8.4,8.3
19/10/09,292900.0,8.4,8.3,8.4,8.3
20/10/09,4930200.0,8.4,8.3,8.4,8.3
21/10/09,616000.0,8.4,8.3,8.4,8.3
22/10/09,2124900.0,8.4,8.2,8.4,8.2
23/10/09,710800.0,8.2,8.3,8.3,8.2
26/10/09,1617400.0,8.3,8.2,8.3,8.0
27/10/09,2365700.0,8.1,8.1,8.2,8.0
28/10/09,320500.0,8.0,8.0,8.1,8.0
29/10/09,1571100.0,8.0,7.8,8.0,7.8
30/10/09,2834200.0,8.0,8.0,8.1,8.0
03/11/09,1755300.0,8.0,7.9,8.0,7.9
04/11/09,515600.0,7.8,7.8,7.9,7.8
05/11/09,898100.0,7.9,7.8,7.9,7.8
06/11/09,1445000.0,7.9,7.9,8.0,7.8
09/11/09,568800.0,7.9,7.9,7.9,7.9
10/11/09,5430100.0,7.9,8.0,8.0,7.9
11/11/09,2478200.0,8.0,7.9,8.0,7.9
15/12/09,154500.0,7.7,7.8,7.8,7.7
16/12/09,139800.0,7.8,7.7,7.8,7.7
17/12/09,739200.0,7.7,7.7,7.7,7.7
18/12/09,569800.0,7.7,7.7,7.7,7.7
21/12/09,285800.0,7.8,7.7,7.8,7.7
22/12/09,184800.0,7.7,7.7,7.7,7.7
23/12/09,1063700.0,7.7,7.7,7.8,7.7
29/12/09,3201600.0,7.6,7.8,7.8,7.6
04/01/10,993100.0,7.7,7.7,7.7,7.6
05/01/10,4196600.0,7.8,7.7,7.8,7.7
06/01/10,5485300.0,7.7,7.6,7.7,7.6
07/01/10,3328700.0,7.6,7.6,7.6,7.5
08/01/10,750900.0,7.6,7.5,7.6,7.5
11/01/10,3917600.0,7.6,7.6,7.7,7.6
12/01/10,5187900.0,7.6,7.7,7.7,7.6
13/01/10,1024100.0,7.7,7.7,7.7,7.7
14/01/10,816200.0,7.7,7.7,7.7,7.7
15/01/10,869600.0,7.7,7.7,7.7,7.6
18/01/10,730000.0,7.6,7.7,7.7,7.6
19/01/10,2135600.0,7.6,7.6,7.6,7.6
20/01/10,45300.0,7.6,7.5,7.6,7.5
21/01/10,2038900.0,7.5,7.6,7.6,7.5
22/01/10,2407300.0,7.5,7.6,7.6,7.5
25/01/10,2035100.0,7.5,7.4,7.5,7.3
26/01/10,2421700.0,7.4,7.3,7.4,7.2
27/01/10,2171000.0,7.3,7.1,7.3,7.0
28/01/10,577600.0,7.0,7.3,7.3,7.0
29/01/10,939500.0,7.3,7.4,7.4,7.3
01/02/10,2466700.0,7.4,7.2,7.4,7.2
02/02/10,1197500.0,7.6,7.3,7.6,7.3
