Date,Value,Open,Close,High,Low
20/04/12,3312679758.0,500.0,492.0,500.0,481.2
23/04/12,543599384.0,491.0,492.2,495.0,490.0
24/04/12,335361640.0,491.0,491.2,492.0,486.6
25/04/12,710712399.0,491.8,513.0,516.5,491.8
26/04/12,211630410.0,515.0,508.0,520.0,506.0
27/04/12,323535795.0,510.0,502.5,510.0,501.0
30/04/12,101982790.0,503.5,509.0,510.0,501.0
02/05/12,168251290.0,510.0,510.0,515.0,510.0
03/05/12,657467754.0,509.0,500.5,510.0,494.6
04/05/12,236945405.0,501.0,511.5,512.0,501.0
07/05/12,204811180.0,510.0,500.0,510.0,500.0
08/05/12,91789390.0,500.0,503.0,506.0,500.0
09/05/12,105264805.0,503.0,502.0,504.0,500.5
10/05/12,188380888.0,500.0,493.0,501.0,489.0
11/05/12,104004334.0,493.0,491.0,500.0,490.0
14/05/12,99059510.0,490.0,470.0,490.0,468.4
15/05/12,356682382.0,470.0,465.6,470.0,455.4
16/05/12,109480180.0,470.0,470.0,480.0,467.0
17/05/12,106750484.0,475.0,482.0,493.0,470.0
18/05/12,84573722.0,475.0,465.0,475.0,463.0
21/05/12,131692270.0,462.2,472.0,478.0,460.8
22/05/12,67334506.0,480.0,472.2,490.0,472.2
23/05/12,56011810.0,479.0,480.0,480.0,476.0
24/05/12,25294010.0,468.0,479.0,480.0,468.0
25/05/12,112839274.0,479.0,479.0,479.8,478.0
28/05/12,33027300.0,480.0,483.0,483.0,478.0
29/05/12,375934466.0,483.2,498.0,501.0,481.0
30/05/12,172034514.0,498.0,500.0,500.0,495.0
31/05/12,83145948.0,495.0,500.0,503.0,482.0
01/06/12,73823318.0,498.0,499.0,499.6,497.0
04/06/12,50726404.0,497.0,476.2,497.0,476.0
05/06/12,52101712.0,476.4,477.0,481.0,476.4
06/06/12,26648732.0,478.0,478.0,481.0,477.0
07/06/12,102522002.0,478.2,479.0,488.0,478.2
08/06/12,4923602.0,475.2,481.0,483.0,475.2
11/06/12,22785690.0,479.0,483.0,483.0,479.0
13/06/12,20351040.0,483.0,484.2,490.0,483.0
14/06/12,60749718.0,484.0,484.0,487.0,484.0
15/06/12,17660740.0,482.0,482.0,482.6,482.0
18/06/12,122800322.0,482.2,496.2,499.6,482.2
19/06/12,5646412.0,497.0,492.2,497.0,490.0
