Date,Value,Open,Close,High,Low
03/08/09,25875.0,17.25,17.25,17.25,17.25
04/08/09,70725.0,17.25,17.25,17.25,17.25
06/08/09,2682275.0,17.5,18.0,18.5,17.5
07/08/09,14393400.0,18.25,18.75,18.75,18.0
10/08/09,1937450.0,18.75,18.25,18.75,18.25
11/08/09,1757475.0,18.25,18.25,18.25,18.25
12/08/09,3432825.0,18.25,18.25,18.25,18.25
13/08/09,4515050.0,18.25,18.25,18.25,18.25
14/08/09,12509600.0,18.25,18.5,18.5,18.25
17/08/09,3664725.0,18.5,18.25,18.5,18.25
18/08/09,1687325.0,17.75,17.75,17.75,17.5
19/08/09,126000.0,18.0,18.0,18.0,18.0
20/08/09,160200.0,18.0,18.0,18.0,18.0
24/08/09,1278075.0,18.25,18.0,18.25,18.0
25/08/09,1005600.0,18.0,18.0,18.25,18.0
26/08/09,2038375.0,18.0,17.75,18.0,17.75
03/09/09,340200.0,18.0,18.0,18.0,18.0
04/09/09,1775350.0,18.25,18.25,18.5,18.25
16/09/09,51800.0,18.5,18.5,18.5,18.5
17/09/09,4787925.0,18.75,19.0,19.25,18.75
18/09/09,1455350.0,19.0,19.0,19.0,18.75
22/09/09,470000.0,19.0,18.75,19.0,18.75
23/09/09,1022950.0,18.75,18.75,19.0,18.75
30/09/09,1226475.0,18.5,18.25,18.5,18.25
01/10/09,500500.0,18.25,18.25,18.5,18.25
02/10/09,452600.0,18.25,18.25,18.25,18.25
05/10/09,543000.0,18.5,19.0,19.0,18.5
06/10/09,157250.0,19.0,18.5,19.25,18.5
07/10/09,109600.0,19.0,19.0,19.0,18.5
08/10/09,131250.0,18.75,18.75,18.75,18.75
09/10/09,137500.0,18.75,18.75,18.75,18.5
12/10/09,5015400.0,19.0,19.0,19.0,18.75
13/10/09,496550.0,19.0,19.0,19.0,18.75
14/10/09,8536200.0,19.0,19.0,19.0,18.75
15/10/09,703000.0,19.0,19.0,19.0,19.0
16/10/09,1805000.0,19.0,19.0,19.0,19.0
19/10/09,904400.0,19.0,19.0,19.0,19.0
20/10/09,4997000.0,19.0,19.0,19.0,19.0
21/10/09,7447025.0,19.0,20.0,20.25,19.0
22/10/09,3368075.0,20.5,21.5,21.75,20.25
23/10/09,7356550.0,22.0,23.0,23.75,22.0
26/10/09,2159200.0,23.0,22.25,23.5,22.25
27/10/09,3272625.0,22.0,22.25,22.5,21.5
28/10/09,4543250.0,22.0,21.5,22.25,21.5
29/10/09,472775.0,21.75,21.5,21.75,21.5
30/10/09,1827625.0,21.5,22.5,22.5,21.5
03/11/09,3232425.0,22.25,22.0,22.25,21.5
04/11/09,1953175.0,22.5,22.75,23.25,22.5
05/11/09,1720375.0,22.75,23.0,23.0,22.75
06/11/09,1482825.0,22.75,22.5,22.75,22.5
09/11/09,835700.0,22.5,22.0,22.5,21.75
10/11/09,649000.0,22.0,22.0,22.0,22.0
11/11/09,773425.0,22.25,22.0,22.25,22.0
15/12/09,86500.0,21.75,21.5,21.75,21.5
16/12/09,250150.0,21.5,21.5,21.5,20.5
