Date,Value,Open,Close,High,Low
23/09/11,772500.0,154.5,154.5,154.5,154.5
29/09/11,11580.0,231.6,231.6,231.6,231.6
03/10/11,416800.0,521.0,521.0,521.0,521.0
04/10/11,312600.0,781.5,781.5,781.5,781.5
05/10/11,404260.0,1172.0,850.0,1172.0,800.0
06/10/11,140715.0,782.0,781.5,782.0,781.5
10/10/11,7815.0,781.5,781.5,781.5,781.5
13/10/11,31260.0,781.5,781.5,781.5,781.5
14/10/11,85965.0,781.5,781.5,781.5,781.5
26/10/11,5850.0,11.7,11.7,11.7,11.7
27/10/11,973656.0,17.0,17.54,17.54,17.0
28/10/11,2338820.0,25.0,26.3,26.3,20.0
02/11/11,1155540.0,26.55,39.45,39.45,26.55
03/11/11,3439445.0,59.15,59.15,59.15,58.0
04/11/11,4669458.5,78.95,48.05,78.95,29.8
08/11/11,806470.0,48.05,44.75,51.0,35.05
09/11/11,1256890.0,38.0,37.0,39.1,37.0
10/11/11,114200.0,36.0,36.0,36.0,32.0
11/11/11,37600.0,37.5,37.9,37.9,37.0
15/11/11,145665.0,33.0,33.05,33.5,33.0
16/11/11,173305.0,33.05,30.55,33.05,30.55
17/11/11,48060.0,30.0,30.05,30.1,30.0
18/11/11,103780.0,37.0,30.1,37.0,30.05
21/11/11,62100.0,34.0,31.0,34.0,30.5
22/11/11,92750.0,29.0,30.45,30.45,26.0
23/11/11,69005.0,27.0,27.5,29.95,27.0
24/11/11,72250.0,29.0,28.0,29.0,27.5
25/11/11,160920.0,29.8,29.8,29.8,29.8
28/11/11,139070.0,28.0,34.9,38.0,28.0
29/11/11,257580.0,30.0,30.05,32.0,29.0
01/12/11,157080.0,32.95,29.0,32.95,29.0
02/12/11,2800.0,28.0,28.0,28.0,28.0
05/12/11,128310.0,27.2,27.3,27.35,27.2
06/12/11,91735.0,30.9,27.0,30.9,27.0
07/12/11,29700.0,27.0,27.0,27.0,27.0
08/12/11,110070.0,27.0,27.0,27.0,26.3
13/12/11,11000.0,27.0,28.0,28.0,27.0
14/12/11,386350.0,30.0,31.0,36.0,30.0
15/12/11,476205.0,35.0,29.0,39.0,29.0
16/12/11,130350.0,27.0,32.5,33.0,27.0
19/12/11,25490.0,31.8,31.9,31.9,31.8
21/12/11,5550.0,26.5,29.0,29.0,26.5
22/12/11,41030.0,25.05,30.1,30.1,25.05
27/12/11,51000.0,25.5,25.5,25.5,25.5
28/12/11,3080.0,30.8,30.8,30.8,30.8
02/01/12,20160.0,28.8,28.8,28.8,28.8
03/01/12,34700.0,26.0,27.0,27.0,26.0
04/01/12,85560.0,26.0,25.5,26.0,25.5
05/01/12,15495.0,26.0,25.7,26.0,25.7
06/01/12,13560.0,25.8,28.0,28.0,25.8
09/01/12,33440.0,25.7,25.6,27.0,25.6
10/01/12,89960.0,25.25,28.5,28.5,25.2
13/01/12,170640.0,25.05,27.8,27.8,25.0
19/01/12,51590.0,24.0,26.9,26.9,22.0
20/01/12,81580.0,25.0,26.9,27.0,25.0
24/01/12,27500.0,27.5,27.5,27.5,27.5
25/01/12,15240.0,25.0,27.4,27.4,25.0
27/01/12,11860.0,23.0,26.6,26.6,23.0
31/01/12,8045.0,26.6,27.25,27.25,26.6
03/02/12,44115.0,22.15,22.0,22.15,22.0
06/02/12,210360.0,22.15,20.05,22.15,20.05
07/02/12,192200.0,20.0,20.0,22.0,20.0
08/02/12,74400.0,17.0,18.5,24.0,17.0
09/02/12,113100.0,25.8,18.0,25.8,18.0
10/02/12,42322.0,22.0,19.98,22.0,17.02
13/02/12,18300.0,20.0,23.0,23.0,20.0
14/02/12,29452.0,18.24,18.04,20.0,18.04
15/02/12,7232.0,18.08,18.08,18.08,18.08
16/02/12,24900.0,18.1,20.0,20.9,18.1
20/02/12,4000.0,20.0,20.0,20.0,20.0
21/02/12,8000.0,20.0,20.0,20.0,20.0
22/02/12,10000.0,20.0,20.0,20.0,20.0
23/02/12,72712.0,18.0,18.9,19.0,17.0
02/03/12,3779.9999999999995,18.9,18.9,18.9,18.9
05/03/12,6080.0,18.9,23.0,23.0,18.9
16/03/12,27940.0,19.8,20.0,20.0,19.8
19/03/12,65000.0,21.0,20.0,21.0,20.0
20/03/12,111000.0,20.0,20.0,21.0,20.0
21/03/12,12500.0,20.0,21.0,21.0,20.0
22/03/12,90080.0,20.05,20.0,20.05,20.0
27/03/12,40000.0,20.0,20.0,20.0,20.0
28/03/12,140000.0,20.0,20.0,20.0,20.0
29/03/12,127550.0,20.0,22.0,22.25,20.0
30/03/12,33750.0,21.5,20.0,21.5,20.0
03/04/12,478630.0,22.0,30.0,30.0,22.0
23/04/12,389750.0,30.15,27.2,37.0,27.2
24/04/12,45040.0,30.0,27.5,32.0,25.0
25/04/12,34715.0,25.0,23.15,25.0,23.0
26/04/12,60400.0,31.0,29.0,31.0,29.0
27/04/12,75015.0,23.3,22.0,28.0,22.0
30/04/12,60820.0,24.2,24.25,25.5,24.0
02/05/12,560465.0,27.0,31.9,36.0,27.0
03/05/12,143820.0,31.9,31.95,32.0,31.9
04/05/12,355110.0,32.5,34.0,34.5,32.0
07/05/12,57690.0,34.0,34.0,34.0,33.8
08/05/12,26380.0,34.0,33.5,34.0,32.0
09/05/12,643210.0,32.1,32.0,32.1,32.0
10/05/12,295780.0,32.5,32.1,40.0,32.0
11/05/12,227285.0,32.05,32.0,32.05,32.0
14/05/12,22400.0,32.0,32.0,32.0,32.0
15/05/12,11900.0,29.0,32.0,32.0,29.0
17/05/12,809600.0,32.0,32.0,32.0,32.0
30/05/12,17305.0,25.55,31.0,31.0,25.55
01/06/12,9985.0,22.1,29.75,29.75,22.1
06/06/12,5000.0,25.0,25.0,25.0,25.0
07/06/12,8250.0,27.5,27.5,27.5,27.5
26/06/12,4400.0,22.0,22.0,22.0,22.0
02/07/12,22000.0,22.0,22.0,22.0,22.0
03/07/12,5000.0,24.0,26.0,26.0,24.0
06/07/12,66550.0,27.9,27.0,30.0,27.0
17/07/12,2900.0,29.0,29.0,29.0,29.0
25/07/12,2900.0,29.0,29.0,29.0,29.0
01/08/12,16300.0,23.0,24.0,24.0,23.0
03/08/12,9485.0,23.45,24.5,24.5,23.45
08/08/12,21030.0,23.0,25.3,25.3,23.0
09/08/12,2600.0,26.0,26.0,26.0,26.0
15/08/12,27620.0,23.0,23.0,23.05,23.0
16/08/12,26450.0,24.0,24.5,24.5,24.0
22/08/12,73770.0,25.0,24.5,25.0,24.5
23/08/12,1245340.0,24.5,24.5,24.6,24.5
24/08/12,490000.0,24.5,24.5,24.5,24.5
19/09/12,44000.0,22.0,22.0,22.0,22.0
20/09/12,2200.0,22.0,22.0,22.0,22.0
24/09/12,22500.0,22.5,22.5,22.5,22.5
26/09/12,60325.0,21.75,20.0,22.0,20.0
27/09/12,274000.0,20.0,20.0,20.0,20.0
28/09/12,22100.0,20.0,21.0,21.0,20.0
01/10/12,66000.0,20.0,20.0,20.0,20.0
04/10/12,67460.0,17.0,16.8,17.0,16.8
05/10/12,14084.0,16.84,18.0,18.0,16.84
09/10/12,25300.0,16.5,17.0,17.0,16.5
10/10/12,66000.0,16.5,16.5,16.5,16.5
16/10/12,9780.0,16.3,16.3,16.3,16.3
09/11/12,1900.0,19.0,19.0,19.0,19.0
22/11/12,11300.0,10.0,19.0,19.0,10.0
04/12/12,159590.0,18.9,19.0,19.0,18.9
10/12/12,9500.0,19.0,19.0,19.0,19.0
11/12/12,114000.0,19.0,19.0,19.0,19.0
