Date,Value,Open,Close,High,Low
29/06/16,491378516.0,11.0,15.74,15.74,10.82
30/06/16,581365895.0,20.0,20.3,23.1,17.5
01/07/16,210061977.0,19.5,19.2,21.85,18.1
04/07/16,71977814.0,19.1,17.72,19.12,17.22
05/07/16,96036230.0,17.5,18.62,18.9,16.2
07/07/16,48255328.0,19.04,17.9,19.5,17.9
08/07/16,10081886.0,18.3,18.0,18.38,17.8
11/07/16,16361724.0,18.0,17.48,18.1,17.4
12/07/16,22249936.0,17.7,17.98,18.2,16.8
13/07/16,12073648.0,18.0,17.7,18.3,17.52
14/07/16,8380310.0,17.9,17.88,18.0,17.58
15/07/16,9771122.0,17.9,17.04,17.9,17.04
18/07/16,11856226.0,17.0,17.02,17.3,16.6
19/07/16,6445686.0,17.14,16.9,17.2,16.8
20/07/16,6441276.0,16.8,17.18,17.26,16.44
21/07/16,4479370.0,17.0,17.0,17.1,16.52
22/07/16,3481250.0,17.1,16.96,17.2,16.8
25/07/16,5858866.0,16.96,16.7,16.96,16.68
26/07/16,5484746.0,16.7,16.7,16.92,16.64
27/07/16,10834196.0,16.96,16.6,17.24,16.6
28/07/16,9530322.0,16.7,16.48,16.7,16.06
29/07/16,2572338.0,16.12,16.18,16.26,16.12
01/08/16,9537796.0,16.18,16.12,16.18,15.6
02/08/16,4764218.0,16.16,15.66,16.16,15.64
03/08/16,7621760.0,15.66,15.62,15.66,15.2
04/08/16,4283486.0,15.52,16.08,16.2,15.4
05/08/16,1589696.0,16.2,15.78,16.2,15.78
08/08/16,1230540.0,16.0,15.7,16.0,15.5
09/08/16,2721054.0,15.7,15.22,15.9,15.2
10/08/16,966700.0,15.22,15.36,15.46,15.22
11/08/16,4901348.0,15.36,15.42,15.88,15.22
12/08/16,2505536.0,15.42,15.86,15.86,15.3
15/08/16,5597028.0,15.86,15.9,16.38,15.6
16/08/16,3311476.0,15.92,15.94,16.14,15.46
17/08/16,19818022.0,16.0,16.7,16.9,15.82
18/08/16,8735612.0,16.78,16.7,17.0,16.7
19/08/16,7260884.0,16.5,15.8,16.66,15.8
22/08/16,4277024.0,15.54,15.8,16.0,15.46
23/08/16,1709322.0,15.8,15.6,15.8,15.52
24/08/16,3360956.0,15.54,15.5,15.84,15.4
25/08/16,1159102.0,15.36,15.7,15.78,15.3
26/08/16,695788.0,15.3,15.7,15.7,15.3
30/08/16,1422726.0,15.4,15.6,15.6,15.34
31/08/16,5939036.0,15.34,15.6,15.6,14.8
01/09/16,2390822.0,15.06,15.14,15.46,15.06
02/09/16,2111728.0,15.14,15.14,15.2,14.9
05/09/16,3582028.0,15.14,15.0,15.14,14.74
05/09/16,3582028.0,15.14,15.0,15.14,14.74
06/09/16,2613460.0,14.96,14.94,14.96,14.52
07/09/16,3362914.0,14.92,14.38,14.92,14.38
08/09/16,1945104.0,14.38,14.36,14.38,13.6
09/09/16,523226.0,14.3,14.0,14.3,14.0
13/09/16,1006024.0,14.1,13.7,14.5,13.7
14/09/16,1359810.0,13.6,14.0,14.0,13.4
15/09/16,1870260.0,14.0,13.72,14.0,13.56
16/09/16,1453052.0,13.72,13.68,13.74,13.5
19/09/16,1030768.0,13.72,13.82,13.88,13.7
20/09/16,1290604.0,13.84,14.12,14.14,13.84
21/09/16,874740.0,14.1,14.2,14.2,14.08
22/09/16,594250.0,14.18,14.16,14.18,14.02
23/09/16,954342.0,14.16,13.7,14.16,13.7
26/09/16,663518.0,13.72,13.98,14.0,13.58
27/09/16,720706.0,13.96,13.88,13.96,13.34
28/09/16,202006.0,13.5,13.88,13.88,13.5
29/09/16,441072.0,13.88,13.84,13.88,13.54
30/09/16,1029162.0,13.86,13.98,13.98,13.62
03/10/16,5563360.0,14.0,14.32,14.54,14.0
04/10/16,1887770.0,14.4,14.7,14.7,14.4
05/10/16,2961650.0,14.74,14.94,15.02,14.56
06/10/16,1927628.0,14.94,14.5,14.94,14.08
07/10/16,987616.0,14.08,14.42,14.42,14.08
10/10/16,704560.0,14.0,14.1,14.1,13.76
11/10/16,735124.0,13.8,13.92,14.0,13.4
12/10/16,171326.0,13.96,13.92,14.0,13.62
