Date,Value,Open,Close,High,Low
28/09/11,51000.0,30.0,30.0,30.0,30.0
24/10/11,33000.0,33.0,33.0,33.0,33.0
05/01/12,4800.0,48.0,48.0,48.0,48.0
06/01/12,30500.0,70.0,48.0,70.0,31.0
09/01/12,9680.0,26.0,35.4,35.4,26.0
12/01/12,6000.0,30.0,30.0,30.0,30.0
22/03/12,17975.0,44.85,45.0,45.0,44.85
13/04/12,5360.0,26.8,26.8,26.8,26.8
31/05/12,33000.0,33.0,33.0,33.0,33.0
05/06/12,13018500.0,33.0,33.0,33.0,33.0
09/07/12,12000.0,40.0,40.0,40.0,40.0
01/08/12,43500.0,43.0,44.0,44.0,43.0
10/08/12,135000.0,45.0,45.0,45.0,45.0
04/10/12,45000.0,45.0,45.0,45.0,45.0
14/04/14,13500.0,45.0,45.0,45.0,45.0
14/05/14,4500.0,45.0,45.0,45.0,45.0
15/05/14,9000.0,45.0,45.0,45.0,45.0
19/05/14,4000.0,40.0,40.0,40.0,40.0
19/06/14,11600.0,40.0,38.0,40.0,38.0
24/06/14,9400.0,47.0,47.0,47.0,47.0
26/06/14,184285.0,49.5,50.0,70.5,49.5
27/06/14,114524.0,70.0,49.1,70.0,49.0
17/07/14,5195.0,51.95,51.95,51.95,51.95
21/07/14,38767.0,42.0,46.5,46.5,41.0
13/10/14,7100.0,35.5,35.5,35.5,35.5
14/10/14,28400.0,35.5,35.5,35.5,35.5
23/10/14,6000.0,30.0,30.0,30.0,30.0
11/12/14,5000.0,25.0,25.0,25.0,25.0
07/01/15,22845.0,20.2,24.0,24.0,20.2
08/01/15,7200.0,24.0,24.0,24.0,24.0
14/01/15,19200.0,24.0,24.0,24.0,24.0
19/01/15,7200.0,24.0,24.0,24.0,24.0
23/01/15,2400.0,24.0,24.0,24.0,24.0
27/01/15,2405.0,24.05,24.05,24.05,24.05
05/03/15,9680.0,24.2,24.2,24.2,24.2
16/03/15,2995.0,29.95,29.95,29.95,29.95
04/05/15,762180.0,30.0,44.9,44.9,30.0
05/05/15,997430.0,50.0,45.9,59.0,38.0
06/05/15,760930.0,46.9,39.0,46.9,32.0
07/05/15,521360.0,40.5,32.0,44.0,28.0
08/05/15,56470.0,23.5,30.4,30.4,23.5
