Date,Value,Open,Close,High,Low
03/08/09,3405800.0,0.125,0.13,0.13,0.12
04/08/09,3230500.0,0.125,0.13,0.13,0.125
06/08/09,1585300.0,0.125,0.13,0.13,0.125
07/08/09,6689550.0,0.125,0.125,0.13,0.12
10/08/09,2339100.0,0.12,0.125,0.125,0.12
11/08/09,8274750.0,0.125,0.125,0.125,0.12
12/08/09,10385700.0,0.12,0.12,0.12,0.115
13/08/09,3126350.0,0.12,0.125,0.125,0.12
14/08/09,1300300.0,0.12,0.115,0.125,0.115
17/08/09,4266600.0,0.12,0.12,0.12,0.11
18/08/09,555150.0,0.12,0.12,0.12,0.115
19/08/09,656800.0,0.115,0.12,0.12,0.115
20/08/09,5737300.0,0.12,0.125,0.125,0.115
24/08/09,3692000.0,0.12,0.125,0.125,0.115
25/08/09,2618600.0,0.125,0.125,0.125,0.115
26/08/09,924300.0,0.125,0.125,0.125,0.12
03/09/09,5142500.0,0.12,0.125,0.125,0.12
04/09/09,4435450.0,0.125,0.125,0.125,0.115
16/09/09,8675600.0,0.12,0.125,0.13,0.12
17/09/09,13599550.0,0.125,0.13,0.13,0.12
18/09/09,16293100.0,0.125,0.13,0.13,0.12
22/09/09,3548250.0,0.125,0.13,0.13,0.125
23/09/09,2999100.0,0.125,0.13,0.13,0.12
30/09/09,7341250.0,0.125,0.125,0.125,0.115
01/10/09,5938450.0,0.125,0.12,0.125,0.115
02/10/09,1382150.0,0.115,0.115,0.12,0.115
05/10/09,7355600.0,0.12,0.11,0.12,0.11
06/10/09,5149300.0,0.105,0.115,0.115,0.105
07/10/09,692400.0,0.115,0.115,0.115,0.11
08/10/09,5833150.0,0.11,0.115,0.115,0.105
09/10/09,273100.0,0.11,0.115,0.115,0.11
12/10/09,1361900.0,0.115,0.115,0.115,0.11
13/10/09,1915000.0,0.115,0.115,0.115,0.11
14/10/09,274000.0,0.11,0.115,0.115,0.11
15/10/09,854400.0,0.115,0.115,0.115,0.11
