Date,Value,Open,Close,High,Low
17/01/22,354122000.0,1.49,1.6,1.73,1.45
18/01/22,115544010.0,1.65,1.6,1.71,1.56
19/01/22,73757690.0,1.58,1.55,1.59,1.52
20/01/22,50121830.0,1.54,1.49,1.58,1.47
21/01/22,33444310.0,1.5,1.5,1.51,1.48
24/01/22,28238570.0,1.49,1.42,1.49,1.4
25/01/22,8087910.0,1.42,1.32,1.42,1.32
26/01/22,9444220.0,1.32,1.3,1.37,1.28
27/01/22,18970040.0,1.28,1.28,1.35,1.22
27/01/22,18970040.0,1.28,1.28,1.35,1.22
27/01/22,18970040.0,1.28,1.28,1.35,1.22
28/01/22,12329710.0,1.31,1.28,1.35,1.25
31/01/22,7502670.0,1.27,1.25,1.28,1.23
31/01/22,7502670.0,1.27,1.25,1.28,1.23
02/02/22,8324720.0,1.25,1.2,1.27,1.2
02/02/22,8324720.0,1.25,1.2,1.27,1.2
03/02/22,20878100.0,1.2,1.3,1.32,1.2
03/02/22,20878100.0,1.2,1.3,1.32,1.2
04/02/22,12775740.0,1.32,1.22,1.33,1.21
04/02/22,12775740.0,1.32,1.22,1.33,1.21
07/02/22,4632070.0,1.22,1.22,1.26,1.2
07/02/22,4632070.0,1.22,1.22,1.26,1.2
08/02/22,3708480.0,1.26,1.22,1.27,1.21
09/02/22,6685390.0,1.22,1.22,1.25,1.2
10/02/22,3507310.0,1.21,1.21,1.23,1.2
11/02/22,9289380.0,1.2,1.2,1.23,1.18
14/02/22,5522700.0,1.22,1.2,1.22,1.2
15/02/22,3889080.0,1.2,1.17,1.2,1.17
16/02/22,5760960.0,1.17,1.14,1.19,1.14
17/02/22,7198230.0,1.14,1.1,1.16,1.08
18/02/22,5856720.0,1.08,1.1,1.12,1.06
21/02/22,3210730.0,1.08,1.08,1.09,1.04
21/02/22,3210730.0,1.08,1.08,1.09,1.04
21/02/22,3210730.0,1.08,1.08,1.09,1.04
22/02/22,6515470.0,1.05,1.0,1.08,1.0
23/02/22,1323970.0,1.01,1.04,1.04,1.0
24/02/22,3197450.0,1.02,0.97,1.03,0.96
24/02/22,3197450.0,1.02,0.97,1.03,0.96
28/02/22,1665300.0,0.97,0.97,0.98,0.95
01/03/22,1448730.0,0.97,1.01,1.01,0.97
02/03/22,1387420.0,1.01,0.99,1.01,0.97
03/03/22,981560.0,0.98,0.99,1.0,0.98
04/03/22,857680.0,1.0,0.98,1.0,0.97
04/03/22,857680.0,1.0,0.98,1.0,0.97
07/03/22,2263700.0,0.98,1.0,1.0,0.97
08/03/22,769100.0,1.0,0.97,1.0,0.97
09/03/22,1188370.0,0.97,0.97,0.99,0.96
10/03/22,1702460.0,0.97,0.96,0.97,0.95
11/03/22,753680.0,0.95,0.96,0.97,0.95
14/03/22,2550030.0,0.95,0.89,0.95,0.89
15/03/22,1146550.0,0.88,0.84,0.89,0.82
16/03/22,130700.0,0.85,0.89,0.89,0.85
17/03/22,924200.0,0.89,0.94,0.95,0.89
18/03/22,934150.0,0.95,0.96,0.96,0.95
21/03/22,787420.0,0.96,0.98,0.98,0.95
22/03/22,6688590.0,0.98,1.04,1.04,0.98
23/03/22,28379030.0,1.06,1.13,1.14,1.04
24/03/22,4354600.0,1.11,1.16,1.17,1.11
25/03/22,4825970.0,1.16,1.18,1.21,1.15
28/03/22,23805780.0,1.17,1.22,1.23,1.15
29/03/22,666570.0,1.2,1.18,1.2,1.18
30/03/22,644370.0,1.16,1.19,1.19,1.16
31/03/22,329290.0,1.19,1.17,1.19,1.16
01/04/22,1876380.0,1.16,1.15,1.16,1.08
04/04/22,267120.0,1.16,1.16,1.16,1.14
05/04/22,1651380.0,1.17,1.14,1.17,1.09
06/04/22,344070.0,1.12,1.14,1.14,1.12
