Date,Value,Open,Close,High,Low
03/08/09,17920.0,2.24,2.24,2.24,2.24
04/08/09,336250.0,2.55,2.34,2.55,2.26
06/08/09,171420.0,2.34,2.36,2.36,2.34
07/08/09,47400.0,2.38,2.36,2.38,2.36
10/08/09,79120.0,2.36,2.2,2.36,2.2
11/08/09,230960.0,2.2,2.18,2.2,2.18
12/08/09,54700.0,2.2,2.18,2.2,2.18
13/08/09,360180.0,2.16,2.2,2.2,2.14
17/08/09,745600.0,2.14,2.08,2.2,2.08
19/08/09,39900.0,2.1,2.1,2.1,2.1
20/08/09,22200.0,2.22,2.22,2.22,2.22
25/08/09,94460.0,2.1,2.1,2.1,2.08
26/08/09,210000.0,2.1,2.1,2.1,2.1
03/09/09,140300.0,2.14,2.16,2.16,2.14
04/09/09,55500.0,2.22,2.22,2.22,2.22
16/09/09,134400.0,2.24,2.24,2.24,2.24
17/09/09,495200.0,2.22,2.2,2.22,2.2
18/09/09,96720.0,2.2,2.2,2.2,2.18
22/09/09,28360.0,2.18,2.22,2.22,2.16
23/09/09,68200.0,2.2,2.2,2.2,2.2
02/10/09,12480.0,2.08,2.08,2.08,2.08
07/10/09,8320.0,2.08,2.08,2.08,2.08
08/10/09,186000.0,2.18,2.2,2.2,2.18
09/10/09,455460.0,2.2,2.2,2.26,2.2
12/10/09,110000.0,2.2,2.2,2.2,2.2
13/10/09,330000.0,2.2,2.2,2.2,2.2
15/10/09,110000.0,2.2,2.2,2.2,2.2
16/10/09,385000.0,2.2,2.2,2.2,2.2
19/10/09,63800.0,2.2,2.2,2.2,2.2
20/10/09,44400.0,2.22,2.22,2.22,2.22
21/10/09,979000.0,2.2,2.2,2.2,2.2
23/10/09,44000.0,2.2,2.2,2.2,2.2
26/10/09,22000.0,2.2,2.2,2.2,2.2
27/10/09,243500.0,2.22,2.2,2.24,2.2
28/10/09,235400.0,2.2,2.2,2.2,2.2
29/10/09,55000.0,2.2,2.2,2.2,2.2
06/11/09,110000.0,2.2,2.2,2.2,2.2
11/11/09,21000.0,2.1,2.1,2.1,2.1
17/12/09,37400.0,2.2,2.2,2.2,2.2
22/12/09,167200.0,2.2,2.2,2.2,2.2
29/12/09,2160.0,2.16,2.16,2.16,2.16
04/01/10,6480.0,2.16,2.16,2.16,2.16
05/01/10,614960.0,2.16,2.18,2.18,2.14
06/01/10,274960.0,2.18,2.28,2.28,2.18
07/01/10,185040.0,2.3,2.36,2.36,2.3
11/01/10,723940.0,2.2,2.38,2.4,2.2
12/01/10,371460.0,2.4,2.44,2.46,2.4
13/01/10,757210.0,2.46,2.6,2.6,2.46
14/01/10,179250.0,2.6,2.55,2.6,2.55
15/01/10,97800.0,2.46,2.44,2.46,2.44
18/01/10,24400.0,2.44,2.44,2.44,2.44
19/01/10,115160.0,2.28,2.38,2.38,2.28
20/01/10,108060.0,2.38,2.42,2.42,2.38
21/01/10,12040.0,2.4,2.42,2.42,2.4
22/01/10,7220.0,2.4,2.42,2.42,2.4
26/01/10,164780.0,2.14,2.14,2.14,2.14
27/01/10,22240.0,2.28,2.2,2.28,2.2
28/01/10,55000.0,2.2,2.2,2.2,2.2
29/01/10,150140.0,2.2,2.28,2.28,2.12
01/02/10,22200.0,2.22,2.22,2.22,2.22
05/02/10,86600.0,2.18,2.14,2.18,2.14
10/02/10,65940.0,2.18,2.2,2.2,2.18
08/03/10,220000.0,2.2,2.2,2.2,2.2
