Date,Value,Open,Close,High,Low
03/08/09,36750.0,3.95,4.1,4.1,3.95
04/08/09,8300.0,4.15,4.15,4.15,4.15
10/08/09,132500.0,4.0,4.15,4.15,4.0
11/08/09,1297950.0,4.15,4.15,4.3,4.15
12/08/09,116100.0,4.15,4.15,4.15,4.05
13/08/09,145250.0,4.15,4.15,4.15,4.15
14/08/09,53200.0,4.15,4.1,4.15,4.0
17/08/09,200700.0,4.1,4.0,4.1,4.0
18/08/09,55250.0,3.9,4.05,4.05,3.9
19/08/09,57400.0,4.1,4.1,4.1,4.1
20/08/09,120200.0,4.1,4.0,4.1,4.0
24/08/09,102100.0,4.1,4.1,4.1,4.05
25/08/09,24350.0,4.05,4.1,4.1,4.05
26/08/09,438550.0,4.2,4.25,4.35,4.2
03/09/09,12200.0,4.05,4.05,4.1,4.05
04/09/09,271650.0,4.1,4.1,4.15,4.1
16/09/09,187450.0,4.5,4.35,4.5,4.35
17/09/09,161700.0,4.35,4.25,4.35,4.25
18/09/09,34000.0,4.25,4.25,4.25,4.25
22/09/09,29550.0,4.25,4.2,4.25,4.2
23/09/09,1360600.0,4.15,4.1,4.15,4.0
30/09/09,80000.0,4.0,4.0,4.0,4.0
01/10/09,296000.0,4.0,4.0,4.0,4.0
05/10/09,125300.0,3.95,3.9,3.95,3.9
06/10/09,20000.0,4.0,4.0,4.0,4.0
07/10/09,142100.0,4.0,4.0,4.0,3.9
08/10/09,231050.0,4.0,3.95,4.0,3.9
09/10/09,130350.0,3.95,3.95,3.95,3.95
12/10/09,327950.0,3.95,3.95,4.0,3.95
13/10/09,493750.0,3.95,3.95,3.95,3.95
14/10/09,70750.0,3.95,3.9,3.95,3.9
15/10/09,228200.0,3.9,3.95,4.0,3.9
16/10/09,18500.0,3.7,3.7,3.7,3.7
19/10/09,150750.0,3.8,3.7,3.8,3.7
20/10/09,80900.0,3.9,3.8,3.9,3.8
21/10/09,114000.0,3.8,3.8,3.8,3.8
22/10/09,77100.0,3.9,3.85,3.9,3.8
23/10/09,156300.0,3.85,3.9,4.0,3.85
26/10/09,144300.0,3.9,3.9,3.9,3.9
27/10/09,74100.0,3.9,3.9,3.9,3.9
28/10/09,202800.0,3.9,3.9,3.9,3.9
29/10/09,57000.0,3.8,3.8,3.8,3.8
30/10/09,34650.0,3.85,3.85,3.85,3.85
03/11/09,53000.0,3.85,3.75,3.85,3.75
04/11/09,3800.0,3.8,3.8,3.8,3.8
06/11/09,39000.0,3.9,3.9,3.9,3.9
09/11/09,107950.0,3.9,3.85,3.9,3.85
10/11/09,69200.0,3.85,3.8,3.85,3.8
11/11/09,94500.0,3.8,3.7,3.8,3.7
15/12/09,35409500.0,6.1,6.2,6.2,6.0
16/12/09,5160500.0,6.2,6.1,6.2,6.0
17/12/09,2385100.0,6.1,6.1,6.1,6.0
18/12/09,5654100.0,6.0,6.0,6.2,5.9
21/12/09,9933400.0,6.0,6.0,6.1,5.8
22/12/09,1567900.0,6.0,6.0,6.0,5.9
23/12/09,147900.0,6.0,6.0,6.0,5.8
29/12/09,22126200.0,6.1,6.1,6.3,5.9
04/01/10,1574900.0,6.1,6.0,6.1,5.9
05/01/10,1815100.0,6.0,6.0,6.0,5.9
06/01/10,971900.0,6.0,5.9,6.0,5.7
07/01/10,1602500.0,5.9,6.0,6.2,5.8
08/01/10,1205000.0,6.0,6.0,6.0,5.8
11/01/10,3086600.0,5.9,6.0,6.0,5.8
12/01/10,2671700.0,6.0,5.9,6.0,5.8
13/01/10,1129600.0,5.9,5.7,5.9,5.7
14/01/10,3332400.0,5.8,5.7,6.0,5.6
15/01/10,3093400.0,5.7,5.5,5.7,5.5
18/01/10,2405200.0,5.6,5.5,5.7,5.4
19/01/10,498400.0,5.4,5.5,5.6,5.4
20/01/10,1629800.0,5.5,5.4,5.5,5.3
21/01/10,9635700.0,5.3,5.7,5.7,5.0
22/01/10,11424400.0,5.5,5.6,5.7,5.5
25/01/10,1261400.0,5.6,5.6,5.7,5.4
26/01/10,1264600.0,5.6,5.4,5.6,5.3
27/01/10,902200.0,5.4,5.3,5.5,5.1
28/01/10,919500.0,5.3,5.1,5.3,5.1
29/01/10,30800.0,5.1,5.3,5.3,5.1
01/02/10,1066000.0,5.3,5.1,5.3,5.0
02/02/10,3834150.0,5.2,5.0,5.2,4.9
03/02/10,311100.0,5.0,4.95,5.1,4.85
04/02/10,517600.0,5.0,5.0,5.1,4.95
05/02/10,73700.0,5.0,5.0,5.0,4.85
08/02/10,98150.0,5.0,4.9,5.0,4.9
09/02/10,6953350.0,4.9,4.85,4.95,4.75
10/02/10,860400.0,4.95,4.8,5.0,4.7
11/02/10,6892200.0,5.0,4.95,5.0,4.8
08/03/10,1033200.0,4.9,4.85,4.9,4.85
12/03/10,203800.0,4.9,4.9,4.9,4.85
15/03/10,9750.0,4.9,4.85,4.9,4.85
16/03/10,262100.0,4.9,4.9,4.9,4.85
17/03/10,281400.0,4.9,4.85,4.9,4.85
31/03/10,462400.0,4.9,4.85,4.9,4.8
20/04/10,289300.0,4.8,4.5,4.8,4.5
21/04/10,193800.0,4.85,4.75,4.85,4.6
22/04/10,27950.0,4.75,4.65,4.75,4.6
23/04/10,973750.0,4.7,4.8,4.85,4.6
29/04/10,328400.0,4.7,4.7,4.7,4.55
30/04/10,4700.0,4.7,4.7,4.7,4.7
04/05/10,18800.0,4.7,4.7,4.7,4.7
05/05/10,9250.0,4.7,4.55,4.7,4.55
13/05/10,44400.0,4.65,4.55,4.65,4.4
14/05/10,104200.0,4.65,4.75,4.9,4.6
17/05/10,4850.0,4.85,4.85,4.85,4.85
18/05/10,37750.0,4.85,4.7,4.85,4.7
19/05/10,133000.0,4.75,4.55,4.75,4.4
20/05/10,449550.0,4.65,4.55,4.65,4.4
21/05/10,154100.0,4.4,4.4,4.5,4.4
24/05/10,4600.0,4.6,4.6,4.6,4.6
25/05/10,9100.0,4.6,4.5,4.6,4.5
26/05/10,18100.0,4.6,4.5,4.6,4.5
27/05/10,48700.0,4.4,4.5,4.5,4.4
28/05/10,53200.0,4.6,4.5,4.6,4.4
31/05/10,168400.0,4.5,4.3,4.5,4.3
01/06/10,368800.0,4.5,4.4,4.5,4.3
02/06/10,247700.0,4.5,4.45,4.5,4.3
03/06/10,320950.0,4.5,4.3,4.5,4.3
04/06/10,17700.0,4.4,4.4,4.5,4.4
07/06/10,4500.0,4.5,4.5,4.5,4.5
08/06/10,149450.0,4.4,4.45,4.45,4.25
09/06/10,378700.0,4.45,4.3,4.45,4.3
10/06/10,632550.0,4.45,4.3,4.45,4.3
11/06/10,178450.0,4.45,4.3,4.45,4.3
15/06/10,185350.0,4.45,4.3,4.45,4.3
16/06/10,344150.0,4.45,4.3,4.45,4.3
21/06/10,32000.0,4.65,4.6,4.65,4.55
22/06/10,121900.0,4.6,4.6,4.6,4.5
23/06/10,307550.0,4.55,4.55,4.6,4.3
24/06/10,262850.0,4.35,4.3,4.4,4.25
25/06/10,443900.0,4.35,4.4,4.4,4.35
28/06/10,178050.0,4.4,4.35,4.4,4.25
29/06/10,1018300.0,4.35,4.4,4.4,4.25
01/07/10,48400.0,4.4,4.4,4.4,4.4
02/07/10,180650.0,4.3,4.3,4.35,4.3
06/07/10,67450.0,4.35,4.2,4.35,4.2
07/07/10,109800.0,4.35,4.25,4.35,4.15
08/07/10,4300.0,4.3,4.3,4.3,4.3
09/07/10,394600.0,4.3,4.25,4.3,4.1
13/07/10,255450.0,4.2,4.15,4.2,4.1
14/07/10,61700.0,4.15,4.1,4.2,4.1
15/07/10,201100.0,4.2,4.2,4.2,4.1
16/07/10,57800.0,4.2,4.2,4.2,4.1
19/07/10,71050.0,4.1,4.25,4.25,4.1
20/07/10,25250.0,4.25,4.2,4.25,4.2
21/07/10,300050.0,4.25,4.2,4.25,4.1
22/07/10,175900.0,4.2,4.25,4.35,4.2
23/07/10,238450.0,4.3,4.1,4.3,4.1
20/09/10,1989200.0,4.35,4.0,4.35,3.92
21/09/10,1391410.0,4.2,4.2,4.5,4.0
22/09/10,1136220.0,4.3,4.25,4.3,4.0
23/09/10,521250.0,4.3,4.25,4.3,4.2
24/09/10,1801770.0,4.3,4.28,4.5,4.0
27/09/10,1301800.0,4.01,4.0,4.3,4.0
28/09/10,1241270.0,4.23,4.0,4.23,4.0
29/09/10,292210.0,4.06,4.07,4.07,4.0
30/09/10,128090.0,4.09,4.0,4.09,4.0
01/10/10,160920.0,4.08,4.07,4.08,4.0
04/10/10,170020.0,4.07,4.07,4.07,4.0
05/10/10,518650.0,4.07,4.0,4.07,3.97
06/10/10,387230.0,4.0,4.0,4.02,3.96
07/10/10,449040.0,4.04,4.0,4.04,3.94
08/10/10,841000.0,4.01,4.01,4.01,3.89
12/10/10,296490.0,3.9,3.9,4.01,3.89
13/10/10,221990.0,3.95,3.9,4.05,3.9
14/10/10,231280.0,4.01,3.95,4.01,3.95
15/10/10,140100.0,4.05,3.99,4.08,3.9
18/10/10,363130.0,3.98,3.95,3.99,3.85
19/10/10,89610.0,3.98,3.85,3.98,3.85
20/10/10,978030.0,3.85,3.8,3.9,3.78
21/10/10,3950.0,3.95,3.95,3.95,3.95
22/10/10,82560.0,3.77,3.9,3.99,3.77
26/10/10,126780.0,3.99,3.97,3.99,3.8
27/10/10,932110.0,3.8,3.93,3.99,3.8
28/10/10,1475520.0,3.91,3.75,3.93,3.75
29/10/10,556580.0,3.85,3.83,3.85,3.7
02/11/10,255880.0,3.7,3.86,3.89,3.68
03/11/10,338130.0,3.86,4.0,4.08,3.86
04/11/10,954220.0,4.04,3.98,4.05,3.8
08/11/10,491340.0,3.94,4.0,4.0,3.78
09/11/10,2944030.0,4.0,3.92,4.0,3.75
10/11/10,2535100.0,3.92,3.69,3.98,3.67
11/11/10,149610.0,3.87,3.86,3.93,3.7
12/11/10,957670.0,3.89,3.79,3.89,3.62
15/11/10,7600.0,3.8,3.8,3.8,3.8
17/11/10,88450.0,3.8,3.77,3.8,3.66
18/11/10,2700220.0,3.84,3.4,3.84,3.35
19/11/10,469290.0,3.76,3.6,3.76,3.6
22/11/10,760460.0,3.7,3.63,3.7,3.5
