Date,Value,Open,Close,High,Low
08/03/10,2281990.0,125.0,123.0,130.0,121.0
12/03/10,97270.0,111.0,108.0,111.0,108.0
15/03/10,171120.0,109.0,106.0,113.0,104.0
16/03/10,83610.0,102.0,105.0,109.0,102.0
17/03/10,302900.0,108.0,104.0,110.0,100.0
31/03/10,97500.0,88.0,90.5,91.5,86.0
20/04/10,704700.0,62.0,56.0,63.0,56.0
21/04/10,536800.0,56.0,56.5,59.0,56.0
22/04/10,482900.0,56.0,56.0,56.5,56.0
23/04/10,17500.0,59.0,58.0,59.0,58.0
29/04/10,909700.0,45.0,41.5,45.0,41.0
30/04/10,102400.0,41.0,51.0,51.0,41.0
05/05/10,24421000.0,43.0,50.0,51.0,40.0
13/05/10,513850.0,49.5,48.0,49.5,48.0
14/05/10,96000.0,48.0,48.0,48.0,48.0
19/05/10,28600.0,48.0,46.0,48.0,46.0
20/05/10,46000.0,46.0,46.0,46.0,46.0
21/05/10,183400.0,45.0,44.0,45.0,44.0
24/05/10,17600.0,44.0,44.0,44.0,44.0
26/05/10,83150.0,41.5,41.5,42.0,41.5
31/05/10,69700.0,41.5,45.0,46.0,41.5
02/06/10,29850.0,41.5,46.0,46.0,41.5
03/06/10,33600.0,42.0,42.0,42.0,42.0
04/06/10,108900.0,42.0,41.5,42.0,41.5
07/06/10,110700.0,41.0,41.0,41.0,41.0
09/06/10,74400.0,41.0,41.5,41.5,41.0
11/06/10,52050.0,42.0,43.5,43.5,42.0
15/06/10,8700.0,43.5,43.5,43.5,43.5
23/06/10,54400.0,41.0,44.0,44.0,41.0
02/07/10,102750.0,41.5,40.5,41.5,40.5
06/07/10,301400.0,45.0,43.5,51.0,43.5
08/07/10,23250.0,46.5,46.5,46.5,46.5
09/07/10,23500.0,47.0,47.0,47.0,47.0
13/07/10,168950.0,47.0,49.0,51.0,47.0
14/07/10,10400.0,52.0,52.0,52.0,52.0
19/07/10,336250.0,47.0,52.0,52.0,45.0
20/07/10,135200.0,52.0,52.0,52.0,52.0
21/07/10,182000.0,52.0,52.0,52.0,52.0
22/07/10,119600.0,52.0,52.0,52.0,52.0
23/07/10,78000.0,52.0,52.0,52.0,52.0
21/09/10,15046.0,84.6,70.0,84.6,70.0
22/09/10,31115.0,61.05,59.0,61.05,59.0
23/09/10,42700.0,70.0,70.0,70.0,70.0
24/09/10,15785.0,74.5,84.0,84.0,74.5
27/09/10,5650.0,68.0,77.0,79.0,68.0
28/09/10,3850.0,77.0,77.0,77.0,77.0
30/09/10,839.5,83.95,83.95,83.95,83.95
01/10/10,1175638.0,83.9,84.0,84.0,83.9
04/10/10,36120.0,84.0,84.0,84.0,84.0
05/10/10,34858.0,83.0,82.9,83.0,82.9
07/10/10,119106.5,81.0,79.85,81.0,79.85
08/10/10,35551.0,65.1,79.85,79.85,65.1
13/10/10,798.5,79.85,79.85,79.85,79.85
18/10/10,34993.0,65.75,79.8,79.8,65.75
22/10/10,6590.0,65.9,65.9,65.9,65.9
27/10/10,3297.5,65.95,65.95,65.95,65.95
02/11/10,140000.0,70.0,70.0,70.0,70.0
10/11/10,800.0,80.0,80.0,80.0,80.0
22/11/10,12388.0,65.2,65.2,65.2,65.2
23/11/10,661.0,66.1,66.1,66.1,66.1
26/11/10,20850.0,69.5,69.5,69.5,69.5
08/12/10,24000.0,60.0,60.0,60.0,60.0
16/12/10,215668.0,68.9,68.0,68.9,68.0
22/12/10,85359.0,75.0,75.0,75.0,68.0
