Date,Value,Open,Close,High,Low
03/08/09,2006500.0,3.25,3.25,3.3,3.15
04/08/09,1187750.0,3.3,3.2,3.35,3.15
06/08/09,581300.0,3.15,3.2,3.2,3.15
07/08/09,1439950.0,3.15,3.15,3.2,3.1
10/08/09,705950.0,3.05,3.1,3.1,3.0
11/08/09,1261700.0,3.1,3.2,3.2,3.05
12/08/09,1096450.0,3.1,3.2,3.2,3.1
13/08/09,3623450.0,3.25,3.2,3.4,3.2
14/08/09,900300.0,3.2,3.1,3.2,3.1
17/08/09,420700.0,3.15,3.15,3.15,3.05
18/08/09,805950.0,3.05,3.15,3.15,3.0
19/08/09,573050.0,3.2,3.1,3.2,3.1
20/08/09,977650.0,3.15,3.1,3.15,3.0
24/08/09,741850.0,3.15,3.15,3.15,3.1
25/08/09,583300.0,3.15,3.0,3.15,3.0
26/08/09,1064150.0,3.1,3.1,3.15,3.05
03/09/09,23452700.0,3.55,3.85,3.85,3.45
04/09/09,38326050.0,3.9,4.35,4.4,3.9
16/09/09,6235550.0,5.1,4.9,5.1,4.8
17/09/09,7294900.0,5.0,4.85,5.1,4.85
18/09/09,6679500.0,4.9,4.85,4.95,4.8
22/09/09,11382450.0,4.95,4.9,5.1,4.85
23/09/09,5063750.0,5.0,4.8,5.0,4.7
30/09/09,115550.0,4.35,4.25,4.35,4.25
01/10/09,3222250.0,4.35,4.1,4.4,4.1
02/10/09,2971700.0,3.95,4.1,4.1,3.85
05/10/09,1070750.0,4.3,4.05,4.3,4.05
06/10/09,14417300.0,4.15,4.3,4.6,4.1
07/10/09,10596600.0,4.4,4.45,4.5,4.3
08/10/09,2699200.0,4.45,4.25,4.5,4.25
09/10/09,3493250.0,4.35,4.2,4.35,4.2
12/10/09,4597750.0,4.3,4.05,4.3,4.0
13/10/09,2727750.0,4.15,4.1,4.2,4.0
14/10/09,2696400.0,4.05,4.15,4.2,4.05
15/10/09,1539650.0,4.2,4.25,4.25,4.15
16/10/09,839350.0,4.25,4.15,4.35,4.05
19/10/09,2790000.0,4.25,4.05,4.25,4.0
20/10/09,8791150.0,4.1,4.0,4.35,4.0
21/10/09,1873600.0,4.05,4.0,4.1,3.95
22/10/09,813700.0,4.0,4.1,4.1,3.95
23/10/09,8565400.0,4.1,4.3,4.35,4.0
26/10/09,5834450.0,4.35,4.4,4.45,4.2
27/10/09,1831650.0,4.45,4.25,4.45,4.2
28/10/09,4435150.0,4.25,4.05,4.3,4.0
29/10/09,2287600.0,4.1,4.0,4.1,3.95
30/10/09,1146850.0,4.1,4.0,4.15,4.0
03/11/09,1401200.0,4.15,3.9,4.15,3.85
04/11/09,1138250.0,4.0,3.85,4.0,3.85
05/11/09,3751750.0,3.95,3.7,4.0,3.55
06/11/09,1585000.0,3.7,3.65,3.8,3.6
09/11/09,4588350.0,3.8,4.05,4.1,3.8
10/11/09,10548750.0,4.15,4.15,4.25,3.95
11/11/09,23849500.0,4.2,4.45,4.45,4.2
15/12/09,3709000.0,4.1,4.0,4.1,3.9
16/12/09,1706000.0,4.0,4.0,4.1,3.95
17/12/09,17514300.0,4.05,4.1,4.25,4.0
18/12/09,4360250.0,4.1,3.95,4.1,3.95
21/12/09,1858600.0,4.1,3.85,4.1,3.75
22/12/09,720050.0,3.95,3.7,3.95,3.7
23/12/09,368800.0,3.95,3.8,3.95,3.8
29/12/09,599800.0,3.9,3.85,3.9,3.8
04/01/10,420000.0,4.0,3.85,4.0,3.8
05/01/10,744050.0,3.85,3.8,3.85,3.75
06/01/10,1047700.0,3.85,3.75,4.0,3.7
07/01/10,2603950.0,3.8,3.8,4.1,3.8
08/01/10,724000.0,3.95,3.8,3.95,3.8
11/01/10,422750.0,3.95,3.8,3.95,3.75
12/01/10,535400.0,3.8,3.8,3.85,3.75
13/01/10,1825250.0,3.8,3.7,3.8,3.7
14/01/10,193000.0,3.8,3.7,3.8,3.7
15/01/10,494450.0,3.75,3.75,3.8,3.7
18/01/10,11062050.0,3.75,3.5,3.75,3.35
19/01/10,1485200.0,3.55,3.35,3.55,3.35
20/01/10,2700700.0,3.4,3.3,3.5,3.2
21/01/10,1464100.0,3.2,3.35,3.4,3.15
22/01/10,1682700.0,3.35,3.25,3.35,3.1
25/01/10,516800.0,3.25,3.15,3.25,3.15
26/01/10,745200.0,3.2,3.1,3.2,3.0
27/01/10,1205200.0,3.1,2.85,3.1,2.85
28/01/10,567200.0,3.0,3.0,3.05,2.8
29/01/10,374500.0,2.95,2.95,2.95,2.85
01/02/10,949450.0,3.0,2.95,3.0,2.9
02/02/10,1605600.0,2.95,2.75,2.95,2.6
03/02/10,485950.0,2.75,2.7,2.85,2.65
04/02/10,111500.0,2.85,2.65,2.85,2.65
