Date,Value,Open,Close,High,Low
21/01/10,65100.0,9.3,9.3,9.3,9.3
22/01/10,27500.0,13.75,13.75,13.75,13.75
25/01/10,1543650.0,20.5,20.5,20.5,20.5
26/01/10,3095750.0,30.5,30.5,30.5,30.5
27/01/10,4850300.0,45.5,45.5,45.5,45.5
28/01/10,12729750.0,68.0,36.0,68.0,34.0
29/01/10,2710650.0,36.0,36.0,37.0,30.0
01/02/10,647550.0,36.0,35.0,36.0,33.5
02/02/10,1242500.0,33.5,28.5,33.5,25.0
03/02/10,1498350.0,25.0,20.5,25.0,20.0
04/02/10,1669450.0,19.0,18.0,19.0,16.0
05/02/10,6643250.0,15.25,22.0,27.0,15.0
08/02/10,3856125.0,22.25,22.25,25.0,22.0
09/02/10,211900.0,22.0,20.5,22.0,20.5
10/02/10,3177100.0,21.0,18.0,21.25,18.0
11/02/10,383400.0,18.0,18.75,19.75,18.0
08/03/10,11964250.0,13.5,13.5,14.5,13.25
12/03/10,2142075.0,12.25,12.5,12.5,12.25
15/03/10,428150.0,12.75,12.25,12.75,12.25
16/03/10,993400.0,12.5,12.0,12.5,12.0
17/03/10,1585500.0,11.5,11.75,12.0,11.0
31/03/10,760100.0,11.0,11.0,11.0,11.0
20/04/10,4804900.0,14.25,14.25,14.5,14.25
21/04/10,3309025.0,14.25,13.75,14.25,13.75
22/04/10,11174725.0,14.0,14.5,14.5,14.0
23/04/10,29167275.0,14.5,15.5,15.75,14.5
29/04/10,10658425.0,14.5,14.5,15.0,14.25
30/04/10,874350.0,14.5,14.5,14.5,14.5
04/05/10,4821825.0,14.5,14.25,14.5,14.0
05/05/10,6024250.0,14.0,13.75,14.0,13.5
13/05/10,1948975.0,14.5,14.25,14.5,14.25
14/05/10,1634675.0,14.5,14.25,14.5,14.25
17/05/10,818000.0,14.25,14.0,14.25,13.75
18/05/10,368150.0,14.0,14.0,14.0,13.75
19/05/10,1299500.0,13.75,13.5,13.75,13.5
20/05/10,45375.0,13.75,13.75,13.75,13.75
21/05/10,1139025.0,13.5,13.5,13.5,13.0
24/05/10,1397575.0,13.25,13.0,13.25,13.0
25/05/10,3009975.0,12.5,12.5,12.75,12.25
26/05/10,1174275.0,12.25,12.25,12.5,12.25
27/05/10,550000.0,12.5,12.5,12.5,12.5
28/05/10,4386000.0,12.5,13.0,13.0,12.5
31/05/10,279275.0,12.75,12.75,13.0,12.75
01/06/10,2155475.0,12.75,12.75,13.0,12.5
02/06/10,377400.0,12.75,12.75,12.75,12.75
