Date,Value,Open,Close,High,Low
03/08/09,78667650.0,18.0,18.75,18.75,18.0
04/08/09,151290475.0,19.0,20.0,20.25,19.0
06/08/09,56550550.0,20.0,19.5,20.0,19.25
07/08/09,26074225.0,19.5,19.0,19.5,19.0
10/08/09,33726525.0,19.0,19.0,19.0,18.75
11/08/09,53100700.0,19.0,19.25,19.5,19.0
12/08/09,42932725.0,19.25,19.0,19.25,19.0
13/08/09,76612525.0,19.25,19.25,19.5,19.0
14/08/09,78143500.0,19.75,20.5,20.75,19.75
17/08/09,61139400.0,20.0,19.25,20.0,19.25
18/08/09,106445775.0,19.0,19.25,19.25,18.5
19/08/09,22383075.0,19.5,19.75,19.75,19.5
20/08/09,30360600.0,19.75,19.5,19.75,19.5
24/08/09,33516500.0,20.0,20.0,20.25,19.75
25/08/09,28211075.0,20.0,20.25,20.25,19.75
26/08/09,39369225.0,20.5,21.0,21.75,20.5
03/09/09,13117100.0,20.25,20.5,20.5,20.25
04/09/09,97269950.0,20.25,21.0,21.0,20.25
16/09/09,29934250.0,22.0,22.0,22.5,21.75
17/09/09,46393225.0,22.5,22.25,22.75,22.0
18/09/09,4580125.0,22.0,22.25,22.5,22.0
22/09/09,16979600.0,22.0,22.0,22.0,22.0
23/09/09,48811525.0,22.25,22.0,22.5,22.0
30/09/09,37969725.0,22.25,22.0,22.25,21.75
01/10/09,5523525.0,21.75,22.0,22.0,21.75
02/10/09,37393725.0,21.75,21.75,21.75,21.5
05/10/09,4740900.0,21.5,21.75,21.75,21.5
06/10/09,22213525.0,21.75,21.75,22.0,21.75
07/10/09,44574225.0,22.0,22.0,22.25,22.0
08/10/09,26353875.0,22.0,22.0,22.25,22.0
09/10/09,5292100.0,22.25,22.0,22.25,22.0
12/10/09,4398675.0,22.25,21.75,22.5,21.75
13/10/09,15263575.0,21.75,21.75,22.0,21.75
14/10/09,11505100.0,21.75,22.0,22.0,21.75
15/10/09,93400350.0,22.0,22.5,23.0,22.0
16/10/09,2955300.0,22.75,22.25,22.75,22.25
19/10/09,1229300.0,22.0,22.0,22.0,21.75
20/10/09,38092350.0,21.75,21.5,21.75,21.25
21/10/09,5000500.0,21.5,21.5,21.5,21.25
22/10/09,4976925.0,21.5,21.25,21.5,21.25
23/10/09,22069400.0,21.25,21.25,21.25,21.0
26/10/09,4837025.0,21.25,21.25,21.5,21.0
27/10/09,16703725.0,21.25,21.25,21.25,20.75
28/10/09,44944975.0,21.0,20.25,21.25,20.25
29/10/09,59532600.0,20.25,20.25,20.25,20.0
30/10/09,9775800.0,20.75,20.5,20.75,20.5
03/11/09,21738550.0,20.75,20.5,20.75,20.25
04/11/09,16731075.0,20.5,20.75,20.75,20.25
05/11/09,44486475.0,20.75,20.75,21.0,20.5
06/11/09,33341550.0,21.0,21.0,21.0,20.5
09/11/09,2056000.0,20.25,20.25,20.5,20.25
10/11/09,43624700.0,20.5,21.0,21.0,20.5
11/11/09,15441100.0,21.0,21.0,21.0,20.75
15/12/09,47863425.0,23.0,23.0,23.0,22.75
16/12/09,41443200.0,23.0,22.75,23.0,22.5
17/12/09,79773000.0,22.75,23.0,23.0,22.5
