Date,Value,Open,Close,High,Low
07/12/15,195994640.0,5.4,4.22,5.4,4.16
08/12/15,51273200.0,4.25,3.64,4.25,3.57
09/12/15,33641920.0,3.71,3.86,3.96,3.65
10/12/15,11952750.0,3.9,3.64,3.95,3.62
11/12/15,8082200.0,3.7,3.64,3.75,3.58
14/12/15,9080850.0,3.69,3.28,3.69,3.26
15/12/15,4332500.0,3.24,3.28,3.43,3.24
16/12/15,3447060.0,3.3,3.23,3.4,3.22
17/12/15,4614700.0,3.25,3.17,3.29,3.13
18/12/15,3511330.0,3.17,3.1,3.22,3.07
21/12/15,2998690.0,3.11,2.97,3.11,2.9
22/12/15,3192850.0,2.97,2.84,2.97,2.84
23/12/15,2364610.0,2.84,2.97,3.07,2.79
28/12/15,6850400.0,2.97,3.42,3.42,2.92
29/12/15,2851830.0,3.43,3.25,3.46,3.2
04/01/16,3172060.0,3.2,2.88,3.2,2.88
05/01/16,536610.0,2.9,2.95,2.97,2.88
06/01/16,225290.0,2.9,2.91,3.0,2.9
07/01/16,806320.0,2.92,2.8,2.92,2.8
08/01/16,640000.0,2.8,2.79,2.8,2.7
11/01/16,1007630.0,2.75,2.59,2.75,2.57
12/01/16,478420.0,2.58,2.63,2.85,2.56
13/01/16,697660.0,2.79,2.61,2.79,2.58
14/01/16,119090.0,2.58,2.51,2.6,2.5
15/01/16,906750.0,2.51,2.6,2.73,2.51
18/01/16,290570.0,2.51,2.4,2.51,2.4
19/01/16,408470.0,2.4,2.39,2.42,2.39
20/01/16,612610.0,2.39,2.35,2.54,2.35
21/01/16,460750.0,2.32,2.14,2.32,2.14
22/01/16,992480.0,2.14,2.02,2.21,2.0
25/01/16,1301600.0,2.07,2.44,2.45,2.07
26/01/16,480100.0,2.4,2.21,2.4,2.2
27/01/16,115300.0,2.23,2.23,2.23,2.21
28/01/16,581320.0,2.2,2.31,2.37,2.19
29/01/16,3258200.0,2.39,2.51,2.79,2.39
01/02/16,675260.0,2.68,2.54,2.68,2.53
02/02/16,942510.0,2.55,2.57,2.57,2.41
03/02/16,549070.0,2.57,2.5,2.57,2.44
04/02/16,245150.0,2.45,2.46,2.52,2.45
05/02/16,1040570.0,2.46,2.49,2.51,2.42
09/02/16,1334210.0,2.49,2.49,2.65,2.49
10/02/16,313320.0,2.49,2.45,2.59,2.44
11/02/16,690190.0,2.45,2.4,2.5,2.4
12/02/16,314310.0,2.39,2.39,2.48,2.39
15/02/16,634660.0,2.39,2.39,2.4,2.37
16/02/16,537540.0,2.39,2.46,2.49,2.39
17/02/16,542740.0,2.49,2.5,2.55,2.43
18/02/16,354510.0,2.51,2.5,2.56,2.48
19/02/16,391560.0,2.45,2.45,2.48,2.44
22/02/16,302610.0,2.45,2.48,2.5,2.45
23/02/16,546720.0,2.5,2.57,2.6,2.5
24/02/16,563390.0,2.54,2.5,2.57,2.5
26/02/16,396420.0,2.5,2.53,2.56,2.49
29/02/16,1151080.0,2.48,2.6,2.69,2.48
01/03/16,914360.0,2.54,2.5,2.58,2.45
02/03/16,533050.0,2.45,2.46,2.55,2.41
03/03/16,285860.0,2.48,2.55,2.55,2.47
04/03/16,448160.0,2.5,2.55,2.55,2.5
07/03/16,1583600.0,2.58,2.65,2.78,2.58
08/03/16,13499350.0,2.65,3.08,3.24,2.65
09/03/16,17142300.0,3.2,3.12,3.45,3.1
10/03/16,2379550.0,3.18,3.03,3.18,2.9
11/03/16,2163690.0,3.04,3.11,3.25,2.95
14/03/16,2021310.0,3.17,3.1,3.17,3.0
15/03/16,6503810.0,3.04,3.28,3.36,3.03
16/03/16,13413530.0,3.4,3.15,3.6,3.12
17/03/16,1558110.0,3.18,3.36,3.4,3.16
18/03/16,7503080.0,3.42,3.4,3.6,3.38
21/03/16,4439960.0,3.42,3.5,3.54,3.42
22/03/16,6012880.0,3.5,3.53,3.65,3.48
