Date,Value,Open,Close,High,Low
03/08/09,3292000.0,5.4,5.3,5.4,5.2
04/08/09,9849000.0,5.4,5.4,5.5,5.3
06/08/09,2723500.0,5.3,5.2,5.3,5.2
07/08/09,2193300.0,5.3,5.1,5.3,5.1
10/08/09,4357200.0,5.2,5.2,5.2,5.1
11/08/09,265200.0,5.1,5.1,5.1,5.1
12/08/09,535500.0,5.1,5.1,5.1,5.1
13/08/09,2059700.0,5.2,5.1,5.2,5.1
14/08/09,1362800.0,5.1,5.2,5.2,5.1
17/08/09,5756500.0,5.3,5.1,5.4,5.1
18/08/09,5807500.0,5.0,5.1,5.1,4.95
19/08/09,6985100.0,5.1,5.1,5.2,5.1
20/08/09,12847200.0,5.2,5.3,5.6,5.2
24/08/09,5833600.0,5.7,5.6,5.7,5.5
25/08/09,15295500.0,5.6,6.1,6.1,5.6
26/08/09,8788600.0,6.2,6.3,6.4,6.2
03/09/09,2329900.0,6.0,6.0,6.0,5.9
04/09/09,3351200.0,6.1,5.9,6.1,5.9
16/09/09,574300.0,5.8,5.8,5.9,5.8
17/09/09,4881100.0,5.9,5.9,5.9,5.8
18/09/09,1868500.0,5.8,6.0,6.0,5.8
22/09/09,485900.0,6.1,5.9,6.1,5.9
23/09/09,4985900.0,5.9,6.1,6.1,5.9
30/09/09,31641900.0,6.0,6.6,6.7,6.0
01/10/09,10806400.0,6.6,6.5,6.8,6.5
02/10/09,2567300.0,6.5,6.4,6.5,6.3
05/10/09,2134100.0,6.4,6.4,6.5,6.4
06/10/09,4686300.0,6.5,6.6,6.6,6.4
07/10/09,3302100.0,6.6,6.5,6.6,6.4
08/10/09,7018700.0,6.5,6.6,6.7,6.5
09/10/09,349800.0,6.6,6.6,6.6,6.6
12/10/09,1283600.0,6.6,6.5,6.6,6.5
13/10/09,305500.0,6.5,6.5,6.5,6.5
14/10/09,208100.0,6.6,6.5,6.6,6.5
15/10/09,1211200.0,6.6,6.6,6.6,6.5
16/10/09,370500.0,6.5,6.5,6.5,6.5
19/10/09,798300.0,6.5,6.4,6.5,6.4
20/10/09,1726000.0,6.4,6.6,6.6,6.4
21/10/09,591500.0,6.5,6.5,6.5,6.5
22/10/09,1664000.0,6.4,6.4,6.4,6.4
23/10/09,3688500.0,6.4,6.5,6.6,6.4
26/10/09,1852500.0,6.5,6.5,6.5,6.5
27/10/09,3462900.0,6.4,6.7,6.7,6.4
28/10/09,2204800.0,6.6,6.5,6.6,6.5
29/10/09,8465400.0,6.3,6.4,6.4,6.2
30/10/09,2366100.0,6.4,6.4,6.5,6.4
03/11/09,9125800.0,6.4,6.1,6.4,6.0
04/11/09,7831200.0,6.1,6.1,6.3,6.1
05/11/09,6230300.0,6.1,6.2,6.3,6.1
06/11/09,14531000.0,6.2,6.4,6.5,6.2
09/11/09,4995800.0,6.1,6.3,6.3,6.1
10/11/09,3133800.0,6.3,6.2,6.3,6.2
11/11/09,731600.0,6.2,6.2,6.2,6.2
15/12/09,4101000.0,6.1,6.0,6.1,6.0
16/12/09,12000.0,6.0,6.0,6.0,6.0
17/12/09,6576000.0,6.0,6.0,6.0,6.0
18/12/09,4506000.0,6.0,6.0,6.0,6.0
21/12/09,61434000.0,6.0,6.0,6.0,6.0
22/12/09,8304000.0,6.0,6.0,6.0,6.0
23/12/09,22564900.0,6.0,6.0,6.0,5.9
29/12/09,9361400.0,6.1,6.6,6.6,6.1
04/01/10,1095400.0,6.5,6.3,6.6,6.3
05/01/10,496000.0,6.2,6.2,6.2,6.2
06/01/10,7277000.0,6.1,6.3,6.3,6.1
07/01/10,3497200.0,6.4,6.4,6.4,6.3
08/01/10,3185100.0,6.4,6.4,6.5,6.3
11/01/10,16107900.0,6.4,6.5,6.5,6.4
12/01/10,6725900.0,6.5,6.4,6.5,6.4
13/01/10,17462800.0,6.4,6.4,6.5,6.4
14/01/10,2593400.0,6.5,6.5,6.5,6.4
15/01/10,10315000.0,6.5,6.5,6.5,6.4
18/01/10,3091200.0,6.4,6.4,6.4,6.4
19/01/10,6905600.0,6.4,6.4,6.4,6.4
20/01/10,2258000.0,6.4,6.3,6.4,6.3
21/01/10,6796800.0,6.4,6.4,6.4,6.4
22/01/10,7506400.0,6.4,6.2,6.4,6.2
25/01/10,3447200.0,6.2,6.0,6.2,6.0
26/01/10,3964100.0,6.1,5.9,6.1,5.8
