Date,Value,Open,Close,High,Low
25/07/13,2903820.0,0.34,2.99,5.99,0.01
26/07/13,147610.0,2.9,2.64,2.9,2.5
29/07/13,2558430.0,2.52,2.19,2.52,1.7
30/07/13,297570.0,2.19,1.96,2.19,1.94
31/07/13,18260.0,1.78,1.99,1.99,1.78
05/08/13,158080.0,1.79,1.96,1.96,1.77
07/08/13,10380.0,1.98,1.68,1.98,1.68
08/08/13,1950.0,1.95,1.95,1.95,1.95
12/08/13,16140.0,1.94,1.93,1.94,1.72
14/08/13,101790.0,1.73,1.75,1.75,1.7
15/08/13,69380.0,1.88,1.89,1.89,1.86
16/08/13,5170.0,1.73,1.72,1.73,1.72
22/08/13,187550.0,1.9,1.75,1.92,1.75
23/08/13,131550.0,1.86,2.3,2.3,1.82
28/08/13,22300.0,2.2,2.2,2.25,2.2
29/08/13,67590.0,2.06,1.9,2.06,1.9
30/08/13,2200.0,2.2,2.2,2.2,2.2
03/09/13,2598890.0,2.1,2.2,3.04,2.05
04/09/13,180250.0,2.2,2.19,2.2,2.02
05/09/13,28500.0,2.07,2.02,2.07,2.02
06/09/13,324090.0,2.03,2.02,2.29,2.0
09/09/13,111720.0,2.42,2.13,2.42,2.0
10/09/13,72310.0,2.02,2.03,2.13,2.02
11/09/13,79190.0,2.02,2.1,2.23,2.0
13/09/13,66740.0,2.03,2.01,2.19,2.01
16/09/13,40820.0,2.01,2.15,2.2,2.0
17/09/13,4000.0,2.0,2.0,2.0,2.0
18/09/13,184150.0,2.0,1.99,2.0,1.93
19/09/13,2150.0,2.15,2.15,2.15,2.15
20/09/13,11700.0,1.95,1.95,1.95,1.95
25/09/13,23900.0,2.0,1.95,2.0,1.95
26/09/13,10240.0,2.03,2.03,2.12,2.03
27/09/13,12179.999999999998,2.03,2.03,2.03,2.03
30/09/13,15860.0,1.99,1.98,1.99,1.98
01/10/13,5880.0,1.96,1.96,1.96,1.96
04/10/13,5940.0,1.98,1.98,1.98,1.98
07/10/13,3910.0,1.96,1.95,1.96,1.95
09/10/13,44790.0,2.0,2.09,2.09,2.0
10/10/13,40140.0,2.09,2.15,2.2,2.05
11/10/13,12640.0,2.2,2.06,2.2,2.06
14/10/13,41760.0,2.2,2.2,2.2,2.19
16/10/13,21000.0,2.1,2.1,2.1,2.1
18/10/13,45870.0,2.09,2.08,2.09,2.08
21/10/13,8179.999999999999,2.09,2.03,2.09,2.03
22/10/13,14410.0,2.05,2.08,2.08,2.05
24/10/13,540190.0,2.12,2.18,2.5,2.12
25/10/13,104340.00000000001,2.22,2.22,2.22,2.22
29/10/13,68070.0,2.17,2.16,2.35,2.16
30/10/13,318640.0,2.2,2.39,2.39,2.2
31/10/13,66760.0,2.48,2.34,2.48,2.23
04/11/13,18160.0,2.23,2.25,2.34,2.23
05/11/13,170210.0,2.24,2.34,2.48,2.24
06/11/13,219360.0,2.46,2.31,2.46,2.25
07/11/13,35100.0,2.26,2.36,2.36,2.26
08/11/13,4237510.0,2.3,3.0,3.45,2.3
11/11/13,4870730.0,3.05,4.47,4.5,3.05
12/11/13,6532980.0,4.65,6.02,6.5,4.65
13/11/13,7086931.0,6.03,5.1,6.99,5.04
14/11/13,2503650.0,5.09,4.07,5.09,4.02
15/11/13,323100.0,4.1,3.51,4.1,3.51
18/11/13,192180.0,2.7,3.18,3.51,2.7
19/11/13,167240.0,3.48,3.2,3.79,3.2
20/11/13,201820.0,3.12,3.3,3.55,3.12
21/11/13,178580.0,3.28,2.96,3.28,2.9
22/11/13,308940.0,2.9,2.7,2.9,2.7
25/11/13,84090.0,2.8,2.79,2.83,2.79
26/11/13,81200.0,2.75,2.2,2.75,2.2
27/11/13,271870.0,2.0,2.2,2.35,2.0
28/11/13,39260.0,2.2,2.1,2.2,2.01
29/11/13,68450.0,2.2,2.2,2.25,2.2
02/12/13,139480.0,2.1,2.6,3.0,2.02
03/12/13,64300.0,2.98,2.6,3.0,2.6
04/12/13,34400.0,2.9,2.55,2.9,2.4
10/12/13,31000.0,2.55,2.4,2.55,2.3
12/12/13,133180.0,2.22,2.1,2.3,2.1
13/12/13,33540.0,2.12,2.22,2.39,2.12
16/12/13,24560.0,2.24,2.28,2.28,2.19
17/12/13,2200.0,2.2,2.2,2.2,2.2
18/12/13,4610.0,2.14,2.47,2.47,2.14
19/12/13,16880.0,2.39,2.45,2.45,2.39
20/12/13,4400.0,2.2,2.2,2.2,2.2
26/12/13,56580.0,2.21,2.02,2.21,2.02
27/12/13,174040.0,2.02,2.17,2.19,2.02
02/01/14,6720.0,2.2,2.25,2.27,2.2
07/01/14,16980.0,2.05,2.24,2.24,2.05
08/01/14,606740.0,2.2,2.14,2.7,2.11
20/01/14,235360.0,2.6,3.21,3.21,2.6
21/01/14,740740.0,4.81,4.81,4.81,4.81
22/01/14,2774700.0,5.99,3.9,5.99,3.85
23/01/14,434940.0,4.37,3.76,4.37,3.5
24/01/14,634340.0,3.7,3.41,3.7,3.21
27/01/14,999560.0,3.68,3.78,4.0,3.5
28/01/14,54400.0,3.6,3.7,3.7,3.6
29/01/14,35820.0,3.6,3.54,3.6,3.54
30/01/14,136400.0,3.6,3.32,3.6,3.32
03/02/14,39800.0,3.32,3.32,3.32,3.31
04/02/14,61260.0,3.31,3.47,3.48,3.13
05/02/14,1777260.0,3.5,3.85,4.18,3.5
06/02/14,4701950.0,3.8,3.3,3.8,3.0
07/02/14,1528390.0,3.7,3.08,3.7,2.99
10/02/14,452100.0,3.0,2.81,3.0,2.7
11/02/14,403830.0,2.81,2.81,2.81,2.65
12/02/14,30180.0,2.81,2.71,2.81,2.69
13/02/14,55570.0,2.72,2.49,2.72,2.41
14/02/14,47450.0,2.66,2.61,2.76,2.58
17/02/14,23290.0,2.52,2.61,2.61,2.52
19/02/14,263800.0,2.6,2.8,2.94,2.6
20/02/14,70570.0,2.82,2.68,2.83,2.47
21/02/14,531440.0,2.7,2.5,2.75,2.5
24/02/14,532470.0,2.55,2.5,2.72,2.49
25/02/14,283760.0,2.5,2.49,2.59,2.49
26/02/14,179540.0,2.5,2.5,2.61,2.5
27/02/14,668600.0,2.46,2.22,2.49,2.22
28/02/14,48060.0,2.24,2.3,2.3,2.24
03/03/14,53770.0,2.3,2.34,2.35,2.3
04/03/14,110530.0,2.41,2.3,2.43,2.21
05/03/14,151500.0,2.3,2.28,2.3,2.25
06/03/14,76979.99999999999,2.28,2.26,2.28,2.22
07/03/14,16000.0,2.28,2.28,2.3,2.28
10/03/14,453420.0,2.21,2.18,2.3,2.18
11/03/14,456260.0,2.22,2.17,2.23,2.17
12/03/14,243320.0,2.17,2.18,2.2,2.17
13/03/14,17980.0,2.25,2.21,2.26,2.21
14/03/14,17760.0,2.22,2.22,2.22,2.22
17/03/14,1093140.0,2.3,2.48,2.66,2.3
18/03/14,1396720.0,2.56,2.57,2.76,2.51
19/03/14,265100.0,2.55,2.46,2.55,2.46
20/03/14,35018580.0,2.43,2.54,2.75,2.43
21/03/14,286820.0,2.55,2.65,2.73,2.55
24/03/14,26946240.0,2.65,2.56,2.65,2.56
25/03/14,77800.0,2.53,2.5,2.53,2.5
26/03/14,1533300.0,2.64,2.85,2.87,2.64
27/03/14,949900.0,2.91,2.96,3.2,2.88
28/03/14,820270.0,2.98,3.0,3.04,2.92
31/03/14,567320.0,2.95,2.63,2.95,2.63
01/04/14,93600.0,2.63,2.76,2.76,2.63
02/04/14,83630.0,2.76,2.75,2.78,2.65
