Date,Value,Open,Close,High,Low
03/08/09,78423700.0,50.5,51.0,51.0,50.5
04/08/09,25574700.0,51.5,51.5,52.0,51.0
06/08/09,46603700.0,51.5,51.5,52.0,51.5
07/08/09,11389600.0,51.0,51.0,51.5,51.0
10/08/09,8875300.0,51.0,51.0,51.0,50.5
11/08/09,28067150.0,51.0,51.5,51.5,50.5
12/08/09,36669500.0,51.0,51.0,51.0,50.5
13/08/09,58983050.0,51.0,51.0,51.0,50.0
14/08/09,9512850.0,51.0,51.5,52.0,50.5
17/08/09,6642150.0,52.0,51.0,52.0,50.5
18/08/09,12092000.0,51.0,52.0,52.0,50.0
19/08/09,40834350.0,52.0,51.5,52.0,51.0
20/08/09,23999700.0,51.5,50.0,51.5,50.0
24/08/09,51920350.0,51.0,52.0,52.0,50.5
25/08/09,23281300.0,51.5,51.5,51.5,51.0
26/08/09,18830400.0,51.5,51.0,51.5,50.5
03/09/09,17642350.0,50.0,50.0,50.0,49.5
04/09/09,47746700.0,50.0,49.5,50.0,49.5
16/09/09,15669000.0,49.5,50.0,50.0,49.5
17/09/09,39531400.0,50.0,50.5,50.5,50.0
18/09/09,14361550.0,50.0,50.5,50.5,49.5
22/09/09,66807750.0,50.0,51.5,51.5,50.0
23/09/09,62483150.0,51.5,51.5,51.5,51.0
30/09/09,22038050.0,51.0,49.5,51.0,49.0
01/10/09,41134500.0,49.5,50.0,51.0,49.5
02/10/09,11778450.0,49.5,50.0,50.0,49.5
05/10/09,10912000.0,49.5,50.0,50.0,49.5
06/10/09,6603150.0,50.5,51.0,51.0,50.5
07/10/09,66022850.0,51.0,52.5,52.5,51.0
08/10/09,10668600.0,51.5,51.5,52.0,51.5
09/10/09,41343800.0,52.0,52.5,52.5,52.0
12/10/09,9684950.0,52.5,51.0,52.5,51.0
13/10/09,31584300.0,51.0,51.0,51.0,51.0
14/10/09,33129600.0,51.0,51.0,51.0,51.0
15/10/09,19201550.0,52.0,52.0,52.0,51.5
16/10/09,67775550.0,52.0,52.0,52.5,52.0
19/10/09,43619250.0,52.0,52.5,52.5,52.0
20/10/09,57759000.0,52.5,53.0,53.0,52.5
21/10/09,38112300.0,53.0,53.0,53.0,52.0
22/10/09,11628450.0,53.0,53.0,53.0,52.5
23/10/09,13696950.0,53.5,52.5,53.5,52.5
26/10/09,1242800.0,52.0,52.0,52.0,52.0
27/10/09,29119900.0,52.0,52.0,52.5,51.5
28/10/09,1172800.0,51.5,52.5,52.5,51.5
29/10/09,60868050.0,51.5,51.5,52.0,50.5
30/10/09,12958150.0,51.5,51.0,52.5,51.0
03/11/09,84357150.0,51.0,49.5,51.0,49.0
04/11/09,7886300.0,50.0,49.5,50.5,49.5
05/11/09,16115000.0,49.5,50.5,50.5,49.5
06/11/09,11185500.0,51.0,51.0,51.0,50.5
