Date,Value,Open,Close,High,Low
04/08/09,43640.0,1.48,1.5,2.1,1.48
06/08/09,24500.0,2.0,1.5,2.0,1.5
07/08/09,397320.0,1.54,1.54,1.54,1.54
10/08/09,342400.0,1.6,1.6,1.6,1.6
11/08/09,4800.0,1.6,1.6,1.6,1.6
12/08/09,32580.0,1.62,1.8,1.8,1.62
17/08/09,388800.0,1.6,1.6,1.6,1.6
18/08/09,435600.0,1.8,1.8,1.8,1.8
19/08/09,968540.0,1.8,1.9,2.18,1.8
20/08/09,71020.0,1.98,2.08,2.08,1.98
24/08/09,6100.0,2.06,2.02,2.06,2.02
26/08/09,2000.0,2.0,2.0,2.0,2.0
04/09/09,22500.0,1.5,1.5,1.5,1.5
01/10/09,1500.0,1.5,1.5,1.5,1.5
05/10/09,3000.0,1.5,1.5,1.5,1.5
09/10/09,53840.0,1.4,1.7,1.7,1.4
12/10/09,32600.0,1.7,1.9,1.9,1.7
14/10/09,2840.0,1.42,1.42,1.42,1.42
16/10/09,5340.0,1.78,1.78,1.78,1.78
23/10/09,27000.0,1.5,1.5,1.5,1.5
27/10/09,30000.0,1.5,1.5,1.5,1.5
28/10/09,1760.0,1.76,1.76,1.76,1.76
29/10/09,10640.0,1.52,1.52,1.52,1.52
30/10/09,7640.0,1.56,1.52,1.56,1.52
05/11/09,279480.0,1.86,1.98,1.98,1.86
11/11/09,11200.0,1.6,1.6,1.6,1.6
15/12/09,228000.0,1.9,1.9,1.9,1.9
16/12/09,30480.0,1.98,1.9,1.98,1.9
17/12/09,130900.0,1.9,1.8,1.9,1.8
18/12/09,10800.0,1.8,1.8,1.8,1.8
22/12/09,56400.0,1.7,1.8,1.8,1.7
23/12/09,1860.0,1.86,1.86,1.86,1.86
29/12/09,59520.0,1.86,1.86,1.86,1.86
05/01/10,29200.0,1.72,1.7,1.72,1.7
06/01/10,38720.0,1.76,1.76,1.76,1.76
07/01/10,59840.0,1.76,1.76,1.76,1.76
08/01/10,46320.0,1.76,1.8,1.8,1.76
11/01/10,143460.0,1.72,1.7,1.74,1.68
13/01/10,90000.0,1.84,1.56,1.84,1.52
14/01/10,48000.0,1.6,1.6,1.6,1.6
19/01/10,1206300.0,2.1,2.4,2.4,2.02
20/01/10,11058060.0,2.7,2.5,3.25,2.42
21/01/10,543600.0,2.4,2.4,2.4,2.0
22/01/10,205880.0,2.22,2.1,2.44,2.1
25/01/10,533100.0,2.0,2.0,2.0,1.98
26/01/10,203240.0,2.0,1.92,2.0,1.9
27/01/10,51300.0,1.9,1.9,1.9,1.9
28/01/10,34560.0,1.92,1.92,1.92,1.92
29/01/10,116100.0,1.92,1.94,1.94,1.92
02/02/10,23040.0,1.92,1.92,1.92,1.92
03/02/10,75080.0,1.92,1.92,1.94,1.92
04/02/10,20000.0,2.0,2.0,2.0,2.0
08/02/10,40320.0,1.92,1.92,1.92,1.92
09/02/10,42720.0,1.86,1.84,1.86,1.84
10/02/10,16560.0,1.84,1.84,1.84,1.84
17/03/10,107880.0,1.86,1.86,1.86,1.86
31/03/10,20460.0,1.86,1.86,1.86,1.86
20/04/10,29760.0,1.86,1.86,1.86,1.86
22/04/10,46980.0,1.86,1.88,1.88,1.86
05/05/10,70400.0,1.94,2.04,2.04,1.94
19/05/10,13580.0,1.94,1.94,1.94,1.94
20/05/10,95600.0,1.92,1.9,1.92,1.9
24/05/10,18640.0,1.8,1.88,1.88,1.8
25/05/10,79500.0,1.88,1.92,1.92,1.88
26/05/10,124000.0,1.96,1.92,1.96,1.9
27/05/10,19200.0,1.92,1.92,1.92,1.92
28/05/10,3840.0,1.92,1.92,1.92,1.92
31/05/10,221980.0,2.0,2.0,2.14,2.0
01/06/10,62780.0,2.0,2.02,2.04,2.0
02/06/10,18180.0,2.02,2.02,2.02,2.02
03/06/10,135500.0,1.98,1.98,2.04,1.96
04/06/10,100000.0,2.0,2.0,2.0,2.0
08/06/10,38800.0,1.94,1.94,1.94,1.94
09/06/10,1956380.0,1.92,2.3,2.5,1.92
10/06/10,2701440.0,2.2,2.2,2.55,2.2
11/06/10,214600.0,2.14,2.14,2.3,2.14
15/06/10,108160.0,2.12,2.18,2.18,2.1
16/06/10,156300.0,2.16,2.18,2.18,2.08
21/06/10,21000.0,2.1,2.1,2.1,2.1
22/06/10,14740.0,2.1,2.12,2.12,2.1
23/06/10,37300.0,2.1,2.06,2.1,2.06
24/06/10,12160.0,1.96,2.04,2.04,1.96
25/06/10,29080.0,2.02,2.1,2.1,2.02
28/06/10,51100.0,2.04,2.04,2.06,2.02
29/06/10,272920.0,1.96,2.02,2.02,1.96
01/07/10,16000.0,2.0,2.0,2.0,2.0
02/07/10,36260.0,2.0,2.02,2.02,2.0
06/07/10,230260.0,2.02,2.04,2.04,2.02
07/07/10,120000.0,2.0,2.0,2.0,2.0
08/07/10,46400.0,2.0,2.02,2.02,2.0
09/07/10,200800.0,2.0,2.0,2.04,2.0
13/07/10,74160.0,2.06,2.06,2.06,2.06
14/07/10,95240.0,2.06,2.08,2.08,2.06
16/07/10,67440.0,2.08,2.02,2.08,2.02
20/07/10,44820.0,2.3,2.12,2.3,2.12
21/07/10,4400.0,2.2,2.2,2.2,2.2
22/07/10,39360.0,2.18,2.24,2.24,2.18
23/07/10,4520.0,2.26,2.26,2.26,2.26
20/09/10,55500.0,2.3,2.2,2.3,2.2
21/09/10,45000.0,2.25,2.25,2.25,2.25
22/09/10,11500.0,2.3,2.3,2.3,2.3
23/09/10,17900.0,2.15,2.29,2.29,2.15
24/09/10,29400.0,2.2,2.3,2.3,2.2
27/09/10,11000.0,2.2,2.2,2.2,2.2
28/09/10,314530.0,2.25,2.2,2.3,2.2
29/09/10,66800.0,2.2,2.24,2.24,2.2
30/09/10,66600.0,2.24,2.21,2.24,2.21
01/10/10,154900.0,2.22,2.23,2.23,2.2
05/10/10,231150.0,2.23,2.2,2.23,2.2
06/10/10,22000.0,2.2,2.2,2.2,2.2
08/10/10,13200.0,2.2,2.2,2.2,2.2
13/10/10,227000.0,2.26,2.28,2.28,2.26
15/10/10,68700.0,2.29,2.29,2.29,2.29
18/10/10,372900.0,2.29,2.35,2.35,2.29
19/10/10,90900.0,2.3,2.25,2.3,2.25
20/10/10,594600.0,2.29,2.54,2.54,2.25
21/10/10,717750.0,2.6,2.64,2.64,2.45
22/10/10,132000.0,2.64,2.64,2.64,2.64
26/10/10,91000.0,2.6,2.6,2.6,2.6
27/10/10,79000.0,2.6,2.65,2.65,2.6
02/11/10,26000.0,2.6,2.6,2.6,2.6
03/11/10,26000.0,2.6,2.6,2.6,2.6
04/11/10,64050.0,2.6,2.58,2.6,2.5
08/11/10,101500.0,2.55,2.5,2.55,2.5
09/11/10,75050.0,2.58,2.6,2.6,2.58
10/11/10,12800.0,2.56,2.56,2.56,2.56
11/11/10,42160.0,2.48,2.48,2.48,2.48
12/11/10,24000.0,2.4,2.4,2.4,2.4
15/11/10,391500.0,2.4,2.5,2.5,2.4
17/11/10,75000.0,2.5,2.5,2.5,2.5
18/11/10,48000.0,2.4,2.4,2.4,2.4
19/11/10,80860.0,2.4,2.45,2.48,2.4
23/11/10,125000.0,2.5,2.5,2.5,2.5
