Date,Value,Open,Close,High,Low
22/01/10,2000.0,2.0,2.0,2.0,2.0
25/01/10,108000.0,1.8,1.8,1.8,1.8
12/03/10,12200.0,2.44,2.44,2.44,2.44
04/06/10,55200.0,1.84,1.84,1.84,1.84
11/06/10,279340.0,2.1,2.28,2.4,2.1
16/06/10,352290.0,2.4,2.44,2.55,2.3
21/06/10,4680.0,2.34,2.34,2.34,2.34
23/06/10,34200.0,2.8,2.9,2.9,2.8
24/06/10,180000.0,3.0,3.0,3.0,3.0
25/06/10,35100.0,3.0,3.35,3.35,3.0
01/07/10,6600.0,3.3,3.3,3.3,3.3
14/10/10,145610.0,3.2,2.8,3.2,2.8
20/10/10,19600.0,2.8,2.8,2.8,2.8
21/10/10,171000.0,2.85,2.85,2.85,2.85
22/10/10,418950.0,2.85,2.85,2.85,2.85
03/11/10,9000.0,3.0,3.0,3.0,3.0
10/11/10,232350.0,2.9,2.85,2.9,2.85
01/12/10,52000.0,2.6,2.6,2.6,2.6
07/12/10,104000.0,2.6,2.6,2.6,2.6
16/12/10,63750.0,2.55,2.55,2.55,2.55
05/01/11,89250.0,2.55,2.55,2.55,2.55
26/01/11,19200.0,2.4,2.4,2.4,2.4
28/01/11,4950.0,2.45,2.5,2.5,2.45
28/01/11,4950.0,2.45,2.5,2.5,2.45
02/02/11,7500.0,2.5,2.5,2.5,2.5
17/03/11,34440.0,2.46,2.46,2.46,2.46
21/03/11,24800.0,2.48,2.48,2.48,2.48
22/03/11,73200.0,2.44,2.44,2.44,2.44
23/03/11,24400.0,2.44,2.44,2.44,2.44
25/03/11,2420.0,2.42,2.42,2.42,2.42
28/03/11,24400.0,2.44,2.44,2.44,2.44
30/03/11,51840.0,2.44,2.48,2.48,2.44
07/04/11,25000.0,2.5,2.5,2.5,2.5
29/04/11,55680.0,2.32,2.32,2.32,2.32
10/05/11,20700.0,2.3,2.3,2.3,2.3
30/05/11,50000.0,2.5,2.5,2.5,2.5
31/05/11,52000.0,2.6,2.6,2.6,2.6
03/06/11,50000.0,2.7,2.3,2.7,2.3
08/06/11,116900.0,2.7,2.8,2.8,2.7
22/07/11,80000.0,2.5,2.5,2.5,2.5
01/08/11,220540.0,2.75,3.4,3.4,2.75
02/08/11,94300.0,2.8,3.4,3.4,2.8
12/08/11,206430.0,3.25,3.5,3.5,3.25
15/08/11,91990.0,3.5,3.8,3.99,3.5
26/08/11,16500.0,3.3,3.3,3.3,3.3
01/09/11,29700.0,3.3,3.3,3.3,3.3
02/09/11,32000.0,3.2,3.2,3.2,3.2
08/09/11,34450.0,3.4,3.45,3.45,3.4
09/09/11,34500.0,3.45,3.45,3.45,3.45
12/09/11,108200.0,3.45,3.5,3.5,3.45
14/09/11,221000.0,3.3,3.5,3.5,3.3
15/09/11,70000.0,3.5,3.5,3.5,3.5
16/09/11,3210.0,3.21,3.21,3.21,3.21
19/09/11,82480.0,3.3,3.8,3.8,3.3
20/09/11,7600.0,3.8,3.8,3.8,3.8
05/10/11,97500.0,3.25,3.25,3.25,3.25
11/10/11,28800.0,3.6,3.6,3.6,3.6
14/10/11,549250.0,3.25,3.25,3.25,3.25
21/10/11,33000.0,3.3,3.3,3.3,3.3
26/10/11,65500.0,3.28,3.27,3.28,3.27
27/10/11,33000.0,3.3,3.3,3.3,3.3
16/11/11,35900.0,3.59,3.59,3.59,3.59
17/11/11,25200.0,3.6,3.6,3.6,3.6
29/11/11,35970.0,3.27,3.27,3.27,3.27
01/12/11,9870.0,3.29,3.29,3.29,3.29
06/12/11,10350.0,3.45,3.45,3.45,3.45
13/12/11,53040.0,3.33,3.3,3.33,3.3
16/12/11,62790.0,3.3,3.31,3.31,3.3
19/12/11,3300.0,3.3,3.3,3.3,3.3
22/12/11,3300.0,3.3,3.3,3.3,3.3
23/12/11,27460.0,3.4,3.49,3.49,3.4
26/12/11,32900.0,3.29,3.29,3.29,3.29
29/12/11,72740.0,3.29,3.32,3.32,3.29
03/01/12,56170.0,3.32,3.29,3.32,3.29
06/01/12,16750.0,3.35,3.35,3.35,3.35
09/01/12,23420.0,3.34,3.35,3.35,3.34
13/01/12,17220.0,3.44,3.45,3.45,3.44
16/01/12,94060.0,3.45,3.68,3.68,3.45
17/01/12,334930.0,3.65,3.8,3.88,3.65
24/01/12,19220.0,3.84,3.85,3.85,3.84
25/01/12,96700.0,3.85,3.9,3.9,3.85
30/01/12,3450.0,3.45,3.45,3.45,3.45
31/01/12,18000.0,3.6,3.6,3.6,3.6
01/02/12,35550.0,3.6,3.45,3.6,3.45
03/02/12,279990.0,3.8,4.6,5.17,3.8
06/02/12,72200.0,5.1,4.6,5.1,4.6
07/02/12,47600.0,4.8,4.7,4.8,4.7
15/02/12,16800.0,4.2,4.2,4.2,4.2
17/02/12,13200.0,3.3,3.3,3.3,3.3
22/02/12,14310.0,3.36,3.75,3.75,3.36
05/03/12,9990.0,3.33,3.33,3.33,3.33
06/03/12,3380.0,3.38,3.38,3.38,3.38
08/03/12,3380.0,3.38,3.38,3.38,3.38
12/03/12,7000.0,3.5,3.5,3.5,3.5
14/03/12,19000.0,3.8,3.8,3.8,3.8
15/03/12,3850.0,3.85,3.85,3.85,3.85
19/03/12,8000.0,4.0,4.0,4.0,4.0
22/03/12,20470.0,4.09,4.1,4.1,4.09
28/03/12,25140.0,4.0,4.26,4.26,4.0
30/03/12,11850.0,3.8,4.25,4.25,3.8
11/04/12,25510.0,4.25,4.26,4.26,4.25
17/04/12,46720.0,4.65,4.68,4.69,4.65
20/04/12,40000.0,4.0,4.0,4.0,4.0
04/05/12,32000.0,4.0,4.0,4.0,4.0
07/05/12,3500.0,3.5,3.5,3.5,3.5
08/05/12,16000.0,4.0,4.0,4.0,4.0
17/05/12,47400.0,3.95,3.95,3.95,3.95
18/05/12,3800.0,3.8,3.8,3.8,3.8
25/06/12,11400.0,3.8,3.8,3.8,3.8
03/07/12,4800.0,4.8,4.8,4.8,4.8
11/07/12,42000.0,4.2,4.2,4.2,4.2
06/08/12,27599.999999999996,4.6,4.6,4.6,4.6
08/08/12,18400.0,4.6,4.6,4.6,4.6
03/09/12,7300.0,3.31,3.99,3.99,3.31
07/11/12,36580.0,4.56,4.58,4.58,4.56
09/11/12,14040.0,4.68,4.68,4.68,4.68
12/12/12,11200.0,5.6,5.6,5.6,5.6
02/01/13,9200.0,4.6,4.6,4.6,4.6
04/01/13,4500.0,4.5,4.5,4.5,4.5
07/01/13,31500.0,4.5,4.5,4.5,4.5
08/01/13,37000.0,3.25,4.5,4.5,3.25
11/01/13,9600.0,4.8,4.8,4.8,4.8
14/01/13,40810.0,4.7,5.16,5.16,4.7
15/01/13,1399500.0,5.0,5.0,5.0,5.0
17/01/13,50500.0,5.0,5.0,5.0,5.0
18/01/13,239080.0,4.3,4.3,4.3,4.3
22/01/13,649900.0,4.98,5.5,5.5,4.98
23/01/13,113142.0,5.5,5.7,5.7,5.5
24/01/13,30269.999999999996,5.7,5.1,5.7,5.1
25/01/13,10070.0,5.3,5.3,5.3,5.3
31/01/13,31800.0,5.3,5.3,5.3,5.3
01/02/13,2350.0,4.7,4.7,4.7,4.7
05/02/13,126700.0,5.02,5.1,5.1,5.02
06/02/13,86420.0,5.2,5.7,5.7,5.2
08/02/13,5700.0,5.7,5.7,5.7,5.7
14/02/13,38776.0,4.12,4.22,4.22,4.12
15/02/13,5020.0,5.02,5.02,5.02,5.02
18/02/13,10169.0,6.0,5.95,6.0,5.95
19/02/13,8700.0,5.8,5.8,5.8,5.8
20/02/13,19074.0,5.78,5.78,5.78,5.78
21/02/13,14225.000000000002,5.69,5.69,5.69,5.69
27/02/13,35280.0,5.22,5.4,5.4,5.22
04/03/13,10780.0,5.39,5.39,5.39,5.39
06/03/13,10000.0,5.0,5.0,5.0,5.0
08/03/13,4500.0,5.0,5.0,5.0,5.0
11/03/13,66100.0,5.0,5.2,5.2,5.0
12/03/13,59500.0,5.0,5.0,5.0,5.0
13/03/13,591848.0,5.05,5.05,5.05,5.04
14/03/13,606000.0,5.05,5.05,5.05,5.05
15/03/13,150000.0,5.0,5.0,5.0,5.0
20/03/13,20000.0,5.0,5.0,5.0,5.0
22/03/13,302020.0,5.05,5.0,5.05,5.0
26/03/13,510100.0,5.0,5.05,5.05,5.0
01/04/13,2928248.0,5.03,5.03,5.1,5.03
02/04/13,20400.0,5.1,5.1,5.1,5.1
03/04/13,650289.0,5.05,5.0,5.05,5.0
04/04/13,82400.0,5.0,4.96,5.0,4.8
05/04/13,245000.00000000003,4.9,4.9,4.9,4.9
08/04/13,74850.0,4.99,4.99,4.99,4.99
11/04/13,85000.0,5.0,5.0,5.0,5.0
12/04/13,835000.0,5.0,5.0,5.0,5.0
15/04/13,62180.0,5.0,4.93,5.0,4.93
16/04/13,24750.0,4.95,4.95,4.95,4.95
19/04/13,243500.0,4.85,4.95,4.95,4.85
22/04/13,109900.0,4.99,5.0,5.0,4.99
23/04/13,2425.0,4.85,4.85,4.85,4.85
24/04/13,627250.0,4.91,4.9,4.91,4.9
25/04/13,44120.0,4.9,4.91,4.91,4.9
26/04/13,29520.0,4.92,4.92,4.92,4.92
29/04/13,224760.0,4.92,5.0,5.0,4.92
30/04/13,5946974.0,5.0,4.98,5.1,4.98
03/05/13,5950.0,5.95,5.95,5.95,5.95
07/05/13,198180.0,5.9,5.2,5.9,5.0
08/05/13,554852.0,5.2,5.2,5.2,5.01
09/05/13,284170.0,5.2,5.4,5.5,5.2
10/05/13,1080.0,5.4,5.4,5.4,5.4
14/05/13,28080.0,5.4,5.4,5.4,5.4
15/05/13,5775.0,5.25,5.25,5.25,5.25
16/05/13,43010.0,5.25,5.2,5.26,5.2
17/05/13,10420.0,5.21,5.21,5.21,5.21
20/05/13,56760.0,5.2,5.4,5.4,5.2
22/05/13,10800.0,5.4,5.4,5.4,5.4
23/05/13,27500.0,5.5,5.5,5.5,5.5
24/05/13,60500.0,5.5,5.5,5.5,5.5
27/05/13,2074.0,5.03,5.65,5.65,5.03
30/05/13,52540.0,5.4,5.2,5.4,5.2
31/05/13,11120.0,5.04,5.2,5.2,5.04
04/06/13,52065.0,5.15,5.65,5.65,5.15
05/06/13,520.0,5.2,5.2,5.2,5.2
06/06/13,10400.0,5.2,5.2,5.2,5.2
11/06/13,129999.0,5.2,5.01,5.2,5.0
13/06/13,149000.0,5.0,5.0,5.0,5.0
14/06/13,900.0,4.5,4.5,4.5,4.5
24/06/13,49520.0,4.51,5.29,5.29,4.3
02/07/13,5400.0,4.0,4.2,4.2,4.0
12/07/13,4400.0,4.4,4.4,4.4,4.4
26/07/13,19600.0,4.9,4.9,4.9,4.9
30/07/13,15000.0,5.0,5.0,5.0,5.0
31/07/13,48000.0,4.8,4.8,4.8,4.8
08/08/13,14400.0,4.8,4.8,4.8,4.8
12/08/13,4800.0,4.8,4.8,4.8,4.8
15/08/13,9700.0,4.85,4.85,4.85,4.85
27/08/13,19800.0,4.95,4.95,4.95,4.95
28/08/13,39600.0,4.95,4.95,4.95,4.95
03/09/13,45000.0,4.5,4.5,4.5,4.5
06/09/13,67500.0,4.5,4.5,4.5,4.5
16/09/13,28300.0,4.55,4.75,4.75,4.55
27/09/13,14350.0,4.75,4.8,4.8,4.75
01/10/13,110400.0,4.8,4.8,4.8,4.8
16/10/13,28800.0,4.8,4.8,4.8,4.8
23/10/13,24500.0,4.9,4.9,4.9,4.9
04/11/13,4950.0,4.95,4.95,4.95,4.95
19/11/13,43200.0,4.8,4.8,4.8,4.8
20/11/13,75200.0,4.7,4.7,4.7,4.7
21/11/13,18800.0,4.7,4.7,4.7,4.7
25/11/13,32900.0,4.7,4.7,4.7,4.7
26/11/13,14100.0,4.7,4.7,4.7,4.7
27/11/13,23000.0,4.6,4.6,4.6,4.6
28/11/13,23000.0,4.6,4.6,4.6,4.6
04/12/13,41800.0,4.0,4.2,4.2,4.0
05/12/13,81200.0,4.0,4.1,4.2,3.0
11/12/13,8400.0,4.2,4.2,4.2,4.2
23/12/13,4990.0,4.99,4.99,4.99,4.99
21/02/14,4990.0,4.99,4.99,4.99,4.99
24/02/14,96599.99999999999,4.6,4.6,4.6,4.6
28/02/14,54480.0,4.54,4.54,4.54,4.54
06/03/14,17900.0,4.47,4.48,4.48,4.47
07/03/14,4480.0,4.48,4.48,4.48,4.48
11/03/14,36000.0,4.5,4.5,4.5,4.5
13/03/14,4500.0,4.5,4.5,4.5,4.5
24/03/14,40500.0,4.5,4.5,4.5,4.5
15/04/14,38400.0,4.8,4.8,4.8,4.8
21/04/14,40500.0,4.5,4.5,4.5,4.5
23/04/14,13500.0,4.5,4.5,4.5,4.5
28/04/14,40500.0,4.5,4.5,4.5,4.5
15/05/14,24750.0,4.95,4.95,4.95,4.95
27/05/14,67650.0,4.51,4.51,4.51,4.51
28/05/14,4510.0,4.51,4.51,4.51,4.51
29/05/14,109400.0,4.94,5.0,5.0,4.94
30/05/14,5000.0,5.0,5.0,5.0,5.0
16/06/14,342.0,3.42,3.42,3.42,3.42
18/06/14,3600.0,3.6,3.6,3.6,3.6
19/06/14,8100.0,4.0,4.1,4.1,4.0
23/06/14,8698500.0,4.5,4.5,4.5,4.5
30/06/14,5080.0,5.08,5.08,5.08,5.08
01/07/14,174000.0,6.0,6.0,6.0,6.0
04/07/14,74730.0,5.3,5.3,5.3,5.3
07/07/14,27560.0,5.3,5.3,5.3,5.3
08/07/14,15299.999999999998,5.1,5.1,5.1,5.1
09/07/14,78900.0,5.2,5.3,5.3,5.2
11/07/14,1060.0,5.3,5.3,5.3,5.3
15/07/14,480.99999999999994,4.81,4.81,4.81,4.81
21/07/14,144300.0,4.81,4.81,4.81,4.81
22/07/14,117800.0,5.3,5.5,5.5,5.3
25/07/14,3850.0,5.5,5.5,5.5,5.5
30/07/14,12575.0,5.98,5.99,5.99,5.98
14/08/14,6699600.0,4.5,4.5,4.5,4.5
28/08/14,30000.0,5.0,5.0,5.0,5.0
30/09/14,3157.0,4.51,4.51,4.51,4.51
11/11/14,4410.0,4.41,4.41,4.41,4.41
19/11/14,4420.0,4.42,4.42,4.42,4.42
20/11/14,4450.0,4.45,4.45,4.45,4.45
24/11/14,4470.0,4.47,4.47,4.47,4.47
04/12/14,25600.0,5.1,5.2,5.2,5.1
10/12/14,1446.0,4.82,4.82,4.82,4.82
20/01/15,11000.0,5.5,5.5,5.5,5.5
26/01/15,5782.0,5.0,5.5,5.5,5.0
29/01/15,131445.0,5.5,5.48,5.5,5.25
02/02/15,9798.0,5.44,5.48,5.48,5.44
03/02/15,236258.0,5.4,5.5,5.5,5.4
04/02/15,29568.0,5.28,5.28,5.28,5.28
06/02/15,10800.0,5.4,5.4,5.4,5.4
16/02/15,550.0,5.5,5.5,5.5,5.5
23/02/15,27400.0,5.48,5.48,5.48,5.48
24/02/15,2188.0,5.47,5.47,5.47,5.47
26/02/15,48510.0,5.39,5.39,5.39,5.39
27/02/15,1078.0,5.39,5.39,5.39,5.39
02/03/15,5995.0,5.39,5.5,5.5,5.39
05/03/15,1022.0,5.11,5.11,5.11,5.11
13/03/15,134135.0,5.15,5.2,5.2,5.15
20/04/15,550.0,5.5,5.5,5.5,5.5
21/04/15,1100.0,5.5,5.5,5.5,5.5
22/04/15,2750.0,5.5,5.5,5.5,5.5
23/04/15,1582.0,5.5,5.16,5.5,5.16
06/05/15,148150.0,5.5,6.5,6.5,5.5
07/05/15,477188.0,6.52,5.05,6.6,5.05
11/05/15,5070.0,5.07,5.07,5.07,5.07
12/05/15,647.0,6.47,6.47,6.47,6.47
13/05/15,3600.0,6.0,6.0,6.0,6.0
14/05/15,4501.0,6.43,6.43,6.43,6.43
15/05/15,547.0,5.47,5.47,5.47,5.47
21/05/15,547.0,5.47,5.47,5.47,5.47
25/05/15,7020.0,5.4,5.4,5.4,5.4
26/05/15,41718.0,5.12,5.15,5.16,5.12
27/05/15,41809.0,5.89,5.7,5.9,5.7
29/05/15,35443.0,5.13,5.0,5.13,5.0
01/06/15,505.0,5.05,5.05,5.05,5.05
02/06/15,50300.0,5.05,5.01,5.05,5.01
19/06/15,503.0,5.03,5.03,5.03,5.03
24/06/15,2379.0,6.0,5.9,6.0,5.9
29/06/15,71980.0,5.5,5.4,5.5,5.4
30/06/15,1080.0,5.4,5.4,5.4,5.4
03/07/15,5481.0,4.53,4.57,4.58,4.53
15/07/15,10000.0,5.0,5.0,5.0,5.0
23/07/15,5000.0,5.0,5.0,5.0,5.0
23/07/15,5000.0,5.0,5.0,5.0,5.0
23/07/15,5000.0,5.0,5.0,5.0,5.0
29/07/15,2968.0,4.24,4.24,4.24,4.24
11/08/15,21400.0,5.35,5.35,5.35,5.35
12/08/15,85676.0,5.75,5.6,5.8,5.5
13/08/15,560.0,5.6,5.6,5.6,5.6
20/08/15,480.99999999999994,4.81,4.81,4.81,4.81
14/09/15,431060.0,3.6,4.68,4.7,3.6
22/09/15,161290.0,5.89,6.78,6.78,5.89
23/09/15,6700.0,6.7,6.7,6.7,6.7
29/09/15,16840.0,6.77,6.6,6.77,6.6
30/09/15,659.0,6.59,6.59,6.59,6.59
02/10/15,369580.0,4.62,4.0,6.5,3.7
27/10/15,21688.0,4.68,4.76,4.76,4.68
16/11/15,4530.0,4.53,4.53,4.53,4.53
02/12/15,21000.0,5.0,5.5,5.5,5.0
08/12/15,550.0,5.5,5.5,5.5,5.5
14/12/15,5990.0,5.99,5.99,5.99,5.99
11/01/16,4010.0,4.01,4.01,4.01,4.01
15/01/16,4500.0,4.5,4.5,4.5,4.5
20/01/16,4150.0,4.15,4.15,4.15,4.15
22/01/16,5000.0,5.0,5.0,5.0,5.0
12/02/16,2028.0,5.48,4.66,5.48,4.66
22/03/16,5890.0,5.89,5.89,5.89,5.89
23/03/16,589.0,5.89,5.89,5.89,5.89
28/03/16,599.0,5.99,5.99,5.99,5.99
29/03/16,10782.0,5.99,5.99,5.99,5.99
30/03/16,4792.0,5.99,5.99,5.99,5.99
31/03/16,809105.0,5.5,8.49,8.98,5.5
01/04/16,368434.0,8.2,5.8,8.2,5.7
04/04/16,96454.0,6.78,6.0,6.78,6.0
05/04/16,60080.0,5.5,5.35,6.25,5.35
06/04/16,4305.0,5.35,5.4,5.4,5.35
07/04/16,5415.0,5.35,6.0,6.0,5.35
08/04/16,26840.0,6.0,6.2,6.2,5.55
11/04/16,13635.0,6.15,6.2,6.2,6.15
12/04/16,64959.0,6.2,6.14,6.2,5.36
13/04/16,8556.0,6.14,6.1,6.14,6.1
15/04/16,1857.0,6.19,6.19,6.19,6.19
19/04/16,24312.0,5.36,5.99,5.99,5.3
21/04/16,63666.0,5.41,5.5,5.5,5.41
22/04/16,12202.0,5.55,5.51,5.55,5.51
26/04/16,20760.0,5.41,5.4,5.55,5.3
27/04/16,54375.0,5.5,5.5,5.64,5.5
29/04/16,10790.0,5.6,5.3,5.7,5.3
02/05/16,108120.0,5.3,5.3,5.3,5.3
05/05/16,107000.0,5.35,5.35,5.35,5.35
06/05/16,1064.0,5.31,5.33,5.33,5.31
06/05/16,1064.0,5.31,5.33,5.33,5.31
11/05/16,588.0,5.88,5.88,5.88,5.88
12/05/16,3838.0,5.88,5.88,5.88,5.32
13/05/16,8528.0,5.33,5.33,5.33,5.33
16/05/16,1608.0,5.36,5.36,5.36,5.36
17/05/16,1072.0,5.36,5.36,5.36,5.36
18/05/16,57888.0,5.36,5.36,5.36,5.36
20/05/16,25250.0,5.34,5.2,5.34,5.2
23/05/16,46802.0,5.21,5.2,5.21,5.2
25/05/16,13000.0,5.2,5.2,5.2,5.2
30/05/16,48880.0,5.2,5.2,5.2,5.2
31/05/16,20680.0,5.99,5.99,5.99,5.8
01/06/16,12857.0,5.59,5.59,5.59,5.59
03/06/16,27000.0,5.4,5.4,5.4,5.4
07/06/16,540.0,5.4,5.4,5.4,5.4
09/06/16,579.0,5.79,5.79,5.79,5.79
10/06/16,5040.0,5.04,5.04,5.04,5.04
15/06/16,607858.0,6.19,6.19,6.19,6.19
20/06/16,527023.0,6.19,5.6,6.19,5.1
21/06/16,32225.0,5.81,5.23,5.81,5.23
22/06/16,3206.0,5.8,5.3,5.8,5.24
23/06/16,11154.0,5.79,5.31,5.79,5.22
24/06/16,579243.0,5.76,5.8,6.98,5.75
27/06/16,88160.0,5.8,5.8,5.8,5.8
28/06/16,77697.0,6.5,5.69,6.5,5.35
29/06/16,26119.0,5.69,5.41,5.69,5.41
30/06/16,10455.0,5.6,5.5,5.6,5.41
04/07/16,2246.0,5.7,5.36,5.7,5.36
05/07/16,27822.0,5.36,5.35,5.36,5.35
07/07/16,7490.0,5.35,5.35,5.35,5.35
08/07/16,2000.0,5.0,5.0,5.0,5.0
11/07/16,8072.0,5.04,5.05,5.05,5.04
12/07/16,505.0,5.05,5.05,5.05,5.05
13/07/16,58542.0,5.06,5.3,5.3,5.06
18/07/16,35126.0,5.3,5.3,5.3,5.06
19/07/16,8932.0,6.41,6.37,6.41,6.37
22/07/16,10540.0,6.2,6.2,6.2,6.2
02/08/16,14037.0,5.14,5.3,5.3,5.13
11/08/16,70991.0,5.3,5.13,5.3,5.13
12/08/16,5137.0,5.13,5.14,5.14,5.13
15/08/16,2056.0,5.14,5.14,5.14,5.14
17/08/16,14935.0,5.15,5.15,5.15,5.15
25/08/16,9210.0,6.14,6.14,6.14,6.14
26/08/16,8653.0,5.89,5.75,5.89,5.75
31/08/16,10450.0,5.5,5.5,5.5,5.5
06/09/16,540.0,5.4,5.4,5.4,5.4
08/09/16,12960.0,5.4,5.4,5.4,5.4
13/09/16,2700.0,5.4,5.4,5.4,5.4
14/09/16,6246.0,5.2,5.2,5.21,5.2
29/09/16,2343.0,5.89,5.84,5.89,5.84
04/10/16,19676.0,5.21,5.4,5.4,5.21
05/10/16,540.0,5.4,5.4,5.4,5.4
11/10/16,3180.0,5.2,5.4,5.4,5.2
13/10/16,5205.0,5.21,5.2,5.21,5.2
19/10/16,9361.0,5.21,5.2,5.21,5.2
03/11/16,1042.0,5.21,5.21,5.21,5.21
16/11/16,2084.0,5.21,5.21,5.21,5.21
21/11/16,23285.0,5.99,5.8,5.99,5.8
22/11/16,5800.0,5.8,5.8,5.8,5.8
23/11/16,71276.0,5.99,5.97,5.99,5.97
