Date,Value,Open,Close,High,Low
17/09/09,20000.0,1.0,1.0,1.0,1.0
13/10/09,527000.0,1.3,1.4,1.4,1.3
14/10/09,364380.0,1.38,1.5,1.5,1.38
15/10/09,46500.0,1.5,1.5,1.5,1.5
29/10/09,1200.0,1.2,1.2,1.2,1.2
09/11/09,85200.0,1.2,1.2,1.2,1.2
17/12/09,8400.0,1.2,1.2,1.2,1.2
13/01/10,39040.0,1.22,1.22,1.22,1.22
22/04/10,450000.0,1.5,1.5,1.5,1.5
04/05/10,167900.0,1.46,1.46,1.46,1.46
13/05/10,301460.0,1.46,1.5,1.5,1.46
20/05/10,35500.0,1.42,1.42,1.42,1.42
21/05/10,1240.0,1.24,1.24,1.24,1.24
02/07/10,13800.0,1.38,1.38,1.38,1.38
06/07/10,132000.0,1.32,1.32,1.32,1.32
07/07/10,270520.0,1.32,1.48,1.48,1.32
13/07/10,132000.0,1.32,1.32,1.32,1.32
05/10/10,1380.0,1.38,1.38,1.38,1.38
13/10/10,124200.0,1.38,1.38,1.38,1.38
21/10/10,26220.0,1.38,1.38,1.38,1.38
03/11/10,20720.0,1.48,1.48,1.48,1.48
09/11/10,21320.0,1.4,1.48,1.48,1.4
08/12/10,11680.0,1.46,1.46,1.46,1.46
16/12/10,26000.0,2.0,2.0,2.0,2.0
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
28/12/10,1460.0,1.46,1.46,1.46,1.46
29/12/10,2920.0,1.46,1.46,1.46,1.46
29/12/10,2920.0,1.46,1.46,1.46,1.46
10/01/11,1500.0,1.5,1.5,1.5,1.5
12/01/11,76640.0,1.64,2.0,2.0,1.64
18/01/11,49200.0,2.05,2.05,2.05,2.05
14/02/11,2000.0,2.0,2.0,2.0,2.0
16/02/11,75250.0,2.15,2.15,2.15,2.15
16/02/11,75250.0,2.15,2.15,2.15,2.15
18/02/11,1800.0,1.8,1.8,1.8,1.8
02/03/11,3620.0,1.81,1.81,1.81,1.81
16/03/11,75200.0,1.88,1.88,1.88,1.88
21/03/11,99460.0,1.9,1.8,1.9,1.8
23/03/11,19810.0,1.81,1.8,1.81,1.8
28/03/11,18000.0,1.8,1.8,1.8,1.8
30/03/11,178000.0,2.0,2.0,2.0,2.0
07/04/11,45400.0,1.85,1.95,1.95,1.85
13/04/11,199940.0,1.83,1.75,1.83,1.75
15/04/11,17500.0,1.75,1.75,1.75,1.75
29/04/11,52500.0,1.75,1.75,1.75,1.75
03/05/11,30600.0,1.8,1.8,1.8,1.8
04/05/11,35200.0,1.76,1.76,1.76,1.76
05/05/11,1800.0,1.8,1.8,1.8,1.8
09/05/11,16200.0,1.8,1.8,1.8,1.8
12/05/11,17600.0,1.76,1.76,1.76,1.76
23/05/11,21360.0,1.78,1.78,1.78,1.78
26/05/11,81820.0,1.72,1.78,1.78,1.72
17/06/11,22360.0,1.72,1.72,1.72,1.72
30/06/11,1720.0,1.72,1.72,1.72,1.72
12/07/11,8600.0,1.72,1.72,1.72,1.72
15/07/11,1720.0,1.72,1.72,1.72,1.72
19/07/11,6880.0,1.72,1.72,1.72,1.72
22/07/11,17200.0,1.72,1.72,1.72,1.72
25/07/11,3440.0,1.72,1.72,1.72,1.72
27/07/11,5160.0,1.72,1.72,1.72,1.72
01/08/11,112820.0,1.81,1.82,1.82,1.81
08/08/11,6880.0,1.72,1.72,1.72,1.72
18/08/11,18920.0,1.72,1.72,1.72,1.72
22/08/11,137600.0,1.72,1.72,1.72,1.72
23/08/11,1720.0,1.72,1.72,1.72,1.72
31/08/11,49880.0,1.72,1.72,1.72,1.72
13/09/11,65360.0,1.72,1.72,1.72,1.72
28/09/11,28160.0,1.76,1.76,1.76,1.76
10/10/11,34400.0,1.72,1.72,1.72,1.72
11/10/11,17600.0,1.76,1.76,1.76,1.76
13/10/11,16800.0,1.68,1.68,1.68,1.68
25/10/11,21600.0,1.7,1.5,1.7,1.5
16/11/11,56700.0,1.6,1.82,1.82,1.6
21/11/11,3760.0,1.88,1.88,1.88,1.88
29/11/11,12800.0,1.6,1.6,1.6,1.6
