Date,Value,Open,Close,High,Low
19/08/19,226950557.0,5.87,8.15,8.49,5.84
20/08/19,454007176.0,8.2,12.22,12.22,8.2
22/08/19,559954752.0,13.0,18.32,18.32,13.0
23/08/19,892328393.0,23.0,15.0,27.35,13.02
27/08/19,187589752.0,14.5,12.66,17.36,12.0
28/08/19,132067912.0,12.52,14.0,14.8,11.8
29/08/19,115937408.0,14.5,12.56,15.58,12.0
30/08/19,45226246.0,12.82,10.92,13.04,10.58
02/09/19,36009488.0,11.08,11.6,11.9,10.44
03/09/19,10062720.0,11.7,11.22,11.8,10.9
04/09/19,9454990.0,11.3,10.5,11.3,10.2
05/09/19,31232702.0,10.5,11.06,11.2,9.7
06/09/19,14953419.0,11.16,9.9,11.4,9.82
09/09/19,10767498.0,9.99,10.1,10.64,9.54
10/09/19,34897614.0,10.16,11.4,11.56,9.5
11/09/19,21795206.0,11.3,10.88,11.78,10.7
12/09/19,7348410.0,10.9,11.02,11.44,10.6
13/09/19,37125826.0,11.2,12.3,12.46,11.02
16/09/19,47308664.0,12.44,12.76,13.36,12.4
17/09/19,46567136.0,13.0,11.2,13.18,11.06
18/09/19,4408602.0,11.1,11.34,11.56,11.06
19/09/19,10348932.0,11.36,11.36,12.0,11.36
20/09/19,10861058.0,11.7,10.88,11.7,10.7
23/09/19,7101428.0,10.88,10.5,10.92,10.5
24/09/19,3318022.0,10.54,10.22,10.86,10.14
25/09/19,4486795.0,10.22,9.94,10.4,9.9
26/09/19,11273652.0,10.0,10.6,10.8,10.0
27/09/19,3416054.0,10.78,10.14,10.78,10.1
30/09/19,1875791.0,10.14,10.1,10.4,9.95
01/10/19,5320338.0,10.06,9.6,10.06,9.58
02/10/19,3298732.0,9.62,9.8,10.0,9.62
03/10/19,1645899.0,9.7,9.58,9.7,9.51
04/10/19,1261213.0,9.7,9.55,9.8,9.52
07/10/19,8308846.0,9.5,9.1,9.5,8.88
08/10/19,1891003.0,9.1,9.0,9.1,8.9
09/10/19,1070375.0,9.1,9.1,9.1,8.92
10/10/19,13135440.0,8.93,10.24,10.3,8.93
11/10/19,39849526.0,10.28,11.4,11.52,10.28
14/10/19,44076638.0,11.6,12.1,12.2,11.6
15/10/19,14503852.0,12.0,11.32,12.0,11.3
16/10/19,12062586.0,11.34,11.7,11.98,11.34
17/10/19,47213772.0,11.8,12.8,12.86,11.62
18/10/19,63121802.0,12.84,11.7,13.1,11.7
21/10/19,11327134.0,11.64,11.78,11.86,11.22
22/10/19,7681530.0,11.8,11.38,11.8,11.38
23/10/19,9432990.0,11.38,11.66,11.96,11.38
24/10/19,5268126.0,11.84,11.52,11.92,11.46
25/10/19,3363036.0,11.5,11.4,11.62,11.28
28/10/19,6340188.0,11.4,11.1,11.4,11.1
29/10/19,4600778.0,11.06,11.24,11.3,10.82
30/10/19,4370816.0,11.24,11.46,11.64,11.24
31/10/19,2954612.0,11.58,11.3,11.62,11.1
04/11/19,12607352.0,11.3,11.98,12.2,11.3
05/11/19,4007548.0,12.12,11.8,12.12,11.62
06/11/19,3097792.0,11.8,11.78,12.02,11.7
07/11/19,17050898.0,11.7,12.16,12.34,11.54
08/11/19,11757092.0,12.3,12.48,12.5,12.04
11/11/19,54129392.0,12.48,13.92,13.92,12.3
12/11/19,113387356.0,14.0,14.12,15.4,13.58
13/11/19,27827236.0,13.88,13.28,14.3,13.28
14/11/19,27771394.0,13.4,14.1,14.26,13.3
15/11/19,59041256.0,14.02,13.26,15.02,13.26
18/11/19,24894538.0,13.34,12.62,13.76,12.3
19/11/19,9850572.0,12.5,12.42,12.88,12.1
20/11/19,18124170.0,12.52,11.96,12.52,11.82
21/11/19,8761116.0,11.82,11.6,12.16,11.52
22/11/19,19607600.0,11.54,12.18,12.28,11.54
25/11/19,22397052.0,12.2,12.48,12.9,12.2
26/11/19,9312306.0,12.48,12.2,12.66,12.02
27/11/19,3808712.0,12.4,12.08,12.4,12.06
28/11/19,9513418.0,12.04,11.7,12.2,11.64
29/11/19,16053672.0,11.62,11.0,11.62,10.84
02/12/19,2568552.0,11.3,11.06,11.3,10.88
03/12/19,3737824.0,11.06,11.48,11.5,11.04
04/12/19,4632754.0,11.5,11.5,11.78,11.28
05/12/19,5437340.0,11.5,11.0,11.74,11.0
06/12/19,6688962.0,11.02,10.6,11.2,10.32
09/12/19,6220746.0,10.46,10.22,10.6,10.0
10/12/19,5347394.0,10.2,9.73,10.22,9.48
11/12/19,2668222.0,9.71,10.0,10.38,9.71
12/12/19,2310481.0,10.16,9.79,10.18,9.62
13/12/19,366972.0,9.76,9.9,10.04,9.76
