Date,Value,Open,Close,High,Low
06/08/09,3007100.0,5.8,5.2,5.8,5.1
10/08/09,61000.0,6.1,6.1,6.1,6.1
13/08/09,5940000.0,5.4,5.4,5.4,5.4
20/08/09,113900.0,7.7,7.6,7.7,7.5
24/08/09,7600.0,7.6,7.6,7.6,7.6
25/08/09,7600.0,7.6,7.6,7.6,7.6
04/09/09,24000.0,6.0,6.0,6.0,6.0
17/09/09,1160000.0,5.8,5.8,5.8,5.8
02/10/09,1223600.0,5.8,8.6,8.6,5.8
06/10/09,51600.0,8.6,8.6,8.6,8.6
09/10/09,8000.0,8.0,8.0,8.0,8.0
16/10/09,94100.0,8.5,8.6,8.6,8.5
26/10/09,51400.0,8.0,8.8,8.8,8.0
27/10/09,45000.0,9.0,9.0,9.0,9.0
09/11/09,187150.0,9.2,11.75,11.75,9.2
10/11/09,1419875.0,13.0,14.75,17.0,11.75
11/11/09,359500.0,13.0,12.75,13.0,12.75
15/12/09,13000.0,13.0,13.0,13.0,13.0
18/12/09,22000.0,11.0,11.0,11.0,11.0
12/01/10,112100.0,12.0,12.25,12.25,12.0
27/01/10,4000.0,10.0,10.0,10.0,10.0
29/01/10,67100.0,10.0,9.0,10.0,8.1
01/02/10,8000.0,8.0,8.0,8.0,8.0
29/04/10,78100.0,8.0,9.5,9.5,8.0
30/04/10,45000.0,9.0,9.0,9.0,9.0
03/06/10,27200.0,6.8,6.8,6.8,6.8
04/06/10,27600.0,6.8,7.0,7.0,6.8
16/06/10,76100.0,7.1,9.0,9.0,7.1
21/06/10,459000.0,10.0,10.5,11.75,10.0
28/06/10,10500.0,10.5,10.5,10.5,10.5
19/07/10,6400.0,8.0,8.0,8.0,8.0
21/09/10,30100.0,6.1,6.0,6.1,6.0
30/09/10,33750.0,6.75,6.75,6.75,6.75
06/10/10,612.0,6.12,6.12,6.12,6.12
20/10/10,18804.0,6.15,7.0,7.0,6.15
04/11/10,3500.0,7.0,7.0,7.0,7.0
26/01/11,1700.0,8.5,8.5,8.5,8.5
23/02/11,10500.0,7.0,7.0,7.0,7.0
23/02/11,10500.0,7.0,7.0,7.0,7.0
23/03/11,5508.0,6.12,6.12,6.12,6.12
13/04/11,6120.0,6.12,6.12,6.12,6.12
15/04/11,4291.0,6.13,6.13,6.13,6.13
12/05/11,15912.0,6.12,6.12,6.12,6.12
21/07/11,338600.0,8.5,9.1,9.1,8.0
22/07/11,18320.0,9.16,9.16,9.16,9.16
25/07/11,12240.0,6.12,6.12,6.12,6.12
28/07/11,9100.0,9.1,9.1,9.1,9.1
29/07/11,3640.0,9.1,9.1,9.1,9.1
01/08/11,63700.0,13.0,13.0,13.0,13.0
02/08/11,9652100.0,13.0,12.0,13.0,12.0
22/08/11,27133.0,6.31,6.31,6.31,6.31
07/09/11,900.0,9.0,9.0,9.0,9.0
09/09/11,34200.0,9.0,9.0,9.0,9.0
23/09/11,42500.0,6.56,6.52,6.56,6.52
04/10/11,45760.0,6.56,6.52,6.56,6.52
19/10/11,65096.0,6.54,5.8,6.54,5.8
15/11/11,133110.0,8.7,8.7,8.7,8.7
16/11/11,1965139.0,8.7,11.9,13.04,8.7
17/11/11,527244.0,11.92,9.4,11.92,8.37
18/11/11,3002566.0,9.9,12.0,13.9,9.9
21/11/11,13713184.0,12.4,18.0,18.0,12.4
22/11/11,8627207.0,20.3,12.5,25.0,12.0
23/11/11,1475952.0,13.7,11.1,15.0,11.0
24/11/11,643399.0,11.0,11.28,12.0,9.41
25/11/11,321770.0,10.04,9.9,11.28,9.5
28/11/11,195080.0,10.0,10.0,10.98,9.7
29/11/11,204869.0,10.0,9.44,10.0,9.4
01/12/11,179503.0,9.9,9.5,10.0,9.0
02/12/11,125551.0,9.0,9.2,9.55,8.95
05/12/11,132169.0,8.81,8.74,9.9,8.7
06/12/11,641345.0,9.7,8.7,9.7,8.6
07/12/11,201515.0,8.62,8.61,8.9,8.61
08/12/11,1000615.0,8.71,10.0,10.26,8.62
09/12/11,98584.0,10.0,9.0,10.0,8.79
12/12/11,47960.0,9.9,8.8,9.9,8.8
13/12/11,37903.0,8.8,8.82,8.82,8.79
14/12/11,88268.0,9.0,8.8,9.2,8.8
15/12/11,164401.0,8.88,8.79,8.88,8.79
16/12/11,114404.0,8.85,8.92,9.85,8.85
19/12/11,15130.0,8.9,8.9,8.9,8.9
20/12/11,42138.0,8.94,8.97,9.0,8.94
21/12/11,95706.0,9.0,9.1,9.5,9.0
22/12/11,29952.0,9.12,9.0,9.12,9.0
23/12/11,5318.0,8.79,8.9,8.9,8.79
26/12/11,8957.0,8.96,8.96,8.96,8.95
27/12/11,35761.0,9.0,8.92,9.0,8.92
28/12/11,24802.0,9.1,8.97,9.5,8.97
29/12/11,178868.0,8.88,8.9,8.91,8.86
03/01/12,24976.0,8.92,8.92,8.92,8.92
04/01/12,44531.0,8.9,8.99,8.99,8.89
