Date,Value,Open,Close,High,Low
09/11/22,16648700.0,0.5,0.205,0.75,0.18
10/11/22,5745470.0,0.218,0.195,0.24,0.19
11/11/22,1148230.0,0.19,0.175,0.19,0.147
11/11/22,1148230.0,0.19,0.175,0.19,0.147
14/11/22,366770.0,0.175,0.16,0.18,0.15
15/11/22,1045460.0,0.15,0.147,0.167,0.145
15/11/22,1045460.0,0.15,0.147,0.167,0.145
16/11/22,1421390.0,0.147,0.133,0.152,0.11
16/11/22,1421390.0,0.147,0.133,0.152,0.11
17/11/22,86960.0,0.133,0.14,0.14,0.132
18/11/22,448170.0,0.133,0.135,0.143,0.133
21/11/22,66320.0,0.134,0.134,0.138,0.134
22/11/22,1716150.0,0.134,0.141,0.15,0.134
23/11/22,1882580.0,0.138,0.173,0.173,0.138
24/11/22,2021180.0,0.176,0.173,0.185,0.164
25/11/22,904000.0,0.16,0.15,0.178,0.143
28/11/22,131850.0,0.151,0.156,0.167,0.151
29/11/22,74030.0,0.151,0.154,0.16,0.151
01/12/22,138170.0,0.155,0.169,0.172,0.155
02/12/22,115540.0,0.158,0.159,0.164,0.156
05/12/22,143140.0,0.155,0.157,0.157,0.155
06/12/22,113340.0,0.154,0.164,0.17,0.154
07/12/22,83120.0,0.156,0.161,0.163,0.156
07/12/22,83120.0,0.156,0.161,0.163,0.156
09/12/22,83740.0,0.162,0.159,0.165,0.155
09/12/22,83740.0,0.162,0.159,0.165,0.155
12/12/22,166820.0,0.156,0.155,0.164,0.153
13/12/22,209740.0,0.155,0.15,0.159,0.15
14/12/22,45090.0,0.15,0.153,0.153,0.15
15/12/22,5960.0,0.146,0.152,0.152,0.146
16/12/22,374810.0,0.146,0.143,0.146,0.133
19/12/22,52420.0,0.134,0.135,0.145,0.134
20/12/22,218220.0,0.132,0.144,0.148,0.132
21/12/22,138620.0,0.133,0.141,0.144,0.133
22/12/22,1130780.0,0.132,0.15,0.158,0.132
23/12/22,58610.0,0.145,0.15,0.151,0.145
27/12/22,45170.0,0.15,0.148,0.15,0.144
28/12/22,43060.0,0.141,0.146,0.146,0.14
29/12/22,395480.0,0.14,0.13,0.143,0.129
29/12/22,395480.0,0.14,0.13,0.143,0.129
03/01/23,80650.0,0.13,0.135,0.135,0.13
03/01/23,80650.0,0.13,0.135,0.135,0.13
04/01/23,128740.0,0.131,0.131,0.133,0.13
05/01/23,211870.0,0.131,0.129,0.134,0.129
06/01/23,147170.0,0.128,0.124,0.128,0.122
09/01/23,372200.0,0.12,0.121,0.128,0.12
10/01/23,115600.0,0.124,0.131,0.134,0.124
11/01/23,216550.0,0.128,0.131,0.131,0.127
12/01/23,23280.0,0.128,0.129,0.13,0.128
13/01/23,160240.0,0.127,0.133,0.133,0.127
13/01/23,160240.0,0.127,0.133,0.133,0.127
16/01/23,117350.0,0.133,0.133,0.133,0.128
16/01/23,117350.0,0.133,0.133,0.133,0.128
17/01/23,72150.0,0.133,0.129,0.134,0.129
18/01/23,26180.0,0.13,0.133,0.133,0.13
19/01/23,92830.0,0.128,0.131,0.133,0.128
19/01/23,92830.0,0.128,0.131,0.133,0.128
19/01/23,92830.0,0.128,0.131,0.133,0.128
20/01/23,16760.0,0.128,0.133,0.133,0.128
20/01/23,16760.0,0.128,0.133,0.133,0.128
23/01/23,16730.0,0.128,0.128,0.133,0.128
24/01/23,47630.0,0.129,0.129,0.129,0.128
25/01/23,8960.0,0.128,0.128,0.128,0.128
