Date,Value,Open,Close,High,Low
02/07/10,287040.0,1.84,1.84,1.84,1.84
26/12/11,231020.0,2.76,1.84,2.76,1.84
27/12/11,5244210.0,1.86,1.62,2.6,1.62
28/12/11,28728010.0,1.66,1.32,1.66,1.04
29/12/11,845540.0,1.32,1.21,1.32,1.21
02/01/12,760680.0,1.17,1.21,1.3,1.17
03/01/12,106950.0,1.31,1.32,1.32,1.24
04/01/12,3657750.0,1.23,1.69,1.72,1.22
05/01/12,6321430.0,1.75,2.11,2.34,1.75
06/01/12,1559270.0,2.0,1.84,2.27,1.8
09/01/12,947400.0,1.9,1.97,1.99,1.8
10/01/12,4490300.0,1.98,1.89,2.3,1.89
11/01/12,1931180.0,1.96,1.74,1.96,1.74
12/01/12,607370.0,1.73,1.74,1.79,1.66
13/01/12,126290.0,1.77,1.7,1.77,1.68
16/01/12,67320.0,1.7,1.68,1.7,1.66
17/01/12,394040.0,1.67,1.6,1.67,1.6
18/01/12,510950.0,1.61,1.72,1.85,1.6
19/01/12,110100.0,1.72,1.62,1.75,1.62
20/01/12,191790.0,1.63,1.62,1.73,1.62
24/01/12,166860.0,1.61,1.7,1.73,1.6
25/01/12,6386700.0,1.63,2.2,2.38,1.6
26/01/12,9409640.0,2.2,2.45,2.51,2.2
27/01/12,10394590.0,2.45,3.01,3.01,2.38
30/01/12,15059430.0,3.3,4.48,4.48,3.2
31/01/12,27477620.0,5.25,6.6,6.65,5.25
01/02/12,81410260.0,7.75,8.0,8.4,6.5
02/02/12,112497148.0,8.17,7.2,8.2,6.8
03/02/12,12803114.0,7.2,6.0,7.2,6.0
06/02/12,946546.0,6.0,6.05,6.3,6.0
05/03/12,10922922.0,6.5,5.98,7.24,5.98
06/03/12,4782874.0,5.98,5.6,6.5,5.6
07/03/12,7615414.0,5.6,4.1,5.6,4.1
08/03/12,2432530.0,4.3,3.85,4.3,3.21
09/03/12,2874820.0,3.85,4.46,4.7,3.85
12/03/12,1661700.0,4.4,4.45,4.5,4.4
13/03/12,982500.0,4.4,4.45,4.65,4.4
14/03/12,5845700.0,4.44,4.37,4.79,4.33
15/03/12,61805010.0,4.43,3.95,5.0,2.5
