Date,Value,Open,Close,High,Low
19/08/09,25600.0,3.2,3.2,3.2,3.2
20/08/09,144300.0,3.2,3.2,3.5,3.2
24/08/09,406100.0,2.55,2.6,3.0,2.55
25/08/09,280900.0,2.6,2.65,2.65,2.6
18/09/09,150000.0,3.0,3.0,3.0,3.0
05/10/09,35600.0,2.12,2.5,2.5,2.12
07/10/09,27600.0,2.5,2.6,2.6,2.5
12/10/09,49500.0,3.0,3.25,3.25,3.0
06/11/09,26000.0,2.6,2.6,2.6,2.6
09/11/09,72800.0,2.6,2.6,2.6,2.6
16/12/09,75600.0,2.7,2.7,2.7,2.7
04/02/10,55100.0,2.9,2.9,2.9,2.9
10/02/10,2600.0,2.6,2.6,2.6,2.6
15/03/10,36350.0,3.0,3.2,3.2,3.0
16/03/10,72500.0,2.9,2.9,2.9,2.9
17/03/10,6000.0,3.0,3.0,3.0,3.0
31/03/10,19950.0,2.85,2.85,2.85,2.85
23/04/10,150000.0,3.0,3.0,3.0,3.0
30/04/10,30000.0,3.0,3.0,3.0,3.0
04/05/10,180000.0,3.0,3.0,3.0,3.0
05/05/10,30000.0,3.0,3.0,3.0,3.0
14/05/10,145000.0,2.9,2.9,2.9,2.9
20/05/10,2900.0,2.9,2.9,2.9,2.9
21/05/10,34200.0,2.85,2.85,2.85,2.85
24/05/10,85500.0,2.85,2.85,2.85,2.85
25/05/10,142500.0,2.85,2.85,2.85,2.85
26/05/10,171000.0,2.85,2.85,2.85,2.85
27/05/10,456000.0,2.85,2.85,2.85,2.85
28/05/10,171000.0,2.8,2.75,2.8,2.75
01/06/10,40500.0,2.7,2.7,2.7,2.7
02/06/10,182000.0,2.6,2.6,2.6,2.6
03/06/10,15600.0,2.6,2.6,2.6,2.6
08/06/10,262500.0,2.5,2.5,2.5,2.5
09/06/10,129040.0,1.56,2.5,2.5,1.56
10/06/10,185200.0,2.34,2.3,2.34,2.3
15/06/10,362400.0,2.4,2.4,2.4,2.4
21/06/10,91200.0,2.4,2.4,2.4,2.4
22/06/10,24000.0,2.4,2.4,2.4,2.4
24/06/10,118000.0,2.36,2.36,2.36,2.36
13/07/10,25000.0,2.5,2.5,2.5,2.5
14/07/10,50000.0,2.5,2.5,2.5,2.5
16/07/10,31980.0,2.46,2.46,2.46,2.46
19/07/10,36900.0,2.46,2.46,2.46,2.46
20/07/10,35100.0,2.34,2.34,2.34,2.34
21/07/10,53840.0,2.42,2.46,2.46,2.42
22/07/10,43200.0,2.4,2.4,2.4,2.4
23/07/10,1517040.0,2.4,2.4,2.42,2.4
21/09/10,47600.0,2.38,2.38,2.38,2.38
22/09/10,6700.0,3.35,3.35,3.35,3.35
23/09/10,128550.0,2.4,2.55,2.55,2.4
24/09/10,61200.0,2.55,2.55,2.55,2.55
27/09/10,163520.0,2.57,2.55,2.57,2.55
28/09/10,5600.0,2.8,2.8,2.8,2.8
30/09/10,36400.0,2.6,2.6,2.6,2.6
04/10/10,43400.0,2.56,2.55,2.56,2.55
05/10/10,66300.0,2.55,2.55,2.55,2.55
06/10/10,18200.0,2.6,2.6,2.6,2.6
08/10/10,27500.0,2.75,2.75,2.75,2.75
12/10/10,141950.0,2.82,2.99,2.99,2.8
13/10/10,173100.0,2.9,2.81,2.9,2.81
14/10/10,17880.0,2.98,2.98,2.98,2.98
15/10/10,302480.0,2.81,2.94,2.94,2.75
18/10/10,5500.0,2.75,2.75,2.75,2.75
20/10/10,7560.0,2.52,2.52,2.52,2.52
27/10/10,56000.0,2.8,2.8,2.8,2.8
03/11/10,239660.0,2.9,2.99,3.0,2.9
04/11/10,195250.0,3.0,3.05,3.05,3.0
08/11/10,240000.0,3.0,3.0,3.0,3.0
09/11/10,20300.0,2.9,2.9,2.9,2.9
10/11/10,122700.0,2.9,2.9,2.9,2.8
11/11/10,5500.0,2.75,2.75,2.75,2.75
18/11/10,29500.0,2.95,2.95,2.95,2.95
19/11/10,243690.0,3.09,3.1,3.12,3.0
22/11/10,137600.0,3.1,3.1,3.15,3.1
23/11/10,93800.0,3.1,3.16,3.16,3.1
24/11/10,15500.0,3.1,3.1,3.1,3.1
26/11/10,135530.0,3.05,3.2,3.2,3.05
30/11/10,120550.0,3.2,3.09,3.2,3.09
01/12/10,270070.0,3.1,3.05,3.1,3.01
06/12/10,27500.0,2.75,2.75,2.75,2.75
07/12/10,28600.0,2.85,2.87,2.87,2.85
16/12/10,431600.0,2.9,2.8,2.9,2.8
29/12/10,60000.0,3.0,3.0,3.0,3.0
29/12/10,60000.0,3.0,3.0,3.0,3.0
04/01/11,28000.0,2.8,2.8,2.8,2.8
06/01/11,221980.0,2.99,3.0,3.0,2.99
13/01/11,135500.0,3.0,3.0,3.05,3.0
14/01/11,226500.0,3.0,3.0,3.1,3.0
17/01/11,107500.0,3.1,3.0,3.1,3.0
18/01/11,598000.0,3.1,3.3,3.3,3.1
19/01/11,781030.0,3.44,3.94,3.99,3.44
19/01/11,781030.0,3.44,3.94,3.99,3.44
20/01/11,914520.0,3.96,3.81,4.0,3.81
20/01/11,914520.0,3.96,3.81,4.0,3.81
24/01/11,104610.0,3.8,3.6,3.8,3.6
25/01/11,681120.0,3.51,3.51,3.51,3.4
26/01/11,61550.0,3.45,3.4,3.45,3.4
28/01/11,120100.0,3.4,3.3,3.4,3.3
28/01/11,120100.0,3.4,3.3,3.4,3.3
01/02/11,39600.0,3.3,3.3,3.3,3.3
01/02/11,39600.0,3.3,3.3,3.3,3.3
03/02/11,66000.0,3.3,3.3,3.3,3.3
21/02/11,10230.0,3.41,3.41,3.41,3.41
21/02/11,10230.0,3.41,3.41,3.41,3.41
22/02/11,227970.0,3.44,3.41,3.44,3.4
22/02/11,227970.0,3.44,3.41,3.44,3.4
23/02/11,204100.0,3.5,3.35,3.5,3.35
23/02/11,204100.0,3.5,3.35,3.5,3.35
25/02/11,65000.0,3.3,3.2,3.3,3.2
28/02/11,32000.0,3.2,3.2,3.2,3.2
02/03/11,35000.0,3.5,3.5,3.5,3.5
04/03/11,3200.0,3.2,3.2,3.2,3.2
04/03/11,3200.0,3.2,3.2,3.2,3.2
07/03/11,180120.0,3.02,3.0,3.02,3.0
16/03/11,271290.0,2.85,3.0,3.0,2.85
17/03/11,143560.0,2.94,3.0,3.0,2.94
18/03/11,53250.0,3.0,2.95,3.0,2.95
21/03/11,71030.0,3.0,2.96,3.0,2.92
22/03/11,161840.0,2.99,2.97,2.99,2.92
23/03/11,137670.0,2.99,3.0,3.0,2.99
24/03/11,300000.0,3.0,3.0,3.0,3.0
25/03/11,340500.0,3.0,3.1,3.1,3.0
28/03/11,336700.0,3.1,3.1,3.2,3.1
29/03/11,96000.0,3.2,3.2,3.2,3.2
31/03/11,99300.0,3.1,3.1,3.2,3.1
04/04/11,81620.0,3.0,3.05,3.05,3.0
05/04/11,244250.0,3.01,3.5,3.5,3.0
06/04/11,201450.0,3.02,3.12,3.15,3.02
07/04/11,87360.0,3.12,3.12,3.12,3.12
14/04/11,3400.0,3.4,3.4,3.4,3.4
15/04/11,21770.0,3.11,3.1,3.12,3.1
26/04/11,96550.0,3.15,3.3,3.3,3.15
