Date,Value,Open,Close,High,Low
16/09/09,669000.0,30.0,30.0,30.0,30.0
15/10/09,33000.0,30.0,30.0,30.0,30.0
04/11/09,3777000.0,30.0,30.0,30.0,30.0
11/11/09,3774000.0,30.0,30.0,30.0,30.0
21/04/10,302600.0,34.0,34.0,34.0,34.0
11/06/10,81600.0,34.0,34.0,34.0,34.0
21/09/10,51000.0,34.0,34.0,34.0,34.0
22/09/10,20400.0,34.0,34.0,34.0,34.0
29/09/10,51000.0,34.0,34.0,34.0,34.0
05/10/10,102000.0,34.0,34.0,34.0,34.0
06/10/10,102000.0,34.0,34.0,34.0,34.0
22/10/10,238000.0,34.0,34.0,34.0,34.0
04/11/10,71400.0,34.0,34.0,34.0,34.0
08/11/10,104400.0,36.0,36.0,36.0,36.0
19/11/10,102000.0,34.0,34.0,34.0,34.0
22/11/10,170000.0,34.0,34.0,34.0,34.0
24/11/10,132600.0,34.0,34.0,34.0,34.0
25/11/10,98600.0,34.0,34.0,34.0,34.0
03/12/10,226250.0,37.5,34.0,37.5,34.0
06/12/10,18000.0,36.0,36.0,36.0,36.0
16/12/10,36500.0,36.5,36.5,36.5,36.5
05/01/11,4500.0,45.0,45.0,45.0,45.0
07/01/11,452200.0,34.0,34.0,34.0,34.0
14/01/11,35000.0,35.0,35.0,35.0,35.0
17/01/11,333000.0,37.0,37.0,37.0,37.0
18/01/11,97500.0,39.0,39.0,39.0,39.0
19/01/11,80000.0,40.0,40.0,40.0,40.0
19/01/11,80000.0,40.0,40.0,40.0,40.0
20/01/11,120000.0,40.0,40.0,40.0,40.0
20/01/11,120000.0,40.0,40.0,40.0,40.0
24/01/11,30000.0,37.5,37.5,37.5,37.5
26/01/11,25765.0,36.55,36.55,37.5,36.55
28/01/11,22500.0,45.0,45.0,45.0,45.0
28/01/11,22500.0,45.0,45.0,45.0,45.0
31/01/11,4500.0,45.0,45.0,45.0,45.0
31/01/11,4500.0,45.0,45.0,45.0,45.0
01/02/11,3655.0,36.55,36.55,36.55,36.55
01/02/11,3655.0,36.55,36.55,36.55,36.55
02/02/11,3655.0,36.55,36.55,36.55,36.55
03/02/11,3655.0,36.55,36.55,36.55,36.55
14/02/11,30000.0,75.0,75.0,75.0,75.0
18/03/11,8000.0,40.0,40.0,40.0,40.0
22/03/11,5970.0,59.7,59.7,59.7,59.7
23/03/11,25687.5,59.7,59.75,59.75,59.7
24/03/11,83900.0,59.8,60.2,60.2,59.8
30/03/11,1806.0,60.2,60.2,60.2,60.2
01/04/11,11064.0,65.0,65.1,65.1,65.0
04/04/11,12000.0,60.0,60.0,60.0,60.0
05/04/11,93100.0,62.5,62.0,62.5,62.0
13/04/11,25200.0,56.0,56.0,56.0,56.0
14/04/11,54000.0,54.0,54.0,54.0,54.0
15/04/11,1120.0,56.0,56.0,56.0,56.0
03/05/11,87000.0,48.0,51.0,51.0,48.0
06/05/11,5760.0,48.0,48.0,48.0,48.0
09/05/11,49000.0,49.0,49.0,49.0,49.0
10/05/11,9600.0,48.0,48.0,48.0,48.0
11/05/11,28800.0,48.0,48.0,48.0,48.0
12/05/11,43200.0,48.0,48.0,48.0,48.0
13/05/11,43200.0,48.0,48.0,48.0,48.0
16/05/11,131150.0,47.0,46.5,47.0,46.5
17/05/11,40500.0,45.0,45.0,45.0,45.0
18/05/11,204200.0,44.5,42.5,44.5,42.5
20/05/11,76950.0,43.0,42.5,43.0,42.5
23/05/11,5950.0,59.5,59.5,59.5,59.5
27/05/11,134400.0,42.0,42.0,42.0,42.0
03/06/11,4500.0,45.0,45.0,45.0,45.0
16/06/11,4500.0,45.0,45.0,45.0,45.0
22/06/11,94600.0,43.0,43.0,43.0,43.0
27/06/11,90000.0,45.0,45.0,45.0,45.0
06/07/11,1669700.0,47.0,45.0,47.0,45.0
08/07/11,1346160.0,42.6,42.6,42.6,42.6
15/07/11,27000.0,45.0,45.0,45.0,45.0
17/08/11,50000.0,50.0,50.0,50.0,50.0
25/08/11,15160.0,70.0,68.0,70.0,68.0
31/08/11,19040.0,68.0,68.0,68.0,68.0
01/09/11,1500.0,75.0,75.0,75.0,75.0
02/09/11,165100.0,55.0,55.0,55.5,55.0
05/09/11,3400.0,56.0,56.0,58.0,56.0
06/09/11,680.0,68.0,68.0,68.0,68.0
07/09/11,46320.0,65.0,75.0,75.0,65.0
09/09/11,63630.0,66.0,75.0,75.0,65.0
12/09/11,3095.0,73.5,46.0,73.5,46.0
14/09/11,5259700.0,51.0,45.0,51.0,45.0
15/09/11,4900.0,49.0,49.0,49.0,49.0
21/09/11,5375.0,25.0,28.75,28.75,25.0
22/09/11,4000.0,40.0,40.0,40.0,40.0
29/09/11,45000.0,50.0,50.0,50.0,50.0
03/10/11,5000.0,50.0,50.0,50.0,50.0
04/10/11,105500.0,50.0,50.0,50.0,50.0
05/10/11,25000.0,50.0,50.0,50.0,50.0
07/10/11,550.0,55.0,55.0,55.0,55.0
10/10/11,72183.5,55.0,79.35,79.35,55.0
11/10/11,1706.0,79.35,91.25,91.25,79.35
12/10/11,71020.0,65.0,63.0,65.0,63.0
18/10/11,13140.0,55.0,60.0,60.0,55.0
20/10/11,30000.0,60.0,60.0,60.0,60.0
21/10/11,31359.0,58.0,59.95,59.95,58.0
24/10/11,11400.0,57.0,57.0,57.0,57.0
25/10/11,599.5,59.95,59.95,59.95,59.95
26/10/11,2280.0,57.0,57.0,57.0,57.0
02/11/11,600.0,60.0,60.0,60.0,60.0
03/11/11,600.0,60.0,60.0,60.0,60.0
04/11/11,6550.0,59.9,59.9,59.9,56.0
09/11/11,7800.0,60.0,60.0,60.0,60.0
10/11/11,16500.0,55.0,55.0,55.0,55.0
11/11/11,1240000.0,50.0,50.0,50.0,50.0
14/11/11,6149.5,59.95,60.0,60.0,55.0
15/11/11,11000.0,55.0,55.0,55.0,55.0
17/11/11,600.0,60.0,60.0,60.0,60.0
18/11/11,3049.5,60.0,60.0,64.95,60.0
24/11/11,25920.0,54.0,54.0,54.0,54.0
25/11/11,87227.5,54.0,66.7,81.0,54.0
28/11/11,189906.0,66.0,60.0,80.0,60.0
29/11/11,27699.0,53.0,59.95,59.95,53.0
01/12/11,1949.5,64.95,65.0,65.0,64.95
05/12/11,26500.0,53.0,53.0,53.0,53.0
06/12/11,27500.0,55.0,55.0,55.0,55.0
