Date,Value,Open,Close,High,Low
03/08/09,13429150.0,10.0,10.25,10.25,9.9
04/08/09,3967500.0,10.25,10.0,10.25,9.9
06/08/09,14263000.0,9.9,9.2,9.9,9.0
07/08/09,5790500.0,9.0,9.1,9.2,8.8
10/08/09,12035500.0,9.0,9.3,9.4,8.8
11/08/09,7461800.0,9.1,9.3,9.3,8.8
12/08/09,25623300.0,9.2,9.3,9.7,9.2
13/08/09,11257500.0,9.3,9.4,9.5,9.2
14/08/09,30666700.0,9.3,10.0,10.0,9.0
17/08/09,16674800.0,10.0,9.8,10.0,9.4
18/08/09,9187900.0,9.3,9.4,9.4,9.1
19/08/09,11321800.0,9.3,9.5,9.5,9.3
20/08/09,7032400.0,9.4,9.3,9.5,8.9
24/08/09,6961200.0,9.2,9.4,9.4,9.1
25/08/09,12243400.0,9.3,9.5,9.5,9.3
26/08/09,26845200.0,9.4,9.7,9.9,9.4
03/09/09,17249000.0,11.5,11.5,11.5,11.0
04/09/09,21170200.0,11.25,11.5,12.0,11.25
16/09/09,20602700.0,9.0,9.3,9.3,8.7
17/09/09,25295800.0,9.3,9.8,9.9,9.3
18/09/09,11197300.0,9.7,10.0,10.0,9.7
22/09/09,10101500.0,10.0,10.25,10.25,10.0
23/09/09,11207100.0,10.25,10.5,10.5,10.0
30/09/09,28556275.0,10.0,10.5,10.5,9.8
01/10/09,5999100.0,10.25,10.0,10.25,9.9
02/10/09,3642200.0,9.8,10.0,10.0,9.7
05/10/09,4821150.0,9.9,9.9,10.25,9.8
06/10/09,9094900.0,10.0,10.25,10.25,9.8
07/10/09,6972070.0,9.8,10.25,10.25,9.8
08/10/09,7498525.0,10.0,10.0,10.25,9.8
09/10/09,3335300.0,9.8,10.0,10.0,9.8
12/10/09,2929400.0,9.8,10.0,10.0,9.8
13/10/09,3610400.0,9.7,9.8,9.9,9.7
14/10/09,2529500.0,9.6,9.8,9.9,9.6
15/10/09,4365400.0,9.5,9.7,9.8,9.5
16/10/09,3897200.0,9.7,9.8,9.8,9.6
19/10/09,21166800.0,9.7,10.0,10.0,9.7
20/10/09,47890250.0,10.0,10.5,10.5,10.0
21/10/09,47011550.0,10.5,10.75,11.0,10.5
22/10/09,43639525.0,10.5,11.0,11.0,10.25
23/10/09,40809775.0,11.0,11.25,11.25,10.75
26/10/09,19140000.0,11.0,11.25,11.25,10.75
27/10/09,32751400.0,10.75,11.25,11.25,10.75
28/10/09,47932600.0,11.25,10.75,11.25,10.5
29/10/09,5618900.0,10.5,10.75,10.75,10.25
30/10/09,11372075.0,10.5,10.5,10.75,10.0
03/11/09,22197780.0,9.9,10.25,10.75,9.7
04/11/09,13813630.0,9.8,10.25,10.25,9.6
05/11/09,16646435.0,10.0,9.8,10.25,9.5
06/11/09,32081900.0,9.4,9.5,9.9,9.2
09/11/09,25690800.0,9.2,9.5,9.5,8.9
10/11/09,26273500.0,9.5,9.8,9.8,9.5
11/11/09,23471650.0,9.8,10.25,10.25,9.8
15/12/09,18095570.0,10.0,10.0,10.0,9.7
16/12/09,11797300.0,9.9,9.9,10.0,9.8
17/12/09,15829400.0,9.8,9.5,9.8,9.3
18/12/09,9512800.0,9.5,9.5,9.6,9.2
21/12/09,17307300.0,9.3,9.5,9.5,9.1
22/12/09,15967500.0,9.4,9.6,9.6,9.1
23/12/09,8821600.0,9.6,9.5,9.6,9.2
29/12/09,2048500.0,9.2,9.5,9.5,9.2
04/01/10,2513600.0,9.5,9.5,9.5,9.3
05/01/10,17943400.0,9.2,9.0,9.4,9.0
06/01/10,9357800.0,9.1,8.7,9.1,8.5
07/01/10,8077100.0,8.6,8.9,8.9,8.5
08/01/10,11414200.0,8.9,9.0,9.2,8.8
11/01/10,3861200.0,8.8,9.0,9.2,8.8
12/01/10,1474100.0,8.8,8.8,9.0,8.7
13/01/10,1877900.0,8.7,8.9,8.9,8.6
14/01/10,2121500.0,8.7,8.8,8.9,8.6
15/01/10,1597400.0,8.8,8.7,8.9,8.6
18/01/10,2802900.0,8.6,8.6,8.7,8.4
19/01/10,5722200.0,8.5,8.3,8.5,8.2
20/01/10,3611800.0,8.3,8.2,8.3,7.9
21/01/10,11355100.0,8.0,8.5,8.5,8.0
22/01/10,11118600.0,8.2,8.1,8.3,7.9
25/01/10,2235600.0,8.0,8.0,8.0,7.7
26/01/10,2476800.0,8.0,7.9,8.1,7.7
27/01/10,2629100.0,7.6,7.8,7.8,7.5
28/01/10,2743000.0,7.8,7.7,8.0,7.7
29/01/10,3042800.0,7.6,7.6,7.8,7.5
01/02/10,1207500.0,7.6,7.5,8.0,7.3
02/02/10,5332100.0,7.5,7.0,7.6,6.7
03/02/10,3120200.0,7.0,6.6,7.2,6.3
04/02/10,9972200.0,6.2,5.7,6.2,5.7
05/02/10,2960100.0,5.5,5.6,5.7,5.3
08/02/10,1364300.0,5.8,5.5,5.8,5.3
09/02/10,5442700.0,5.3,4.85,5.3,4.8
10/02/10,4186000.0,4.85,5.0,5.1,4.85
11/02/10,463150.0,5.0,5.0,5.0,4.95
08/03/10,1518000.0,6.9,6.9,7.0,6.7
12/03/10,1054500.0,6.8,6.9,6.9,6.8
15/03/10,1409200.0,6.8,6.9,6.9,6.7
16/03/10,1265000.0,6.8,6.8,6.9,6.5
17/03/10,1688700.0,6.7,6.7,6.7,6.5
31/03/10,5237500.0,7.0,7.0,7.0,6.7
20/04/10,2367400.0,7.8,7.9,7.9,7.7
21/04/10,600900.0,7.8,7.9,7.9,7.8
22/04/10,1703000.0,7.9,7.9,8.0,7.8
23/04/10,2284000.0,7.9,7.9,8.0,7.7
29/04/10,2676900.0,7.9,8.0,8.0,7.8
30/04/10,1585900.0,7.8,8.0,8.0,7.8
04/05/10,383600.0,7.9,7.9,8.0,7.8
05/05/10,2262900.0,7.7,7.7,7.8,7.4
13/05/10,2983000.0,7.8,7.9,7.9,7.7
14/05/10,901300.0,7.7,7.7,7.8,7.7
17/05/10,3929400.0,7.8,7.6,7.8,7.5
18/05/10,2359900.0,7.5,7.4,7.5,7.3
19/05/10,4212800.0,7.2,7.5,7.5,7.0
20/05/10,5322000.0,7.4,7.8,7.8,7.3
21/05/10,1721100.0,7.5,7.8,7.8,7.4
25/05/10,282900.0,7.7,7.6,7.8,7.6
26/05/10,750100.0,7.3,7.5,7.5,7.1
28/05/10,1317500.0,7.5,7.8,7.8,7.5
31/05/10,899700.0,7.5,7.8,7.8,7.5
01/06/10,1394500.0,7.7,7.8,7.8,7.7
02/06/10,1556700.0,7.7,7.9,7.9,7.7
03/06/10,1360300.0,7.8,7.9,7.9,7.7
04/06/10,507500.0,7.8,7.9,7.9,7.8
07/06/10,894900.0,7.7,7.8,7.8,7.7
08/06/10,1054600.0,7.7,7.8,7.8,7.6
09/06/10,1503400.0,7.7,7.9,7.9,7.7
10/06/10,882500.0,7.7,7.9,7.9,7.7
11/06/10,339100.0,7.7,7.8,7.8,7.7
15/06/10,360600.0,7.6,7.8,7.8,7.6
16/06/10,15500.0,7.7,7.8,7.8,7.7
21/06/10,950300.0,7.6,7.7,7.7,7.6
22/06/10,1804600.0,7.6,7.7,7.7,7.5
23/06/10,485300.0,7.6,7.7,7.7,7.5
24/06/10,556600.0,7.4,7.6,7.6,7.4
25/06/10,1114200.0,7.3,7.6,7.6,7.3
28/06/10,232600.0,7.5,7.6,7.6,7.5
29/06/10,792600.0,7.4,7.6,7.6,7.4
01/07/10,3787100.0,7.3,7.1,7.5,7.0
02/07/10,253800.0,7.2,7.1,7.2,7.0
06/07/10,93500.0,7.1,7.3,7.3,7.1
07/07/10,2731900.0,7.1,7.4,7.4,7.0
08/07/10,3167000.0,7.1,7.4,7.4,7.0
14/07/10,8643500.0,7.0,7.4,7.4,6.9
15/07/10,17196900.0,7.1,7.0,7.3,6.7
16/07/10,11762600.0,6.9,6.3,6.9,6.2
19/07/10,6541500.0,6.2,6.2,6.3,5.9
20/07/10,1178800.0,6.0,6.0,6.0,5.9
21/07/10,1510800.0,5.9,6.0,6.0,5.9
22/07/10,3285400.0,5.9,6.0,6.0,5.8
23/07/10,2062200.0,6.1,6.2,6.2,5.9
20/09/10,3468800.0,5.3,5.57,5.6,5.02
21/09/10,2940403.0,5.64,5.54,5.64,5.4
22/09/10,3631761.0,5.4,5.6,5.6,5.4
23/09/10,5706194.0,5.55,5.85,5.96,5.55
24/09/10,6980470.0,0.61,0.63,0.68,0.58
27/09/10,2072050.0,0.63,0.63,0.64,0.61
28/09/10,2322180.0,0.59,0.64,0.64,0.59
29/09/10,2151470.0,0.63,0.62,0.64,0.6
30/09/10,1745370.0,0.62,0.62,0.62,0.59
01/10/10,754610.0,0.59,0.62,0.62,0.59
04/10/10,1161710.0,0.61,0.63,0.63,0.59
05/10/10,472910.0,0.6,0.62,0.63,0.6
06/10/10,2516250.0,0.62,0.6,0.63,0.59
07/10/10,1583380.0,0.61,0.61,0.62,0.59
08/10/10,824830.0,0.59,0.6,0.61,0.58
12/10/10,880880.0,0.59,0.59,0.59,0.56
13/10/10,506640.0,0.58,0.59,0.59,0.56
14/10/10,1681760.0,0.58,0.61,0.61,0.56
15/10/10,4708980.0,0.6,0.62,0.62,0.56
18/10/10,424380.0,0.61,0.61,0.61,0.59
