Date,Value,Open,Close,High,Low
03/08/09,71955200.0,3.05,3.1,3.1,3.0
04/08/09,38008350.0,3.1,3.2,3.2,3.1
06/08/09,34155050.0,3.15,3.15,3.2,3.1
07/08/09,33533600.0,3.1,3.05,3.1,2.95
10/08/09,162755700.0,3.05,3.0,3.1,2.9
11/08/09,100984200.0,3.0,3.0,3.05,2.95
12/08/09,31150900.0,3.0,2.95,3.0,2.9
13/08/09,62209550.0,3.0,3.05,3.1,3.0
14/08/09,27779650.0,3.1,3.0,3.1,2.95
17/08/09,76280850.0,3.0,2.95,3.0,2.9
18/08/09,275958250.0,2.85,3.55,3.55,2.85
19/08/09,271894200.0,3.65,3.8,4.0,3.65
20/08/09,162318600.0,3.9,3.6,3.95,3.6
24/08/09,127623600.0,3.8,3.65,3.8,3.55
25/08/09,91728600.0,3.55,3.65,3.7,3.5
26/08/09,74314950.0,3.75,3.7,3.85,3.7
03/09/09,30226250.0,3.55,3.6,3.6,3.45
04/09/09,42676350.0,3.6,3.7,3.7,3.6
16/09/09,51116850.0,3.45,3.3,3.45,3.3
17/09/09,55541750.0,3.35,3.4,3.55,3.35
18/09/09,31415750.0,3.4,3.45,3.5,3.35
22/09/09,17332450.0,3.4,3.4,3.4,3.35
23/09/09,47296900.0,3.45,3.6,3.65,3.45
30/09/09,10788100.0,3.4,3.45,3.45,3.4
01/10/09,10689400.0,3.45,3.45,3.45,3.4
02/10/09,22753400.0,3.35,3.4,3.4,3.3
05/10/09,7291650.0,3.35,3.4,3.4,3.35
06/10/09,36260250.0,3.45,3.45,3.45,3.4
07/10/09,57811450.0,3.4,3.45,3.5,3.4
08/10/09,36017300.0,3.5,3.45,3.55,3.4
09/10/09,143833400.0,3.55,3.4,3.6,3.4
12/10/09,41248400.0,3.45,3.45,3.55,3.4
13/10/09,49802250.0,3.4,3.4,3.5,3.3
14/10/09,200496250.0,3.45,3.75,3.75,3.45
15/10/09,105816900.0,3.8,3.65,3.8,3.6
16/10/09,75468750.0,3.65,3.6,3.65,3.55
19/10/09,96745700.0,3.55,3.7,3.7,3.5
20/10/09,120347500.0,3.7,3.55,3.75,3.45
21/10/09,100606650.0,3.5,3.45,3.55,3.35
