Date,Value,Open,Close,High,Low
03/08/09,21200.0,1.06,1.06,1.06,1.06
04/08/09,12720.0,1.06,1.06,1.06,1.06
06/08/09,30740.0,1.06,1.06,1.06,1.06
24/08/09,1060.0,1.06,1.06,1.06,1.06
03/09/09,1060.0,1.06,1.06,1.06,1.06
04/09/09,147340.0,1.06,1.06,1.06,1.06
12/10/09,11360.0,1.12,1.14,1.14,1.12
13/10/09,44800.0,1.12,1.12,1.12,1.12
14/10/09,72800.0,1.12,1.12,1.12,1.12
19/10/09,7560.0,1.08,1.08,1.08,1.08
29/10/09,5400.0,1.08,1.08,1.08,1.08
16/12/09,42000.0,1.0,1.0,1.0,1.0
18/12/09,20400.0,1.02,1.02,1.02,1.02
21/12/09,110600.0,1.0,1.0,1.02,1.0
12/01/10,70000.0,1.0,1.0,1.0,1.0
18/01/10,40000.0,1.0,1.0,1.0,1.0
26/01/10,30000.0,1.0,1.0,1.0,1.0
28/01/10,30400.0,1.02,1.02,1.02,1.0
29/01/10,116600.0,1.02,1.14,1.2,1.02
01/02/10,12960.0,1.08,1.08,1.08,1.08
02/02/10,7560.0,1.08,1.08,1.08,1.08
03/02/10,10800.0,1.08,1.08,1.08,1.08
05/02/10,2160.0,1.08,1.08,1.08,1.08
15/03/10,2120.0,1.06,1.06,1.06,1.06
16/03/10,5300.0,1.06,1.06,1.06,1.06
17/03/10,1120.0,1.12,1.12,1.12,1.12
29/04/10,16080.0,1.0,1.02,1.02,1.0
14/05/10,3180.0,1.06,1.06,1.06,1.06
25/05/10,10400.0,1.04,1.04,1.04,1.04
02/06/10,1060.0,1.06,1.06,1.06,1.06
11/06/10,154980.0,1.04,1.1,1.1,1.04
29/06/10,13200.0,1.1,1.1,1.1,1.1
08/07/10,1020.0,1.02,1.02,1.02,1.02
16/07/10,31800.0,1.06,1.06,1.06,1.06
24/09/10,13200.0,1.1,1.1,1.1,1.1
27/09/10,28080.0,1.04,1.04,1.04,1.04
28/09/10,5200.0,1.04,1.04,1.04,1.04
06/10/10,3120.0,1.04,1.04,1.04,1.04
11/11/10,20000.0,1.0,1.0,1.0,1.0
23/11/10,8000.0,1.0,1.0,1.0,1.0
25/11/10,30450.0,1.05,1.05,1.05,1.05
16/12/10,21000.0,1.05,1.05,1.05,1.05
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
28/12/10,37440.0,1.04,1.04,1.04,1.04
29/12/10,39800.0,1.03,1.02,1.03,1.02
29/12/10,39800.0,1.03,1.02,1.03,1.02
05/01/11,95790.0,1.03,1.03,1.03,1.03
06/01/11,6240.0,1.04,1.04,1.04,1.04
10/01/11,5250.0,1.05,1.05,1.05,1.05
20/01/11,2100.0,1.05,1.05,1.05,1.05
20/01/11,2100.0,1.05,1.05,1.05,1.05
25/01/11,26000.0,1.04,1.04,1.04,1.04
26/01/11,10400.0,1.04,1.04,1.04,1.04
27/01/11,2080.0,1.04,1.04,1.04,1.04
02/02/11,1040.0,1.04,1.04,1.04,1.04
24/02/11,1800.0,0.9,0.9,0.9,0.9
24/02/11,1800.0,0.9,0.9,0.9,0.9
31/03/11,18600.0,0.93,0.93,0.93,0.93
04/04/11,6510.0,0.93,0.93,0.93,0.93
14/04/11,940.0,0.94,0.94,0.94,0.94
05/05/11,9600.0,0.96,0.96,0.96,0.96
06/05/11,22100.0,0.97,0.96,0.97,0.96
16/05/11,7420.0,1.06,1.06,1.06,1.06
07/06/11,476340.0,1.02,1.02,1.02,1.02
08/06/11,12240.0,1.02,1.02,1.02,1.02
09/06/11,98740.0,1.02,1.0,1.02,1.0
16/06/11,10300.0,1.03,1.03,1.03,1.03
22/06/11,13800.0,0.92,0.92,0.92,0.92
23/06/11,1056800.0,1.0,1.04,1.04,1.0
28/06/11,1960.0,0.98,0.98,0.98,0.98
29/06/11,27440.0,0.98,0.98,0.98,0.98
01/07/11,1980.0,0.99,0.99,0.99,0.99
07/07/11,1050.0,1.05,1.05,1.05,1.05
11/07/11,33420.0,1.2,1.02,1.2,1.02
19/07/11,2040.0,1.02,1.02,1.02,1.02
26/07/11,6120.0,1.02,1.02,1.02,1.02
27/07/11,8160.0,1.02,1.02,1.02,1.02
05/08/11,18360.0,1.02,1.02,1.02,1.02
10/08/11,3060.0,1.02,1.02,1.02,1.02
24/08/11,3180.0,1.06,1.06,1.06,1.06
01/09/11,2120.0,1.06,1.06,1.06,1.06
28/09/11,32550.0,1.05,1.05,1.05,1.05
18/11/11,196760.0,1.1,1.57,1.57,1.1
