Date,Value,Open,Close,High,Low
03/08/09,157700.0,0.19,0.19,0.19,0.19
04/08/09,79800.0,0.19,0.19,0.19,0.19
06/08/09,190000.0,0.19,0.19,0.19,0.19
07/08/09,57000.0,0.19,0.19,0.19,0.19
10/08/09,190000.0,0.19,0.19,0.19,0.19
11/08/09,18500.0,0.185,0.185,0.185,0.185
17/08/09,23400.0,0.18,0.18,0.18,0.18
18/08/09,50400.0,0.18,0.18,0.18,0.18
25/08/09,3600.0,0.18,0.18,0.18,0.18
26/08/09,50400.0,0.18,0.18,0.18,0.18
03/09/09,30400.0,0.19,0.19,0.19,0.19
04/09/09,231300.0,0.19,0.19,0.19,0.185
16/09/09,127500.0,0.2,0.22,0.23,0.2
17/09/09,160000.0,0.2,0.2,0.2,0.2
18/09/09,82450.0,0.21,0.22,0.22,0.21
23/09/09,93750.0,0.225,0.22,0.225,0.22
30/09/09,134500.0,0.225,0.22,0.225,0.22
01/10/09,57200.0,0.22,0.22,0.22,0.22
02/10/09,77000.0,0.22,0.22,0.22,0.22
05/10/09,11250.0,0.225,0.225,0.225,0.225
06/10/09,213500.0,0.24,0.25,0.25,0.24
07/10/09,757700.0,0.27,0.33,0.34,0.27
08/10/09,1649900.0,0.37,0.49,0.49,0.37
09/10/09,2603800.0,0.62,0.54,0.66,0.52
12/10/09,435800.0,0.54,0.5,0.54,0.5
13/10/09,1887200.0,0.48,0.36,0.48,0.36
14/10/09,3506500.0,0.39,0.54,0.54,0.36
15/10/09,29592600.0,0.6,0.81,0.81,0.6
16/10/09,39426200.0,0.86,0.74,0.9,0.71
19/10/09,8087000.0,0.71,0.73,0.75,0.65
20/10/09,10193300.0,0.71,0.69,0.74,0.66
21/10/09,7087300.0,0.7,0.6,0.71,0.6
22/10/09,3833200.0,0.56,0.57,0.59,0.55
23/10/09,10591100.0,0.56,0.64,0.66,0.52
26/10/09,3372500.0,0.64,0.59,0.64,0.59
27/10/09,3683000.0,0.6,0.56,0.62,0.55
28/10/09,9791800.0,0.58,0.59,0.63,0.58
29/10/09,3098300.0,0.59,0.59,0.62,0.58
30/10/09,4776200.0,0.63,0.62,0.67,0.62
03/11/09,4140000.0,0.62,0.64,0.68,0.62
04/11/09,89200.0,0.64,0.62,0.64,0.62
05/11/09,925100.0,0.62,0.61,0.62,0.58
06/11/09,1263400.0,0.57,0.56,0.58,0.56
09/11/09,540900.0,0.56,0.57,0.57,0.55
10/11/09,1090400.0,0.55,0.53,0.56,0.53
11/11/09,810000.0,0.52,0.55,0.57,0.52
15/12/09,78500.0,0.39,0.4,0.4,0.39
16/12/09,143800.0,0.42,0.46,0.46,0.4
17/12/09,122100.0,0.43,0.41,0.43,0.41
18/12/09,174200.0,0.41,0.42,0.42,0.41
22/12/09,4400.0,0.44,0.44,0.44,0.44
29/12/09,987400.0,0.36,0.37,0.39,0.35
04/01/10,2188500.0,0.38,0.47,0.48,0.38
05/01/10,9521100.0,0.48,0.48,0.59,0.48
06/01/10,2213600.0,0.49,0.5,0.52,0.48
07/01/10,2307900.0,0.52,0.49,0.55,0.49
08/01/10,1100200.0,0.49,0.45,0.49,0.45
11/01/10,487200.0,0.45,0.47,0.47,0.45
12/01/10,49500.0,0.45,0.45,0.45,0.45
13/01/10,238100.0,0.45,0.44,0.45,0.44
14/01/10,400300.0,0.45,0.46,0.46,0.45
15/01/10,420600.0,0.47,0.46,0.48,0.46
18/01/10,975600.0,0.46,0.48,0.48,0.44
19/01/10,183600.0,0.48,0.48,0.49,0.48
20/01/10,122100.0,0.46,0.45,0.46,0.45
21/01/10,406200.0,0.44,0.46,0.47,0.44
22/01/10,119800.0,0.45,0.44,0.45,0.44
26/01/10,118700.0,0.44,0.47,0.47,0.44
27/01/10,104400.0,0.47,0.47,0.48,0.47
01/02/10,887600.0,0.46,0.49,0.5,0.46
02/02/10,108000.0,0.44,0.43,0.44,0.43
03/02/10,122400.0,0.44,0.43,0.44,0.43
04/02/10,231000.0,0.42,0.42,0.42,0.42
05/02/10,82000.0,0.41,0.41,0.41,0.41
08/02/10,104200.0,0.4,0.4,0.42,0.4
10/02/10,1158200.0,0.4,0.4,0.41,0.39
11/02/10,1069600.0,0.4,0.4,0.43,0.39
08/03/10,128000.0,0.4,0.4,0.4,0.4
12/03/10,136800.0,0.38,0.38,0.38,0.38
15/03/10,7600.0,0.38,0.38,0.38,0.38
17/03/10,856200.0,0.38,0.38,0.38,0.36
31/03/10,181800.0,0.37,0.37,0.38,0.37
21/04/10,15900.0,0.38,0.41,0.41,0.38
22/04/10,40000.0,0.4,0.4,0.4,0.4
04/05/10,40700.0,0.37,0.37,0.37,0.37
