Date,Value,Open,Close,High,Low
07/08/09,55750.0,3.3,3.25,3.3,3.0
12/08/09,2000210.0,1.98,3.3,3.3,1.98
13/08/09,36850.0,3.35,3.35,3.35,3.35
05/10/09,7320.0,2.44,2.44,2.44,2.44
06/10/09,43400.0,3.1,3.1,3.1,3.1
19/10/09,3100.0,3.1,3.1,3.1,3.1
28/10/09,37000.0,3.0,3.8,3.8,3.0
29/10/09,20500.0,4.1,4.1,4.1,4.1
03/11/09,60000.0,3.0,3.0,3.0,3.0
29/12/09,3600.0,1.8,1.8,1.8,1.8
04/01/10,5400.0,1.8,1.8,1.8,1.8
13/01/10,39750.0,2.65,2.65,2.65,2.65
21/01/10,31200.0,2.6,2.6,2.6,2.6
29/01/10,22580.0,1.62,1.62,1.62,1.6
10/02/10,75480.0,1.2,1.62,1.62,1.2
11/02/10,18120.0,1.5,1.62,1.62,1.5
31/03/10,8800.0,2.2,2.2,2.2,2.2
30/04/10,40000.0,2.0,2.0,2.0,2.0
04/05/10,18200.0,1.82,1.82,1.82,1.82
21/06/10,3600.0,1.8,1.8,1.8,1.8
24/06/10,9100.0,1.82,1.82,1.82,1.82
25/06/10,3600.0,1.8,1.8,1.8,1.8
01/07/10,10680.0,1.78,1.78,1.78,1.78
06/07/10,7200.0,1.8,1.8,1.8,1.8
15/07/10,17000.0,1.7,1.7,1.7,1.7
20/07/10,8500.0,1.7,1.7,1.7,1.7
22/07/10,7500.0,1.5,1.5,1.5,1.5
20/09/10,1400.0,1.4,1.4,1.4,1.4
22/09/10,14000.0,1.4,1.4,1.4,1.4
28/09/10,14000.0,1.4,1.4,1.4,1.4
12/10/10,1480.0,1.48,1.48,1.48,1.48
14/10/10,3000.0,1.5,1.5,1.5,1.5
19/10/10,1700.0,1.7,1.7,1.7,1.7
20/10/10,20800.0,1.56,2.08,2.08,1.56
21/10/10,8320.0,2.08,2.08,2.08,2.08
09/11/10,9600.0,1.6,1.6,1.6,1.6
10/11/10,3200.0,1.6,1.6,1.6,1.6
24/11/10,4680.0,1.56,1.56,1.56,1.56
01/12/10,48040.0,1.6,1.54,1.6,1.54
07/12/10,12000.0,1.5,1.5,1.5,1.5
23/12/10,17170.0,1.44,1.43,1.44,1.43
29/12/10,1440.0,1.44,1.44,1.44,1.44
29/12/10,1440.0,1.44,1.44,1.44,1.44
05/01/11,48000.0,1.5,1.5,1.5,1.5
07/01/11,11900.0,1.7,1.7,1.7,1.7
31/01/11,4920.0,1.64,1.64,1.64,1.64
31/01/11,4920.0,1.64,1.64,1.64,1.64
02/03/11,4920.0,1.64,1.64,1.64,1.64
04/03/11,16440.0,1.65,1.64,1.65,1.64
04/03/11,16440.0,1.65,1.64,1.65,1.64
11/03/11,1640.0,1.64,1.64,1.64,1.64
11/03/11,1640.0,1.64,1.64,1.64,1.64
17/03/11,8210.0,1.65,1.64,1.65,1.64
24/03/11,11490.0,1.65,1.64,1.65,1.64
14/04/11,30060.0,1.67,1.67,1.67,1.67
29/04/11,51000.0,1.7,1.7,1.7,1.7
17/05/11,3280.0,1.64,1.64,1.64,1.64
31/05/11,3800.0,1.9,1.9,1.9,1.9
03/06/11,16260.0,1.62,1.64,1.64,1.6
07/06/11,3320.0,1.66,1.66,1.66,1.66
08/06/11,1660.0,1.66,1.66,1.66,1.66
09/06/11,8310.0,1.67,1.66,1.67,1.66
10/06/11,1660.0,1.66,1.66,1.66,1.66
16/06/11,1310.0,1.31,1.31,1.31,1.31
17/06/11,6650.0,1.33,1.33,1.33,1.33
22/06/11,7500.0,1.5,1.5,1.5,1.5
24/06/11,14300.0,1.5,1.36,1.5,1.36
05/07/11,1600.0,1.6,1.6,1.6,1.6
06/07/11,10000.0,1.4,1.6,1.6,1.4
18/07/11,51220.0,1.5,1.72,1.72,1.5
21/07/11,27520.0,1.72,1.72,1.72,1.72
22/07/11,24080.0,1.72,1.72,1.72,1.72
18/08/11,1250.0,1.25,1.25,1.25,1.25
23/08/11,2560.0,1.28,1.28,1.28,1.28
25/08/11,1800.0,1.8,1.8,1.8,1.8
06/09/11,8950.0,1.79,1.79,1.79,1.79
08/09/11,3560.0,1.78,1.78,1.78,1.78
09/09/11,7160.0,1.79,1.79,1.79,1.79
14/09/11,8960.0,1.79,1.8,1.8,1.79
28/09/11,7390.0,1.24,1.23,1.24,1.23
03/10/11,2460.0,1.23,1.23,1.23,1.23
06/10/11,6160.0,1.24,1.23,1.24,1.23
18/10/11,1240.0,1.24,1.24,1.24,1.24
21/10/11,51660.0,1.23,1.23,1.23,1.23
14/11/11,85260.0,1.8,1.84,1.84,1.8
15/11/11,386740.0,2.0,1.6,2.76,1.6
16/11/11,19050.0,1.62,1.5,1.62,1.45
17/11/11,10290.0,1.6,1.99,1.99,1.6
18/11/11,1980.0,1.98,1.98,1.98,1.98
21/11/11,87420.0,1.22,1.3,1.3,1.22
22/11/11,115780.0,1.35,1.37,1.4,1.35
23/11/11,15070.0,1.37,1.37,1.37,1.37
24/11/11,14410.0,1.27,1.33,1.33,1.27
25/11/11,29700.0,1.28,1.84,1.87,1.27
01/12/11,61480.0,1.83,1.68,1.83,1.5
02/12/11,27300.0,1.68,1.5,1.68,1.5
06/12/11,18000.0,1.5,1.5,1.5,1.5
07/12/11,9000.0,1.5,1.5,1.5,1.5
08/12/11,10400.0,1.5,1.48,1.5,1.48
14/12/11,1520.0,1.52,1.52,1.52,1.52
19/12/11,1520.0,1.52,1.52,1.52,1.52
20/12/11,6080.0,1.52,1.52,1.52,1.52
21/12/11,4560.0,1.52,1.52,1.52,1.52
22/12/11,10640.0,1.52,1.52,1.52,1.52
26/12/11,12160.0,1.52,1.52,1.52,1.52
27/12/11,3040.0,1.52,1.52,1.52,1.52
29/12/11,3040.0,1.52,1.52,1.52,1.52
03/01/12,1330.0,1.33,1.33,1.33,1.33
04/01/12,2660.0,1.33,1.33,1.33,1.33
11/01/12,7630.0,1.56,1.37,1.57,1.37
13/01/12,7550.0,1.51,1.51,1.51,1.51
19/01/12,2660.0,1.33,1.33,1.33,1.33
20/01/12,7000.0,1.4,1.4,1.4,1.4
27/01/12,2800.0,1.4,1.4,1.4,1.4
31/01/12,5600.0,1.4,1.4,1.4,1.4
01/02/12,235220.0,1.4,2.1,2.1,1.4
02/02/12,698600.0,2.7,3.15,3.15,2.7
03/02/12,316650.0,4.72,4.47,4.72,4.4
06/02/12,231380.0,4.47,3.1,4.47,3.0
07/02/12,88700.0,3.1,2.91,3.11,2.91
08/02/12,43610.0,2.91,2.9,2.91,2.9
09/02/12,24110.0,2.89,2.51,2.89,2.51
10/02/12,61100.0,2.5,1.95,2.5,1.65
13/02/12,13460.0,2.38,2.77,2.77,2.38
14/02/12,5540.0,2.77,2.77,2.77,2.77
20/02/12,5000.0,2.5,2.5,2.5,2.5
21/02/12,2500.0,2.5,2.5,2.5,2.5
28/02/12,1860.0,1.86,1.86,1.86,1.86
02/03/12,24500.0,2.2,2.3,2.3,2.0
05/03/12,5000.0,2.5,2.5,2.5,2.5
06/03/12,20000.0,2.0,2.0,2.0,2.0
07/03/12,23000.0,2.05,2.5,2.5,2.05
15/03/12,8470.0,1.42,1.41,1.42,1.41
16/03/12,7410.0,1.61,1.51,1.61,1.42
20/03/12,5650.0,1.88,1.88,1.89,1.88
21/03/12,7600.0,1.9,1.9,1.9,1.9
22/03/12,175580.0,2.28,2.22,2.85,2.22
26/03/12,22200.000000000004,2.22,2.22,2.22,2.22
27/03/12,12750.0,2.1,2.25,2.25,2.1
28/03/12,2000.0,2.0,2.0,2.0,2.0
03/04/12,58500.0,2.25,2.25,2.25,2.25
04/04/12,11100.0,2.1,2.25,2.25,2.1
18/04/12,2000.0,2.0,2.0,2.0,2.0
25/04/12,18010.0,2.0,2.0,2.01,2.0
07/05/12,23100.0,1.65,1.65,1.65,1.65
22/05/12,199230.0,2.38,2.47,2.47,2.38
23/05/12,1260580.0,2.6,3.7,3.7,2.6
24/05/12,1412070.0,5.5,3.7,5.5,3.2
25/05/12,714460.0,3.89,3.8,4.8,3.8
28/05/12,2886530.0,3.8,5.35,5.5,3.8
29/05/12,1487602.0,5.5,5.55,6.8,5.5
30/05/12,823185.0,5.7,5.35,5.75,5.3
31/05/12,87000.0,5.0,5.0,5.0,5.0
01/06/12,992.0,4.96,4.96,4.96,4.96
04/06/12,100110.0,4.0,4.0,4.01,4.0
05/06/12,16800.0,4.01,4.4,4.4,4.0
06/06/12,47640.0,4.35,4.4,4.4,4.07
07/06/12,13200.000000000002,4.4,4.4,4.4,4.4
08/06/12,165730.0,4.4,5.47,5.5,4.4
11/06/12,168661.0,5.4,5.59,5.9,5.0
18/06/12,22500.0,4.5,4.5,4.5,4.5
21/06/12,9000.0,4.5,4.5,4.5,4.5
22/06/12,98400.0,4.5,5.0,5.5,4.5
25/06/12,144147.0,5.35,5.2,5.35,5.0
26/06/12,2258403.0,5.2,7.0,7.1,5.2
27/06/12,2837128.0,7.0,6.65,7.5,6.5
28/06/12,443346.0,7.3,6.0,7.3,6.0
29/06/12,359358.0,6.5,6.3,6.5,5.8
02/07/12,124896.0,6.5,6.69,6.8,6.0
03/07/12,85609.0,6.2,6.69,6.69,5.9
04/07/12,197054.0,6.68,6.5,6.68,5.8
05/07/12,1141479.0,6.3,6.69,6.7,6.1
06/07/12,53060.0,6.55,6.6,6.6,6.0
09/07/12,215451.0,6.02,6.5,6.65,6.0
10/07/12,69472.0,5.9,6.37,6.4,5.7
11/07/12,65252.0,5.7,6.36,6.36,5.7
13/07/12,54145.0,6.5,6.69,6.69,6.5
17/07/12,42810.0,6.47,6.5,6.5,6.47
18/07/12,365502.0,6.4,6.59,6.6,6.03
20/07/12,156925.0,5.6,6.25,6.25,5.5
23/07/12,232085.0,5.5,6.2,6.25,5.4
24/07/12,1155.0,5.4,6.15,6.15,5.4
25/07/12,50464.0,6.08,6.08,6.08,6.08
26/07/12,15800.0,5.4,6.05,6.05,5.4
30/07/12,59340.0,5.5,5.9,6.1,5.5
31/07/12,59035.0,5.51,5.9,5.9,5.51
01/08/12,127460.0,5.5,5.4,5.9,5.4
02/08/12,242132.0,5.8,6.44,6.44,5.8
03/08/12,12970970.0,6.46,9.66,9.66,6.46
06/08/12,2972240.0,9.02,7.48,9.5,7.2
08/08/12,350202.0,7.48,7.25,7.85,7.2
09/08/12,271997.0,6.82,6.2,6.99,6.0
10/08/12,8977.0,6.99,6.88,6.99,6.88
13/08/12,192594.0,5.91,6.39,6.5,5.88
14/08/12,849933.0,6.0,6.72,7.0,6.0
15/08/12,42195.0,6.69,6.6,6.69,6.31
16/08/12,204980.0,6.4,6.6,6.6,6.1
22/08/12,50823.0,6.69,6.59,6.9,6.21
24/08/12,119589.0,6.15,6.8,7.0,6.15
28/08/12,36678.0,7.33,7.2,7.33,7.15
29/08/12,52785.0,6.22,6.2,6.89,6.12
30/08/12,717090.0,6.15,5.68,6.69,5.68
31/08/12,23000.0,6.3,6.2,6.3,6.2
03/09/12,273482.0,5.75,6.0,6.0,5.35
06/09/12,146827.0,5.98,6.62,6.68,5.98
07/09/12,323266.0,6.55,6.79,7.0,6.5
10/09/12,3356.0,6.74,6.67,6.74,6.67
11/09/12,16295.0,6.7,6.4,6.7,6.3
12/09/12,272588.0,6.79,6.25,6.79,6.17
13/09/12,166724.0,6.35,6.41,6.65,6.35
14/09/12,58999.0,6.5,6.79,6.79,6.5
17/09/12,57860.0,6.79,6.69,6.79,6.45
25/09/12,78045.0,6.05,6.05,6.05,6.05
26/09/12,21476.0,6.2,6.2,6.2,5.86
27/09/12,50844.0,6.0,6.19,6.29,6.0
28/09/12,904255.0,6.0,5.7,6.19,5.7
01/10/12,104088.0,5.8,5.8,6.39,5.8
02/10/12,9894.0,5.82,5.82,5.82,5.82
03/10/12,16050.0,6.24,6.24,6.24,5.82
05/10/12,5825.0,5.82,5.83,5.83,5.82
09/10/12,245780.0,5.82,6.0,6.0,5.63
10/10/12,40200.0,6.0,6.0,6.0,6.0
11/10/12,184553.0,5.63,5.85,6.0,5.61
12/10/12,335325.0,5.85,5.62,5.85,5.62
15/10/12,135826.0,5.62,5.62,5.62,5.61
16/10/12,121802.0,5.61,6.01,6.01,5.6
17/10/12,198190.0,5.99,5.7,5.99,5.61
18/10/12,170798.0,5.62,5.68,6.0,5.62
19/10/12,1509203.0,6.0,6.64,6.65,6.0
22/10/12,9691282.0,8.0,9.0,9.28,7.0
23/10/12,2581436.0,8.99,7.0,8.99,6.82
24/10/12,163572.0,7.0,7.0,7.0,6.81
25/10/12,1559303.0,6.95,6.03,6.95,6.0
29/10/12,40062.0,6.02,6.0,6.02,5.6
30/10/12,514990.0,6.0,6.15,6.15,5.98
31/10/12,307944.0,6.0,6.14,6.14,5.85
05/11/12,104720.0,5.8,5.82,5.82,5.8
06/11/12,117620.0,5.82,5.72,5.9,5.72
07/11/12,117650.0,5.75,6.0,6.02,5.75
08/11/12,610200.0,6.0,6.0,6.0,6.0
09/11/12,2995.0,5.99,5.99,5.99,5.99
13/11/12,4004.0,5.72,5.72,5.72,5.72
14/11/12,12033.0,5.73,5.73,5.73,5.73
15/11/12,1244708.0,5.72,5.59,6.0,5.59
16/11/12,13685.0,5.95,5.95,5.95,5.95
19/11/12,135220.0,5.6,5.94,5.94,5.6
20/11/12,559908.0,6.0,6.02,6.02,6.0
21/11/12,1240.0,6.2,6.2,6.2,6.2
22/11/12,47114.0,6.2,5.72,6.2,5.72
26/11/12,69688.0,5.62,5.62,5.62,5.62
27/11/12,51300.0,5.7,5.7,5.7,5.7
28/11/12,23736.0,5.65,5.66,5.66,5.65
04/12/12,14150.0,5.66,5.66,5.66,5.66
05/12/12,11220.0,5.61,5.61,5.61,5.61
06/12/12,106560.0,5.61,5.8,5.8,5.61
07/12/12,1815.0,6.05,6.05,6.05,6.05
10/12/12,560330.0,5.99,6.0,6.0,5.99
12/12/12,15255.0,5.65,5.65,5.65,5.65
13/12/12,46990.0,5.75,5.62,5.75,5.62
14/12/12,6229.0,5.99,5.63,5.99,5.63
17/12/12,11260.0,5.63,5.63,5.63,5.63
18/12/12,99590.0,5.66,5.8,5.8,5.65
19/12/12,8560.0,5.7,5.8,5.8,5.7
20/12/12,46100.0,5.8,5.7,5.8,5.7
21/12/12,18560.0,5.9,6.0,6.0,5.9
26/12/12,23000.0,5.7,5.75,6.0,5.7
28/12/12,32214.0,6.0,5.74,6.0,5.72
02/01/13,22281.0,5.74,6.01,6.05,5.74
03/01/13,627201.0,6.02,6.15,6.16,6.0
04/01/13,47814.0,6.05,6.15,6.15,6.05
09/01/13,3000.0,6.0,6.0,6.0,6.0
10/01/13,74545.0,6.1,6.05,6.15,6.05
11/01/13,16605.0,6.15,6.15,6.15,6.15
14/01/13,132340.0,6.17,6.28,6.28,6.17
15/01/13,650230.0,6.3,6.65,7.2,6.3
16/01/13,337845.0,7.15,6.7,7.15,6.7
17/01/13,130044.0,6.7,7.15,7.15,6.7
18/01/13,107421975.0,7.22,7.05,7.5,6.88
21/01/13,23735.0,6.2,7.0,7.05,6.2
23/01/13,102694.0,6.98,7.0,7.0,6.98
29/01/13,65640.0,6.88,7.0,7.0,6.88
30/01/13,77350.0,6.5,6.5,6.5,6.5
01/02/13,74400.0,6.2,6.2,6.2,6.2
04/02/13,107596.0,6.2,6.22,6.3,6.2
05/02/13,60440.0,6.2,6.5,6.5,6.2
06/02/13,623.0,6.23,6.23,6.23,6.23
07/02/13,51500.0,6.25,6.5,6.5,6.25
08/02/13,71929.0,6.21,6.2,6.21,6.2
11/02/13,61000.0,6.1,6.1,6.1,6.1
