Date,Value,Open,Close,High,Low
04/08/09,15900.0,0.36,0.29,0.36,0.29
06/08/09,6400.0,0.32,0.32,0.32,0.32
11/08/09,37300.0,0.31,0.32,0.32,0.31
18/08/09,13700.0,0.33,0.36,0.36,0.33
03/09/09,3100.0,0.31,0.31,0.31,0.31
16/09/09,27900.0,0.25,0.29,0.29,0.25
01/10/09,2700.0,0.27,0.27,0.27,0.27
12/10/09,29200.0,0.28,0.34,0.34,0.28
14/10/09,290400.0,0.32,0.33,0.34,0.31
15/10/09,465700.0,0.35,0.37,0.39,0.35
16/10/09,4514500.0,0.42,0.55,0.55,0.41
19/10/09,1259800.0,0.57,0.42,0.58,0.41
20/10/09,38900.0,0.51,0.48,0.51,0.48
21/10/09,46000.0,0.46,0.4,0.48,0.4
22/10/09,482100.0,0.4,0.46,0.48,0.4
23/10/09,642000.0,0.45,0.46,0.46,0.41
26/10/09,222100.0,0.44,0.45,0.45,0.42
27/10/09,123800.0,0.46,0.48,0.5,0.46
28/10/09,18200.0,0.48,0.45,0.48,0.41
29/10/09,428800.0,0.47,0.38,0.47,0.38
30/10/09,37000.0,0.4,0.45,0.45,0.4
04/11/09,32900.0,0.36,0.41,0.41,0.36
05/11/09,28400.0,0.42,0.42,0.42,0.39
10/11/09,36000.0,0.39,0.42,0.42,0.39
11/11/09,12800.0,0.42,0.44,0.44,0.42
15/12/09,82500.0,0.43,0.44,0.44,0.42
16/12/09,4800.0,0.48,0.48,0.48,0.48
17/12/09,46500.0,0.42,0.45,0.45,0.42
18/12/09,41500.0,0.47,0.46,0.47,0.46
23/12/09,12000.0,0.4,0.4,0.4,0.4
04/01/10,5100.0,0.51,0.51,0.51,0.51
05/01/10,456000.0,0.42,0.49,0.53,0.42
06/01/10,186800.0,0.5,0.48,0.5,0.43
07/01/10,9900.0,0.49,0.5,0.5,0.49
13/01/10,22000.0,0.43,0.48,0.48,0.43
14/01/10,18200.0,0.41,0.48,0.48,0.41
20/01/10,40000.0,0.4,0.4,0.4,0.4
21/01/10,437200.0,0.47,0.38,0.47,0.38
26/01/10,56000.0,0.4,0.36,0.4,0.36
27/01/10,36000.0,0.36,0.36,0.36,0.36
28/01/10,12000.0,0.4,0.4,0.4,0.4
29/01/10,15700.0,0.39,0.4,0.4,0.39
01/02/10,102400.0,0.39,0.38,0.41,0.37
04/02/10,3600.0,0.36,0.36,0.36,0.36
08/02/10,66000.0,0.33,0.33,0.33,0.33
09/02/10,11700.0,0.39,0.39,0.39,0.39
10/02/10,11700.0,0.39,0.39,0.39,0.39
12/03/10,52500.0,0.35,0.35,0.35,0.35
20/04/10,3876000.0,0.38,0.38,0.38,0.38
21/04/10,21410400.0,0.36,0.36,0.39,0.36
22/04/10,18521900.0,0.38,0.44,0.46,0.38
23/04/10,452000.0,0.45,0.46,0.46,0.44
29/04/10,26607600.0,0.38,0.38,0.38,0.38
30/04/10,44000.0,0.44,0.44,0.44,0.44
04/05/10,47300.0,0.43,0.43,0.43,0.43
13/05/10,300100.0,0.52,0.51,0.53,0.51
14/05/10,325000.0,0.5,0.5,0.5,0.5
17/05/10,5100.0,0.51,0.51,0.51,0.51
19/05/10,27000.0,0.44,0.5,0.5,0.44
21/05/10,40600.0,0.44,0.45,0.48,0.44
24/05/10,395900.0,0.49,0.52,0.52,0.49
25/05/10,380900.0,0.53,0.54,0.6,0.51
26/05/10,4718500.0,0.55,0.62,0.63,0.55
27/05/10,739900.0,0.62,0.58,0.62,0.58
28/05/10,623100.0,0.6,0.57,0.6,0.57
31/05/10,5800.0,0.58,0.58,0.58,0.58
01/06/10,158700.0,0.59,0.54,0.6,0.54
02/06/10,105100.0,0.57,0.56,0.57,0.53
03/06/10,145100.0,0.58,0.59,0.59,0.58
04/06/10,34200.0,0.57,0.57,0.57,0.57
07/06/10,1017100.0,0.55,0.48,0.55,0.48
08/06/10,637100.0,0.51,0.54,0.54,0.51
09/06/10,644400.0,0.54,0.53,0.54,0.51
11/06/10,98600.0,0.53,0.53,0.54,0.51
15/06/10,34000.0,0.48,0.52,0.52,0.48
22/06/10,31300.0,0.51,0.54,0.54,0.51
25/06/10,85409700.0,0.52,0.5,0.52,0.49
29/06/10,14400.0,0.48,0.48,0.48,0.48
01/07/10,58100.0,0.48,0.49,0.49,0.48
02/07/10,191800.0,0.5,0.47,0.5,0.47
06/07/10,51400.0,0.47,0.49,0.49,0.46
07/07/10,27400.0,0.45,0.49,0.49,0.45
08/07/10,4500.0,0.45,0.45,0.45,0.45
09/07/10,28800.0,0.48,0.48,0.48,0.48
15/07/10,94500.0,0.45,0.45,0.45,0.45
16/07/10,132000.0,0.44,0.44,0.44,0.44
20/07/10,144000.0,0.48,0.48,0.48,0.48
21/07/10,5100.0,0.51,0.51,0.51,0.51
23/07/10,25000.0,0.5,0.5,0.5,0.5
21/09/10,104000.0,0.52,0.52,0.52,0.52
22/09/10,4950.0,0.495,0.495,0.495,0.495
24/09/10,70500.0,0.47,0.47,0.47,0.47
27/09/10,18000.0,0.45,0.45,0.45,0.45
28/09/10,35900.0,0.44,0.45,0.45,0.44
29/09/10,36000.0,0.45,0.45,0.45,0.45
30/09/10,53800.0,0.45,0.44,0.45,0.44
07/10/10,37850.0,0.42,0.435,0.435,0.415
08/10/10,4600.0,0.46,0.46,0.46,0.46
13/10/10,208000.0,0.425,0.405,0.425,0.405
14/10/10,4500.0,0.45,0.45,0.45,0.45
15/10/10,9400.0,0.47,0.47,0.47,0.47
19/10/10,4850.0,0.485,0.485,0.485,0.485
20/10/10,45000.0,0.45,0.45,0.45,0.45
26/10/10,4600.0,0.46,0.46,0.46,0.46
27/10/10,42000.0,0.42,0.42,0.42,0.42
28/10/10,147400.0,0.5,0.42,0.5,0.42
29/10/10,63000.0,0.42,0.42,0.42,0.42
17/11/10,4100.0,0.41,0.41,0.41,0.41
22/11/10,12000.0,0.4,0.4,0.4,0.4
24/11/10,4700.0,0.47,0.47,0.47,0.47
26/11/10,19500.0,0.48,0.51,0.51,0.48
02/12/10,700.0,0.35,0.35,0.35,0.35
03/12/10,27600.0,0.45,0.45,0.48,0.45
08/12/10,127150.0,0.385,0.48,0.48,0.38
16/12/10,7900.0,0.395,0.395,0.395,0.395
29/12/10,240750.0,0.41,0.395,0.41,0.395
29/12/10,240750.0,0.41,0.395,0.41,0.395
04/01/11,42000.0,0.42,0.42,0.42,0.42
05/01/11,135250.0,0.425,0.4,0.425,0.4
07/01/11,195700.0,0.42,0.41,0.42,0.41
12/01/11,140250.0,0.425,0.425,0.425,0.425
13/01/11,117600.0,0.42,0.42,0.42,0.42
14/01/11,8400.0,0.42,0.42,0.42,0.42
17/01/11,284000.0,0.43,0.44,0.44,0.43
18/01/11,176000.0,0.44,0.44,0.44,0.44
19/01/11,162800.0,0.44,0.44,0.44,0.44
19/01/11,162800.0,0.44,0.44,0.44,0.44
20/01/11,211200.0,0.44,0.44,0.44,0.44
20/01/11,211200.0,0.44,0.44,0.44,0.44
24/01/11,21000.0,0.42,0.42,0.42,0.42
25/01/11,4450.0,0.445,0.445,0.445,0.445
26/01/11,88000.0,0.44,0.44,0.44,0.44
28/01/11,51400.0,0.43,0.42,0.43,0.42
28/01/11,51400.0,0.43,0.42,0.43,0.42
02/02/11,18500.0,0.37,0.37,0.37,0.37
14/02/11,20100.0,0.405,0.4,0.405,0.4
07/03/11,38000.0,0.38,0.38,0.38,0.38
22/03/11,12900.0,0.425,0.44,0.44,0.425
24/03/11,160000.0,0.4,0.4,0.4,0.4
25/03/11,50700.0,0.39,0.39,0.39,0.39
04/04/11,51900.0,0.4,0.43,0.43,0.38
06/04/11,40000.0,0.4,0.4,0.4,0.4
08/04/11,4000.0,0.4,0.4,0.4,0.4
26/04/11,39500.0,0.355,0.4,0.4,0.35
10/05/11,35050.0,0.355,0.35,0.355,0.35
12/05/11,49000.0,0.35,0.35,0.35,0.35
13/05/11,87249450.0,0.35,0.41,0.42,0.35
16/05/11,3550.0,0.355,0.355,0.355,0.355
18/05/11,3950.0,0.395,0.395,0.395,0.395
25/05/11,7400.0,0.37,0.37,0.37,0.37
07/06/11,3600.0,0.36,0.36,0.36,0.36
14/06/11,45050.0,0.405,0.41,0.41,0.405
16/06/11,4150.0,0.415,0.415,0.415,0.415
29/06/11,152000.0,0.38,0.38,0.38,0.38
13/07/11,300900.0,0.37,0.39,0.39,0.37
14/07/11,165000.0,0.4,0.4,0.41,0.4
15/07/11,77900.0,0.41,0.41,0.41,0.41
18/07/11,711000.0,0.41,0.47,0.47,0.41
19/07/11,24500.0,0.49,0.49,0.49,0.49
21/07/11,368800.0,0.44,0.46,0.46,0.44
22/07/11,160000.0,0.4,0.4,0.4,0.4
27/07/11,80000.0,0.4,0.4,0.4,0.4
02/08/11,4200.0,0.42,0.42,0.42,0.42
03/08/11,4100.0,0.41,0.41,0.41,0.41
11/08/11,19000.0,0.38,0.38,0.38,0.38
12/08/11,38000.0,0.38,0.38,0.38,0.38
16/08/11,3800.0,0.38,0.38,0.38,0.38
18/08/11,1858550.0,0.38,0.44,0.52,0.38
19/08/11,128700.0,0.44,0.45,0.57,0.44
23/08/11,109500.0,0.45,0.42,0.45,0.42
24/08/11,21000.0,0.42,0.42,0.42,0.42
25/08/11,84600.0,0.42,0.38,0.42,0.38
26/08/11,4000.0,0.4,0.4,0.4,0.4
02/09/11,8000.0,0.4,0.4,0.4,0.4
06/09/11,26350.0,0.38,0.375,0.38,0.375
07/09/11,11250.0,0.375,0.375,0.375,0.375
08/09/11,26600.0,0.38,0.38,0.38,0.38
13/09/11,11400.0,0.38,0.38,0.38,0.38
21/09/11,79200.0,0.36,0.36,0.36,0.36
23/09/11,93450.0,0.355,0.34,0.355,0.34
26/09/11,39600.0,0.33,0.33,0.33,0.33
04/10/11,6000.0,0.3,0.3,0.3,0.3
10/10/11,6000.0,0.3,0.3,0.3,0.3
13/10/11,3000.0,0.3,0.3,0.3,0.3
08/11/11,109400.0,0.31,0.33,0.33,0.31
09/11/11,36000.0,0.4,0.4,0.4,0.4
10/11/11,56950.0,0.35,0.395,0.395,0.35
14/11/11,17500.0,0.35,0.35,0.35,0.35
15/11/11,17500.0,0.35,0.35,0.35,0.35
17/11/11,2202300.0,0.39,0.39,0.48,0.39
18/11/11,1234500.0,0.39,0.41,0.44,0.38
21/11/11,4182200.0,0.46,0.55,0.57,0.45
22/11/11,24246390.0,0.82,0.65,0.82,0.62
23/11/11,64458110.0,0.75,0.77,0.91,0.7
24/11/11,20712680.0,0.7,0.75,0.8,0.68
25/11/11,4071710.0,0.75,0.69,0.77,0.69
28/11/11,2576160.0,0.65,0.67,0.72,0.65
29/11/11,2208580.0,0.68,0.66,0.71,0.66
01/12/11,3506140.0,0.65,0.59,0.69,0.59
02/12/11,6121770.0,0.52,0.5,0.58,0.5
05/12/11,831360.0,0.48,0.49,0.51,0.48
06/12/11,259950.0,0.44,0.46,0.48,0.44
07/12/11,625550.0,0.485,0.51,0.51,0.47
08/12/11,688250.0,0.54,0.51,0.54,0.5
09/12/11,708340.0,0.5,0.52,0.53,0.5
12/12/11,82900.0,0.53,0.485,0.53,0.48
13/12/11,199700.0,0.5,0.485,0.5,0.445
14/12/11,765750.0,0.48,0.485,0.5,0.475
15/12/11,748550.0,0.465,0.455,0.475,0.455
16/12/11,894350.0,0.465,0.465,0.49,0.46
19/12/11,203950.0,0.485,0.475,0.485,0.46
20/12/11,32900.0,0.47,0.47,0.47,0.47
21/12/11,64800.0,0.47,0.46,0.47,0.46
22/12/11,393400.0,0.45,0.445,0.46,0.44
23/12/11,26400.0,0.44,0.44,0.44,0.44
26/12/11,151850.0,0.445,0.43,0.45,0.42
