Date,Value,Open,Close,High,Low
12/08/09,20000.0,0.5,0.5,0.5,0.5
14/08/09,407600.0,0.51,0.51,0.68,0.5
03/09/09,69000.0,0.69,0.69,0.69,0.69
23/09/09,60000.0,0.6,0.6,0.6,0.6
06/10/09,66000.0,0.6,0.6,0.6,0.6
13/10/09,60000.0,0.6,0.6,0.6,0.6
19/10/09,55000.0,0.55,0.55,0.55,0.55
20/10/09,12000.0,0.6,0.6,0.6,0.6
26/10/09,1477400.0,0.68,0.9,0.9,0.68
27/10/09,10310600.0,1.0,1.04,1.34,1.0
28/10/09,1280460.0,1.08,0.92,1.1,0.9
29/10/09,499800.0,0.91,0.95,0.95,0.91
30/10/09,113800.0,0.95,0.94,0.95,0.94
03/11/09,82000.0,0.92,0.91,0.92,0.91
04/11/09,54600.0,0.91,0.91,0.91,0.91
05/11/09,100100.0,0.91,0.91,0.91,0.91
06/11/09,117000.0,0.9,0.9,0.9,0.9
09/11/09,666000.0,0.9,0.9,0.9,0.9
10/11/09,180000.0,0.9,0.9,0.9,0.9
15/12/09,28800.0,0.96,0.96,0.96,0.96
16/12/09,78200.0,0.96,0.98,0.98,0.96
22/12/09,57000.0,0.95,0.95,0.95,0.95
23/12/09,19600.0,0.98,0.98,0.98,0.98
05/01/10,10200.0,1.02,1.02,1.02,1.02
06/01/10,207800.0,1.0,1.0,1.04,1.0
07/01/10,40600.0,1.0,1.06,1.06,1.0
08/01/10,121520.0,1.04,1.04,1.04,1.02
11/01/10,224480.0,1.04,1.06,1.06,1.04
19/01/10,5600.0,1.2,1.1,1.2,1.1
22/01/10,387500.0,0.9,0.9,0.91,0.9
25/01/10,18000.0,0.9,0.9,0.9,0.9
26/01/10,18000.0,0.9,0.9,0.9,0.9
27/01/10,18000.0,0.9,0.9,0.9,0.9
29/01/10,212500.0,0.85,0.85,0.85,0.85
04/02/10,255000.0,0.85,0.85,0.85,0.85
08/03/10,70000.0,1.0,1.0,1.0,1.0
12/03/10,60000.0,1.0,1.0,1.0,1.0
16/03/10,70000.0,1.0,1.0,1.0,1.0
20/04/10,19600.0,0.98,0.98,0.98,0.98
29/04/10,19600.0,0.98,0.98,0.98,0.98
07/06/10,9800.0,0.98,0.98,0.98,0.98
14/07/10,10000.0,1.0,1.0,1.0,1.0
15/07/10,30000.0,1.0,1.0,1.0,1.0
23/07/10,50000.0,1.0,1.0,1.0,1.0
29/09/10,14720.0,0.86,0.87,0.87,0.86
01/10/10,3920.0,0.98,0.98,0.98,0.98
04/10/10,224400.0,1.02,1.02,1.02,1.02
05/10/10,102040.0,0.9,1.02,1.02,0.9
18/10/10,1800.0,0.9,0.9,0.9,0.9
21/10/10,8320.0,1.04,1.04,1.04,1.04
22/10/10,49920.0,1.04,1.04,1.04,1.04
28/10/10,4550.0,0.91,0.91,0.91,0.91
29/10/10,4600.0,0.92,0.92,0.92,0.92
02/11/10,104550.0,0.91,1.0,1.0,0.91
03/11/10,140000.0,1.0,1.0,1.0,1.0
04/11/10,1820.0,0.91,0.91,0.91,0.91
08/11/10,5000.0,1.0,1.0,1.0,1.0
10/11/10,27000.0,1.0,1.0,1.0,1.0
