Date,Value,Open,Close,High,Low
06/08/09,11000.0,2.75,2.75,2.75,2.75
07/08/09,2750.0,2.75,2.75,2.75,2.75
13/08/09,55000.0,2.75,2.75,2.75,2.75
17/08/09,55250.0,2.75,2.75,2.8,2.75
18/08/09,59400.0,2.7,2.7,2.7,2.7
20/08/09,37800.0,2.7,2.7,2.7,2.7
26/08/09,50100.0,2.9,2.95,2.95,2.9
02/10/09,18600.0,3.1,3.1,3.1,3.1
07/10/09,44400.0,3.0,2.8,3.0,2.8
12/10/09,36400.0,2.8,2.8,2.8,2.8
19/10/09,11200.0,2.8,2.8,2.8,2.8
21/10/09,42000.0,2.8,2.8,2.8,2.8
27/10/09,28000.0,2.8,2.8,2.8,2.8
28/10/09,229200.0,3.0,3.2,3.2,3.0
29/10/09,956000.0,3.15,3.2,3.2,3.15
18/12/09,43200.0,3.6,3.6,3.6,3.6
22/12/09,193800.0,3.8,3.8,3.8,3.8
22/04/10,3200.0,3.2,3.2,3.2,3.2
13/05/10,330000.0,3.3,3.3,3.3,3.3
21/05/10,49500.0,3.3,3.3,3.3,3.3
24/05/10,165000.0,3.3,3.3,3.3,3.3
03/06/10,33000.0,3.3,3.3,3.3,3.3
10/06/10,33000.0,3.3,3.3,3.3,3.3
21/06/10,33000.0,3.3,3.3,3.3,3.3
29/06/10,3300.0,3.3,3.3,3.3,3.3
07/07/10,6200.0,3.1,3.1,3.1,3.1
14/07/10,33000.0,3.3,3.3,3.3,3.3
21/07/10,49500.0,3.3,3.3,3.3,3.3
22/07/10,181600.0,3.3,3.5,3.5,3.3
22/09/10,39400.0,3.2,3.3,3.3,3.2
24/09/10,17000.0,3.4,3.4,3.4,3.4
30/09/10,115500.0,3.3,3.3,3.3,3.3
04/10/10,33000.0,3.3,3.3,3.3,3.3
08/10/10,33000.0,3.3,3.3,3.3,3.3
13/10/10,6600.0,3.3,3.3,3.3,3.3
20/10/10,80500.0,3.5,3.5,3.5,3.5
22/10/10,42000.0,3.5,3.5,3.5,3.5
02/11/10,44329600.0,3.2,3.2,3.2,3.2
12/11/10,3739750.0,3.4,3.4,3.4,3.15
01/12/10,3150.0,3.15,3.15,3.15,3.15
02/12/10,3150.0,3.15,3.15,3.15,3.15
16/12/10,742100.0,3.15,3.0,3.15,3.0
22/12/10,167400.0,3.1,3.1,3.1,3.1
23/12/10,16250.0,3.25,3.25,3.25,3.25
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
28/12/10,1830000.0,3.0,3.0,3.0,3.0
03/01/11,16500.0,3.3,3.3,3.3,3.3
03/01/11,16500.0,3.3,3.3,3.3,3.3
03/01/11,16500.0,3.3,3.3,3.3,3.3
04/01/11,67000.0,3.35,3.35,3.35,3.35
06/01/11,13200.0,3.3,3.3,3.3,3.3
07/01/11,168300.0,3.3,3.3,3.3,3.3
10/01/11,1623500.0,3.3,3.5,3.5,3.3
13/01/11,128520.0,3.57,3.57,3.57,3.57
14/01/11,18050.0,3.6,3.65,3.65,3.6
17/01/11,699500.0,3.65,3.9,3.9,3.65
20/01/11,24300.0,3.9,3.4,3.9,3.4
20/01/11,24300.0,3.9,3.4,3.9,3.4
27/01/11,120900.0,3.9,3.9,3.9,3.9
03/02/11,31600.0,3.95,3.95,3.95,3.95
17/02/11,127400.0,3.8,4.0,4.0,3.8
18/02/11,52000.0,4.0,4.0,4.0,4.0
16/03/11,292600.0,3.85,3.85,3.85,3.85
13/04/11,1080500.0,4.0,4.0,4.05,3.95
14/04/11,41000.0,3.7,4.0,4.0,3.7
27/04/11,35000.0,3.5,3.5,3.5,3.5
28/04/11,73150.0,3.85,3.85,3.85,3.85
18/05/11,3950.0,3.95,3.95,3.95,3.95
20/05/11,31600.0,3.95,3.95,3.95,3.95
23/05/11,7050.0,3.6,3.45,3.6,3.45
26/05/11,3800.0,3.8,3.8,3.8,3.8
31/05/11,34650.0,3.85,3.85,3.85,3.85
03/06/11,11550.0,3.85,3.85,3.85,3.85
06/06/11,3850.0,3.85,3.85,3.85,3.85
09/06/11,188400.0,4.0,3.85,4.0,3.85
22/06/11,1085700.0,3.85,3.85,3.85,3.85
30/06/11,73500.0,4.0,4.15,4.15,4.0
06/07/11,12300.0,4.1,4.1,4.1,4.1
12/07/11,4150.0,4.15,4.15,4.15,4.15
22/07/11,38000.0,4.15,3.65,4.15,3.65
26/07/11,3900.0,3.9,3.9,3.9,3.9
28/07/11,128700.0,3.9,3.9,3.9,3.9
02/08/11,993580.0,4.05,4.2,4.25,4.01
05/08/11,8312600.0,4.0,4.4,4.6,4.0
08/08/11,2954280.0,4.4,4.4,4.49,4.35
09/08/11,1910610.0,4.35,4.26,4.35,4.25
10/08/11,5084640.0,4.28,4.28,4.28,4.28
11/08/11,658290.0,4.34,4.25,4.4,4.25
12/08/11,44000.0,4.4,4.4,4.4,4.4
16/08/11,547500.0,4.4,4.3,4.4,4.3
17/08/11,43000.0,4.3,4.3,4.3,4.3
24/08/11,83000.0,4.15,4.15,4.15,4.15
25/08/11,4000.0,4.0,4.0,4.0,4.0
31/08/11,218880.0,3.98,3.9,3.98,3.9
05/09/11,3940.0,3.94,3.94,3.94,3.94
08/09/11,4200.0,4.2,4.2,4.2,4.2
19/09/11,72900.0,4.2,4.3,4.3,4.2
20/09/11,150500.0,4.3,4.3,4.3,4.3
23/09/11,4200.0,4.2,4.2,4.2,4.2
26/09/11,206760.0,4.2,4.1,4.2,4.1
28/09/11,516440.0,3.94,4.1,4.1,3.94
03/10/11,200000.0,4.0,4.0,4.0,4.0
04/10/11,15502100.0,4.1,4.1,4.1,4.1
10/10/11,205000.0,4.1,4.1,4.1,4.1
11/10/11,1076200.0,4.1,4.1,4.1,4.0
12/10/11,102750.0,4.11,4.11,4.11,4.11
19/10/11,479370.0,4.34,4.35,4.4,4.34
20/10/11,607800.0,4.35,4.34,4.35,4.34
24/10/11,22000.0,4.4,4.4,4.4,4.4
26/10/11,440000.0,4.4,4.4,4.4,4.4
27/10/11,175200.0,4.38,4.38,4.38,4.38
08/11/11,254040.0,4.38,4.38,4.38,4.38
10/11/11,4200.0,4.2,4.2,4.2,4.2
11/11/11,424000.0,4.24,4.24,4.24,4.24
25/11/11,21000.0,4.2,4.2,4.2,4.2
29/11/11,19500.0,3.9,3.9,3.9,3.9
02/12/11,202880.0,3.69,4.8,4.8,3.69
09/12/11,9000.0,4.5,4.5,4.5,4.5
12/12/11,32760.0,4.38,4.2,4.38,3.69
13/12/11,4200.0,4.2,4.2,4.2,4.2
03/01/12,4300.0,4.3,4.3,4.3,4.3
16/01/12,4300.0,4.3,4.3,4.3,4.3
17/01/12,148000.0,4.0,4.0,4.0,4.0
20/01/12,26400.0,3.0,3.6,3.6,3.0
24/01/12,7200.0,3.6,3.6,3.6,3.6
01/03/12,4000.0,4.0,4.0,4.0,4.0
07/03/12,4000.0,4.0,4.0,4.0,4.0
09/03/12,1478400.0,4.8,6.0,6.0,4.8
12/03/12,550500.0,8.8,9.0,9.0,8.8
13/03/12,15922686.0,13.5,11.72,13.5,10.2
14/03/12,8905210.0,12.02,12.3,12.3,9.6
15/03/12,38967720.0,13.0,17.8,18.08,13.0
16/03/12,38846277.0,18.3,23.4,25.0,18.3
19/03/12,21051005.0,24.95,23.8,26.9,23.55
20/03/12,43448865.0,23.85,27.55,27.8,20.7
21/03/12,36648415.0,26.0,28.85,28.9,26.0
22/03/12,9061470.0,28.85,28.1,29.0,27.95
23/03/12,7000210.0,27.1,26.0,28.7,25.0
26/03/12,7229980.0,26.0,27.0,28.0,24.5
27/03/12,3092360.0,26.0,24.55,27.0,24.55
28/03/12,9881465.0,24.6,27.35,27.35,24.3
29/03/12,2980990.0,27.4,26.05,27.5,26.05
30/03/12,5153650.0,26.05,24.9,26.05,24.9
02/04/12,524920.0,25.1,25.9,25.9,24.9
03/04/12,270360.0,25.9,25.05,25.9,25.0
04/04/12,541150.0,25.05,25.0,25.3,25.0
10/04/12,4079915.0,25.0,23.3,25.0,23.0
11/04/12,1460715.0,23.15,23.1,23.6,23.0
12/04/12,205780.0,23.1,23.4,23.4,23.1
13/04/12,2449575.0,23.0,20.0,23.0,20.0
16/04/12,5624930.0,21.0,22.5,23.0,21.0
17/04/12,2391870.0,21.0,23.0,23.5,21.0
18/04/12,561520.0,21.7,21.6,22.9,21.6
19/04/12,495030.0,22.5,22.5,22.8,22.5
20/04/12,1085995.0,21.8,22.85,23.1,21.8
23/04/12,267070.0,22.65,22.6,23.0,22.6
24/04/12,14653215.0,22.9,24.25,25.6,22.9
25/04/12,2594805.0,24.9,24.8,25.0,24.0
26/04/12,11166660.0,25.0,25.6,25.75,24.8
27/04/12,2583030.0,25.6,25.55,25.9,25.55
30/04/12,2867950.0,25.5,25.55,25.6,25.0
02/05/12,9662440.0,25.6,26.5,26.5,25.6
03/05/12,4250135.0,26.6,27.25,27.25,26.6
04/05/12,10325335.0,26.8,28.4,28.5,26.8
07/05/12,2892540.0,28.4,28.15,28.4,27.95
08/05/12,4720730.0,28.0,28.75,28.75,27.9
09/05/12,2634370.0,28.7,28.8,29.05,28.0
10/05/12,5103765.0,28.8,29.1,29.15,28.8
11/05/12,6846830.0,29.0,29.65,29.75,27.2
14/05/12,959665.0,29.65,28.5,29.65,28.0
15/05/12,479905.0,28.05,28.05,28.3,28.05
16/05/12,1703630.0,28.0,26.1,29.0,26.1
17/05/12,123200.0,28.0,28.0,28.0,28.0
18/05/12,281940.0,26.1,28.2,29.0,26.0
21/05/12,4227795.0,28.0,33.0,33.0,28.0
22/05/12,4368895.0,33.7,33.05,36.95,33.05
23/05/12,4368090.0,31.5,35.3,35.3,31.5
24/05/12,898870.0,35.1,34.55,35.1,34.55
25/05/12,165725.0,34.6,33.0,34.6,33.0
28/05/12,4438440.0,32.95,34.9,34.95,30.4
29/05/12,7956445.0,34.9,35.9,35.9,34.0
30/05/12,10794215.0,35.9,36.6,37.15,32.95
31/05/12,8669530.0,37.0,37.7,37.7,37.0
01/06/12,1933515.0,37.05,37.7,37.8,37.05
04/06/12,680335.0,37.05,36.3,37.05,35.9
05/06/12,7913470.0,36.4,37.25,37.25,36.4
06/06/12,2112260.0,37.0,37.95,37.95,36.9
07/06/12,1044450.0,38.0,38.35,38.35,38.0
08/06/12,4879630.0,38.35,38.65,38.65,38.35
11/06/12,1860400.0,38.7,38.55,38.75,38.0
13/06/12,3541955.0,38.7,39.15,39.15,38.7
14/06/12,191950.0,38.55,38.35,38.55,38.35
15/06/12,464425.0,38.2,38.15,39.15,38.15
18/06/12,259865.0,39.2,38.15,39.2,38.15
19/06/12,1802875.0,38.15,37.35,38.15,37.35
20/06/12,111300.0,37.15,37.05,37.15,37.05
21/06/12,3951685.0,37.95,38.55,38.55,37.5
22/06/12,283220.0,37.9,38.3,38.3,37.9
25/06/12,749100.0,37.9,38.25,38.35,37.9
26/06/12,2673485.0,37.9,38.5,38.5,37.9
27/06/12,99455.0,37.9,38.4,38.5,37.9
29/06/12,1167210.0,37.1,38.35,38.35,37.1
03/07/12,1361060.0,38.35,38.6,38.6,38.35
04/07/12,1078625.0,38.0,38.55,38.55,38.0
05/07/12,241290.0,38.3,38.3,38.3,38.3
06/07/12,520380.0,38.55,38.1,38.55,38.1
09/07/12,113399.99999999999,37.8,37.8,37.8,37.8
10/07/12,200340.0,37.8,37.8,37.8,37.8
12/07/12,75600.0,37.8,37.8,37.8,37.8
13/07/12,37765.0,37.75,37.8,37.8,37.75
16/07/12,96460.0,37.1,37.1,37.1,37.1
17/07/12,153575.0,37.75,37.45,37.75,37.45
19/07/12,7200.0,35.0,37.0,37.0,35.0
20/07/12,281180.0,36.9,37.0,37.0,36.9
23/07/12,144300.0,37.0,37.0,37.0,37.0
24/07/12,185000.0,37.0,37.0,37.0,37.0
27/07/12,14780.0,36.95,36.95,36.95,36.95
