Date,Value,Open,Close,High,Low
03/08/09,1224750.0,2.75,2.75,2.8,2.75
04/08/09,225000.0,2.85,2.8,2.85,2.75
06/08/09,765450.0,2.8,2.8,2.85,2.8
07/08/09,456550.0,2.8,2.75,2.8,2.75
10/08/09,667050.0,2.75,2.75,2.75,2.7
11/08/09,571250.0,2.75,2.7,2.75,2.7
12/08/09,2935150.0,2.8,2.85,2.9,2.8
13/08/09,2784000.0,2.9,3.0,3.1,2.85
14/08/09,676400.0,3.0,2.95,3.05,2.9
17/08/09,519200.0,2.8,2.95,2.95,2.8
18/08/09,293450.0,2.8,2.9,2.9,2.8
19/08/09,1673250.0,2.95,3.0,3.0,2.95
20/08/09,677000.0,2.95,2.9,2.95,2.9
24/08/09,475700.0,2.9,2.9,2.95,2.9
25/08/09,1493100.0,2.9,2.9,3.0,2.9
26/08/09,1358850.0,2.9,3.05,3.05,2.9
03/09/09,416150.0,2.85,2.85,2.9,2.85
04/09/09,452150.0,2.85,2.9,2.9,2.85
16/09/09,1259550.0,2.9,2.9,2.9,2.85
17/09/09,269700.0,2.9,2.9,2.9,2.9
18/09/09,601750.0,2.9,2.95,2.95,2.9
22/09/09,483850.0,2.95,2.95,3.0,2.95
23/09/09,652300.0,2.95,3.0,3.0,2.95
30/09/09,171000.0,2.85,2.85,2.85,2.85
01/10/09,142500.0,2.85,2.85,2.85,2.85
02/10/09,145400.0,2.85,2.9,2.9,2.85
07/10/09,1048950.0,2.9,2.85,2.9,2.85
08/10/09,490300.0,2.9,2.85,2.9,2.85
09/10/09,458200.0,2.9,2.9,2.9,2.9
12/10/09,912000.0,2.85,2.85,2.85,2.85
13/10/09,681550.0,2.85,2.85,2.9,2.85
14/10/09,270800.0,2.9,2.85,2.9,2.85
15/10/09,484850.0,2.8,2.85,2.85,2.8
16/10/09,228100.0,2.85,2.85,2.9,2.85
19/10/09,262200.0,2.85,2.85,2.85,2.85
20/10/09,560100.0,2.9,2.85,2.9,2.85
21/10/09,205200.0,2.85,2.85,2.85,2.85
22/10/09,551000.0,2.9,2.9,2.9,2.9
23/10/09,20350.0,2.95,2.9,2.95,2.9
26/10/09,1463100.0,2.85,2.9,2.9,2.85
27/10/09,5700.0,2.85,2.85,2.85,2.85
28/10/09,268800.0,2.8,2.8,2.8,2.8
29/10/09,145750.0,2.75,2.75,2.75,2.75
30/10/09,185250.0,2.85,2.85,2.85,2.85
03/11/09,561000.0,2.85,2.8,2.85,2.8
04/11/09,238000.0,2.8,2.8,2.8,2.8
06/11/09,13500.0,2.7,2.7,2.7,2.7
09/11/09,5400.0,2.7,2.7,2.7,2.7
10/11/09,402300.0,2.7,2.7,2.7,2.7
11/11/09,1204250.0,2.7,2.75,2.75,2.7
15/12/09,294000.0,2.8,2.8,2.8,2.8
17/12/09,157350.0,2.85,2.85,2.85,2.8
18/12/09,49500.0,2.75,2.75,2.75,2.75
21/12/09,84000.0,2.8,2.8,2.8,2.8
29/12/09,180200.0,3.0,3.0,3.2,2.8
05/01/10,2043800.0,2.95,3.0,3.05,2.95
06/01/10,1381500.0,3.0,2.95,3.0,2.95
07/01/10,1188550.0,3.0,3.0,3.0,2.95
08/01/10,289500.0,2.95,2.9,2.95,2.9
11/01/10,287100.0,2.9,2.9,2.9,2.9
12/01/10,521900.0,2.85,2.85,2.9,2.85
13/01/10,71250.0,2.85,2.85,2.85,2.85
14/01/10,88500.0,2.95,2.95,2.95,2.95
15/01/10,88650.0,2.95,2.85,2.95,2.85
18/01/10,356550.0,2.9,2.8,2.9,2.8
19/01/10,19850.0,2.85,2.8,2.85,2.8
21/01/10,102400.0,2.8,2.85,2.9,2.8
26/01/10,457600.0,2.85,2.95,2.95,2.85
27/01/10,137500.0,2.75,2.75,2.75,2.75
28/01/10,140000.0,2.8,2.8,2.8,2.8
29/01/10,55000.0,2.75,2.75,2.75,2.75
01/02/10,299750.0,2.75,2.75,2.75,2.75
02/02/10,286700.0,2.75,2.7,2.8,2.7
03/02/10,26500.0,2.65,2.65,2.65,2.65
08/02/10,206450.0,2.65,2.7,2.7,2.65
