Date,Value,Open,Close,High,Low
22/12/09,164160.0,1.44,1.44,1.44,1.44
06/01/10,1560.0,1.56,1.56,1.56,1.56
21/01/10,1380.0,1.38,1.38,1.38,1.38
14/05/10,1120.0,1.12,1.12,1.12,1.12
19/05/10,1160.0,1.16,1.16,1.16,1.16
23/09/10,1500.0,1.5,1.5,1.5,1.5
24/09/10,2000.0,2.0,2.0,2.0,2.0
03/01/11,20000.0,2.5,2.5,2.5,2.5
03/01/11,20000.0,2.5,2.5,2.5,2.5
03/01/11,20000.0,2.5,2.5,2.5,2.5
27/01/11,35190.0,1.53,1.53,1.53,1.53
01/02/11,29700.0,1.54,2.0,2.0,1.54
01/02/11,29700.0,1.54,2.0,2.0,1.54
30/05/11,4200.0,2.1,2.1,2.1,2.1
08/07/11,2200.0,2.2,2.2,2.2,2.2
03/08/11,2500.0,2.5,2.5,2.5,2.5
15/08/11,2500.0,2.5,2.5,2.5,2.5
18/08/11,2500.0,2.5,2.5,2.5,2.5
31/08/11,2600.0,2.6,2.6,2.6,2.6
10/10/11,11740.0,1.31,1.3,1.31,1.3
25/10/11,3880.0,1.95,1.93,1.95,1.93
26/10/11,2193400.0,2.2,2.2,2.2,2.2
04/11/11,1342000.0,2.2,2.2,2.2,2.2
08/11/11,554400.0,2.2,2.2,2.2,2.2
09/11/11,13200.0,3.3,3.3,3.3,3.3
27/02/12,45600.0,2.6,2.4,2.6,2.4
13/04/12,36000.0,3.6,3.6,3.6,3.6
17/07/12,10800.0,3.6,3.56,3.6,3.6
29/11/12,30000.0,3.0,3.0,3.0,3.0
03/12/12,36000.0,3.0,3.0,3.0,3.0
10/12/12,26500.0,2.5,4.0,4.0,2.5
11/12/12,16000.0,4.0,4.0,4.0,4.0
28/12/12,141810.0,2.5,2.3,2.5,2.3
04/01/13,2300.0,2.3,2.3,2.3,2.3
07/01/13,23750.0,2.5,2.25,2.5,2.25
14/02/13,2500.0,2.5,2.5,2.5,2.5
18/02/13,28740.0,2.75,3.0,3.0,2.75
20/02/13,3100.0,3.1,3.1,3.1,3.1
28/02/13,19000.0,3.8,3.8,3.8,3.8
04/03/13,14000.0,3.5,3.5,3.5,3.5
10/04/13,32110.0,2.51,4.8,4.8,2.5
23/04/13,6000.0,3.0,3.0,3.0,3.0
07/05/13,315000.0,3.0,3.0,3.0,3.0
20/06/13,9000.0,4.5,4.5,4.5,4.5
05/07/13,3200.0,3.2,3.2,3.2,3.2
12/07/13,3500.0,3.5,3.5,3.5,3.5
18/12/13,35000.0,3.5,3.5,3.5,3.5
20/12/13,10500.0,3.5,3.5,3.5,3.5
06/02/14,17500.0,3.5,3.5,3.5,3.5
28/04/14,4000.0,4.0,4.0,4.0,4.0
24/06/14,30000.0,6.0,6.0,6.0,6.0
25/06/14,169200.0,9.0,9.0,9.0,9.0
26/06/14,731786.0,13.5,13.0,13.5,8.0
27/06/14,217670.0,10.4,11.5,15.0,10.4
30/06/14,65264.0,10.5,13.5,13.98,10.5
01/07/14,236344.0,11.02,12.5,12.5,11.0
02/07/14,148840.0,11.1,11.9,11.9,11.0
03/07/14,75198.0,11.0,10.5,11.48,10.5
04/07/14,333790.0,10.5,11.2,11.6,10.5
07/07/14,73234.0,10.02,11.0,11.2,10.02
08/07/14,83854.0,10.1,10.3,11.0,10.02
09/07/14,152614.0,10.28,9.3,10.28,9.3
10/07/14,35168.0,10.94,9.35,10.94,9.35
11/07/14,70875.0,9.35,9.0,9.35,9.0
