Date,Value,Open,Close,High,Low
26/01/10,570000.0,1.0,1.0,1.0,1.0
26/09/11,49800.0,1.05,1.5,1.5,1.05
28/09/11,1110.0,1.11,1.11,1.11,1.11
29/11/11,14892700.0,1.24,1.27,1.27,1.24
01/12/11,12540.0,1.52,1.9,1.9,1.52
02/12/11,71250.0,2.85,2.85,2.85,2.85
05/12/11,34160.0,4.27,4.27,4.27,4.27
06/12/11,159440.0,5.9,3.48,5.9,3.03
07/12/11,13940.0,3.48,3.5,3.5,3.48
15/12/11,5600.0,2.8,2.8,2.8,2.8
21/12/11,24320.0,3.04,3.04,3.04,3.04
16/02/12,2750.0,2.75,2.75,2.75,2.75
07/03/12,20070.0,2.52,2.5,2.52,2.5
28/03/12,7500.0,2.5,2.5,2.5,2.5
17/04/12,2720.0,2.72,2.72,2.72,2.72
05/06/12,3100.0,3.1,3.1,3.1,3.1
17/07/12,3300.0,3.3,3.3,3.3,3.3
08/08/12,9900.0,3.3,3.3,3.3,3.3
03/10/12,9900.0,3.3,3.3,3.3,3.3
25/11/14,67000.0,3.35,3.35,3.35,3.35
10/04/15,46220.0,5.0,3.1,5.0,3.1
14/04/15,3120.0,3.12,3.12,3.12,3.12
24/04/15,8600.0,4.6,4.0,4.6,4.0
28/04/15,227460.0,4.5,6.0,6.0,4.5
29/04/15,238286.0,7.2,9.0,9.0,7.2
30/04/15,129580.0,13.5,13.5,13.5,13.48
04/05/15,170100.0,20.25,20.25,20.25,20.25
05/05/15,172995.0,30.35,30.35,30.35,30.35
06/05/15,1046500.0,45.5,45.5,45.5,45.5
07/05/15,1132735.0,68.25,68.25,68.25,68.0
08/05/15,2725101.0,95.5,46.85,95.5,35.0
11/05/15,926270.0,46.8,25.0,46.8,25.0
12/05/15,1039900.0,25.0,37.5,37.5,25.0
13/05/15,2580545.0,45.0,55.0,55.0,45.0
14/05/15,5076734.5,58.0,80.0,80.0,58.0
15/05/15,1919792.5,82.0,64.0,82.0,62.25
18/05/15,823522.5,63.95,64.0,74.5,45.0
19/05/15,433159.0,64.0,58.0,65.0,55.0
20/05/15,356742.0,63.9,60.75,63.9,54.9
21/05/15,248440.0,56.0,58.4,61.8,56.0
22/05/15,369065.5,58.4,56.0,60.0,54.0
25/05/15,414589.5,56.0,57.15,62.9,56.0
26/05/15,176825.0,56.0,54.2,59.0,54.1
27/05/15,131876.0,54.1,51.95,54.1,50.0
28/05/15,11971.0,51.95,51.9,51.95,47.0
29/05/15,117402.0,45.0,51.0,51.7,45.0
01/06/15,106785.0,50.0,46.0,51.9,46.0
02/06/15,309460.0,46.0,55.0,59.95,45.0
03/06/15,154595.0,57.0,50.0,57.0,50.0
04/06/15,348327.0,55.95,50.0,56.0,50.0
05/06/15,93666.0,54.0,48.0,54.0,46.0
08/06/15,10480.0,53.3,51.5,53.3,51.5
09/06/15,84891.5,52.9,52.0,53.0,47.75
10/06/15,128372.0,52.0,50.0,52.95,45.0
11/06/15,8000.0,50.0,50.0,50.0,50.0
15/06/15,55700.0,49.35,48.0,51.0,46.0
16/06/15,53500.0,48.0,50.0,50.0,46.5
17/06/15,162600.0,50.0,50.5,52.0,47.0
18/06/15,103369.0,48.0,50.0,51.0,47.0
19/06/15,196277.0,47.6,49.8,50.5,46.0
22/06/15,95500.0,46.5,49.75,49.75,46.0
24/06/15,50900.0,46.0,49.0,49.0,46.0
25/06/15,64285.0,45.0,48.9,48.95,45.0
25/06/15,64285.0,45.0,48.9,48.95,45.0
30/06/15,90000.0,48.45,48.0,48.45,40.0
01/07/15,33140.0,47.9,47.5,47.9,46.0
02/07/15,4700.0,47.0,47.0,47.0,47.0
06/07/15,18200.0,47.0,46.0,47.0,42.0
07/07/15,39620.0,40.0,45.0,45.0,37.0
08/07/15,38860.0,39.0,40.0,44.0,37.0
09/07/15,11700.0,39.0,39.0,39.0,39.0
10/07/15,51800.0,39.0,35.0,39.0,35.0
13/07/15,18350.0,34.5,40.0,40.0,34.5
13/07/15,18350.0,34.5,40.0,40.0,34.5
14/07/15,172280.0,40.0,47.5,48.0,40.0
15/07/15,4750.0,47.5,47.5,47.5,47.5
16/07/15,145375.0,41.0,41.0,46.85,37.1
20/07/15,99415.0,39.2,43.4,44.8,37.5
21/07/15,91605.0,43.5,44.0,44.0,39.0
27/07/15,44000.0,44.0,44.0,44.0,44.0
28/07/15,86320.0,39.0,43.0,43.0,39.0
30/07/15,34360.0,42.95,42.95,42.95,42.95
03/08/15,55260.0,36.0,40.0,40.0,36.0
04/08/15,84000.0,42.95,41.5,42.95,41.5
05/08/15,34000.0,38.0,40.0,40.0,36.0
10/08/15,3995.0000000000005,39.95,39.95,39.95,39.95
13/08/15,15650.0,39.0,39.5,39.5,39.0
14/08/15,19550.0,39.0,39.5,39.5,39.0
24/08/15,3500.0,35.0,35.0,35.0,35.0
27/08/15,14000.0,35.0,35.0,35.0,35.0
28/08/15,35000.0,35.0,35.0,35.0,35.0
01/09/15,10700.0,35.0,37.0,37.0,35.0
02/09/15,3650.0,36.5,36.5,36.5,36.5
07/09/15,3650.0,36.5,36.5,36.5,36.5
15/09/15,7000.0,35.0,35.0,35.0,35.0
15/09/15,7000.0,35.0,35.0,35.0,35.0
15/09/15,7000.0,35.0,35.0,35.0,35.0
16/09/15,3800.0,38.0,38.0,38.0,38.0
21/09/15,22800.0,38.0,38.0,38.0,38.0
29/09/15,18500.0,37.0,37.0,37.0,37.0
13/10/15,16690.0,19.0,25.5,25.5,19.0
14/10/15,24135.0,25.5,30.8,30.8,25.5
15/10/15,24500.0,35.0,35.0,35.0,35.0
16/10/15,15610.0,29.0,34.0,34.0,29.0
20/10/15,6580.0,33.0,32.8,33.0,32.8
23/10/15,130430.0,29.0,31.5,33.0,29.0
26/10/15,9650.0,32.5,32.0,32.5,32.0
28/10/15,3200.0,32.0,32.0,32.0,32.0
05/11/15,124900.0,26.0,30.0,30.0,26.0
09/11/15,26975.0,30.0,29.95,30.0,29.95
11/11/15,2990.0,29.9,29.9,29.9,29.9
12/11/15,10540.0,23.2,29.5,29.5,23.2
13/11/15,65800.0,29.0,30.0,30.0,29.0
17/11/15,13900.0,23.0,24.0,24.0,23.0
23/11/15,106500.0,26.0,24.0,26.0,22.5
24/11/15,2100.0,21.0,21.0,21.0,21.0
25/11/15,2700.0,27.0,27.0,27.0,27.0
26/11/15,10800.0,27.0,27.0,27.0,27.0
27/11/15,14770.0,29.0,29.9,29.9,29.0
01/12/15,32890.0,29.9,29.9,29.9,29.9
02/12/15,5800.0,29.0,29.0,29.0,29.0
04/12/15,2890.0,28.9,28.9,28.9,28.9
07/12/15,5780.0,28.9,28.9,28.9,28.9
08/12/15,6300.0,21.0,21.0,21.0,21.0
09/12/15,4400.0,22.0,22.0,22.0,22.0
10/12/15,2200.0,22.0,22.0,22.0,22.0
11/12/15,5780.0,28.9,28.9,28.9,28.9
21/12/15,2800.0,28.0,28.0,28.0,28.0
22/12/15,9100.0,21.5,24.0,24.0,21.5
23/12/15,18200.0,26.0,26.0,26.0,26.0
28/12/15,28600.0,28.0,28.0,29.0,28.0
