Date,Value,Open,Close,High,Low
19/08/09,4600.0,0.46,0.46,0.46,0.46
26/08/09,9200.0,0.46,0.46,0.46,0.46
03/09/09,14400.0,0.48,0.48,0.48,0.48
04/09/09,46000.0,0.46,0.46,0.46,0.46
18/09/09,23000.0,0.46,0.46,0.46,0.46
16/10/09,13800.0,0.46,0.46,0.46,0.46
19/10/09,4600.0,0.46,0.46,0.46,0.46
20/10/09,24200.0,0.48,0.5,0.5,0.48
23/10/09,35000.0,0.5,0.5,0.5,0.5
27/10/09,5000.0,0.5,0.5,0.5,0.5
28/10/09,5100.0,0.51,0.51,0.51,0.51
30/10/09,10200.0,0.51,0.51,0.51,0.51
03/11/09,5100.0,0.51,0.51,0.51,0.51
06/11/09,25500.0,0.51,0.51,0.51,0.51
10/11/09,61200.0,0.51,0.51,0.51,0.51
21/12/09,5000.0,0.5,0.5,0.5,0.5
18/01/10,5900.0,0.59,0.59,0.59,0.59
19/01/10,5900.0,0.59,0.59,0.59,0.59
26/01/10,22400.0,0.56,0.56,0.56,0.56
29/01/10,33000.0,0.55,0.55,0.55,0.55
03/02/10,5500.0,0.55,0.55,0.55,0.55
08/03/10,27000.0,0.54,0.54,0.54,0.54
15/03/10,16200.0,0.54,0.54,0.54,0.54
16/03/10,5400.0,0.54,0.54,0.54,0.54
20/04/10,5400.0,0.54,0.54,0.54,0.54
13/05/10,11000.0,0.55,0.55,0.55,0.55
17/05/10,10500.0,0.5,0.55,0.55,0.5
18/05/10,16200.0,0.52,0.55,0.55,0.52
21/05/10,5200.0,0.52,0.52,0.52,0.52
26/05/10,37800.0,0.54,0.54,0.54,0.54
28/05/10,156600.0,0.54,0.54,0.54,0.54
01/06/10,21600.0,0.54,0.54,0.54,0.54
03/06/10,10100.0,0.5,0.51,0.51,0.5
04/06/10,10000.0,0.5,0.5,0.5,0.5
07/06/10,15600.0,0.52,0.52,0.52,0.52
08/06/10,5200.0,0.52,0.52,0.52,0.52
09/06/10,10400.0,0.52,0.52,0.52,0.52
10/06/10,41600.0,0.52,0.52,0.52,0.52
22/06/10,30600.0,0.51,0.51,0.51,0.51
23/06/10,5000.0,0.5,0.5,0.5,0.5
24/06/10,10600.0,0.56,0.5,0.56,0.5
29/06/10,15000.0,0.5,0.5,0.5,0.5
09/07/10,43200.0,0.54,0.54,0.54,0.54
13/07/10,34800.0,0.58,0.58,0.58,0.58
15/07/10,162400.0,0.58,0.58,0.58,0.58
21/07/10,23200.0,0.58,0.58,0.58,0.58
22/07/10,47200.0,0.59,0.59,0.59,0.59
23/07/10,66900.0,0.59,0.61,0.61,0.59
21/09/10,4590.0,0.6,0.57,0.6,0.57
22/09/10,4800.0,0.6,0.6,0.6,0.6
23/09/10,21000.0,0.6,0.6,0.6,0.6
24/09/10,2480.0,0.62,0.62,0.62,0.62
28/09/10,30540.0,0.63,0.61,0.63,0.61
29/09/10,49540.0,0.62,0.64,0.64,0.62
04/10/10,620.0,0.62,0.62,0.62,0.62
06/10/10,28980.0,0.62,0.6,0.62,0.6
07/10/10,8400.0,0.6,0.6,0.6,0.6
08/10/10,8000.0,0.6,0.62,0.62,0.6
13/10/10,18000.0,0.6,0.6,0.6,0.6
18/10/10,30000.0,0.6,0.6,0.6,0.6
19/10/10,4200.0,0.6,0.6,0.6,0.6
22/10/10,1800.0,0.6,0.6,0.6,0.6
02/11/10,5560.0,0.6,0.62,0.62,0.6
03/11/10,18550.0,0.6,0.59,0.6,0.59
04/11/10,8850.0,0.59,0.59,0.59,0.59
09/11/10,12000.0,0.6,0.6,0.6,0.6
11/11/10,12000.0,0.6,0.6,0.6,0.6
18/11/10,12000.0,0.6,0.6,0.6,0.6
23/11/10,14750.0,0.59,0.59,0.59,0.59
25/11/10,21830.0,0.59,0.59,0.59,0.59
01/12/10,37200.0,0.6,0.6,0.6,0.6
03/12/10,15600.0,0.6,0.6,0.6,0.6
06/12/10,46200.0,0.61,0.59,0.61,0.59
16/12/10,98750.0,0.61,0.6,0.61,0.6
04/01/11,2560.0,0.64,0.64,0.64,0.64
05/01/11,13440.0,0.64,0.64,0.64,0.64
06/01/11,50560.0,0.64,0.64,0.64,0.64
10/01/11,43100.0,0.66,0.67,0.67,0.66
11/01/11,60300.0,0.67,0.67,0.67,0.67
11/01/11,60300.0,0.67,0.67,0.67,0.67
12/01/11,33500.0,0.67,0.67,0.67,0.67
13/01/11,134000.0,0.67,0.67,0.67,0.67
14/01/11,7000.0,0.7,0.7,0.7,0.7
17/01/11,610.0,0.61,0.61,0.61,0.61
18/01/11,34000.0,0.68,0.68,0.68,0.68
19/01/11,36720.0,0.68,0.68,0.68,0.68
19/01/11,36720.0,0.68,0.68,0.68,0.68
20/01/11,680.0,0.68,0.68,0.68,0.68
20/01/11,680.0,0.68,0.68,0.68,0.68
24/01/11,34680.0,0.68,0.68,0.68,0.68
26/01/11,6270.0,0.62,0.69,0.69,0.62
27/01/11,55220.0,0.68,0.7,0.7,0.68
28/01/11,136000.0,0.68,0.68,0.68,0.68
28/01/11,136000.0,0.68,0.68,0.68,0.68
03/02/11,3720.0,0.62,0.62,0.62,0.62
14/02/11,54180.0,0.63,0.63,0.63,0.63
16/02/11,41380.0,0.62,0.59,0.62,0.59
16/02/11,41380.0,0.62,0.59,0.62,0.59
18/02/11,45260.0,0.62,0.62,0.62,0.62
21/02/11,3600.0,0.6,0.6,0.6,0.6
21/02/11,3600.0,0.6,0.6,0.6,0.6
22/02/11,9100.0,0.7,0.7,0.7,0.7
22/02/11,9100.0,0.7,0.7,0.7,0.7
28/02/11,620.0,0.62,0.62,0.62,0.62
02/03/11,4200.0,0.6,0.6,0.6,0.6
03/03/11,10800.0,0.6,0.6,0.6,0.6
07/03/11,50960.0,0.6,0.58,0.6,0.58
11/03/11,12600.0,0.6,0.6,0.6,0.6
11/03/11,12600.0,0.6,0.6,0.6,0.6
16/03/11,18000.0,0.6,0.6,0.6,0.6
17/03/11,24000.0,0.6,0.6,0.6,0.6
21/03/11,590.0,0.59,0.59,0.59,0.59
22/03/11,336000.0,0.6,0.6,0.6,0.6
23/03/11,73200.0,0.6,0.6,0.6,0.6
24/03/11,12590.0,0.6,0.59,0.6,0.59
30/03/11,1770.0,0.59,0.59,0.59,0.59
01/04/11,54600.0,0.6,0.6,0.6,0.6
06/04/11,94990.0,0.59,0.59,0.59,0.59
07/04/11,63540.0,0.59,0.6,0.6,0.59
08/04/11,40870.0,0.61,0.61,0.61,0.61
12/04/11,16520.0,0.59,0.59,0.59,0.59
14/04/11,61000.0,0.61,0.61,0.61,0.61
15/04/11,2480.0,0.62,0.62,0.62,0.62
26/04/11,3150.0,0.63,0.63,0.63,0.63
27/04/11,11970.0,0.63,0.63,0.63,0.63
29/04/11,72130.0,0.6,0.63,0.63,0.6
12/05/11,11400.0,0.6,0.6,0.6,0.6
20/05/11,13800.0,0.6,0.6,0.6,0.6
23/05/11,18300.0,0.6,0.59,0.6,0.59
25/05/11,2950.0,0.59,0.59,0.59,0.59
30/05/11,1180.0,0.59,0.59,0.59,0.59
31/05/11,3600.0,0.6,0.6,0.6,0.6
10/06/11,640.0,0.64,0.64,0.64,0.64
13/06/11,54400.0,0.64,0.64,0.64,0.64
14/06/11,41010.0,0.64,0.59,0.64,0.59
21/06/11,20400.0,0.6,0.6,0.6,0.6
23/06/11,39000.0,0.6,0.6,0.6,0.6
24/06/11,28200.0,0.6,0.6,0.6,0.6
28/06/11,15000.0,0.6,0.6,0.6,0.6
29/06/11,590.0,0.59,0.59,0.59,0.59
30/06/11,590.0,0.59,0.59,0.59,0.59
01/07/11,7670.0,0.59,0.59,0.59,0.59
05/07/11,12390.0,0.59,0.59,0.59,0.59
08/07/11,1220.0,0.61,0.61,0.61,0.61
13/07/11,6690.0,0.59,0.61,0.61,0.59
14/07/11,59260.0,0.61,0.62,0.62,0.61
15/07/11,2550.0,0.64,0.63,0.64,0.63
18/07/11,18900.0,0.63,0.63,0.63,0.63
19/07/11,18610.0,0.62,0.62,0.63,0.62
20/07/11,289040.0,0.65,0.64,0.65,0.64
21/07/11,78900.0,0.64,0.65,0.65,0.64
22/07/11,67300.0,0.65,0.65,0.66,0.65
25/07/11,32180.0,0.62,0.64,0.64,0.62
26/07/11,170750.0,0.7,0.63,0.7,0.63
27/07/11,57600.0,0.64,0.64,0.64,0.64
28/07/11,296330.0,0.64,0.65,0.65,0.64
29/07/11,5850.0,0.65,0.65,0.65,0.65
01/08/11,33040.0,0.64,0.66,0.66,0.64
02/08/11,77120.0,0.66,0.66,0.66,0.65
03/08/11,69010.0,0.67,0.67,0.67,0.67
04/08/11,1035620.0,0.68,0.7,0.72,0.68
08/08/11,37070.0,0.72,0.61,0.72,0.61
09/08/11,79190.0,0.61,0.6,0.61,0.6
12/08/11,18000.0,0.6,0.6,0.6,0.6
16/08/11,12000.0,0.6,0.6,0.6,0.6
17/08/11,31720.0,0.61,0.61,0.61,0.61
18/08/11,120780.0,0.61,0.61,0.61,0.61
22/08/11,48800.0,0.61,0.61,0.61,0.61
23/08/11,61000.0,0.61,0.61,0.61,0.61
24/08/11,82220.0,0.6,0.61,0.61,0.6
31/08/11,2440.0,0.61,0.61,0.61,0.61
02/09/11,120000.0,0.6,0.6,0.6,0.6
05/09/11,73710.0,0.64,0.61,0.64,0.61
06/09/11,1920.0,0.64,0.64,0.64,0.64
08/09/11,4320.0,0.61,0.62,0.62,0.61
13/09/11,246940.0,0.62,0.64,0.64,0.6
14/09/11,3050.0,0.61,0.61,0.61,0.61
15/09/11,46970.0,0.61,0.61,0.61,0.61
