Date,Value,Open,Close,High,Low
20/08/09,19950.0,2.85,2.85,2.85,2.85
04/09/09,18000.0,3.0,3.0,3.0,3.0
18/09/09,30000.0,3.0,3.0,3.0,3.0
22/09/09,11799000.0,3.0,3.0,3.0,3.0
30/09/09,18000.0,3.0,3.0,3.0,3.0
02/10/09,30000.0,3.0,3.0,3.0,3.0
05/10/09,15000.0,3.0,3.0,3.0,3.0
15/10/09,35400.0,2.95,2.95,2.95,2.95
21/10/09,118550.0,2.95,3.0,3.0,2.95
29/10/09,93000.0,3.0,3.0,3.0,3.0
30/10/09,107100.0,3.0,3.4,3.4,3.0
04/11/09,152500.0,3.05,3.05,3.05,3.05
06/11/09,33100.0,3.0,3.1,3.1,3.0
10/11/09,6000.0,3.0,3.0,3.0,3.0
11/11/09,15000.0,3.0,3.0,3.0,3.0
16/12/09,9000.0,3.0,3.0,3.0,3.0
22/12/09,15000.0,3.0,3.0,3.0,3.0
23/12/09,3000.0,3.0,3.0,3.0,3.0
29/12/09,3000.0,3.0,3.0,3.0,3.0
07/01/10,116500.0,2.95,2.9,2.95,2.9
13/01/10,150000.0,3.0,3.0,3.0,3.0
26/01/10,104500.0,2.9,3.0,3.0,2.9
27/01/10,58950.0,2.8,2.95,2.95,2.8
01/02/10,10800.0,2.8,2.6,2.8,2.6
02/02/10,13100.0,2.5,2.8,2.8,2.5
31/03/10,27000.0,2.7,2.7,2.7,2.7
29/04/10,226800.0,2.8,2.8,2.8,2.8
05/05/10,21845700.0,2.7,2.7,2.7,2.7
19/05/10,16200.0,2.7,2.7,2.7,2.7
09/06/10,5400.0,2.7,2.7,2.7,2.7
21/06/10,6900.0,3.45,3.45,3.45,3.45
24/06/10,5800.0,2.9,2.9,2.9,2.9
25/06/10,6900.0,3.45,3.45,3.45,3.45
07/07/10,9560500.0,2.9,3.4,3.4,2.9
16/07/10,6000.0,3.0,3.0,3.0,3.0
19/07/10,36000.0,3.0,3.0,3.0,3.0
20/07/10,14500.0,2.9,2.9,2.9,2.9
22/07/10,56000.0,2.9,3.05,3.05,2.9
30/09/10,30000.0,3.0,3.0,3.0,3.0
04/10/10,30000.0,3.0,3.0,3.0,3.0
07/10/10,138000.0,3.0,3.0,3.0,3.0
13/10/10,10000.0,3.3,3.4,3.4,3.3
14/10/10,21000.0,3.5,3.5,3.5,3.5
15/10/10,10800.0,3.6,3.6,3.6,3.6
22/10/10,70000.0,3.5,3.5,3.5,3.5
27/10/10,45000.0,3.75,3.75,3.75,3.75
28/10/10,14000.0,3.5,3.5,3.5,3.5
08/11/10,15000.0,3.75,3.75,3.75,3.75
24/11/10,38520.0,3.01,3.72,3.72,3.01
30/11/10,15250.0,3.05,3.05,3.05,3.05
01/12/10,12240.0,3.06,3.06,3.06,3.06
06/12/10,122000.0,3.05,3.05,3.05,3.05
08/12/10,15250.0,3.05,3.05,3.05,3.05
16/12/10,18000.0,3.0,3.0,3.0,3.0
