Date,Value,Open,Close,High,Low
03/08/09,43718100.0,0.02,0.025,0.025,0.02
04/08/09,68497900.0,0.027,0.024,0.028,0.023
06/08/09,47913500.0,0.025,0.027,0.028,0.024
07/08/09,22235200.0,0.027,0.026,0.028,0.026
10/08/09,33768300.0,0.027,0.028,0.03,0.027
11/08/09,41911800.0,0.028,0.029,0.03,0.028
12/08/09,23076500.0,0.029,0.029,0.029,0.028
13/08/09,10211800.0,0.029,0.028,0.029,0.028
14/08/09,4337200.0,0.028,0.028,0.028,0.028
17/08/09,17975000.0,0.028,0.026,0.028,0.026
18/08/09,11714900.0,0.025,0.026,0.027,0.024
19/08/09,8487700.0,0.027,0.027,0.027,0.025
20/08/09,5761400.0,0.026,0.025,0.026,0.025
24/08/09,5472400.0,0.026,0.026,0.026,0.025
25/08/09,7144900.0,0.025,0.026,0.027,0.025
26/08/09,3959800.0,0.026,0.026,0.026,0.026
03/09/09,3249900.0,0.025,0.025,0.025,0.024
04/09/09,6608900.0,0.025,0.025,0.026,0.025
16/09/09,3520100.0,0.025,0.025,0.026,0.025
17/09/09,9326900.0,0.026,0.025,0.027,0.025
18/09/09,574000.0,0.026,0.025,0.026,0.025
22/09/09,18838300.0,0.026,0.026,0.028,0.026
23/09/09,7106400.0,0.027,0.027,0.027,0.027
30/09/09,10454700.0,0.027,0.027,0.027,0.025
01/10/09,2945800.0,0.026,0.026,0.026,0.026
02/10/09,3892500.0,0.025,0.025,0.025,0.025
05/10/09,5426000.0,0.025,0.026,0.026,0.025
06/10/09,12849900.0,0.026,0.027,0.027,0.026
07/10/09,2588800.0,0.027,0.026,0.027,0.026
08/10/09,2080200.0,0.027,0.026,0.027,0.026
09/10/09,574600.0,0.026,0.026,0.026,0.026
12/10/09,3057600.0,0.026,0.026,0.026,0.026
13/10/09,1486200.0,0.026,0.025,0.026,0.025
14/10/09,3705400.0,0.025,0.025,0.026,0.025
15/10/09,195500.0,0.026,0.025,0.026,0.025
16/10/09,1215500.0,0.025,0.025,0.026,0.025
19/10/09,457500.0,0.025,0.025,0.025,0.025
20/10/09,1775000.0,0.025,0.024,0.025,0.024
21/10/09,2397200.0,0.024,0.024,0.025,0.024
22/10/09,840000.0,0.024,0.024,0.024,0.024
23/10/09,1595000.0,0.025,0.025,0.025,0.025
26/10/09,7008700.0,0.025,0.026,0.026,0.025
27/10/09,9932700.0,0.026,0.025,0.026,0.025
28/10/09,36441500.0,0.025,0.027,0.027,0.025
29/10/09,4042600.0,0.026,0.026,0.026,0.025
30/10/09,8040100.0,0.025,0.026,0.026,0.025
03/11/09,11787500.0,0.025,0.024,0.025,0.024
04/11/09,4059500.0,0.025,0.023,0.025,0.022
05/11/09,2452100.0,0.023,0.023,0.023,0.022
06/11/09,10195200.0,0.023,0.024,0.024,0.022
09/11/09,5402800.0,0.023,0.024,0.024,0.022
10/11/09,12171400.0,0.024,0.024,0.025,0.023
11/11/09,5435900.0,0.023,0.022,0.023,0.022
15/12/09,49458700.0,0.025,0.026,0.027,0.025
16/12/09,37636600.0,0.027,0.027,0.028,0.027
