Date,Value,Open,Close,High,Low
03/08/09,47241400.0,16.0,15.75,16.0,15.5
04/08/09,41372075.0,15.0,15.5,15.75,15.0
06/08/09,31676725.0,15.5,15.5,15.5,15.25
07/08/09,54377950.0,15.25,15.25,15.5,15.0
10/08/09,45451175.0,15.25,15.25,15.5,15.25
11/08/09,32277050.0,15.5,15.25,15.5,15.25
12/08/09,9560000.0,15.25,15.25,15.5,15.0
13/08/09,32643075.0,15.25,15.25,15.5,15.25
14/08/09,9136825.0,15.5,15.5,15.5,15.25
17/08/09,41616875.0,15.25,14.75,15.25,14.75
18/08/09,67132175.0,14.5,14.5,14.75,14.25
19/08/09,42152400.0,14.5,14.5,14.75,14.5
20/08/09,59301125.0,14.75,14.5,15.0,14.5
24/08/09,54584825.0,14.75,14.75,15.0,14.75
25/08/09,26125475.0,15.0,15.0,15.25,14.75
26/08/09,51691450.0,15.0,15.25,15.25,15.0
03/09/09,35842200.0,15.25,15.5,15.5,15.25
04/09/09,256831525.0,15.5,16.5,16.5,15.5
16/09/09,15947900.0,15.75,15.5,15.75,15.25
17/09/09,20124500.0,15.75,15.5,15.75,15.5
18/09/09,28616400.0,15.5,15.75,15.75,15.5
22/09/09,39384000.0,15.75,15.75,15.75,15.5
23/09/09,57920025.0,15.75,15.75,15.75,15.5
30/09/09,87327650.0,15.0,15.5,15.5,15.0
01/10/09,456382000.0,15.5,15.5,15.75,15.25
02/10/09,57684700.0,15.25,15.75,15.75,15.25
05/10/09,91697075.0,15.75,15.5,15.75,15.5
06/10/09,94205025.0,15.75,15.75,15.75,15.5
07/10/09,37331050.0,16.0,16.25,16.25,15.75
08/10/09,6145150.0,16.0,16.25,16.25,16.0
09/10/09,142616575.0,16.25,16.25,16.25,16.0
12/10/09,37834025.0,16.5,16.25,16.5,16.25
13/10/09,62365150.0,16.25,16.25,16.5,16.25
14/10/09,145052050.0,16.5,16.5,16.5,16.25
15/10/09,44985775.0,16.5,16.25,16.75,16.25
16/10/09,22010650.0,16.25,16.25,16.5,16.25
19/10/09,4668625.0,16.25,16.25,16.25,16.25
20/10/09,10634200.0,16.25,16.0,16.25,15.75
21/10/09,43911275.0,16.0,16.0,16.0,15.75
22/10/09,18916925.0,16.25,16.0,16.25,15.75
23/10/09,33044800.0,16.0,16.0,16.0,16.0
26/10/09,3365550.0,15.75,16.25,16.25,15.75
27/10/09,24292425.0,16.0,16.25,16.25,15.75
28/10/09,26155800.0,16.25,16.0,16.25,16.0
29/10/09,41496075.0,15.75,16.0,16.0,15.75
30/10/09,32677925.0,16.0,16.25,16.25,15.75
03/11/09,23974250.0,16.25,16.0,16.25,16.0
04/11/09,46501475.0,16.0,16.25,16.25,16.0
05/11/09,17415550.0,16.25,16.0,16.25,15.75
06/11/09,67109925.0,16.0,15.75,16.0,15.75
09/11/09,44373850.0,16.0,15.75,16.0,15.75
10/11/09,37797300.0,16.0,16.0,16.25,15.75
11/11/09,13025875.0,16.0,16.0,16.25,16.0
15/12/09,75132100.0,15.75,15.75,16.0,15.75
16/12/09,9876300.0,15.75,15.75,15.75,15.5
17/12/09,59606150.0,15.75,15.5,15.75,15.5
18/12/09,300396200.0,15.25,15.25,15.5,15.0
21/12/09,326080925.0,15.25,15.5,15.5,15.25
22/12/09,13013475.0,15.75,15.5,15.75,15.5
23/12/09,81057425.0,15.75,15.5,15.75,15.5
29/12/09,54849200.0,15.5,15.75,15.75,15.5
04/01/10,11137175.0,15.75,15.5,15.75,15.5
05/01/10,57290475.0,15.75,15.5,15.75,15.5
06/01/10,27614425.0,15.5,15.25,15.5,15.25
07/01/10,60245650.0,15.25,15.25,15.5,15.25
08/01/10,15751250.0,15.5,15.5,15.5,15.25
