Date,Value,Open,Close,High,Low
07/12/21,692790000.0,1.99,1.61,2.12,1.61
09/12/21,329265290.0,1.68,1.7,1.7,1.52
10/12/21,129219900.0,1.66,1.64,1.69,1.56
13/12/21,48744950.0,1.58,1.6,1.64,1.56
13/12/21,48744950.0,1.58,1.6,1.64,1.56
14/12/21,86208130.0,1.59,1.53,1.59,1.47
15/12/21,56736100.0,1.5,1.41,1.52,1.41
15/12/21,56736100.0,1.5,1.41,1.52,1.41
15/12/21,56736100.0,1.5,1.41,1.52,1.41
16/12/21,22502870.0,1.41,1.4,1.45,1.39
17/12/21,40513860.0,1.39,1.3,1.39,1.2
20/12/21,39745660.0,1.23,1.34,1.41,1.23
21/12/21,15541980.0,1.35,1.34,1.39,1.34
22/12/21,13253520.0,1.34,1.35,1.42,1.34
23/12/21,8605720.0,1.35,1.34,1.37,1.34
23/12/21,8605720.0,1.35,1.34,1.37,1.34
24/12/21,4310580.0,1.35,1.3,1.36,1.3
27/12/21,8524500.0,1.3,1.3,1.33,1.3
28/12/21,14098240.0,1.31,1.2,1.31,1.2
29/12/21,14568120.0,1.2,1.29,1.29,1.2
31/12/21,24277950.0,1.26,1.29,1.29,1.23
03/01/22,3218210.0,1.26,1.24,1.26,1.23
05/01/22,19991430.0,1.24,1.16,1.26,1.16
06/01/22,4292050.0,1.15,1.11,1.16,1.11
07/01/22,7336290.0,1.1,1.08,1.11,1.08
10/01/22,9258810.0,1.07,1.07,1.13,1.04
11/01/22,6567340.0,1.07,1.11,1.15,1.07
12/01/22,11678800.0,1.1,1.15,1.18,1.1
13/01/22,12707450.0,1.15,1.19,1.23,1.13
14/01/22,6818410.0,1.23,1.2,1.24,1.19
17/01/22,5959530.0,1.21,1.18,1.22,1.16
18/01/22,4340890.0,1.18,1.15,1.2,1.13
19/01/22,4123030.0,1.15,1.14,1.18,1.13
20/01/22,3309700.0,1.15,1.13,1.15,1.12
21/01/22,2350170.0,1.13,1.13,1.16,1.12
24/01/22,7333290.0,1.12,1.08,1.13,1.08
25/01/22,5381070.0,1.08,1.06,1.1,1.06
26/01/22,8496970.0,1.07,1.08,1.12,1.07
27/01/22,7411380.0,1.07,1.06,1.1,1.05
27/01/22,7411380.0,1.07,1.06,1.1,1.05
27/01/22,7411380.0,1.07,1.06,1.1,1.05
28/01/22,6051290.0,1.04,1.05,1.05,1.02
31/01/22,6755620.0,1.04,1.01,1.04,1.0
31/01/22,6755620.0,1.04,1.01,1.04,1.0
02/02/22,3331800.0,1.01,1.01,1.05,1.01
02/02/22,3331800.0,1.01,1.01,1.05,1.01
03/02/22,2169670.0,1.02,1.02,1.03,1.0
03/02/22,2169670.0,1.02,1.02,1.03,1.0
04/02/22,3435870.0,1.02,1.02,1.05,1.01
04/02/22,3435870.0,1.02,1.02,1.05,1.01
07/02/22,6090310.0,1.03,1.07,1.09,1.02
07/02/22,6090310.0,1.03,1.07,1.09,1.02
08/02/22,5095080.0,1.07,1.08,1.12,1.06
09/02/22,1019130.0,1.08,1.09,1.1,1.07
10/02/22,1897580.0,1.09,1.08,1.09,1.07
11/02/22,3889880.0,1.08,1.04,1.08,1.03
14/02/22,607610.0,1.03,1.04,1.05,1.03
15/02/22,1530430.0,1.03,1.03,1.07,1.03
16/02/22,1102660.0,1.03,1.05,1.05,1.02
17/02/22,18326520.0,1.06,1.14,1.17,1.06
18/02/22,5125670.0,1.15,1.14,1.16,1.12
21/02/22,9356530.0,1.17,1.16,1.18,1.11
21/02/22,9356530.0,1.17,1.16,1.18,1.11
21/02/22,9356530.0,1.17,1.16,1.18,1.11
22/02/22,4353960.0,1.14,1.14,1.15,1.1
23/02/22,11251550.0,1.13,1.12,1.15,1.11
24/02/22,6912610.0,1.13,1.04,1.16,1.02
24/02/22,6912610.0,1.13,1.04,1.16,1.02
28/02/22,4184980.0,1.04,1.04,1.09,1.04
01/03/22,1882000.0,1.04,1.07,1.09,1.04
02/03/22,2079590.0,1.07,1.04,1.07,1.04
03/03/22,1101930.0,1.04,1.04,1.06,1.02
04/03/22,1608750.0,1.04,1.03,1.04,1.02
04/03/22,1608750.0,1.04,1.03,1.04,1.02
07/03/22,4609410.0,1.01,1.01,1.02,0.99
08/03/22,4226080.0,0.99,0.97,1.0,0.97
09/03/22,1967380.0,0.95,0.95,0.97,0.9
10/03/22,1261450.0,0.96,0.95,0.96,0.92
11/03/22,1562710.0,0.92,0.94,0.94,0.9
14/03/22,1815860.0,0.91,0.88,0.92,0.88
15/03/22,1664440.0,0.88,0.87,0.88,0.8
16/03/22,255300.0,0.87,0.9,0.9,0.85
17/03/22,809510.0,0.93,0.92,0.93,0.89
18/03/22,810860.0,0.9,0.9,0.93,0.9
